"Topic","1"," "," "
"0.59062","117","Blockchain for Business - 2021 - Tyagi - Ether",""
"0.55468","1042","Wang-2022-Recycling Model Selection for Electr",""
"0.49477","118","Blockchain for Business - 2021 - Tyagi - The S",""
"0.49371","802","Phillips-2020-Tracing Cryptocurrency Scams_ Cl",""
"0.48145","464","Hubáček-2013-Limits on the power of cryptograp",""
"0.4584","700","Ma-2019-Design of Routing Incentive Protocol f",""
"0.44574","634","Liao-2017-Design of a Blockchain-Based Lottery",""
"0.44478","436","Hu-2020-A Correlated Equilibrium based Transac",""
"0.43964","288","El-dosuky-2020-Using IoT and Blockchain for He",""
"0.42633","198","Chen-2021-Impact of Temporary Fork on the Evol",""
"-","-","-","-"
"Topic","2"," "," "
"0.92623","856","Rottondi-2017-A privacy-friendly gaming framew",""
"0.56028","235","Cui-2020-Prosumer community_ A risk aversion e",""
"0.52413","732","Mishra-2020-Prospero’s Books_ A Distributed Ar",""
"0.5151","1141","Yang-2022-User-Centric Blockchain for Industry",""
"0.51188","590","Lee-2019-Economic analysis of blockchain techn",""
"0.5059","140","Brzuska-2014-Using indistinguishability obfusc",""
"0.48791","17","Agrawal-2017-Stronger security for reusable ga",""
"0.48375","19","Agrawal-2020-Adaptive Simulation Security for",""
"0.47888","733","Mishra-2021-Blockchain Technology Empirical St",""
"0.46958","195","Chen-2021-Detecting Smart Contract Loopholes B",""
"-","-","-","-"
"Topic","3"," "," "
"0.87391","583","Kırlar-2018-A game-theoretical and cryptograph",""
"0.83503","448","Hua-2023-Blockchain Enabled Decentralized Loca",""
"0.83333","657","Liu-2019-Decentralization is Vulnerable Under",""
"0.82374","39","Amir Latif-2019-Blockchain Transforms the Reta",""
"0.81973","1197","Zhao-2019-Y-DWMS_ A digital watermark manageme",""
"0.81973","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.77907","1022","Wang-2019-Rhythm dungeon_ A blockchain-based m",""
"0.74165","930","Spiegelman-2021-Game of coins",""
"0.7","1043","Wang-2022-SDoS_ Selfish Mining-Based Denial-of",""
"0.55832","210","Chen-2022-Toward Prevention of Parasite Chain",""
"-","-","-","-"
"Topic","4"," "," "
"0.47035","421","He-2022-NetChain_ A Blockchain-Enabled Privacy",""
"0.43491","160","Cao-2022-Hierarchical Reinforcement Learning f",""
"0.37971","1185","Zhang-2022-Computing Resources Sharing Network",""
"0.3599","132","Brache-2021-Relational Capital and Blockchain_",""
"0.34872","638","Liao-2021-Information-centric massive iot-base",""
"0.3404","987","Toyoda-2018-Multi-Class Bitcoin-Enabled Servic",""
"0.32053","1211","Zheng-2022-Cooperative Spectrum Sensing and Fu",""
"0.30057","717","Mazorra-2022-Price of MEV_ Towards a Game Theo",""
"0.2822","916","Silvestru-2022-Smart Academic and Professional",""
"0.27757","919","Singh-2018-Blockchain_ A game changer for secu",""
"-","-","-","-"
"Topic","5"," "," "
"0.42683","1040","Wang-2022-Mean-Field Learning for Edge Computi",""
"0.38039","573","Krayem-2023-A game-theoretic approach to asses",""
"0.37953","698","Luu-2015-On Power Splitting Games in Distribut",""
"0.3707","5","21_Bauk",""
"0.338","380","Guo-2022-Blockchain-based Reputation Evaluatio",""
"0.31334","1098","Xiong-2019-Cloud_fog computing resource manage",""
"0.31326","1113","Xu-2021-Edge Computing Resource Allocation for",""
"0.31165","514","Kajaan-2021-Review of Market Clearing Method f",""
"0.31028","217","Cheng-2021-Traceability Management Strategy of",""
"0.30707","72","Baek-2020-Privacy-preserving and trustworthy d",""
"-","-","-","-"
"Topic","6"," "," "
"0.92857","1097","Xiong-2018-Optimal pricing-based edge computin",""
"0.62873","1190","Zhang-2022-Optimal Pricing Decisions for Dual-",""
"0.6215","1210","Zheng-2022-Blockchain-based intelligent contra",""
"0.56736","943","Sudeep-2022-Blockchain_ A New Era of Technolog",""
"0.50963","670","Liu-2021-Electricity market transaction model",""
"0.50204","1199","Zhao-2020-CloudArcade_ A blockchain empowered",""
"0.50022","939","Su-2021-A Cooperative Game Theory and Blockcha",""
"0.49426","768","Nie-2022-Blockchain-Empowered Secure and Priva",""
"0.47829","804","Pilipenko-2019-GABA-containing compound gammap",""
"0.47821","67","Aysan-2021-Blockchain-based solutions in achie",""
"-","-","-","-"
"Topic","7"," "," "
"0.7419","681","Lohachab-2022-Towards Interconnected Blockchai",""
"0.55732","554","Kim-2022-Advanced Drone Swarm Security by Usin",""
"0.48578","280","Dutta-2020-Blockchain vs GDPR in Collaborative",""
"0.48405","215","Cheng-2021-A hashing power allocation game wit",""
"0.3749","1191","Zhang-2023-Dynamic Evolutionary Game-based Mod",""
"0.36978","744","Mothukuri-2022-FabricFL_ Blockchain-in-the-Loo",""
"0.36107","298","Fan-2020-Stackelberg game based edge computing",""
"0.35958","211","Chen-2023-DSVN_ A Flexible and Secure Data-Sha",""
"0.35753","1178","Zhang-2020-High-quality extraction method of e",""
"0.31662","839","Rajashekaragoud-2020-Block-chain implementatio",""
"-","-","-","-"
"Topic","8"," "," "
"0.53722","335","Gamal-2022-Challenges and Opportunities of Blo",""
"0.53098","574","Kruminis-2022-Game-Theoretic Analysis of an Ex",""
"0.49626","376","Guo-2021-Enabling Massive IoT Toward 6G_ A Com",""
"0.46015","1225","Zhou-2022-Behavior-Aware Account De-Anonymizat",""
"0.43564","1132","Yang-2021-Design of Double-chain Blockchain Ar",""
"0.43454","200","Chen-2021-Trusted audit with untrusted auditor",""
"0.42538","675","Liu-2022-An Incentive Mechanism for Sustainabl",""
"0.42514","439","Hu-2020-Blockchain-Aided Flow Insertion and Ve",""
"0.41874","30","Alghabashi-2018-A finite multi-dimensional gen",""
"0.40384","225","Choi-2022-Blockchain-Centered Educational Prog",""
"-","-","-","-"
"Topic","9"," "," "
"0.53624","582","Kwantwi-2023-Blockchain-Based Computing Resour",""
"0.44545","844","Rana-2022-Free2Shard_ Adversary-resistant Dist",""
"0.44165","136","Broadbent-2020-Towards quantum one-time memori",""
"0.43476","650","Lischke-2016-Analyzing the bitcoin network_ Th",""
"0.42502","230","Chuang-2020-TIDES_ A Trust-Aware IoT Data Econ",""
"0.41408","908","Sharma-2021-Game of names_ Blockchain premium",""
"0.4118","843","Ramneek-2022-A Lightweight and Secure Vehicula",""
"0.37498","137","Broadbent-2021-Towards quantum one-time memori",""
"0.35398","521","Kamath-2021-On Treewidth, Separators and Yao’s",""
"0.34868","46","Arapinis-2021-Astrolabous_ A Universally Compo",""
"-","-","-","-"
"Topic","10"," "," "
"0.69432","114","Biström-2015-Taxonomic revision of afrotropica",""
"0.52281","1223","Zhou-2021-Game Analysis of _Blockchain+Supply",""
"0.34613","560","Kolesnikov-2020-Efficient and secure logistics",""
"0.34555","1068","Wu-2018-Design of Evaluation System for Digita",""
"0.31063","950","Sun-2022-Joint Mining Offloading and Computing",""
"0.28796","1224","Zhou-2021-High-frequency trading on decentrali",""
"0.28341","619","Li-2021-Healthchain_ Secure EMRs Management an",""
"0.27868","613","Li-2020-Security analysis of paxos mechanism d",""
"0.26537","751","Naderi-2022-Leveraging Blockchain Technology a",""
"0.25575","1118","Xu-2022-Research on Blockchain in Cloud Manufa",""
"-","-","-","-"
