Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142
1,0.17062982222043,0.197712105144942,0.108173868972473,0.0996927299532993,0.04,0.304965479504502,0.04,0.190104951599483,0.182739339018249,0.141180424098273,0.0983298399505576,0.142373003015623,0.296099372533098,0.217976398729359,0.177877841443525,0.165568652058888,0.108929636765917,0.132761851913377,0.134231950009862,0.04,0.233027468243115,0.210236670106926,0.12099332385385,0.451194878441475,0.109007936393002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.177302773561606,0.16358799270579,0.226793652320293,0.403354715541801,0.358207757367535,0.261325499702879,0.298336587351841,0.346954083908616,0.328722966939742,0.133743165408299,0.284547784470699,0.21983231061932,0.224096541090944,0.154801973836322,0.463821642547958,0.119054879681837,0.101643306289913,0.129381245054272,0.104228692766473,0.167766473806759,0.11814169208446,0.168116909724456,0.1829882022916,0.384718517849625,0.151230869091554,0.351138798639241,0.179593116701892,0.175486170974525,0.231801702763698,0.406724090025659,0.323082946560597,0.400396191735665,0.123271170618126,0.18257195395498,0.171153905448401,0.394874206284568,0.112919608854787,0.17107483285527,0.232124384731354,0.201021363948693,0.218684353167082,0.263301958830297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.202368959170433,0.197410495142215,0.195233193554549,0.145406260789348,0.181356614848223,0.135771627474452,0.155603879442753,0.14867629501082,0.229771396713727,0.194337820981184,0.128887831256007,0.173858275091298,0.129103974662547,0.208811423597293,0.153848040627745,0.21843650555145,0.143655434924925,0.126197873822466,0.181278925400688,0.112572054833602,0.159473991285091,0.133863419907092,0.178137375409051,0.174551421403148,0.157717772138797,0.128274248091974,0.136604650927116,0.173135172514141,0.23787792904733,0.11467545466458,0.090964026473922,0.159268966490741,0.277202620411812,0.117887609282932,0.189554477138238,0.086948167446294,0.237943450608223,0.103158930272015,0.135782077313723,0.108863990301847,0.156479963030167,0.0949112228812979,0.200861199418378,0.266358215968791,0.169949032019119,0.299043735033293,0.231739701433954,0.189539725656507,0.124303760088885,0.215041032393763,0.23058476362747,0.187662664830667,0.132559150121859,0.126249503747633,0.218989601909012,0.166698867544756,0.260580812258958,0.166419252108643,0.146044670097664,0.102629808722879,0.117992188315423,0.155781208068059,0.117373940644512,0.162283345910084,0.167155644096178,0.172427643334617,0.160262392860124,0.123108617040865,0.173749842062918,0.126639424127201,0.187395110365353,0.151055020779964,0.188930496384678,0.183072810305006,0.171434824017517,0.16556489766925,0.318362065797646,0.223708174792156,0.188231870892087,0.219443094797477,0.129786790238647,0.159873927402275,0.119873708606275,0.105940350941086,0.235241741032158,0.164331121016198,0.10836302097899,0.239917803609544,0.157367077876894,0.177770635607489,0.281608837487176,0.118353711873888,0.17827934065961,0.242764515868744,0.274294983107422,0.259513294370427,0.142092485671795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.226737247202166,0.160117577618646,0.26030808377186,0.202287246896387,0.102268556028881,0.113196966663637,0.185222868260675,0.271700629096393,0.176276622948108,0.22327364710274,0.140575029554829,0.224835657583419,0.25080811677359,0.161006352471168,0.288053402341089,0.303000425885989,0.334150524339297,0.265474159666031,0.16486052776462,0.12471138096607,0.138791704869555,0.128712393031586,0.176176296316708,0.405418510089271,0.196168822155247,0.12415024780179,0.472274958551989,0.239632844222694,0.19265128813889,0.271471425491946,0.0975442026153885,0.165389561265684,0.191044153404396,0.247945086116621,0.158236284352442,0.305482406803638,0.247956530166694,0.429601266107111,0.123177826641907,0.116774781702084,0.191542209498718,0.15314984637312,0.257884967463114,0.224109388285103,0.191717397296934,0.264649423436792,0.154672182691007,0.167145633410183,0.117294307743275,0.217469026823294,0.178965434547775,0.0995614851129239,0.235628285808066,0.176363392993258,0.106229694032422,0.281969267215194,0.125210755243052,0.459630114398231,0.321059862380867,0.165488734727521,0.188136383005236,0.0975568021763289,0.111480744917032,0.1502599171776,0.11842377183383,0.188081467739154,0.186128777941143,0.423512969435677,0.115665352603535,0.184318739297781,0.116339246362337,0.21739514684336,0.267839193070904,0.150596216886815,0.21369949131691,0.1915704904533,0.288868678908152,0.221742079079002,0.0984913449152276,0.274073287552824,0.168499511856432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.202291810360942,0.216860920139308,0.124971942336492,0.198983771126647,0.116369399497345,0.141227163306062,0.0967578002460335,0.179524211844259,0.161238142576551,0.160299636743809,0.196654081967694,0.15239094289794,0.257305059692629,0.34900197668033,0.257858869541409,0.186960598448733,0.111045323934787,0.287941951423099,0.370672382940696,0.25214786011563,0.134896903426196,0.247012289710572,0.200174264931233,0.235704561700056,0.362881467950945,0.115914846459215,0.123959270927207,0.128830328949572,0.194545787199564,0.166301419829459,0.292033200375582,0.280197005184427,0.24839630673434,0.0882021598444817,0.262003617522525,0.352329473978427,0.326825827743016,0.189435800622526,0.294809980310654,0.12297800017927,0.210066399091169,0.141812998529047,0.129936040562136,0.304622314307509,0.277042450577808,0.309844706060036,0.143543829185747,0.170877685022144,0.15315779283332,0.24171838225237,0.139618715728673,0.201984368720237,0.160757821192328,0.253225659456847,0.179978717168836,0.240331615464919,0.207345756391371,0.305649046771061,0.28019069112853,0.217823259372351,0.190479909828255,0.17007264311549,0.102597834690876,0.365745774149489,0.300129886543817,0.153537005488962,0.145209972018335,0.129928731261138,0.311335077177513,0.292530738862379,0.115470994031509,0.360208013444143,0.15338423533283,0.366946526014214,0.140830817882604,0.334670980242341,0.329213701633703,0.230353198738083,0.214426967968726,0.228908567157423,0.202091279439844,0.149218553169991,0.254628682604429,0.154714325698981,0.19892081651404,0.141755950435654,0.154614476002237,0.146807405325905,0.126752344409325,0.120183819958987,0.132645608912426,0.235574757565528,0.288556850356474,0.115302890806031,0.164857173087847,0.172457699397188,0.155122772400647,0.824817375587953,0.122989880498645,0.203024441435392,0.189199453868963,0.200943370129716,0.184801446226016,0.187531081161658,0.118673876155308,0.0990975820857617,0.139694263923988,0.171626868882427,0.176239857771199,0.152334750428942,0.200645834205816,0.181886877752043,0.106827130044873,0.156505086360874,0.165932592815021,0.203256462969781,0.281420677867116,0.218002469121355,0.201769518748854,0.217667525138566,0.266528129502971,0.300491110244707,0.211210050489905,0.186256174028103,0.235317651193009,0.141315093138355,0.158118657695123,0.171098131070869,0.269382766805602,0.119201292089657,0.116615071633188,0.156807825257128,0.460780242514759,0.359904634801702,0.149780350443508,0.158922457800277,0.354519305935931,0.158914416662519,0.277454792125066,0.190757573801785,0.211427357963226,0.273978458201523
6,0.0946747046851568,0.145852258642099,0.118735618355583,0.449583486981057,0.164981548428975,0.12260857579459,0.238774573757288,0.230123742297337,0.234655711594249,0.261139917693982,0.198031695748544,0.194284478973438,0.214076324799036,0.138386827295845,0.0972413293865903,0.177665436004721,0.178658506586183,0.138394889958482,0.134634322067986,0.151485873825661,0.234664506556813,0.115719979046997,0.135210878847871,0.142966529477572,0.163662765556404,0.173040092395639,0.167688824056062,0.168382569780468,0.150893506072227,0.0962782236784226,0.221988608250349,0.242996810225235,0.1388661049154,0.147971023488295,0.181917606449207,0.148270492351689,0.158572862053876,0.142541811354804,0.209736720164474,0.176515521616517,0.157737204304389,0.0861163973495235,0.178810718703812,0.163899668763834,0.222505336032351,0.125561187874312,0.147172651692402,0.153641922177213,0.136907544290922,0.156389340332308,0.318541066857644,0.113128815007693,0.213715717915216,0.201312311712703,0.177493030407751,0.191050118520206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0987081107192855,0.19054012072615,0.781570877820519,0.169418888822213,0.487569522118085,0.132173777018967,0.108847169163246,0.108804990293237,0.139702685750472,0.130729030545617,0.198552604866616,0.115013571390514,0.115155302659764,0.108174667014847,0.16570717335433,0.0982040189068811,0.0986008289288875,0.128120192459521,0.130973972574478,0.155319909190915,0.123887977467257,0.173884980976082,0.109217336657954,0.113749019748069,0.111891682330208,0.142985971735679,0.16076618151243,0.134703482737424,0.0935606487501959,0.12433514691394,0.351173966654009,0.101045285261862,0.175154480942641,0.132160802062752,0.109641073671134,0.117866692344531,0.136649116690047,0.1386026516337,0.168245069891506,0.0946165606290265,0.794572519054129,0.104537793802835,0.161333707858595,0.146652224411256,0.101279341548733,0.0907153009306497,0.14005915557522,0.15556860802336,0.162761540125495,0.159482403705434,0.116564595949493,0.152412089473375,0.200365418552606,0.820408978793923,0.122838353752726,0.149812747347964,0.199573041766304,0.148245929828644,0.154699947749922,0.122418573493504,0.108880314336484,0.153390610743995,0.208705250146736,0.0990598935523017,0.148831815421209,0.116347717641059,0.123300737576125,0.118794729393029,0.129704440878531,0.105534062368609,0.137472666528764,0.122662334756134,0.132062688407776,0.114421525807596,0.192326354419698,0.127075776725483,0.130649355198468,0.113257343101963,0.133149270491569,0.118867412595895,0.141400806543411,0.0994619986067042,0.155058641785207,0.106647783980979,0.102789752115423,0.124499125088418,0.170610405903835,0.12467367119527,0.121325942525406,0.203008780018022,0.160387201518427,0.1621251505942,0.134484452875694,0.736265177498668,0.0972844233559674,0.134212934078699,0.117033695324347,0.630771133277355,0.132169617453109,0.110830326707339,0.145450266281784,0.141710951251038,0.400144793229323,0.13861346696244,0.163822722711662,0.156971575135276,0.0834851666255411,0.114715076002979,0.131130518604849,0.77993610623325,0.792820424205695,0.191744677687502,0.107861341796313,0.101461087573332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.111469664767509,0.11615832955966,0.106555300203475,0.0750526518119977,0.171918739240252,0.338526526971884,0.281468712943387,0.203225522410929,0.251890938605736,0.142500052573449,0.142315097360758,0.111262681286092,0.36913402762778,0.12654109472135,0.122241976789006,0.189181379722263,0.321662361860774,0.137175042524065,0.131141037478652,0.151602862259361,0.155657665092056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.191447786102978,0.156654081184487,0.156166002966016,0.162031518547348,0.138248883943118,0.236333518619905,0.139026326988652,0.231424138351215,0.0879697067855365,0.142071596145634,0.145977470912573,0.10576966927473,0.429552544239367,0.157520572672665,0.112369994173859,0.128644181635175,0.128334598257615,0.312742362280795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.219744980970677,0.156207680826456,0.175376045940194,0.099391153214112,0.156465961628523,0.144758769166944,0.227164045198083,0.179640322571057,0.0914250559918931,0.0968075011468133,0.124686982540826,0.148615861069475,0.165480367379068,0.292105442296488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
