Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131
1,0.109418514270596,0.107266670018007,0.0436002242924762,0.0436002242924762,0.110166530342643,0.131415256567838,0.104495676274972,0.0979803827219591,0.145753064915069,0.14271014400582,0.174318819747621,0.0875478438532284,0.0860366382558662,0.0720452591932546,0.130034215748498,0.124680538549574,0.117266914444644,0.0904773963109871,0.151981912686207,0.145134384193043,0.0899180782870706,0.16460306153393,0.106675036689845,0.109902342613483,0.0868387905228806,0.11704381517575,0.0739193545613538,0.21211462939239,0.188942152482123,0.241391783638665,0.155744727707243,0.13499756316643,0.0436002242924762,0.100359598787788,0.15620179902166,0.156040361093904,0.0867622268159512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.153472473588713,0.12119692032773,0.097678203631598,0.132256547014482,0.115964444013971,0.211555937948801,0.130371249030054,0.11761888851223,0.142276971993112,0.180083160180635,0.125616642836074,0.250073007011762,0.15813208991313,0.136158236479992,0.0950971843354231,0.135850853253832,0.0748989073653346,0.115725049882441,0.127841766326976,0.0896636856860705,0.0941860310431715,0.447909366209005,0.121773520908593,0.0961042588463106,0.145582096263286,0.0892778305738199,0.193131819654971,0.19979734521465,0.0834544391342471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.177043446654014,0.225926644238487,0.112041350177088,0.12404332291542,0.12765826934736,0.0694937512345566,0.0959605731417445,0.114798863501884,0.149575592846242,0.186251336492977,0.273805057943229,0.133701435188807,0.0891293832264474,0.0836907598215497,0.180461510588523,0.0777329277928062,0.104365996704669,0.182192736283514,0.128254446044875,0.110003104415193,0.0984369921071054,0.0996976556284748,0.1310038257632,0.0836860825636927,0.102663967310597,0.114327214596451,0.103721220569503,0.0893301315620983,0.0906679018870095,0.188004656810814,0.184458502986918,0.108158802380109,0.116025691914112,0.127349929368638,0.0761998814758861,0.0930054067390437,0.0825691326736582,0.19317958867028,0.108159423820888,0.06979264803016,0.129018290075238,0.0814096222972049,0.0994539106858104,0.0789599380101447,0.125636046234792,0.156619764803788,0.0925560945631742,0.203652796925382,0.0863183972353447,0.0862019895748743,0.145914507526159,0.0775622292194753,0.126081350142631,0.124570417061955,0.0975714271322817,0.0904498202923481,0.0871005373421723,0.101491726126804,0.0995125398089259,0.0883742671789508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.176965316006132,0.155675105188774,0.137424882669094,0.0859099161768628,0.131056645103629,0.22302119044454,0.0983508161561104,0.22321372539357,0.111951012618432,0.123073941066205,0.162334139614671,0.226011944288129,0.140917463983744,0.140252580796485,0.191039101171433,0.1041696379269,0.140308306476445,0.127334075866839,0.139837852521822,0.120247766220068,0.128532156090365,0.116622428470119,0.118311446770228,0.164147934375166,0.332506968722179,0.129858689057246,0.133895091873521,0.0965672271057727,0.104740487596866,0.160126737773284,0.0633405500761836,0.136558922758778,0.1404800976728,0.179725254639949,0.143155417215455,0.191851625663593,0.175440185086418,0.0923464879131973,0.131796822836868,0.13465641100505,0.142158123981261,0.128710677130601,0.0914787882820531,0.15759668322286,0.0982775149100857,0.0843416521103241,0.0843414395611115,0.129642807249134,0.139059695091192,0.1116129702413,0.193261368768792,0.16747949774638,0.204386304296624,0.158426684769031,0.11706775607589,0.101757911635677,0.151760690115754,0.177485006653675,0.149411394405592,0.112467930271408,0.117288612262458,0.0898439132615796,0.113485736561288,0.097928378760913,0.0878756943700202,0.136099433140799,0.12986489751798,0.0897647412764014,0.151037881466553,0.109017504593825,0.127149541165608,0.133641399109682,0.111517943473906,0.103203657159951,0.106442226789799,0.174350480730959,0.144408638795323,0.0989064434529847,0.173251818903196,0.139838046632688,0.210090643541613,0.094591851504944,0.145491854803938,0.0833974360503495,0.155198097711202,0.154842615675876,0.0941315290424736,0.16846874363344,0.143659328199592,0.182028738430163,0.108335442743167,0.159925357132351,0.199269536251323,0.175588742696114,0.115678076094957,0.156494346484213,0.166178261229138,0.114916888336097,0.100970802270421,0.111104935881725,0.165261895042588,0.144445281621962,0.105303984017016,0.0996450646032585,0.130745600906201,0.0977110332820988,0.192860525580021,0.145706050132893,0.134814280170674,0.149880603836592,0.138497153703111,0.160088338113317,0.136139951034102,0.242830313402538,0.215196688455867,0.211693628485674,0.148416910300468,0.109233949994761,0.0883306824906223,0.163687443665763,0.119156274890037,0.0936107684737846,0.155596170217752,0.133098541631279,0.158936332825934,0.0926167117290493,0.095989892041764,0.0950627151841677,0.101473147579462,0.185453510509951,0.127741282726966
5,0.126356561320101,0.137013789676419,0.186775494539073,0.10464095958024,0.130916846561959,0.0932182041604745,0.105541564154703,0.119488131911784,0.137932163156332,0.112091228326772,0.118192186670164,0.109987197903969,0.0845204642659274,0.0918073335450379,0.0949618448152115,0.0758684657762872,0.187280970925074,0.0765836474688507,0.143216023998865,0.151277314524105,0.176154002483125,0.138899226872729,0.111672082167416,0.0910990989175403,0.225660193447517,0.0949654728607575,0.117112107845273,0.0912840613584242,0.146049302915567,0.0806694718647632,0.0793602310163495,0.112304607437207,0.163805271364748,0.187877787589546,0.0962231028044213,0.102253032409826,0.127720294554668,0.164092929366738,0.112615753843706,0.1241691164472,0.0981828351632658,0.0981332578915679,0.127079987390716,0.122793418112957,0.0917491137191468,0.285862026304865,0.0969321638755735,0.090354097132109,0.133377180082875,0.109685229473497,0.106060171867984,0.103856805246783,0.0996516941641065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.115692676190133,0.168187001291437,0.117937541842993,0.181286313527358,0.123422695740948,0.121907679563521,0.194366973158607,0.150000871560253,0.243536424374255,0.159703104040527,0.10071384617428,0.118410361000394,0.145288495261766,0.134094189606646,0.0834395598528115,0.0948341137135466,0.100120514207156,0.0837618027421262,0.176706062295787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.213189411753119,0.101235256190573,0.130869905492459,0.119835928547763,0.124799874185808,0.156862083629164,0.169567863653651,0.111583074617554,0.133422936205701,0.164783357882413,0.185391005069904,0.142798716059121,0.0907640655030973,0.125962011248891,0.162241100975351,0.0939488408071497,0.0944921540416529,0.153902922202306,0.107929520878201,0.10187398251822,0.118463212842451,0.131842075635724,0.0976238127444061,0.0820322397251136,0.0885471916039881,0.0748713680862705,0.204819344312694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.144813778699736,0.101100016002255,0.291050268075299,0.222357414221858,0.120651181032973,0.176881128168848,0.151651288231312,0.158691715250804,0.159219133481815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.148497887555188,0.181311581207709,0.109463091902465,0.194017526158597,0.089583283746432,0.127463372600958,0.0728711267984427,0.158910992114539,0.133912442614765,0.170395162663008,0.106525875006536,0.112977451726839,0.203680527895358,0.075335775550586,0.0783591653376367,0.138193332483496,0.297041498608629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.217648789044933,0.118998747653275,0.311483704774979,0.194008618008947,0.133189786418811,0.230536133622975,0.153630086896119,0.114771331310467,0.132092964507017,0.101543012887335,0.343791907411308,0.216173049709122,0.105011286629113,0.107720162689958,0.125442313562196,0.114573472160312,0.184790414250103,0.0749682298266374,0.14233407217837,0.110219656434659,0.148276673799217,0.273986813541428,0.103904473800689,0.0797217237871245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
