Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110
1,0.102981403616541,0.150129038651288,0.0822263234077585,0.109365354075908,0.127087105464209,0.0410947734629129,0.0699906691036689,0.0410947734629129,0.156738159115534,0.14819902002217,0.196872056563456,0.100073904670574,0.122063133313988,0.0891623833340245,0.100667863199397,0.163363578419821,0.11470858311679,0.0609067678963419,0.0712430502700516,0.137013401459851,0.119604120745135,0.0984768585562161,0.119612876608897,0.0948599070242762,0.0995163524761105,0.0410947734629129,0.450623073979222,0.130034332349824,0.0939995866068066,0.0714956582957124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.140903839043385,0.103214330108517,0.101274780723673,0.241740551218809,0.148888736003585,0.142593538448785,0.100162360318094,0.100137570252811,0.279021477863846,0.136546025278266,0.145864787055684,0.0853080030291716,0.12215197442429,0.111605144473725,0.122608743166942,0.104811150314685,0.14117582881354,0.0934819885874604,0.145283418096553,0.129385051536022,0.254376221678351,0.158242589985927,0.0980361280055991,0.147542867157931,0.210438319094356,0.124119529331134,0.119701193732947,0.0961489123435414,0.13249348076949,0.132321099917567,0.0918310845876397,0.149564261457002,0.105926763654021,0.0946409197696177,0.0989974367884225,0.102331057734116,0.119752483992655,0.117845808052782,0.155194948318499,0.107451150514171,0.112327022949479,0.194351494131028,0.133277796983572,0.0892769210595167,0.222632695898875,0.125382358708396,0.114639251781341,0.0932515402071103,0.0856633379814539,0.132081509757499,0.0963563011075751,0.132678403536204,0.0954401521493975,0.157670158316223,0.163727438043022,0.0951295917035604,0.112858939353775,0.0896204204194935,0.153908202893385,0.112302862844542,0.100489525270423,0.137866099892501,0.11992899338196,0.132713779288109,0.142846210717559,0.162206443762271,0.0828656425437494,0.153421062658179,0.103513539637145,0.0903246430352838,0.112388469281344,0.125498913720342,0.0932196422540996,0.13027413310037,0.0877926425674434,0.0976586509646175,0.0755702637087781,0.0972099814683032,0.126328108966584,0.119635997269751,0.409807614849626,0.0963405854713665,0.256760425782212,0.0936685366440531,0.0650167090543686,0.0993490506828072,0.124138842545075,0.210302255379494,0.0491130649860224,0.135525547495151,0.124111864724948,0.122979019449539,0.0978894589959425,0.164267192057079,0.127618851130798,0.0728951828054346,0.102712113192347,0.123562524859171,0.0877099076319781,0.0864944893885948,0.119701012788058,0.224758172693103,0.10674058307008,0.113344495932082,0.1148788290276,0.177940447020125,,,,
3,0.151780924778344,0.203591087384325,0.150372530867084,0.166720932926636,0.0901194533947823,0.101701560189225,0.115270223660006,0.122579952320777,0.109290273469232,0.206129339255952,0.105711577895367,0.0786731005148017,0.101665490805666,0.100729743665117,0.218235795323473,0.11081718538077,0.186479546197553,0.162447183943874,0.0842584853350212,0.0776208603287128,0.137866479998878,0.181001362233329,0.139630223930541,0.112339454794253,0.0764949275583564,0.184302704239133,0.084618639481018,0.089961125819071,0.13056131076072,0.0789071593886286,0.117317920431208,0.108428452039817,0.0908927641475251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0810206265064439,0.138484327089085,0.1302756535289,0.116490197132482,0.162372336503975,0.0849120388710099,0.11736353817346,0.126258153930197,0.0994398601228329,0.134039856635262,0.247360696044802,0.0885015815574315,0.0942769144175117,0.095044254242047,0.141894641199706,0.114136104105646,0.125761246684922,0.179079127959751,0.158772803694776,0.0872668958902122,0.104176128199154,0.0906487417358082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.155929531069296,0.112256070053978,0.158286681034757,0.219316529304733,0.105714119294715,0.121837569381396,0.126719721459164,0.0888623925586151,0.0987436520237927,0.111527643963947,0.29595622659485,0.133786128719758,0.202097367406291,0.0803966468726771,0.0990246890283609,0.0768318551896835,0.115951211474689,0.0935018735457698,0.171583520174624,0.0688992873276962,0.153356743017136,0.105738383811028,0.108856756939859,0.172054162687067,0.107995201358128,0.113596230567021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.170069026171033,0.154390182214503,0.223462261467984,0.142120293872104,0.142017534817556,0.0766071467678716,0.155556990933349,0.159208455515066,0.288811698420319,0.132070206097703,0.110404812435082,0.062851361068713,0.135477611979247,0.119456280645872,0.0732753131867354,0.107139619390683,0.1701752293911,0.11994235607232,0.113049508185785,0.0970677117549924,0.215124514946223,0.101193131065285,0.0859729958079327,0.150288597110137,0.130696254769547,0.100569714181368,0.103721076763038,0.0919568461409308,0.107733850566576,0.0825932860019285,0.0872742547389334,0.0874107372709993,0.154343956960602,0.105364305906683,0.0871345563621212,0.08475902268126,0.158964615250853,0.141781958295842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.101763920008088,0.135935562323577,0.111413139633342,0.128396124300778,0.121671042987815,0.363521358898033,0.103566821032392,0.09001117048649,0.101932011643751,0.169360814520517,0.0801253011458529,0.101179933176643,0.132903697961397,0.125055140236401,0.155817856636871,0.116266402226221,0.10781376311763,0.132405060973601,0.138658860350006,0.246645410020273,0.209188138299141,0.137280431468412,0.0991499906577246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.176916997250831,0.127216272334438,0.148039629082648,0.107988517746312,0.0943194363061387,0.197452881696045,0.121259891645151,0.133393274038002,0.107487011726724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.209577757107462,0.125005232228911,0.152919172189605,0.167385081036918,0.124413183488016,0.442597515190691,0.126127719803936,0.102471206265618,0.136853643376954,0.15092392200142,0.110490637988799,0.120064221560895,0.099173736767276,0.108133730530881,0.118094929341547,0.13272502729794,0.0674895449884734,0.113259741268067,0.0896083843913996,0.0797225595099204,0.0955549203949421,0.115543453774826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.194193592691676,0.185683728788161,0.160251051136279,0.624810060487098,0.155755778283396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
