Topic,1
international conference,0.023822
artificial intelligence,0.0083295
datum security,0.0053985
follow section,0.0050396
virtual world,0.0047704
application blockchain,0.0045162
information technology,0.0044563
computer science,0.0040825
trust third,0.0039928
large number,0.0039479
-,-
Topic,2
smart contract,0.14733
random number,0.010039
ethereum blockchain,0.008256
access control,0.0079131
distribute ledger,0.0075565
hyperledger fabric,0.0069805
third party,0.0065965
datum store,0.0061988
contract blockchain,0.0056091
international conference,0.005472
-,-
Topic,3
blockchain system,0.015728
base blockchain,0.012966
game theory,0.012134
blockchain base,0.011424
consensus mechanism,0.0082862
datum share,0.0076426
machine learning,0.007361
security privacy,0.006932
datum sharing,0.006932
science technology,0.0062884
-,-
Topic,4
international conference,0.007923
nonfungible token,0.0067081
computer science,0.0059686
bitcoin ethereum,0.005863
preprint arxiv,0.0057397
arxiv preprint,0.0057045
section present,0.0055813
ethereum smart,0.0050003
virtual machine,0.0049298
paper present,0.004701
-,-
Topic,5
transaction process,0.0074111
figure show,0.0061192
payment channel,0.0060342
bitcoin transaction,0.0055583
even though,0.0050654
new york,0.0049804
bitcoin blockchain,0.0049634
transaction fee,0.0049294
number player,0.0045894
related work,0.0043514
-,-
Topic,6
blockchain network,0.024044
consensus protocol,0.017824
consensus algorithm,0.017063
new block,0.015005
consensus mechanism,0.012782
proof work,0.0080841
blockchain consensus,0.0079201
node network,0.0076665
malicious node,0.0073533
proof stake,0.0061004
-,-
Topic,7
show figure,0.0087838
number transaction,0.0079983
hash value,0.0072842
electricity price,0.0069092
datum block,0.0063736
power grid,0.0061058
supply demand,0.0059273
power consumption,0.0050525
same time,0.0046954
transaction record,0.0046776
-,-
Topic,8
https ://,0.014342
decision make,0.0087177
private information,0.0045744
valueadded service,0.0042182
blockchain model,0.0041807
different type,0.0039933
doi org,0.003937
user experience,0.0038995
:// doi,0.0038808
service provide,0.0038245
-,-
Topic,9
online available,0.015279
blockchain technology,0.010236
blockchain smart,0.0070328
distribute ledger,0.0061418
blockchain blockchain,0.0061418
take account,0.0059902
third party,0.0057058
ledger technology,0.0056869
transaction cost,0.004777
available access,0.0043031
-,-
Topic,10
cost function,0.0067992
datum item,0.0067392
profit function,0.0062193
case case,0.0047594
commitment scheme,0.0046194
section describe,0.0037995
firmware update,0.0034596
propose mechanism,0.0032396
revenue share,0.0032196
information science,0.0031796
-,-
Topic,11
blockchain game,0.013847
gacha game,0.012866
social network,0.0102
digital asset,0.0087006
future work,0.0065162
game player,0.0060719
play game,0.0059609
decentralized application,0.0059238
case study,0.0059053
white paper,0.0059053
-,-
Topic,12
blockchain technology,0.079115
available online,0.012303
big datum,0.011165
business model,0.0082397
online access,0.0077359
conflict interest,0.0070371
literature review,0.0067771
block chain,0.0059645
technology blockchain,0.0052819
appl sci,0.0052169
-,-
Topic,13
real estate,0.0065275
block header,0.0065104
cloud gaming,0.0057737
ddos attack,0.0053968
security privacy,0.0051569
previous work,0.0047115
con sensus,0.0044202
net work,0.0039919
gaming service,0.0039405
fault tolerance,0.0039234
