Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225
1,0.331628197020316,0.182362195391666,0.414567055446273,0.279330723314914,0.238818546051533,0.255197747862956,0.275765910269651,0.375837916414761,0.213566390431291,0.226370534831343,0.370116637385528,0.209827200848112,0.273125688722245,0.182658459516102,0.155059541505461,0.284116254287631,0.203427457117845,0.235173116332655,0.191646823055615,0.172327747520868,0.206554057996905,0.241329752855243,0.202474477343186,0.278438863277201,0.206273474212031,0.15738365784644,0.258201474068227,0.211022089860222,0.35246680069326,0.19054521609661,0.257841747906385,0.224649478306554,0.207221839548891,0.285774980729439,0.193745163735914,0.310870046185035,0.24695582909032,0.221811990495125,0.190060379349197,0.243474305101812,0.173377294294354,0.213214169685875,0.240815145105977,0.208716224795802,0.225908469567838,0.199124125707635,0.218644959753576,0.340455843309172,0.251229156673538,0.255768163500219,0.187469099049554,0.423743463636262,0.247618777748457,0.263466087285218,0.252008248735659,0.187900810159365,0.194888015206139,0.349400123403033,0.264189694008187,0.226653217658008,0.236388261813979,0.283867659063783,0.269593801370591,0.229833644965021,0.366373856756428,0.312511004016049,0.308376329478002,0.225330846165919,0.206552158348902,0.30513112600766,0.245314565930299,0.179518824001024,0.224301097591159,0.335041115684916,0.236649669896189,0.389085756857803,0.248961679237478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.343292261486846,0.32287620126386,0.448797735883282,0.39615118287456,0.224886468529538,0.305742816352463,0.410033049449624,0.218423220626065,0.194718070558718,0.231466106489299,0.299481081187346,0.257419655128963,0.374207227013731,0.33735486007089,0.225641064944815,0.284962264086407,0.280812924791421,0.33284588457234,0.333806597377058,0.204267511061027,0.319457014936174,0.289137125099619,0.322423055921445,0.335461963904537,0.246920340258463,0.38114624916771,0.29010625329586,0.418356212946319,0.308441170415722,0.389231974325403,0.365800307257441,0.262443036030044,0.40296596851148,0.279617833204601,0.209884447693503,0.197989726703795,0.409898097781891,0.232875055159488,0.496143991388701,0.207394359015415,0.343361867145959,0.193791489169062,0.181544903855999,0.332895562185001,0.396612989647743,0.324982013527181,0.312643411049601,0.193720686513082,0.224746684794857,0.219348294711187,0.335766863417531,0.296449354757145,0.323917274218087,0.293880724298758,0.211128363303159,0.371003732097873,0.326541085796446,0.322588347358135,0.294514320354231,0.274103257659027,0.33136525150226,0.279474107299774,0.231799686607775,0.236632629280473,0.218167859685184,0.198613540510425,0.324810299823942,0.320292976557358,0.341798711935017,0.24572863212445,0.344195803386168,0.258438536061514,0.313555769195588,0.348199169153582,0.321394482219248,0.212830295408251,0.193730097546519,0.372919904845412,0.183929849172945,0.241164589485738,0.344390435482828,0.28406992465397,0.448747916142386,0.237318266307421,0.276076941793576,0.418290593333715,0.237614132257427,0.233572964178629,0.401610257157833,0.252242547509194,0.207154905550391,0.273495370684561,0.308227659132834,0.339830747336454,0.274914497945055,0.230818999315945,0.251771766367654,0.441529164418646,0.393661690031753,0.343092091564719,0.178990331236726,0.294193940816643,0.417004744380961,0.217628236253155,0.284940666667544,0.383420341265011,0.302836597186253,0.348031445117347,0.334922578863052,0.216904113275478,0.289981239303175,0.522489969507624,0.320165706201872,0.329871441667992,0.243919036203355,0.294837270597372,0.357229197263144,0.385447677678071,0.30234554101001,0.220141409575646,0.354103449548198,0.310694173095398,0.383867981671054,0.39215408351946,0.374534172217927,0.30219213339746,0.405227716281175,0.333144860260534,0.322219476211733,0.349056686625515,0.401160675913509,0.348592836074446,0.239114721702335,0.332186063607619,0.312802346181534,0.294493248179256,0.175136991722114,0.213106391367552,0.194226505677846,0.282562148028949,0.301875738259465,0.314555372976692,0.311015330760695,0.304040484134862,0.231884263341501,0.246336265231611,0.352936913085037,0.317067380631112,0.255663444709439,0.31812685518583,0.323237817949441,0.350728400386825,0.36780136395972,0.291873591255378,0.200252255701134,0.313984422858526,0.322195310317593,0.310443768149072,0.344393287669702,0.24880420789986,0.28147047622288,0.3791968004994,0.262520780473411,0.343219729646657,0.272708723415634,0.363199339901016,0.244488782149206,0.30654886111471,0.256229446853359,0.320695354113381,0.244832460436094,0.224402681494567,0.325423534697957,0.409242904427062,0.375856434231781,0.240866580801213,0.338143847733222,0.251796096055176,0.363342824830779,0.335589836367062,0.427861580061053,0.29348512678011,0.2934686047109,0.291149860904708,0.213986879162414,0.230917786008042,0.28045591925564,0.290782514611328,0.465393546647715,0.28949988625807,0.306839936163931,0.347677630428804,0.353334864094261,0.291455921894038,0.407320802267036,0.284098438102017,0.368670449425754,0.335112828504721,0.257110876009253,0.280960538581327,0.331597166108352,0.238107184242956,0.432915026848518,0.343762708220062,0.405754359959395,0.348287555027047,0.255162550472556,0.303257152604941,0.312765479216685,0.261143554990053,0.318012917819078,0.253289623121463,0.362599814331395,0.387010177301985,0.222787689876612,0.330213131298958,0.457074128538217,0.279622390066005,0.233744951331212,0.609285705312182,0.342669570657424,0.315576622232233,0.293756192252421,0.274140729965691,0.371855367790766
3,0.3229743908612,0.267649951292231,0.669458908555011,0.710051216109128,0.659345919034589,0.536869774333131,0.510328422755372,0.220539290865884,0.182912227745794,0.536976314481568,0.197141864316196,0.322371598281421,0.350807530701553,0.476962498207899,0.598021458497536,0.584929161411079,0.285986361909582,0.274813192002208,0.440309597227799,0.210781609624429,0.575543070410901,0.319565594397132,0.587197920521361,0.590546466360557,0.523856930659268,0.535415347637494,0.627799723353005,0.591392338618817,0.385351342573658,0.283883992109093,0.542875657814502,0.253184656146918,0.360944165933487,0.233006772517358,0.275667931867366,0.230274512513957,0.265848902585519,0.380064560652586,0.274229184441659,0.466183806811691,0.623737785728565,0.50895881129624,0.662224320573841,0.455770720516794,0.262405580726594,0.194711244432318,0.27653090624844,0.321365774502562,0.193418347497957,0.273092188837315,0.604986723379283,0.24791180026488,0.496734181775749,0.489784407577321,0.236014387475137,0.313144180675209,0.452472613599683,0.309025165627987,0.588134267468944,0.353309112274509,0.494928011301637,0.29378246585097,0.333219630023979,0.367312606210869,0.269382396380974,0.294202091186482,0.430446745339597,0.363905839312511,0.417589482473293,0.344235188247909,0.634893972791704,0.613403868618908,0.185107509205616,0.599134277443891,0.40394821240128,0.206527830562692,0.245105128600074,0.30122360029238,0.240723487450844,0.225551388750986,0.47938224530811,0.481780833644847,0.227938344321725,0.26127881044061,0.419780364735708,0.560774094329327,0.399228992932738,0.246507115761625,0.258728948349675,0.284029396858916,0.362727243165959,0.268734595881215,0.618230566870682,0.299813932130382,0.298860198526114,0.25390939212973,0.611282439264737,0.571170178116349,0.206566695984515,0.41021618063218,0.456744024731551,0.215729165304858,0.227165040376782,0.267394601753546,0.1515526925932,0.286199648201705,0.34746447452356,0.45441169275938,0.229120888593544,0.241177441993413,0.288088797005329,0.26402783882144,0.199128081392886,0.226964061076349,0.465029370633312,0.261229101357393,0.190143940770592,0.533170570572893,0.284467122186259,0.355406516633056,0.312469532239384,0.398240738116306,0.337300009773538,0.553892493891995,0.19624395066784,0.249932881077364,0.294467430640021,0.188950904166394,0.249388217900075,0.323914427904333,0.374865367965902,0.618640895666617,0.204695774454937,0.278804550427386,0.426348346772137,0.224152398484062,0.426979130436598,0.355975375032913,0.529401146889343,0.288724756896294,0.327678100672062,0.524328080584412,0.266220656183775,0.518074775678884,0.221239085925205,0.210986512723565,0.605971145774545,0.245407532498879,0.425862184972387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.248295287496151,0.29852320134752,0.303436892183627,0.402942085359193,0.653456839947589,0.275175779105013,0.287848002484821,0.295582501473378,0.273919270314794,0.186328667401882,0.278471586654496,0.342992231699912,0.216675682039604,0.238678769019994,0.218446824741498,0.190099615793994,0.229572474099582,0.283949169141216,0.225534577431855,0.223409787632763,0.276491989235508,0.257181205050423,0.297310528235444,0.28966564292115,0.23944866348775,0.37495403161306,0.208637725530871,0.344686943637365,0.291575856042839,0.318832395225316,0.208067008444341,0.178107534887995,0.251287654885571,0.288719057387464,0.320594577554573,0.255849785771507,0.315915922910258,0.190649095575843,0.345062730772807,0.351505242011679,0.156556161389665,0.231956524619115,0.196935584814759,0.348301814682714,0.360555321219982,0.226780075438134,0.323389771891231,0.213209627211668,0.264526326406469,0.244251114557231,0.313152264986059,0.257544138920674,0.244723947131404,0.269488743632918,0.152064559228455,0.211864973902293,0.258907512534524,0.322950184213664,0.221942684936186,0.318981952684218,0.284692941254701,0.233298897206951,0.170221311655034,0.242652476071535,0.325488441956525,0.317363836697895,0.361202243430066,0.288239681910149,0.318439767146775,0.209315226364137,0.416468310564252,0.257237872118834,0.28393277671584,0.276994664091024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.349356337268584,0.325554953878718,0.898943404147214,0.554324515233583,0.20560165118503,0.199520611736025,0.197509516120317,0.205998796939742,0.211963671283171,0.162479308076597,0.329634718961944,0.22295209656688,0.230813108349201,0.2560784536127,0.215715541880158,0.183416540818559,0.255394552035776,0.320967115349763,0.260087502090363,0.263988444818806,0.229873634324103,0.229085760485684,0.270596378124164,0.219214820779922,0.25928854740401,0.218180981123231,0.247744303922035,0.181939692346346,0.220274809069598,0.273073555670765,0.230767789573476,0.231267194704824,0.880862934295434,0.25957867123181,0.297040096394663,0.288136417897824,0.309132476587337,0.290301712820402,0.279119595176116,0.224794184792827,0.274191079847714,0.927858786075637,0.302475304060028,0.274857044514013,0.313489179267242,0.219163246006713,0.239313078563861,0.248318033596826,0.28579699578833,0.290032381243778,0.287123962959088,0.183165857467851,0.19936873000686,0.280856300221528,0.242105531479469,0.285668721409233,0.231512008398248,0.225901248134098,0.277276662928761,0.199543494618899,0.237388851430632,0.264465618608183,0.302484397419927,0.210612096912624,0.763925751910084,0.203103543454924,0.23664938409368,0.222737443930198,0.252366164207926,0.233508750910586,0.270578606414296,0.297248277105083,0.289417918489171,0.847401950113731,0.264515703653384,0.188607119669954,0.214834201278352,0.221068179794491,0.764241022125729,0.307339953512654,0.229268367269074,0.215864547292398,0.396188176234951,0.337066001891923,0.211323886446079,0.22929584741641,0.212163030201512,0.260580922206712,0.285195352729201,0.226836591786914,0.886549899590965,0.865196204244864,0.241182504735379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.242266923945137,0.331029383960098,0.335545282645541,0.274611515855107,0.29231426432919,0.269684510817344,0.306746843375748,0.208163515879847,0.34407067697514,0.392232778102421,0.302643211869524,0.319603453000734,0.402935840745624,0.246450066461118,0.550923129746047,0.304722900583074,0.405477938825028,0.311973386281222,0.324404671947861,0.472677716189163,0.207824205125853,0.216793535613516,0.322197178949956,0.464386539993676,0.294614509912394,0.336971291099233,0.416107280406003,0.393247633149344,0.472738823051042,0.307986375856973,0.346088687694678,0.470858431889643,0.395607167759524,0.180602991493074,0.335715873046129,0.272798755910564,0.23522837762835,0.195096145858317,0.225550066782475,0.250465682307745,0.527379704040428,0.435975826793115,0.332869411671131,0.338095834793139,0.44096386841953,0.511556488541517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.503293870267329,0.274561536735134,0.378034294707939,0.356481376370893,0.310530202739991,0.317889367409319,0.290861951844205,0.321753687221883,0.335457848022723,0.21228714113469,0.403625116195952,0.304783397528189,0.466250318498056,0.281599360087506,0.303510588869612,0.263067572789157,0.302552183191313,0.335908448810153,0.356486909735091,0.298167661600485,0.5612333242762,0.246079314170405,0.337705367899717,0.308735822549651,0.453216645785079,0.52873383438253,0.426996290172812,0.303091754564672,0.30968379937743,0.41536972058596,0.269837833662527,0.329563528617626,0.350788205792283,0.401412189281839,0.524634036533458,0.385313866740363,0.238065889856241,0.311078961938214,0.456796744872183,0.29049444455338,0.417511794656874,0.281223325700549,0.254747112192281,0.252557263057956,0.243644705348177,0.306053165581434,0.3314770417888,0.250974518994173,0.33327211554504,0.332069965595415,0.422892741700112,0.395828996424987,0.400424017258152,0.359726214294706,0.283003687893073,0.287300173112285,0.468917610635319,0.422644044485279,0.398784504216063,0.470683014290295,0.325291065487354,0.294819657863211,0.454872139954327,0.440100785937455,0.309913336501458,0.383046865668927,0.414096913775201,0.345368918476733,0.298557807115545,0.525829845987179,0.613209941971737,0.402555848208798,0.369915779877652,0.443251954006372,0.475639816267353,0.326786724884046,0.304907679564726,0.461082155993097,0.512445816346758,0.487213158582629,0.552104865739209,0.238284328483378,0.240947720128643,0.289502981460106,0.363767327193748,0.247744797337268,0.272369514064183,0.303718251684257,0.28907815534661,0.39650896291856,0.236566663947534,0.272490751975273,0.351636886569715,0.287945581178115,0.209968947708343,0.329688283772738,0.254620854903691,0.24813260177727,0.450530136787763,0.184097012114401,0.1619165999914,0.338218200839353,0.205277157783602,0.294242823185332,0.259985663951892,0.173890892146074,0.177125775119745,0.463544498745134,0.345001768142195,0.53473774665577,0.51926111938792,0.513893303917408,0.511556884962188,0.466409794493309,0.289931846995841,0.303913543308871,0.364887517052693,0.324483375493127,0.367098065760549,0.264951221313677,0.412875455272465,0.38183635419711,0.31612458953564,0.249320400213876,0.561961456799392,0.401547814778885,0.320236388888472,0.548933043308235,0.344709099389948,0.3181540621524,0.417070183773169,0.536685616220376,0.271956813118924,0.416049948023282,0.457309672449089,0.467698671745906,0.506869308898012,0.262258884090845,0.496629000059339,0.609375086818934,0.646619896727794,0.192329681334326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.226638646373536,0.3099639937964,0.250683305733145,0.23428737948053,0.227667413168782,0.244205080418502,0.337518656397253,0.340398977566637,0.219394053691533,0.220634832740471,0.250017413987054,0.192139134152768,0.280507227451467,0.268933536352679,0.300929945414965,0.189653353914587,0.239952660698538,0.324475168548766,0.176839891095694,0.187023444091397,0.2093654386785,0.208227945853761,0.235571219594283,0.236585645916081,0.256430395349308,0.204245382680551,0.371046170323733,0.219976816247338,0.214741320021873,0.181407739060828,0.223966439387851,0.276207650480044,0.210641615534982,0.222136552883976,0.27687728625793,0.195958202867365,0.226788795450791,0.164829804830431,0.213968174593592,0.260060422937697,0.261549015012369,0.282802502828176,0.283461422200451,0.238512118873273,0.149463228065218,0.230304362021441,0.416472176147007,0.26644361089424,0.336903063548149,0.204067310154429,0.264881485643103,0.17543057557234,0.290018819116059,0.313062782323218,0.211859158022025,0.278496730481389,0.241499300589437,0.303591615189052,0.207991363664286,0.199074480718301,0.266425658229354,0.232771160428128,0.210318798444969,0.189791012883391,0.217065287105952,0.331982300029795,0.301746017263399,0.486201796383519,0.209899785916696,0.208541846518243,0.204374530165697,0.234861310779791,0.180379920642364,0.226226341652322,0.242003100405758,0.21911886369288,0.274082294653722,0.23719819945673,0.229370377557578,0.226465308058204,0.230476524244018,0.332786445178151,0.236989321674844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.327521514627638,0.294058765396815,0.330633552603442,0.220847585737511,0.203795693732311,0.345928549508085,0.172289637661328,0.248650374412841,0.312323344004126,0.235447363873522,0.310015296006342,0.342505784663307,0.37359847443841,0.34681675823649,0.247841359875941,0.321186316284445,0.332555038138446,0.325917362633812,0.25201711814756,0.222824860784355,0.416890944703751,0.246040848215517,0.26906184331498,0.312415868103735,0.27432248030841,0.173604358010078,0.233250064539025,0.289911403856447,0.242082242683852,0.187112223599968,0.298139153211609,0.246997736245841,0.264120287619451,0.350957144391108,0.309053686464731,0.180626412513845,0.312024925739401,0.348572840755697,0.313850050724823,0.242113288086844,0.315435759608137,0.319331287321195,0.251686055962765,0.313596846522259,0.202608811301105,0.267900101788309,0.330985225197834,0.272142312982297,0.19399099816603,0.351167177898988,0.205969023626695,0.280986422838448,0.225801106142297,0.285785718949791,0.27405556510821,0.442938923523756,0.268080143813589,0.321087901039297,0.398720551453975,0.280468221796477,0.336969428813699,0.284282782574076,0.279176292145251,0.215869342889101,0.213764678855833,0.206040881785574,0.214564459269645,0.307295543759182,0.265151360688916,0.222425869405181,0.234961462853459,0.260138218034824,0.291155844121424,0.28743747476561,0.291771068798165,0.236186232360952,0.32997867662647,0.230061158486222,0.213974810536577,0.266271552863205,0.30637544501429,0.35215452962708,0.278902725008051,0.168738378123915,0.357841897655197,0.34603021772473,0.291706690442061,0.290939194548002,0.266666222301095,0.274441870864634,0.366318215363549,0.270315642045703,0.257633529847605,0.24839819083548,0.23232425291871,0.250652461564435,0.22160602846822,0.355734146730702,0.237346741680816,0.227700334601601,0.272728408831455,0.28950918946892,0.216094358330783,0.372634588571675,0.20959371980571,0.215008067947336,0.270090278231394,0.247763170788767,0.245179211029507,0.360666798216502,0.323154469301254,0.301903078291102,0.241012527906564,0.247696981573775,0.230317352885064,0.339593723239877,0.226819811073376,0.265743508637052,0.229744726750601,0.265833824226898,0.314973495283602,0.247889760836112,0.254443490411874,0.285302656090341,0.2177526103769,0.348044011060454,0.275535751684034,0.276709505472313,0.193704001302355,0.381553475668968,0.276079532875155,0.374369231129724,0.256663447091209,0.334063679838066,0.281838406257988,0.331397670036073,0.248567213187648,0.252335309630261,0.187636781946169,0.207036619102294,0.186459525148203,0.253876303918408,0.21408670954237,0.216022445321454,0.215067765532891,0.244950557793035,0.258111673331751,0.21573766945173,0.276089409381305,0.203458934855521,0.21641563907302,0.372353233674551,0.299558155999821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.293309464256196,0.251510869355253,0.226412780477913,0.222381363044247,0.448230423002909,0.277421488137353,0.269805746427805,0.39148942588591,0.275572942497278,0.187992628605666,0.268072356826541,0.332675628357535,0.174497308597122,0.452691289607861,0.420068345638309,0.247856694534274,0.304226522674326,0.262490858897123,0.424462669033269,0.30243254318281,0.331310584617167,0.199986187614944,0.329536475916561,0.255070078159776,0.258512788809696,0.331997495830388,0.357784207311189,0.294647332182938,0.294879759419297,0.358786917378063,0.3158556752336,0.291915342410182,0.334863657289179,0.367675920332356,0.257104896020601,0.271047894611128,0.261458111795227,0.370984507925122,0.274985566505667,0.303946194539043,0.453389961265298,0.202181536542307,0.364337374305383,0.398327112255875,0.338428046424162,0.419375167677108,0.278254044012982,0.206086396181905,0.275069682011638,0.282696412354445,0.26558059002244,0.523158416399066,0.19336373643667,0.315535387166661,0.4022072188145,0.268547357592653,0.37209469267797,0.265453966892902,0.275585225780674,0.293272682138305,0.286272188409572,0.441264673579547,0.308957070861084,0.276747399511325,0.26153713648859,0.386236480567782,0.317671865035939,0.27206321727353,0.217489192892029,0.337687384905127,0.262898529771949,0.23080386207591,0.273958650984942,0.260070346178608,0.422615076621043,0.283715280081427,0.241963598582002,0.421710689963236,0.279660762219113,0.219101929969702,0.355571293020071,0.32473505344678,0.313865721976597,0.286807803584406,0.401291274982966,0.323870470965998,0.271132464877309,0.467411893845171,0.393609562416581,0.339493412921682,0.231462449604932,0.350498838298613,0.37425727100962,0.194143194606779,0.347100622185769,0.31962858851861,0.343837701131389,0.223616960009831,0.212988312345857,0.247987636816944,0.296178704450625,0.241483439836336,0.298935371446004,0.291797490768993,0.308961848947451,0.338467708808874,0.239605293553712,0.234370766817269,0.364068291264605,0.257815473416504,0.722853969337895,0.284790667076147,0.299297179305148,0.350688225202579,0.193889530786263,0.307416778396188,0.296358395310333,0.405378730976163,0.392386258305383,0.23157413320185,0.271964387075098,0.221788286113439,0.331155845449024,0.203401630293949,0.337040097694976,0.361891944963049,0.388906697338881,0.312974621039131,0.306823019719137,0.349102905326276,0.29266703064696,0.307877994274122,0.367524721844771,0.228016621527985,0.222939002881228,0.389696758175392,0.289247507665936,0.314573660215158,0.418204995158958,0.279926417770123,0.398417853488861,0.347092886681453,0.338335888294319,0.375594851415918,0.343029372667112,0.339722721983478,0.427328004831038,0.456220496507017,0.425856126642134,0.24546656278462,0.249432801933667,0.45252443644299,0.398101575403292,0.442853447863613,0.261437177040985,0.350444389384757,0.470516921500067,0.412093106215979,0.186387519826899,0.276648360827568,0.239823836580483,0.322172498267869,0.250567753822916,0.291987544477292,0.26325947078284,0.38317745167393,0.239635629812876,0.301412573765793,0.395299236856725,0.268857922623676,0.293041785949354,0.344565794702458,0.386167111257817,0.477283500676732,0.233396011866491,0.279329393830116,0.399976389656804,0.253043335900494,0.198002873017496,0.266908348609416,0.401134046234508,0.25678103325441,0.24795822220903,0.266298231280913,0.312791914356328,0.402847682160108,0.329676711294345,0.223066767962663,0.368249373642111,0.214167925748853,0.235920757797569,0.221955927617287,0.368699602969234,0.180499646012778,0.309085615362937,0.241157287678641,0.292971163050791,0.256990642059939,0.354216702607739,0.345185873679478,0.322706751138579,0.319669182220197,0.385396730861307,0.434178778664705,,,,,,,,,,,,,,,,,,,,,
