Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142
1,0.231486979342678,0.11568494898779,0.21871181149929,0.129364591981117,0.124231621457772,0.1986917431938,0.121458717774786,0.13258219122814,0.218793574980052,0.170688319044874,0.112243621073442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.200454761115147,0.165907757512656,0.215500285727302,0.146525694146562,0.168850126317898,0.124147887174894,0.196369628157872,0.201885599317037,0.200932392058644,0.160468785869018,0.311838954900314,0.103975024520545,0.167629931082812,0.138907750801444,0.227378175987079,0.284307824104105,0.139914075750149,0.245611106162089,0.139837073949522,0.215139323186535,0.159349748950335,0.175985654482837,0.137669736636275,0.118861918478568,0.14748820675013,0.132451776933538,0.292368474875317,0.154816187703226,0.148200027849312,0.354108112271349,0.365799795969697,0.215675504247832,0.290111962303855,0.15461154411973,0.184115512256095,0.143817185922516,0.170327964908266,0.159810704379221,0.218047217426153,0.164406363181988,0.182202708485497,0.259309063616695,0.229715946037714,0.120661412555612,0.232420361506661,0.215174929130692,0.321870853108395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.36672123552679,0.213205108768764,0.1363019439375,0.25498410964926,0.132349928375364,0.18721897625361,0.262321046052028,0.217431218447866,0.236534748556037,0.346733716816817,0.128240739514674,0.179545608720551,0.23875485973262,0.260544004017621,0.24199347604918,0.304713882987646,0.218977007437795,0.261343214445175,0.262578482397453,0.22112247908651,0.212976621018241,0.184300964370698,0.223325362051313,0.303461543768228,0.242260326910697,0.343776515668162,0.226018321751091,0.194754651923072,0.318922335605588,0.115772871379941,0.108921391372748,0.265927939468232,0.312018347339713,0.251276317891871,0.324731071900209,0.214031753366378,0.209415442020123,0.222368808436318,0.321072795385626,0.2179691157635,0.323318546031707,0.216885632369647,0.239490983004866,0.26712284818026,0.234663397416773,0.298557186809706,0.294787582136351,0.159365152175263,0.294612113593472,0.292503263687005,0.244623872615843,0.257939488025575,0.264923493063926,0.226961822739449,0.1848477275504,0.246285122732979,0.320305951609833,0.15070966913228,0.300666295463767,0.250678071738097,0.240329667821393,0.322556025312547,0.258404353385113,0.327360166564195,0.209407010893876,0.190910112811815,0.270841007611413,0.261089696380056,0.305979289196537,0.378797316681388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.207582599183971,0.209764259829906,0.211900471033559,0.284288075972456,0.162858307972474,0.152150257863551,0.161883595138101,0.196606860832538,0.116984946013444,0.208203913302662,0.12628278827098,0.188039127982267,0.168557769245739,0.205534598966011,0.212318944125938,0.128700665596307,0.165175741474712,0.182940639100802,0.20189877644889,0.125577386090819,0.178731945036654,0.17209398634382,0.144796034189915,0.276075381689667,0.110672108828278,0.257827289476162,0.136139323578859,0.207580269033402,0.159735777616319,0.138902600033958,0.143287344252177,0.185632602306827,0.20466606654141,0.146883841281736,0.247274816529556,0.181251904437554,0.163824556214999,0.186543727461624,0.189721522140136,0.161122704027236,0.203381541074104,0.29960978328238,0.242945368209501,0.197187058105826,0.166901477945979,0.15662627726534,0.267918415026523,0.157895760034681,0.150273567024482,0.171170865069647,0.206617700973922,0.169733588857098,0.162919789313278,0.150947261659347,0.272708546590061,0.182607965412443,0.284034145332456,0.208590992864025,0.180459738238799,0.261778742169739,0.136313144197152,0.271287007945313,0.174423035170799,0.257075625540576,0.171639582804894,0.176732999774678,0.161377964716196,0.257395627301909,0.335587767998483,0.208403577745428,0.232166124087553,0.14635354961764,0.227013602173667,0.116848486767952,0.153715594581577,0.140163770849417,0.17447093546232,0.165528182123074,0.147022546131588,0.282976135386874,0.130099476817433,0.181066624649555,0.253453138543562,0.238429417629244,0.19572974765692,0.481042738236399,0.174184051967624,0.188944204525052,0.161524790267776,0.209793231214022,0.205465250026846,0.195121353414577,0.150563567276356,0.235023623919687,0.204357559271603,0.199922852239905,0.145043169788675,0.165086507906431,0.12780581705556,0.237376038758458,0.204546329332535,0.163646487433606,0.256099544734565,0.14519517500458,0.229039184834036,0.16659085613486,0.160163736102517,0.142963737116037,0.192027412819921,0.193436491769791,0.243487527095028,0.168150170457677,0.200464208803972,0.139340452802645,0.212834087562354,0.184044128658003,0.230146555111219,0.221790117409674,0.189936929588532,,,,,,,,,,,,,,,,,,,,,,,
5,0.308213610991577,0.612079924052961,0.632754051288869,0.61683127141907,0.425752812358044,0.45306235979662,0.153527199259067,0.457025789162235,0.209889965426456,0.241437077185633,0.425255197494051,0.530523177942816,0.490160403993858,0.172418733242175,0.362709275392956,0.526831625852829,0.200803643869522,0.306660779297105,0.473081538730568,0.477567379952396,0.584970552452838,0.526002928624061,0.363454597880329,0.261628624364472,0.459815032662675,0.173812991425457,0.320639724872443,0.30312536563202,0.343466905398414,0.543162613351074,0.176133449656655,0.340502333343846,0.532891679684097,0.316233913256234,0.203112060642303,0.222239123266761,0.126938843554353,0.253115336264601,0.544716105462012,0.147431952994731,0.436354292220318,0.189211572131612,0.446021698742088,0.1845515426001,0.249979936578144,0.311992899411574,0.220743822114025,0.474447308132265,0.425055039878642,0.247564726197891,0.150476783476654,0.226020778396718,0.33227002240252,0.256594763881139,0.242206889303351,0.27015419902619,0.533109092739033,0.526684687098015,0.394763722373275,0.328545647530857,0.35402567148946,0.359771460578033,0.180878942669191,0.14241668481369,0.167728342673184,0.366152390423662,0.13733451814428,0.485647357544812,0.177526061688812,0.262109846309222,0.222282387749248,0.513995763798847,0.192808614783338,0.140053445482543,0.563354164387753,0.492259932910009,0.386907124905305,0.134171795101248,0.247071665961755,0.190776015351414,0.286643897793266,0.177625781773913,0.192710756709628,0.164043937149672,0.476388610625383,0.148452720745601,0.298906908755079,0.166195335851108,0.278095076174694,0.264478423759596,0.468590215300346,0.183164434900617,0.224750652794959,0.215338875840006,0.307873133500624,0.529058231037452,0.214385696962379,0.376343714807576,0.292368542725495,0.263210460625768,0.436696009570293,0.131283330211004,0.311568722909851,0.447458630419117,0.416899592796669,0.505120960133873,0.349185086318289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.153601854317063,0.156527452093481,0.386031519528399,0.173100239725223,0.168386786465679,0.279850207547734,0.172504105143766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.317814206476701,0.513670591662133,0.162132844430103,0.127431822060919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.343351023885898,0.298741996422812,0.162471262034914,0.319556193359528,0.183549592976687,0.184548352283289,0.15628327128527,0.147146336882828,0.178232600767078,0.317015736782004,0.255612161258312,0.360963771241591,0.286617019832669,0.312086875727253,0.209861478994905,0.259309229260393,0.443531913774478,0.270800056814419,0.202010526714772,0.251201081044758,0.258508911911789,0.265625707892217,0.293125644953132,0.202692638325345,0.240251826947223,0.26011242842538,0.290783864885354,0.305700937770137,0.28881906077276,0.352437894794689,0.343017639535105,0.272602150544079,0.2492945252249,0.370501346777145,0.130461526479988,0.167910615848511,0.192948018741448,0.204129460340686,0.245459090619393,0.357415375555083,0.304433692698005,0.354456141606879,0.18949572337282,0.23914452888719,0.221116727845699,0.278143868747258,0.2340630349034,0.186367559977513,0.310498497874409,0.392668967095392,0.201337917681717,0.319713548951128,0.341024688809324,0.252315751920195,0.263727883554324,0.169046589934547,0.186947350409041,0.380240840648529,0.348254862643633,0.164209409418245,0.163207027765517,0.209732387100713,0.278778001314189,0.231500592217554,0.429854744403059,0.133720772571294,0.390962396819404,0.188205424308255,0.264936717945376,0.35342858546986,0.228157337185431,0.249806496910935,0.297866421598072,0.168947921709906,0.298886120548357,0.190474241490696,0.18796957977162,0.284492520052448,0.270665671014347,0.220095121916702,0.139820429842792,0.161077435441482,0.258319777817111,0.296523782020681,0.268103156846675,0.202006215407118,0.214597426524211,0.230832341923514,0.210862870519078,0.217697234676468,0.231501606125848,0.204641662377339,0.275778630585892,0.213905511730451,0.234683233270699,0.340059258121903,0.269564113992159,0.323962798577648,0.27375003134694,0.265154607549959,0.223889824960393,0.287794754719347,0.266563266049518,0.433640196119153,0.190433725085901,0.264412071964247,0.260442500169519,0.184849129234013,0.371502649900658,0.161658094245778,0.198342333253455,0.251914271146889,0.32815546469424,0.279218949090987,0.369603096935349,0.112992607785617,0.133220946901035,0.431350182955755,0.198621388684963,0.181339938767397,0.33059940637471,0.336476468682361,,,,,,,,,,,,,,,,,,,,
9,0.588377784713279,0.262724257491535,0.155173598503949,0.285556050905456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.135995394465667,0.859017777732165,0.517284804174714,0.110810330815218,0.122367482090109,0.844104909787468,0.131945135245524,0.171671038428344,0.161134649290377,0.893607045315246,0.155966854387521,0.151746168547452,0.163835675893041,0.147628189639769,0.127279128573957,0.115056618440963,0.174537659620416,0.136368425125855,0.131477153284767,0.810085218388771,0.115960805464053,0.707614707155662,0.39818960635727,0.863966045857537,0.837917423303789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
