Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176
1,0.269119236114331,0.161941623484553,0.220090371681875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.123916357264518,0.285141388348023,0.121381921351899,0.334042131136581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.345728725512192,0.271152736001236,0.30841003356962,0.246781377960369,0.18594622282396,0.194975074902321,0.22937748798535,0.172107921932103,0.239735973426807,0.229652747810879,0.254940006453008,0.214011214720586,0.369136257135002,0.167849706175587,0.324609953127161,0.18904432193438,0.292067699248779,0.161428994447556,0.232223836260968,0.251654929443457,0.316801293479097,0.187776057323437,0.177359929971916,0.176612252611906,0.129124237266043,0.222866933081492,0.275814432617197,0.302161695384666,0.136804655383879,0.247704130162153,0.3558592582663,0.255208231975711,0.156814587859437,0.182489745397924,0.330276961620655,0.146758025028579,0.173185796045536,0.119435359754365,0.240783553884559,0.192383089252671,0.288378712252225,0.181806443647906,0.366715942612987,0.246598824419658,0.200007624439607,0.285677601069206,0.364629135616774,0.25072981820662,0.28909081793119,0.265624004673125,0.29552900909952,0.294259103798208,0.293737821736796,0.264121353806855,0.307618707906675,0.318539610285162,0.225989356847012,0.212472575881126,0.0986028191519504,0.266343854329181,0.303521410613857,0.243249675813971,0.232184091420667,0.234938767176224,0.166920881323547,0.267891616303629,0.16788792208215,0.246921912455543,0.207917443508359,0.210528265316776,0.196542178439321,0.357421357669532,0.237458679414716,0.115537091563092,0.239178721410937,0.329163814385492,0.256567450901767,0.240441979708518,0.239798351804458,0.221209562203975,0.270922422798903,0.19587984809624,0.246593470645562,0.279080074300756,0.217555153724421,0.229162227470022,0.276091023292141,0.282481708262169,0.255906319250213,0.212090176176301,0.362862004229325,0.213413298784242,0.369809329680055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.128805113104697,0.264359529374087,0.240861724721637,0.148328622112753,0.172790623643746,0.199836906221184,0.111188551550645,0.170729815573248,0.150400966592564,0.221825011960884,0.285327397724901,0.302591824187873,0.19991591094403,0.278698175167257,0.221923161955382,0.155692525890831,0.189234676187936,0.153954408418693,0.11940440216968,0.172113089602652,0.154681160978521,0.139328861446263,0.190382559046412,0.180899829285462,0.136222752804419,0.162577545826176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.292798953417985,0.175820473745666,0.172817609485653,0.223448540954543,0.169462044797234,0.171984464446257,0.153786639051139,0.16640699919593,0.206992228865963,0.29156765246925,0.124462894029236,0.229102486000855,0.230696554976904,0.191777433177197,0.144056770491155,0.196514056127624,0.196240351774717,0.215847287074078,0.194750806144148,0.230148647301765,0.214046620834572,0.295944982122592,0.164553208778676,0.236435460479068,0.270752363304123,0.281846114597561,0.161852552646058,0.178921990249288,0.179196645757902,0.219005734899662,0.405396992030968,0.151032107738183,0.141631943757709,0.317888733141615,0.339078376836193,0.317163221620732,0.228548084068183,0.279243385691861,0.186107351288737,0.162725401843658,0.179615802527058,0.247269574096282,0.177674686387158,0.244619627439907,0.158258249142361,0.305834696388718,0.245641821620476,0.203424929412479,0.337951652982807,0.220708312153951,0.165481141594662,0.126507969314528,0.241087623906108,0.177276519139377,0.135851154873639,0.150402274505569,0.229836965610848,0.228829307815343,0.129831133826658,0.169101374999148,0.190536110605997,0.166829793954027,0.2544903483548,0.16300730711975,0.24728457358311,0.148459981251284,0.279207090254706,0.217151712829799,0.343421783910971,0.231361285667912,0.242499165448717,0.225685252451467,0.207570470124941,0.256777232534946,0.209043310082611,0.265124466234926,0.240181927132104,0.210272210591533,0.160995722534745,0.306138974917925,0.169356602262215,0.181303339105058,0.173075206558086,0.354776651449146,0.103356462206364,0.202917217276829,0.33154439150243,0.273998071561695,0.166173706539768,0.299782358221653,0.235249037593035,0.145170857896204,0.308059846769949,0.149685097195573,0.227201982303725,0.270138968205513,0.254576879703911,0.198770516047919,0.336878948030687,0.315038462213071,0.323855170266265,0.230503919066581,0.148451124407797,0.25449136447917,0.154435575519394,0.120182250950407,0.187554429933783,0.152375940953171,0.122329699108828,0.157942790040205,0.282623896675969,0.282052751672344,0.255638029452572,0.186922293610118,0.203360632584406,0.282785807112458,0.293938223760029,0.233525966618106,0.16133261032919,0.184397426487913,0.27641153588891,0.302669180328716,0.139578469736316,0.141123676631905,0.241537216198939,0.18802174505824,0.27732716211598,0.196461131438599,0.266824889091438,0.136925988032491,0.222783745961221,0.229322568156121,0.13062460826944,0.183999598405397,0.117276842581433,0.248332968131906,0.321703235942528,0.201537130769342,0.197625549435173,0.142503495030444,0.346412842799587,0.199999557301241,0.249810942411922,0.212277104948734,0.177335764493048,0.2287235095057,0.254375872898287,0.223546951105742,0.17305932833957,0.389921202427655,0.150077819460135,0.17580765344287,0.286211843121868,0.333558372774246,0.232596333706018,0.230948282402212,0.236884858037397,0.332098527991231,0.268607933141098,0.353744911650766,0.18173765159904,0.237046701767572,0.216557886578368,0.215545516597873,0.246699305390978,0.211716140833475,0.300201442996253,0.180672221529999,0.173676152707425,0.153975567327876,0.169563239504328,0.25499186489629,0.336440995183438,0.241765964093749,0.314853439112576,
6,0.460940942591429,0.367523537420434,0.47355043450353,0.126661495436732,0.287030880961161,0.277648214243834,0.181525964355198,0.26669775466534,0.276130035874321,0.326017634297892,0.233841784686928,0.179515650701574,0.341479251147457,0.297312185280429,0.353886575748307,0.187853064767057,0.193056598646987,0.182049618821643,0.148436033030155,0.276419120103591,0.286164668606924,0.182876520257255,0.181796978599418,0.344635837734134,0.267779500860304,0.191512658066075,0.225074385991719,0.280148769455161,0.257167381033935,0.284102162698289,0.145873051109289,0.263712479231367,0.162799458113643,0.304130887237515,0.299191618619978,0.274175342896659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.201723947545798,0.403313959594115,0.233184524675352,0.373842116915183,0.192210635617471,0.206615719018043,0.422999541568803,0.19474005356758,0.151634617375941,0.287876156594282,0.424246073449942,0.175434148468659,0.317381623002407,0.309060190773104,0.520654630189616,0.418289503049438,0.475387456646948,0.172615600014739,0.190539322291233,0.212700478670222,0.217403991014274,0.231258079730906,0.453518472795185,0.197830913771584,0.234973087992022,0.354668486270398,0.380422503046569,0.186589966468555,0.163428346109235,0.149620202712646,0.243937469025087,0.138660164361112,0.204855462047754,0.212654455416256,0.356762198839626,0.220388935936231,0.428689280227198,0.27807189680722,0.224753429622469,0.146726148804873,0.209519392553175,0.194312424513339,0.111630712952525,0.303993833262022,0.240967442790166,0.226366055193135,0.479184054239799,0.358806461330019,0.460953198974889,0.239905058896947,0.115805831141922,0.192642011785576,0.329167373793397,0.409772919308424,0.167921588624483,0.150564817071592,0.174003895976683,0.212040500221638,0.208275747234519,0.278086676587001,0.463653633315561,0.225454848998235,0.177288267532453,0.192233151672966,0.165001504217405,0.445389607319802,0.443371199711543,0.28827848978957,0.253349415444617,0.110554466821985,0.261194944699639,0.11192568028825,0.290868177381361,0.139526503561514,0.196965882558742,0.200847650051158,0.261598587536099,0.223174259053527,0.226055264712154,0.10711235670392,0.187972402134765,0.201281824114553,0.192128223904704,0.202667030207745,0.195608595041716,0.289393249432562,0.38761347620021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.62627984945151,0.45015365272493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.158976495699874,0.198718197565844,0.181403523206421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.215995602534118,0.219413644246872,0.252110867734203,0.191868423572124,0.336798560942077,0.222352447432283,0.19712788274305,0.230158077951172,0.239527010954285,0.276441661648764,0.366144754476051,0.331660502243363,0.287367753477017,0.251349548827739,0.325375282429348,0.384359039070697,0.229471456156572,0.286296369134298,0.148924046720295,0.285854870002673,0.220544997315476,0.324205911871248,0.332143290124712,0.103070303258657,0.251304423694828,0.130609929632723,0.25142535400017,0.222934988508777,0.318094698307534,0.308719225078899,0.264048765664649,0.348560064312871,0.34266566479301,0.246752445031835,0.212375496833266,0.133404912960097,0.400898737977283,0.168341904039356,0.133200922807269,0.363971761277896,0.271208125064736,0.301451807251874,0.209623189154937,0.208160268874151,0.287900658410855,0.265317637032895,0.202546576969431,0.306843223783979,0.19143280239635,0.354476750960773,0.207668202680922,0.288113970100908,0.317404940295952,0.192091974545141,0.185100048796523,0.246172058746619,0.299447392483002,0.130680844501503,0.136672574133553,0.420643798534517,0.147317206750384,0.163883322252129,0.409238186914413,0.369279435098504,0.198386731547868,0.250383536025413,0.234383959222167,0.342086371440933,0.251697965864414,0.16945624920316,0.116049513632651,0.306249004571792,0.290289612556342,0.170522518735746,0.147894456333964,0.171361461168005,0.150462294441416,0.162007661168781,0.16164686265946,0.208769424006016,0.236262385890745,0.20094203493413,0.240652675658002,0.216459824483673,0.215958573859059,0.250579674790788,0.218377317103838,0.191495333051555,0.147400753866686,0.230001759455122,0.236465806386947,0.179094928534935,0.281677167431152,0.297083504743317,0.283368175215455,0.207298349238089,0.244019963956388,0.246279345930718,0.324730308974381,0.150525683846721,0.260194688948586,0.270493408431617,0.345612386181078,0.1615073573824,0.23399504445679,0.387134442092515,0.337775111125972,0.247745154632626,0.169460497529141,0.132637308472106,0.37912123386547,0.199861208306603,0.379892454840032,0.331303431646971,0.320445120940637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
