Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144
1,0.252620368169078,0.236530794706028,0.176542135503233,0.166709324397853,0.182254875440291,0.251858923204457,0.218288135203206,0.146925996312641,0.13530232515803,0.100130987054845,0.269145140003777,0.114019373096829,0.101253705380433,0.185620357714366,0.268147698763518,0.134612307740367,0.157255523717811,0.224434063655385,0.14567858857476,0.222716412317397,0.158214420726705,0.168320464211003,0.134124753660801,0.185122548093325,0.207449481932141,0.140822172922054,0.157243131772453,0.137383194281274,0.193032748022123,0.207033337357348,0.182763721720827,0.164992099030244,0.121849286593695,0.188119771687625,0.154286681274106,0.201214415499149,0.291548621219954,0.152077943904255,0.152955113761454,0.112995846550745,0.174563496621211,0.203472013388409,0.254498095377587,0.225921023603464,0.179616897065265,0.203173749747687,0.137522863402898,0.19563010140703,0.128710850229024,0.226539726150037,0.198515552932547,0.203685514829774,0.191215764706713,0.212206608655325,0.163242247464715,0.117989899896809,0.161230786294871,0.266572951145157,0.211210886241815,0.0991789619896553,0.148970941753174,0.194381529104004,0.215865198605991,0.189598582863704,0.157198254133154,0.149396254485146,0.193510319947264,0.260807339567749,0.208138990288105,0.254790168755211,0.173316666384918,0.131371150493202,0.145013921276067,0.0801583955737002,0.1652776296317,0.109004855816774,0.232159650252595,0.1528261147758,0.229924426260947,0.165859063132637,0.248286543483915,0.153103333176625,0.164721318009423,0.210384331495944,0.0973370292902887,0.141568901536294,0.135839571802191,0.249408846473007,0.190593950556991,0.205572380284458,0.13557557122019,0.180543537495574,0.129715868977118,0.208601217942689,0.23495260909709,0.131889492232452,0.166588345715441,0.227870213261578,0.118486797694946,0.150653042987567,0.151273452369531,0.131736700834219,0.151245543714933,0.187112580348223,0.191000749256453,0.130024656413497,0.221166782456246,0.120580404454954,0.128827133830549,0.140447987733177,0.248697064794295,0.199037235316741,0.200410093499078,0.199099564585941,0.210214418718427,0.137401009359588,0.224147510504788,0.153371078064308,0.129641604828311,0.209177827030212,0.0884069746457512,0.127093954695982,0.114030317166493,0.135570712389506,0.124191489239606,0.106103515570489,0.154119499407024,0.118515052654519,0.137260971872999,0.15824202443373,0.144897954287545,0.131065593890285,0.146233991178772,0.190420773755587,0.132246941688701,0.150057539281562,0.20169730456728,0.136654533832168,0.172952945013562,0.0843856704583237,0.114402582895186,0.190951686664658,0.156747970393979,0.125149000765559
2,0.145940326454008,0.196696343603369,0.0609955688449038,0.152465345376187,0.359730043488441,0.170981330270698,0.116938498862758,0.274541898464046,0.117970243871629,0.305252216742022,0.104807953553329,0.158973753931633,0.0808394334651114,0.16576300489246,0.156316510334039,0.145562749014193,0.111442369001893,0.158343950881747,0.154419669913009,0.237794183596382,0.167357922212869,0.106399315202508,0.273494263979807,0.208921685419454,0.172906698654323,0.20912202146311,0.154976519628919,0.281435756785265,0.218327788042516,0.0979878371521999,0.0729038653791429,0.0996553915303144,0.156135304967955,0.165560754616892,0.133685424713837,0.183641973120835,0.202232142990988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.123373563129116,0.141233067770306,0.139424121142571,0.197287628243481,0.0928855146585296,0.175461836526067,0.109783388033256,0.114193056554952,0.121747442348431,0.227411123647158,0.105599335909962,0.228455778388044,0.163014797008821,0.105603324789395,0.166337850102265,0.10680637376215,0.148275620959413,0.138012060834938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.145823650470285,0.224276370127701,0.108151543344138,0.203423297023419,0.161704949404974,0.155130269870743,0.100239490525624,0.104410036661547,0.119253185529334,0.151826602203299,0.211560037926063,0.0927726344153759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.229337543223235,0.154268839845396,0.157447658081688,0.152316070185146,0.089906177542599,0.103898597034688,0.149812714131912,0.159532569870267,0.138001629150433,0.176925827740444,0.178404204633873,0.133401464652832,0.114750552969787,0.137174855370371,0.11827131858089,0.142490325762728,0.148589686028551,0.0881057731468813,0.115608591975901,0.162405987685608,0.113988358447673,0.186130657811269,0.16964646549393,0.101204433774852,0.100486600962811,0.134371863052111,0.133946056718793,0.140563521997715,0.114463895795489,0.139565190770954,0.08990587687034,0.113269202210581,0.179267300453691,0.157864295885174,0.12274255573443,0.143581666769877,0.153239703222826,0.118384036414857,0.117094617251737,0.107203309563118,0.144665016479448,0.144898783166374,0.128869984129656,0.178880871790631,0.124437149569366,0.0930653854189361,0.132884388037634,0.104750856287338,0.142218806991586,0.158257208617538,0.192714503396528,0.126633691472357,0.147966045752766,0.120751182612129,0.210801607002829,0.189504528019484,0.148737526031691,0.12843051143034,0.147672267683955,0.148646766572263,0.15820910463217,0.1094870331382,0.271655282756866,0.150286141392586,0.159551465768913,0.148816389172772,0.145756935889513,0.149215051476974,0.169922074148123,0.216309364395693,0.102022778944345,0.150308306595884,0.0946400816742515,0.178655337312543,0.188325234058279,0.149689676375393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.172692342107616,0.174419472685392,0.216953154669217,0.243173610426537,0.230023414833166,0.131300884049866,0.267694003666081,0.178763518460003,0.298290310526218,0.137307282833257,0.226508325161464,0.209686092142532,0.184651654446955,0.14610598684545,0.175404261935774,0.184590596617917,0.25422137145843,0.257459747637899,0.204022089742453,0.207141285766558,0.203063971268173,0.158433757405875,0.154746349861751,0.248771256304677,0.120559497647279,0.256767292084389,0.118626139796757,0.175972241632179,0.209532033652376,0.181095339935118,0.197515448675403,0.308808699917807,0.190780107354637,0.133070285075581,0.277168940518262,0.288795081925949,0.183123988343952,0.208692653925467,0.291380758217791,0.171797176035533,0.184300716439831,0.167506619346385,0.263682957580236,0.154018130400398,0.199438016259697,0.290528472517437,0.19091810987097,0.276914109546803,0.240426166334273,0.141098475273397,0.215578281957238,0.136561110506207,0.125835014818807,0.189538090337531,0.19868135094908,0.135042914531697,0.260219786159984,0.119551472024834,0.177406269418195,0.150475822977288,0.227558669289704,0.234330148413717,0.233548471806943,0.217055030717334,0.261744147815706,0.207825479448264,0.152337208540898,0.284166880566393,0.219495900816023,0.133570670296831,0.156228496918678,0.240616993036549,0.138585738858165,0.114766371610441,0.14762800167092,0.160832076251741,0.11949799886766,0.258418961192116,0.226244356507324,0.266653400703322,0.267756847007675,0.116398245723681,0.169329215836472,0.140482341649048,0.174706304711642,0.25484350098431,0.181170189584418,0.129788536814815,0.253275557506966,0.205927963668422,0.385960308285761,0.226346368077371,0.230058230915801,0.275255844378174,0.168763826809056,0.355958504449452,0.14509805749034,0.310102772893978,0.224463001970559,0.167372628749516,0.136805438241706,0.228805899078902,0.0942210119257033,0.161581200757625,0.233048706304849,0.236003199865125,0.28002305746547,0.110226503899836,0.124160661546622,0.313092146165385,0.15775611681239,0.14399172302603,0.195766122689774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.313252387319064,0.130030155666485,0.212086139864285,0.251497907096779,0.262847292782253,0.194849973136716,0.177037364956143,0.162888211974425,0.272518937561611,0.211340360300839,0.42032640565328,0.430162448802632,0.19211019924664,0.205862730599815,0.321395705026037,0.287545791743736,0.172473709180363,0.145467159360589,0.14300664527271,0.29217201943436,0.126263044102683,0.259158815248419,0.166055602866044,0.185584502424946,0.145064283426518,0.263160306637143,0.137513606241667,0.286084874572211,0.197285183165271,0.210993199956177,0.312625633559463,0.419033229063212,0.146055113931189,0.175845023897355,0.35916025580365,0.298884242349553,0.100207385474231,0.200867113491662,0.302873981549314,0.148029101548914,0.137043341528794,0.215786585687868,0.294973796634157,0.120970425039557,0.221587326341201,0.235745326139423,0.148909672571049,0.227711584563856,0.108991480283802,0.110618057343788,0.112072462674414,0.235976327048594,0.0996066598106497,0.163936511228644,0.126905777683175,0.222334660392854,0.159756968251287,0.147377491169352,0.150845707399234,0.0840439491155555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.285546898714836,0.168709766158353,0.163134155103112,0.203577534731134,0.105571026336248,0.226305592073478,0.133556095831056,0.151383947339732,0.143443683811578,0.170215991552456,0.199706989909011,0.208203482194062,0.156574709897824,0.24094218006306,0.11529711720707,0.211888119165985,0.157494194399938,0.150443929835426,0.249693161786197,0.13138706338449,0.227809613890832,0.142754358272909,0.152585697464568,0.157864310835535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.137540445684613,0.140711551855735,0.1452233347194,0.099388434049993,0.195938507096124,0.155742623602388,0.110578299802496,0.0993477502786726,0.137590688509752,0.120307551454089,0.14304884565369,0.152817569479806,0.10796356855088,0.134222892635103,0.115786932077552,0.187891980557873,0.14716014938006,0.23314653815279,0.193846995274184,0.161556571754125,0.128713919876124,0.123820469499575,0.150349222153636,0.199599839838845,0.139284537580431,0.219178923923523,0.189757815707077,0.202212672394334,0.160391381088938,0.19266361776388,0.148282284811661,0.149988551515585,0.184304816994486,0.124024357120437,0.144051489105318,0.219190965221164,0.219116454709246,0.156505391716596,0.13158246393127,0.153381927473425,0.119467529874659,0.1498781609817,0.0984230737172408,0.184188968983338,0.253813469569661,0.136759028966425,0.153480210990105,0.112704024398689,0.100989893734774,0.142522626512048,0.122366603544703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.184166744483345,0.206971706538933,0.144474513445381,0.0764548655527285,0.284677925396641,0.279631179082732,0.233906320131962,0.130745643715053,0.158452983814015,0.157186377266536,0.124078529285934,0.228676162229478,0.208872871310513,0.0962296130137336,0.156201581661996,0.133868279619182,0.0975266657385744,0.16846723890624,0.161082359838301,0.20542307432197,0.142825613638241,0.163650581152763,0.167584562369162,0.197966093879252,0.181358450080934,0.151148856978682,0.191767807765226,0.298312911250948,0.097308486260838,0.165675464358123,0.169506282068611,0.0982290336413636,0.269138303036875,0.223810495122483,0.126765808647821,0.143190805541649,0.15744951384718,0.188869922176172,0.272111764087647,0.140847199390007,0.137974278285106,0.114944588451003,0.196500518199075,0.132582316797169,0.140932698186932,0.201803832093426,0.189632702159914,0.164011826624612,0.117033671291244,0.1502373907758,0.106362537326303,0.159278653520857,0.106007790730861,0.244797632879327,0.165049637626252,0.165010376963185,0.201805719862467,0.132475950556901,0.161780802013716,0.112327275416465,0.193476224975503,0.143244108637674,0.101475127913032,0.228600394718997,0.214634755571102,0.196685152986673,0.114552137927529,0.254876529896478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
