Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147
1,0.200500416827481,0.420517865626983,0.290593437649119,0.225081395478627,0.15833188760776,0.145003935709195,0.162258526219786,0.331147121542091,0.224246684198479,0.273609128155443,0.249328215434761,0.145300682764472,0.215801010451692,0.187910051000579,0.339273854493022,0.266242440183608,0.248231212975948,0.214238475358887,0.289347544428555,0.305512106909657,0.104347566569248,0.119308897721964,0.130247045822095,0.320785501967376,0.221383983709285,0.28926791348241,0.345783145471686,0.141473994106027,0.14655708439786,0.193714099927763,0.183506773214528,0.162976075788944,0.169220648303772,0.205425007603294,0.20817241810465,0.32307813690821,0.230885834614209,0.237370705962565,0.318568898007077,0.131189924814052,0.228432882746573,0.200970265514771,0.199938725233555,0.177528696858916,0.152802149632807,0.191426691160623,0.205051561450567,0.262408725163627,0.21855906231128,0.160319547137604,0.27710746723613,0.207655665504636,0.287441875289467,0.228250536071344,0.179439888523592,0.264857570609433,0.206823362344212,0.228912159086283,0.166050688311466,0.277308333507675,0.320833872681833,0.157913025465552,0.296718619825928,0.194254983356619,0.23473408917629,0.198953040099252,0.178397519923141,0.167403064331548,0.182373975455299,0.289556558665014,0.268305988321628,0.153259815418409,0.114891073012833,0.162397321913751,0.280349975044455,0.298860624837342,0.219733676646863,0.162913573458889,0.175877014960949,0.25123904232319,0.184472210858431,0.225862982077494,0.207886569018901,0.29446366576741,0.145726036965899,0.310856930224407,0.201911644245314,0.280481166123404,0.257694952293004,0.171997361127824,0.243140614166263,0.183278192290899,0.227265609522045,0.216086576960558,0.174279416282472,0.23107261442321,0.207975407033648,0.174260390069106,0.198491254480997,0.213402472201951,0.257294852767145,0.225439773712038,0.135453127229715,0.194699140692888,0.188906763537471,0.200966661000984,0.19789574174694,0.185690474882708,0.267355163959154,0.167980963250055,0.162069680149708,0.172439041768551,0.221779087014733,0.248126558651818,0.261855978404489,0.244940214261229,0.221228677642093,0.195228343180639,0.209078801738754,0.183137934804854,0.241306347465424,0.211533490076758,0.205101967385512,0.166522716348969,0.14556301471581,0.133358581133161,0.252093985973683,0.21062179407126,0.237661907146928,0.249981767073725,0.143279526540882,0.248927110779587,0.190964622149146,0.376597898670986,0.159239392907812,0.229311204217185,0.149936808156682,0.282822598854399,0.168471303470939,0.241595310526483,0.201646076305314,0.113364622593554,0.146465170185256,0.182799056833068,0.147462202201092,0.199722905639549,0.137714031467009
2,0.12766944947218,0.485543973646964,0.211097630332959,0.222915895401958,0.17335205047181,0.150782718603523,0.254484441002217,0.275887287003116,0.171470839160572,0.145067919507035,0.278518862991137,0.12937933833793,0.302896065071839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.281106721195349,0.196458637785604,0.163957928650562,0.163220952980844,0.151593931310668,0.166927215818695,0.168339802466971,0.267510131907269,0.195350287658483,0.276681983066845,0.115713622699357,0.165211403070658,0.161264980419021,0.212390614630126,0.156519859646083,0.169347340350834,0.15313991260359,0.135809303364292,0.224635501932848,0.217376621078556,0.321458752483522,0.183301081036647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.246110753894855,0.148419850236901,0.190386577171061,0.287920494555805,0.158452235929757,0.180462947387462,0.302105421725303,0.215061778660988,0.130844726585832,0.169400610984275,0.246106226458365,0.155525392592378,0.162046261003038,0.264645377569581,0.224985072264967,0.263181399409199,0.249419375683015,0.225697765321706,0.183661422512457,0.210961556597602,0.203614025266616,0.237648847269517,0.174936040703145,0.233527716380029,0.207257962596668,0.184503276143266,0.249595043208027,0.226484176808848,0.173192396628567,0.218346105397899,0.230158268756156,0.207949939848786,0.298311526011003,0.123739598597496,0.222526462467238,0.225978712150429,0.162124463102856,0.274757449910325,0.311251218130333,0.110799198837649,0.225919304819476,0.277034028629041,0.205336223220613,0.162757231062354,0.256990009169789,0.238981826197931,0.319978948084844,0.348994675279712,0.252912777372459,0.176980426955624,0.303335151343237,0.162398188948255,0.17131218576093,0.213641526709,0.209208119165591,0.189713691751094,0.21202813863711,0.286632182342552,0.171968385553611,0.289691918238773,0.194792302299217,0.277563830239404,0.242079138204906,0.215390462001669,0.261066572546831,0.216876012727405,0.253115006680667,0.189608602664206,0.117447052046215,0.158675875686175,0.149278720824791,0.191442415850008,0.182879610036223,0.21100472367727,0.206300403499454,0.209378909334233,0.111876693344736,0.210112256628882,0.25989707509601,0.133786890417313,0.174710923400911,0.22427818953857,0.212937764752784,0.251590672968619,0.203769205569872,0.145364616396812,0.156828643796678,0.301368175109522,0.278395913468942,0.248284925331482,0.157792518530052,0.2051697695165,0.197542849988696,0.140813202015711,0.25323321013976,0.340521297920834,0.308396747877531,0.160077077340109,0.158239429481926,0.185897947933415,0.28393492872977,0.270802033333105,0.137688156358801,0.219840655393529,0.101445512353604,0.241604454784632,0.252444100408684,0.20670113714805,0.110613801565448,0.204969438147626,0.235870518586447,0.230089689829307,0.218923892434239,0.221455979626066,0.303585688499717,0.271107723023107,0.194814089302531,0.184276948270895,0.206794671794362,0.266698821929664,0.233693220535111,0.255477051950571,0.293115858776506,0.176669090195997,0.191735576435359,0.296613694931639,0.325995317396796,0.159414826439755,0.305345389488144,0.158175742275008,0.185541158362457,0.179437483132926,0.210796110993952,0.18528524943748,0.335406698737428,0.129083513142702,0.221339230606928,,,,,,,,,,
5,0.149216053065469,0.180623160662537,0.211013329677316,0.181418295904813,0.156047760681584,0.127468236157862,0.188187003833436,0.217963391940184,0.202332802513034,0.181596264724094,0.165422306591751,0.200313073524317,0.211718567747913,0.156989741711528,0.275857189924904,0.14839103164166,0.215351700018242,0.147960947429064,0.161921116416931,0.262342554813656,0.131932010316346,0.207820114520275,0.246361923680065,0.152660132038726,0.159679120955989,0.166720883831404,0.229093570764825,0.210438937360828,0.109938976135207,0.253010486610273,0.110912690615228,0.574812264703847,0.273544271475826,0.194046316153586,0.265784216640674,0.110253251635873,0.175225964236252,0.239351581048202,0.226433105851916,0.157495934130075,0.22690123370009,0.204313420741372,0.189791249627651,0.351018377587218,0.14804524351846,0.221625657522792,0.227767573651455,0.148065917789188,0.172229412061035,0.149349920315149,0.199118601412774,0.193065338614465,0.202074158212737,0.13429233997471,0.211224170177212,0.141039409139949,0.289032115170446,0.152951064457767,0.187840146391155,0.164476034090188,0.216870687520452,0.350001572925873,0.214162462699436,0.282862072428816,0.192534903820411,0.220545619948548,0.378600742169482,0.237773627338457,0.276633997948865,0.12817533343207,0.153661183106644,0.25182279681302,0.210820937030158,0.178394718907923,0.184105922585339,0.204103192711026,0.24474370197511,0.341578146798797,0.125339608167208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.246104802115244,0.661472096943882,0.258282163173455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.221017752891631,0.161511751132452,0.155880777926212,0.145655534320712,0.141894748744186,0.356302646681955,0.311035252772385,0.140408735912085,0.172924583001373,0.157992433368282,0.156355818790529,0.136488745978461,0.128919930794043,0.172309024894392,0.295122595161988,0.29551497805135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.334477082982527,0.576405615219093,0.655629003730279,0.620805155030901,0.387821032748294,0.308328776462428,0.140692373006893,0.51497261836742,0.208011134187111,0.248896015044766,0.446181008340158,0.483919325790248,0.19175917972962,0.389710260050879,0.519082923648296,0.498073181997494,0.48523014899045,0.355081043163235,0.35698562815745,0.483237093190495,0.505221234450899,0.342770028592395,0.195773930405933,0.435494675632928,0.160119279447632,0.314161750334594,0.25315722466797,0.259060417948047,0.212939395160571,0.370922562101547,0.456911758187258,0.179408049827312,0.331966983866592,0.53295474019968,0.367227311190198,0.208683735358872,0.20571997390056,0.125594287102164,0.200041124203118,0.517019037767235,0.400671356437071,0.470613047107064,0.172612072180694,0.213322330349052,0.321596673505649,0.201374068613811,0.490888866492005,0.387777892253577,0.194705162932936,0.240621297963729,0.299376253214971,0.245540209803378,0.280617358482035,0.294170230767796,0.513318608839838,0.496711983685154,0.340624167678577,0.300321836758166,0.388151501074757,0.353388038320698,0.146609637786913,0.182060689271594,0.376994194835511,0.413815373239884,0.113972158748804,0.195852797693335,0.219530682933589,0.127111086791098,0.200182757163648,0.494270486080342,0.189978825625837,0.537908000505972,0.458562936936955,0.145112725404017,0.395993471459215,0.116035613038474,0.220627490811139,0.339000274339102,0.115068420344331,0.162235022964442,0.169068142022463,0.148279597471023,0.499745748462964,0.27547975599991,0.304024940915471,0.23163124112943,0.440610233932129,0.13942710260685,0.176826747124404,0.23856647957823,0.338457069228051,0.551233809993398,0.146569101636857,0.39689044325859,0.282622337577973,0.151189073814447,0.248204821252642,0.451459035620136,0.244191646829912,0.113174458974201,0.439172278000142,0.178556861260426,0.448238059937637,0.395795403060312,0.133083881398054,0.401741003524566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.213308293230572,0.238259717101734,0.167841848842598,0.262847486816513,0.216140773187283,0.179763900953084,0.148029606475697,0.20521948261119,0.181110371561643,0.245379514766922,0.167828836331803,0.211432457232453,0.20562851784709,0.242578506611788,0.371743342804386,0.374609610766582,0.36043887365926,0.361438621076582,0.188729330506139,0.122640204405671,0.213246721674455,0.151741676041641,0.26996222074766,0.265243485375837,0.248795482891056,0.310600687476171,0.185952281514337,0.110011905723522,0.27389062243903,0.124548569600798,0.251751167456109,0.185379233535782,0.316371073498854,0.268959147294591,0.252917145937336,0.212574889667016,0.197244674338014,0.224024040112222,0.193922994503387,0.318724993087698,0.30772960037205,0.261082969208259,0.262433343247119,0.247117005697714,0.195677072243541,0.318210125609079,0.201961700573337,0.298059037070966,0.279607388240083,0.179092716720493,0.172096079586832,0.300712515174605,0.137428170440772,0.237775479072941,0.241704766155863,0.229349344106661,0.158358879993188,0.163536277422124,0.251872511390726,0.282800098846463,0.193489407050214,0.331082694729852,0.16128450246178,0.286210775643393,0.346999915471883,0.178427908959584,0.244876964466584,0.210758359278643,0.189410918042288,0.225046568346493,0.228567135983826,0.214548546964256,0.337869148413741,0.184303348403252,0.309658789971383,0.203614038731587,0.198473527070614,0.236125446735074,0.345000823178597,0.265494115875841,0.293409278652562,0.193009326531546,0.215704204821183,0.369538994183897,0.266270738375392,0.364406854180185,0.21710241040681,0.2346760288929,0.233349485723298,0.183812604908137,0.307835267546049,0.273459982045034,0.310983095782009,0.233151065672327,0.354008127887681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.405930742342705,0.283810303029638,0.547367089834178,0.45796740207052,0.210046752003904,0.470847970232138,0.164472484054618,0.477311981255468,0.313537766869076,0.322657833470666,0.303807538923718,0.362974636712494,0.213368255316086,0.191083637838534,0.353726828173616,0.350877133197869,0.500656062768431,0.288049371498166,0.25958808165668,0.231246391067154,0.462843057560365,0.539810566430514,0.209338071151953,0.281017856471898,0.316337173617006,0.407727188542748,0.290519583465137,0.359989317983015,0.302137366989291,0.494565238878715,0.43941443723517,0.175064620591138,0.196154059415632,0.420482260095064,0.460139849274015,0.49248718478183,0.426168679575047,0.471601991696093,0.37628421583258,0.499155604150587,0.307539748944394,0.231004327565954,0.174378222497496,0.429314494778653,0.416957550834661,0.245928055626442,0.342308326924582,0.409534441332585,0.264084262008601,0.406970249100693,0.215227142326628,0.542286643550015,0.335309034203119,0.50616178000442,0.438107205198229,0.400732527436616,0.333526808327071,0.247099559488262,0.488197952748189,0.404052911309797,0.524416628482086,0.431073265378182,0.487360133866711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
