Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128
1,0.159244552832163,0.166050106660089,0.128034502020071,0.279046889822941,0.232526446624477,0.16602853688971,0.137453514750581,0.167718165672953,0.356255593610721,0.273917007141386,0.235557699430531,0.182000895189742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.167261005298538,0.176075537496466,0.260789632414203,0.207469886285976,0.266764339959585,0.160206131455444,0.163566574594739,0.185527019115088,0.102451151145784,0.118531850398191,0.15776712931003,0.183692876157613,0.265391037372244,0.164974619229825,0.144727723233956,0.1321121920654,0.201811438051142,0.232340506408834,0.17144524886977,0.1100865912772,0.230881695409296,0.205090260157089,0.18622780317875,0.151172690116576,0.14653843228912,0.231927732198304,0.122148950372851,0.195696377402454,0.149345199319474,0.247347952065289,0.264791043288552,0.208613159895222,0.1634577624556,0.153947561245844,0.15338302279,0.183536515416751,0.182291189308601,0.173137591182669,0.167071731447781,0.19919301340757,0.257643483614752,0.178697559695247,0.174802823049786,0.24856597880104,0.117767743308264,0.134640483450373,0.159871771362124,0.153626622133698,0.254901978218199,0.203597594289853,0.130408576775082,0.327847702094797,0.183212385648018,0.107618352325563,0.149599884569595,0.204784286094378,0.179878558152992,0.175127634862899,0.140058754319798,0.155914442855625,0.140729986740458,0.150317958400793,0.151767701014335,0.117962001761634,0.22303971397277,0.151821590951995,0.130888820515248,0.171072932396307,0.362785176215162,0.192280872798015,0.135783065514842,0.107141753529273,0.216870415779948,0.127792156022807,0.232633339680055,0.270127068064454,0.138448532758448,0.145928128905631,0.120554708817484,0.117470179215012,0.238671979359705,0.195816477678131,0.133911688387463,0.144784628250038,0.133406948123827,0.150735594195223,0.171949994117262,0.215354109811564,0.158105049453758,0.290511108317499,0.150265269812448,0.180341800959707,0.133824794452687,0.129695858716678,0.408981513768805,0.258153094393348,0.199338149262097,0.146601997913337,0.142945322232445,0.160540254591219,0.0953089642202738,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.245522829413532,0.145121385344869,0.174830600560044,0.135262766258538,0.163518060495717,0.142945469141674,0.306653734145651,0.321543974652925,0.265490019107409,0.152992420743824,0.222174492003135,0.310918102964373,0.232364342421596,0.146883714716617,0.175343263945835,0.150579495026648,0.203918278470815,0.370299895083891,0.113299340642063,0.206755919907777,0.138471094534566,0.21982051642451,0.258609126059629,0.22375534249183,0.344063443086728,0.338801465492052,0.219817883606241,0.195748172888202,0.322284901196431,0.171519969557721,0.266158845798544,0.320077485781381,0.234704883113558,0.206711638941616,0.24525448642632,0.18368395030155,0.19668349230496,0.17256792734491,0.274184131648022,0.237693420591815,0.165892792430543,0.147287237613769,0.290198885060593,0.127477488703689,0.126822921310402,0.357894006896574,0.10914414177649,0.388443831959726,0.357143213671567,0.197114056774005,0.157582655718128,0.207800896758541,0.271776884902228,0.226102826237546,0.233854910282872,0.290052078399027,0.107593643554239,0.180309282651586,0.129278330619743,0.204282015838508,0.293348391812824,0.161110524056777,0.175140906587923,0.17693902555206,0.141535855910943,0.226383442247864,0.210844671603355,0.169593764741766,0.163715917068247,0.259972558313147,0.201898614429733,0.326248640380345,0.179357406602571,0.319640635452161,0.22223148977001,0.384914893558215,0.306945161248165,0.198145645710527,0.119718193085316,0.367966292269755,0.287644826064926,0.229339769767368,0.221978938907419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.140176858908863,0.208271913823184,0.21180925104938,0.379019916796526,0.245754577081571,0.191507648477059,0.150449499986089,0.161395617614977,0.182707697770058,0.163160857314148,0.284734191459567,0.141515846403856,0.381377531199729,0.142058938470717,0.290713565602902,0.220934220027105,0.272411897557168,0.328485521513162,0.114213660687528,0.238666733054019,0.259472111656973,0.215119667373706,0.24676133354129,0.255211233122557,0.355717128427077,0.179776398808697,0.217389636084329,0.196061159983485,0.18410549781388,0.232374779089454,0.196930864516726,0.136075964586983,0.282712976390173,0.222279192509805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.134999361695661,0.228326719801076,0.226336157688996,0.18856575148472,0.163344829541319,0.190682786399925,0.145157362578635,0.28416031340972,0.159593930896253,0.222599771594979,0.204042342851519,0.134153693377312,0.216731675191668,0.152145653274231,0.268739911760012,0.230239891533913,0.128546195098697,0.176272350035112,0.185156678391181,0.225918159378069,0.0867890763584623,0.151748983768327,0.0890461565515456,0.261617866075385,0.164210327986317,0.136492152285039,0.143184328830795,0.224127172105517,0.221802444176069,0.192893683116252,0.136547592933469,0.221549643544451,0.202375769745229,0.119376680157279,0.156476380503124,0.224714478316732,0.220230164877977,0.213081969233341,0.302438741892538,0.14776277940966,0.222328311710797,0.177280323776937,0.164507600187743,0.131041561566824,0.123713185971469,0.136152051898465,0.162561751008481,0.129929092400598,0.139719573122932,0.233958281268016,0.211489129969333,0.103893223509807,0.14941379379356,0.216087755079893,0.215594705808566,0.173901490490896,0.202839063703084,0.225850767382037,0.119798037385724,0.152465751486154,0.293918766428101,0.231414863113123,0.1095505558762,0.196492937262258,0.124786432315589,0.201127568394152,0.150205103661578,0.158251613211335,0.156036019276619,0.198440979589354,0.168249543997567,0.117637048303281,0.165704281564355,0.273716087192015,0.118685489408241,0.166688922804862,0.200648627657967,0.249348082548522,0.170828724424094,0.13120887166258,0.169276326288493,0.187512635174432,0.137933738867799,0.217294097462899,0.206013856421022,0.19218736008398,0.193921289556126,0.270790563983632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0839733027180854,0.193424245333674,0.246474089361247,0.104725074488305,0.138249539678268,0.124014814082204,0.135106219724816,0.173088680769049,0.224160837892343,0.158384682998748,0.177471559498229,0.163104245704001,0.141413847266311,0.199642511151068,0.130232535410494,0.217563905984371,0.237777763451294,0.109605886314023,0.15974095577634,0.137797645388713,0.26689929449853,0.164008218049596,0.105622500150237,0.109454076557274,0.248664892225275,0.17444752329996,0.189042150583487,0.108639531225826,0.217021886643223,0.0959010963975596,0.251048687123092,0.224990863728429,0.134448437468467,0.20785715711527,0.207088366571809,0.216259789073268,0.25770362866923,0.167437549553209,0.170180598109721,0.192627078600721,0.166447308690896,0.1590685334213,0.117696795884619,0.156168974019898,0.222452366148543,0.133815808797458,0.137597545533395,0.175421036677734,0.221195377027049,0.367055621488269,0.128262608906798,0.24397791578113,0.234507447562981,0.13767441718947,0.144759551252033,0.196560920611804,0.0998787063754457,0.142750249272037,0.236892023970582,0.263177430383286,0.129842947629622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.188253347081505,0.28713261098112,0.152606359694598,0.110702098785622,0.39754169743613,0.161016324952452,0.253072373593661,0.127205822057569,0.283000804450717,0.330436328605483,0.237217517937411,0.316277944438145,0.265480460387642,0.214512575156496,0.245670386530466,0.1568011448943,0.221255251467479,0.136163689455869,0.169323450082583,0.205668124932935,0.178346947117118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.619536129107611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.271038341502542,0.335454883462108,0.124288120939813,0.294135432418623,0.336594399608801,0.191544280462912,0.215750559800422,0.205241405816456,0.227824590149546,0.196270166016389,0.351203549462088,0.127634067008098,0.189825200614313,0.263656278967277,0.2893381169202,0.331517104354355,0.126292541963661,0.210930865458311,0.186004904842744,0.118983058091875,0.131181012185479,0.234384039971583,0.147757463902261,0.189946710078648,0.166684370164463,0.2827938244384,0.127832146935261,0.181567395185146,0.339009070992496,0.155356053856025,0.294692703921587,0.125835181969838,0.160737245549618,0.202141431097426,0.221844547732169,0.286585486436195,0.173514444311739,0.176561537784281,0.184192633346301,0.246637535584311,0.218061885035456,0.333660328213426,0.142244963576491,0.138307839835474,0.309110799776283,0.244655507381555,0.207083436388385,0.217562056972581,0.243486840120749,0.167904559429746,0.288956634342203,0.270002769361761,0.286710929004259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.160145160703453,0.169383139026328,0.145918437909936,0.23429147953834,0.178961003048181,0.161495471785552,0.101261927541938,0.14501136246218,0.142204439070938,0.180674887420443,0.108650008717276,0.183709310888498,0.193723931194007,0.210340001679989,0.174199482354422,0.108098572556072,0.183843497488645,0.14344111763868,0.151853718905193,0.257822387376041,0.177088861614626,0.199353190534647,0.123123044764598,0.139947928515561,0.112026021122845,0.154841652872256,0.162794114575129,0.17549644193097,0.203302566038062,0.0989484129452503,0.216429982883349,0.174219973063162,0.139357491261886,0.0946981011244576,0.14682894655591,0.159313113115085,0.229187431216854,0.209403641760359,0.147889228626194,0.144129450510772,0.166879832407774,0.213520388321827,0.163559467141915,0.154389355010676,0.155073895713227,0.220808079274613,0.234488536373373,0.166088995189702,0.130845712900368,0.103994018168049,0.181681187328671,0.120583020351211,0.182502598761078,0.145126480104237,0.165720616401943,0.248898161401489,0.175081446715148,0.11946108657945,0.214437978443968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
