Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132
1,0.25009077452791,0.158387863108215,0.171303498679719,0.11636716254922,0.130316727929718,0.239917026802752,0.150305273736629,0.108134437160433,0.226158452633442,0.0839232299319793,0.189202617221874,0.172036573890628,0.0467506735660205,0.09982181697388,0.158379544316506,0.230811190778433,0.178524768706848,0.182422979712057,0.144134211555217,0.13204789062366,0.164999270966578,0.172035132915617,0.249236648060339,0.224436617115162,0.135882134723942,0.152674606476181,0.142107373505527,0.147535746601707,0.145909824000505,0.27327429235915,0.234958007093179,0.132054773129252,0.15288657105196,0.195046241357072,0.186339093805172,0.170810023478849,0.160929796065952,0.185072731722441,0.137333117680148,0.248763813531679,0.15640153340028,0.233724252329902,0.121959134638402,0.154384494351664,0.0992053761146684,0.181402932065333,0.128752022212971,0.183020019346471,0.240674717804806,0.173640974550417,0.131791083705049,0.20930273518231,0.103126699582153,0.17256815693117,0.202787028916281,0.139963061267171,0.151602288973233,0.129482275508488,0.235212409419602,0.114049062756502,0.226190486787788,0.11547963019287,0.108676470529258,0.211316334102542,0.175821211707649,0.200309902803715,0.14993982805761,0.1743103383509,0.130044463702318,0.162933068275625,0.233352682183592,0.244845558143719,0.171164044669243,0.144683590904906,0.136432828065593,0.208853984142183,0.138360105463269,0.190060115458986,0.167073406566774,0.211861787373045,0.17193174783005,0.168029487382259,0.118016956276305,0.106522248193794,0.210270993608465,0.124036848469806,0.12903270388848,0.238496133472834,0.178139308794378,0.179047159342148,0.185707691520643,0.133140115847872,0.236779573164084,0.121455532881132,0.136120202752136,0.138916620332187,0.235894551803741,0.170576964237995,0.140066192216566,0.189502365579469,0.105543500362632,0.166071663442276,0.108056131215352,0.23824949735192,0.123348726774449,0.135451865725219,0.179179741523609,0.147881215665159,0.243051093293368,0.163277063877301,0.170799159800042,0.130858147354993,0.0980582497061356,0.195294320516995,0.139096456747746,0.166409999262158,0.107815509700536,0.116224584842812,0.169273556108723,0.234372848492273,,,,,,,,,,,,
2,0.217155033200379,0.161312584705826,0.183278556326111,0.139137326151441,0.187083896891663,0.217975118951816,0.086136498283135,0.246419578554587,0.173945679735985,0.197663040869056,0.174804828559275,0.13643329486592,0.144724232034446,0.172448161665532,0.126552711854,0.102831747397985,0.182875738312199,0.201000303980901,0.103329477493885,0.11586740817992,0.242736070841646,0.17202145520051,0.235430351912656,0.134509125552286,0.166532599165451,0.217708114771478,0.129174843065373,0.153630439101024,0.249392264858886,0.122782719267916,0.113646988727141,0.211052889320342,0.180720633755416,0.216602122189556,0.18022651033042,0.0862837712913013,0.152389112930031,0.117788097948442,0.1135014574646,0.16418802870316,0.147065073377449,0.175878105922023,0.160583603793913,0.139448817136913,0.177818060268611,0.166114539206692,0.135036144422469,0.142342722139472,0.135302584183055,0.200410477517177,0.350744093867232,0.162139802702898,0.192227160310949,0.297124901867327,0.162632958602571,0.0837003142527949,0.126820760112192,0.0873770155439023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.11840704055921,0.101936670696925,0.176549813043007,0.157013283083178,0.139248405114166,0.0846459491424144,0.185308217819608,0.115525905085907,0.120795521131235,0.168259278958418,0.172668136941521,0.133162390467049,0.130378174890308,0.14854830044345,0.183441616610538,0.168739604213851,0.156399995428024,0.172118328560915,0.186632809570132,0.0896643869631573,0.135282375958541,0.133823143043279,0.113118324722341,0.17565676162967,0.213450984101318,0.157069251350058,0.181657283740822,0.188287840184364,0.100975152183332,0.129733964418113,0.18468412025139,0.176821399929602,0.218989626367192,0.124924481352952,0.0996314616836357,0.11161252593374,0.156311027539144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.178851203226629,0.164740305046071,0.1529368589609,0.149174053457125,0.214886614341769,0.1588080932038,0.136102050044376,0.305546219007064,0.166229865909562,0.145977422125257,0.127519381350113,0.13767064096257,0.173131080790624,0.174967897198906,0.12218774232959,0.159014787332472,0.133864772535358,0.0886890140492058,0.204586900904863,0.162031748258463,0.145153083509271,0.161198091995276,0.105790488508697,0.102425073577009,0.113858190931077,0.12195171225406,0.139331227918742,0.134922505368064,0.182155429729191,0.108661272614076,0.163250495063383,0.208625641013297,0.112043845618122,0.153734403744457,0.163054618797632,0.198481955352564,0.0949936429547761,0.182700301566933,0.238267223258803,0.228134745727713,0.271995854337947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.161846073921772,0.153974696792247,0.181109061013765,0.16694216621708,0.187730279153056,0.162394838130416,0.20384842108849,0.167020401466469,0.186365117019124,0.0888870381755524,0.0901577762691814,0.139981098949683,0.17234028718429,0.165938596115228,0.148311664846895,0.162794139152288,0.116038416121722,0.0960588496462195,0.155418623251561,0.147135366802415,0.142690498189585,0.094268194844228,0.127592781896585,0.0863853239077336,0.116404628827824,0.148512228592117,0.14818205836459,0.143506974027139,0.110002817708647,0.123609637606636,0.119944065559448,0.140924323993298,0.104208373014368,0.0976660014386096,0.120933097477679,0.1117184304832,0.148247755679327,0.12292380990585,0.116011591644385,0.151625578885989,0.115565471000452,0.234014920754973,0.179865515214975,0.129288188484559,0.137604026588539,0.0973541931994242,0.140429327566326,0.329477158018929,0.238075244910502,0.158293191719956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.253410852946766,0.249519023087861,0.135410047274867,0.117787630611747,0.172046480783468,0.0677497544942545,0.125530955157431,0.236535375599801,0.176416657754275,0.126628158603188,0.182443798915838,0.14847738509457,0.173042707415711,0.133523040246913,0.191258795105471,0.16725044483587,0.188983196765435,0.14332613345464,0.135122507586508,0.217805683323697,0.152263015096997,0.222142860505349,0.134878056364742,0.1984608778046,0.195870675421368,0.181343766641863,0.137758118724105,0.109488508253528,0.25623617528709,0.143890822857098,0.217285820277017,0.262824499315192,0.141901014969725,0.258727678506836,0.127170837435696,0.193915568561829,0.132820026987387,0.192902956625286,0.197771770157821,0.15638226172072,0.115697175434423,0.268155561680095,0.117296655276504,0.199274810602928,0.197784220487627,0.173434465109358,0.123450027576927,0.124766591377045,0.151423808621987,0.134054884677568,0.121210786080966,0.159402670615617,0.184464943306829,0.0832004644486694,0.133419586166991,0.125285230159183,0.155801098884157,0.16418058013993,0.225337174267261,0.129154396071573,0.159728104118547,0.169510145066246,0.242169031835017,0.21415614256501,0.193355808257983,0.154284067375825,0.136177078611712,0.140661802638331,0.142284953470561,0.137228681945386,0.208151159531277,0.202545762239441,0.187376066805237,0.152444015851699,0.106211306658516,0.0853838503084452,0.151324349280139,0.167628300739577,0.195385592099998,0.2409287926066,0.160730991331702,0.154768389937834,0.252812350296612,0.216114225617001,0.169057399291247,0.130361497455473,0.149888978320997,0.137218776523441,0.165605256901523,0.151403352235423,0.262580177462574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.115526162987201,0.124652834061372,0.243082404448732,0.142154529107067,0.13308546490113,0.130891813591197,0.143768999486385,0.177575893527563,0.121713512315944,0.160666506084785,0.183636322397046,0.123966542656368,0.211867170638459,0.0848814752029317,0.142644788427477,0.195997198958904,0.15779361160314,0.160760221541815,0.11291350058913,0.191205925656539,0.143798652213053,0.140086610741302,0.151833832897001,0.200413923060768,0.110008716352748,0.12487215612052,0.151953630696764,0.155104933118949,0.104068212143067,0.149692637245857,0.183437245231131,0.118253422595102,0.194661905814513,0.234206982501895,0.170982349831858,0.140093402677573,0.128133808538782,0.215487039728082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.22216356796948,0.267498190589844,0.194925949230284,0.138692356883993,0.166382531674772,0.144342654138885,0.160451219543581,0.180642425213784,0.190349860170096,0.136112439189073,0.18608587446692,0.152200864869679,0.12653536809847,0.0957020924198609,0.125748985663066,0.0997799875274019,0.193770652022429,0.181630558764932,0.11167256966806,0.131781254408175,0.168104778686037,0.121226771538689,0.155463867605214,0.197550696975923,0.194016354628485,0.309343192200897,0.286149357309005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.31364692738158,0.277610371078033,0.249227639817787,0.26502147552842,0.150684709470084,0.24182506189845,0.278244345799022,0.133597775146211,0.223661915927986,0.229644692058842,0.287029834364473,0.324892690212776,0.127564311415475,0.167586412985615,0.236529102415402,0.186106504158116,0.284650488319804,0.301295431290752,0.283441494463526,0.189712351653167,0.148899932175703,0.218522069834198,0.203026544085564,0.163885776101198,0.26098310696135,0.312827123290286,0.102396020813217,0.143010293237069,0.220933638478988,0.224110190360188,0.158070935307046,0.113852573049942,0.245043609735834,0.178791249889263,0.242597625251663,0.129068968719707,0.235415884808531,0.19739357009077,0.234848157287222,0.114613424525128,0.0989936957203321,0.315404505324066,0.0825914111997209,0.615596511323705,0.195435396931103,0.225496792839844,0.132858795671048,0.147272411390551,0.170802553317719,0.150956909155747,0.184478178840485,0.186521431694077,0.15326094369785,0.233345236683241,0.17019632064295,0.128004889409199,0.18292072843078,0.102241791042682,0.21760559530594,0.273650069111824,0.213094724799552,0.115728242856765,0.247344184872288,0.120945129192892,0.159731498447338,0.247137567894629,0.136135662668145,0.211398739969655,0.147170899167951,0.222827313312024,0.142745141466724,0.317929886313607,0.292209189732586,0.152069538515171,0.0885483584763224,0.17832353227001,0.180481818675959,0.216781655554933,0.206588122994486,0.177840071804775,0.209936666463432,0.179513661377467,0.174936386560998,0.125769089893208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.154922154306955,0.207478378912925,0.153294509130335,0.118126596648182,0.150688107006075,0.13347288592791,0.276702380505926,0.278618388225887,0.122058554364901,0.114945781263547,0.251127701627273,0.163850887756453,0.178294782192622,0.107755520644478,0.105533841610485,0.233283578457551,0.177485010241147,0.216329949549274,0.177522226228008,0.141888139051848,0.149494023077225,0.133906227220657,0.191452530033323,0.128155775791149,0.124317829792036,0.156697114422184,0.110235700349287,0.114250298898859,0.124454325869657,0.222858244454625,0.139086784197478,0.156368115196071,0.127023589645028,0.154599428287764,0.152446506392394,0.239714234206415,0.157660321641353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
