"Topic","1"," "," "
"0.32317","25","Akhtar-2020-Blockchain based auditable access",""
"0.25962","965","Tang-2020-Cooperative Mining in Blockchain Net",""
"0.23258","487","Jeyasheela Rakk-2022-Comprehensive overview on",""
"0.21377","436","Hu-2020-A Correlated Equilibrium based Transac",""
"0.21122","415","He-2018-Toward Privacy-Assured Health Insuranc",""
"0.20462","479","Jafargholi-2017-Be adaptive, avoid overcommitt",""
"0.20176","988","Toyoda-2019-Mechanism Design for An Incentive-",""
"0.19951","1230","Zhu-2019-An Incentive Mechanism Using Shapley",""
"0.19327","261","Ding-2022-Pricing and Budget Allocation for Io",""
"0.19211","469","Huo-2022-Evolutionary Game Analysis of Standar",""
"-","-","-","-"
"Topic","2"," "," "
"0.218","579","Kumar-2022-Evolving Role of Sustainable Procur",""
"0.20051","762","Nguyen-2022-BlockRoam_ Blockchain-Based Roamin",""
"0.17864","338","Gambs-2015-The crypto-democracy and the trustw",""
"0.17004","1113","Xu-2021-Edge Computing Resource Allocation for",""
"0.16186","749","Nabeeh-2022-Evaluation of Production of Digita",""
"0.15934","866","Sai-2019-Disincentivizing double spend attacks",""
"0.15723","103","Bezerra-2022-Teaching software processes from",""
"0.15674","234","Cu-2021-Blockchain-Based Governance in Fractio",""
"0.15509","131","Bracciali-2021-Decentralization in open quorum",""
"0.15386","149","Cai-2019-Demo Abstract_ An Interoperable Avata",""
"-","-","-","-"
"Topic","3"," "," "
"0.3073","224","Choi-2019-Game theoretical approach of blockch",""
"0.27683","539","Khalid-2021-A Secure Trust Method for Multi-Ag",""
"0.24929","223","Chhatrapati-2022-A Performance Evaluation of P",""
"0.24057","1060","Weng-2021-FedServing_ A federated prediction s",""
"0.23619","553","Kim-2021-Enhanced IoV security network by usin",""
"0.23108","86","Bartoletti-2022-A THEORY OF AUTOMATED MARKET M",""
"0.22583","126","Bordel-2022-Distributed Trust and Reputation S",""
"0.19832","1231","Zhu-2020-An Improved Proof-of-Trust Consensus",""
"0.19363","1182","Zhang-2021-Cooperation Mechanism in Blockchain",""
"0.19088","85","Bartoletti-2021-A Theory of Automated Market M",""
"-","-","-","-"
"Topic","4"," "," "
"0.60043","448","Hua-2023-Blockchain Enabled Decentralized Loca",""
"0.5583","39","Amir Latif-2019-Blockchain Transforms the Reta",""
"0.53851","1197","Zhao-2019-Y-DWMS_ A digital watermark manageme",""
"0.53851","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.53455","583","Kırlar-2018-A game-theoretical and cryptograph",""
"0.49852","1022","Wang-2019-Rhythm dungeon_ A blockchain-based m",""
"0.4773","1043","Wang-2022-SDoS_ Selfish Mining-Based Denial-of",""
"0.45915","51","Armani-2019-Seamless Grid_ An off-chain model",""
"0.34021","1099","Xiong-2020-Cloud_Edge Computing Service Manage",""
"0.29349","675","Liu-2022-An Incentive Mechanism for Sustainabl",""
"-","-","-","-"
"Topic","5"," "," "
