Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232
1,0.226697040703959,0.161156721645387,0.212379950882221,0.270015638955198,0.257722233217625,0.17297466364411,0.284273705785617,0.146692223008209,0.270803821196962,0.183758452769821,0.157828513888572,0.265729541098804,0.176991889339678,0.198752978235969,0.16720472570228,0.21309371667642,0.206097499942907,0.191506848913615,0.273788604877664,0.171646897534684,0.172582612195286,0.212673868491262,0.202313912709697,0.172330414846734,0.253183685793663,0.332219514365572,0.21420149349071,0.182244060854747,0.200290262099972,0.244717306026745,0.194969919292384,0.186128181102837,0.180599347801191,0.148856389425692,0.312691901391858,0.155838274721523,0.19705755443886,0.187803759528783,0.334395954210744,0.309162878435533,0.146827954494425,0.128923482648604,0.190521881643665,0.150097090330804,0.166609464238557,0.316920897509969,0.200568065005779,0.155767531431357,0.253198036697538,0.219529024245485,0.200123839051127,0.27742888985524,0.181349012011173,0.317433204760495,0.219984350241789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.397199834014935,0.275801034882844,0.325873647766912,0.21935183535069,0.267266573739118,0.200986040677747,0.252456930702561,0.192853634157086,0.244789591382376,0.216136301782885,0.251504249340107,0.246492244172373,0.241841468536856,0.397293197504397,0.188005664960791,0.351380184412266,0.235182459742115,0.320798035411178,0.20677575034329,0.216028026006523,0.298036171625683,0.26934565398586,0.28004962195669,0.300349075676501,0.13996756915225,0.228190039505283,0.299129113489605,0.332055331096298,0.303059562911126,0.393092638523424,0.2765745605546,0.19343200230351,0.210157005690103,0.408153304092467,0.18139149861552,0.176317010315177,0.16227058476602,0.129390247915491,0.317241487585339,0.309894979443642,0.412164706808269,0.342337739657469,0.295536518981779,0.370602798273574,0.242915166965303,0.33242173112028,0.313228882128585,0.277594685506318,0.340418971757284,0.325398034650302,0.297271371791304,0.325639383923918,0.523369640784197,0.315929848685297,0.21708033559233,0.305270729036731,0.320081695182103,0.278887957704248,0.27928418536284,0.249796496711152,0.292480048752308,0.248920834938341,0.261554072636646,0.352115148722447,0.246513151954555,0.233034881727998,0.521286088507871,0.267595741743794,0.274492772298519,0.257882636883046,0.217705652082512,0.334635007241188,0.213205080745884,0.286786353906128,0.291242678341567,0.241271946854724,0.233168785469033,0.295207621916942,0.313409335617022,0.261589050028487,0.212080200679788,0.409624645031902,0.37861810320861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.326711452856061,0.242900728370217,0.242558103908494,0.291588838211815,0.156950355885013,0.259073367664951,0.231370352819139,0.212993345078543,0.168586501124857,0.254668496648629,0.285804079282982,0.273926124420081,0.193023472740953,0.289557189573947,0.119288684123087,0.281275432413531,0.142492114476217,0.194675873191535,0.283041207974052,0.282986857000217,0.221103612983856,0.234640487401271,0.243857641954665,0.322650485065287,0.281994204218344,0.331137128645283,0.266653988407441,0.261901084136651,0.236694832554238,0.314742255540863,0.22885115344801,0.256932895116243,0.287972867412747,0.204412580180398,0.415918706670002,0.177292044112606,0.150556026612645,0.313050008513123,0.136859262131272,0.171006330009431,0.341124866624966,0.350045657649673,0.334866681576082,0.34330026762521,0.201311037940654,0.187474312971309,0.190716786009891,0.313489996355866,0.250441592539627,0.230601331267436,0.17128372847668,0.35923834234693,0.221049051449977,0.256544080607949,0.143096161911853,0.224208939645513,0.189109210631956,0.381151656371737,0.346972994224275,0.209381741622807,0.236530343841517,0.344558798248951,0.205551552115779,0.301775735659152,0.172297069236972,0.205423849207301,0.153102726243155,0.168699180439354,0.397827218709434,0.26983752818344,0.159358065190145,0.166354566214853,0.339345485731353,0.266442509061093,0.201916027510092,0.173897525364894,0.25980023391786,0.227301044794136,0.275086842579073,0.171995215449021,0.186385828665622,0.314917768647236,0.364188834812552,0.194250332900584,0.327812872620746,0.230023683972143,0.306412803355711,0.183161089419849,0.201778153410562,0.260612668686742,0.212525883890042,0.35039144009436,0.30144335016851,0.379471081478428,0.314079987977278,0.273728931593597,0.229657638339288,0.310863709104725,0.247628577727507,0.287669196585209,0.303160087815415,0.224041614620308,0.216465744241351,0.162832011074885,0.357430634630275,0.38011727072281,0.202739284647401,0.246264661293594,0.271031757184471,0.173128696576485,0.223141898063865,0.185623740295675,0.286368081157612,0.210028970042637,0.320379326001482,0.196317854084194,0.34681473498151,0.352394711896738,0.159268923556947,0.315000931980155,0.29243288283784,0.336966224699385,0.318813074707982,0.24930429784448,0.247074332471039,0.452487619361868,0.40884982519507,0.395682838875123,0.328672124116642,0.350233155295384,0.206451343107196,0.25481833005811,0.171670193297031,0.185774515501765,0.188526198141118,0.166003583647044,0.320658675898655,0.170631955122416,0.202249399837137,0.209750207572431,0.317837093061502,0.335298173810405,0.259321608072678,0.206307444948402,0.256820626184949,0.250880253089618,0.298887784088054,0.242692550497021,0.308385177313902,0.200196243087331,0.520462616554702,0.278435402460752,0.311824440215382,0.18754691224636,0.227406391353188,0.223053111493694,0.277840214184927,0.148210745945114,0.189228369104914,0.197272352227541,0.240453994031576,0.396214902152324,0.232396359402891,0.373006393236872,0.22108160814563,0.169610965031634,0.217730362536892,0.231897430010743,0.190800246382067,0.236578013702483,0.28778338090886,0.29913763471118,0.315773316315144,0.199032248071503,0.1498159109859,0.246533740481194,0.361265805448486,0.2665918954343,0.281121616029725,0.279297983832857,0.298270212271224,0.323742641312823,0.368383164878096,0.258902405237096,0.236562107381707,0.423838926502149,0.21452953101643,0.181032827046431,0.266621243199939,0.427704317790491,0.254187186575669,0.296582945810312,0.323041553813167,0.187951766644862,0.306475699665001,0.297571886319032,0.346501911491343,0.216306222867748,0.299855154958875,0.334048541622685,0.219931840824556,0.305392747325468,0.238488454910335,0.248357394266301,0.22648624448634,0.330145179571763,0.172869937452602,0.255573646964512,0.382191233035865,0.277811049498703,0.336194668614994,,,,,,,,,,,,,,,,,,,,,
4,0.299579305099858,0.649908018807354,0.686272257016355,0.628464875340821,0.378477863310877,0.431417406216751,0.205461466869835,0.431983307027187,0.226316436605372,0.222747100424195,0.413452384893393,0.507403412202252,0.48465752189636,0.186434243217261,0.395428615452758,0.484604984040479,0.261942792620626,0.38158668616122,0.352626911479531,0.451814986209703,0.457414239033709,0.52358574827637,0.527308758714655,0.361663669573905,0.28820785264808,0.42870356722865,0.326088719095121,0.266700276318248,0.297168740697503,0.264866530467284,0.409924464736215,0.526183873074702,0.210412508300964,0.345558956862096,0.574640111227061,0.299583516857809,0.202713799416558,0.262915429294707,0.143535168012181,0.26205037207597,0.558284266976843,0.469754356439548,0.177608410381985,0.464707040424238,0.222527232271777,0.268827912196474,0.318215736525584,0.229395560870361,0.427026475384802,0.200080466111292,0.459238014442667,0.230249952456065,0.283809625292216,0.178014246329718,0.130111381400209,0.349758104551645,0.265372743890413,0.298179557473142,0.538851707807269,0.535697140611532,0.482795729395741,0.203845943510335,0.356137180938668,0.364547487957887,0.309396751165184,0.211467817801675,0.185879774245641,0.402333018768284,0.459136024262378,0.191457684090425,0.265476146322909,0.132572686517386,0.286607133202851,0.559912789354281,0.539746521541675,0.516431270902127,0.225055969258389,0.438347788058951,0.165787632572359,0.295783936444364,0.302863365891836,0.22220208987692,0.209484372025829,0.476387951767797,0.322633549869414,0.338489532532251,0.176022635606759,0.287208380418085,0.506429599377319,0.198371186968806,0.240709434057032,0.261354532347411,0.325622486897407,0.554728232661679,0.254907417263008,0.371594419948732,0.284520014471543,0.164656403650677,0.30168869528949,0.447851055229604,0.165324212389107,0.294728225407012,0.466289814074625,0.211697668049436,0.513338889986088,0.56854190938795,0.396552358900935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.687387450896081,0.300392006197904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.3230073544233,0.407989775881009,0.192923463340278,0.240425514411735,0.361262763979003,0.191910504616337,0.237102169378828,0.131313851526201,0.386507792970976,0.196754688537225,0.224539265297826,0.385206975025218,0.428528610434593,0.386005257356981,0.287631403791974,0.343228005253203,0.447315023485121,0.29322904734787,0.286980185281943,0.279404579703325,0.28379758459408,0.296161219336232,0.374942367445224,0.157630995981947,0.196914494270561,0.296488185254225,0.285298665418954,0.298098413234985,0.403515433229502,0.328100346533006,0.431308584780538,0.414498403464016,0.231553097229307,0.319933551082674,0.23417918210045,0.446313340733926,0.162869911341801,0.275374723229462,0.239440894160454,0.317551231125071,0.432860023864185,0.409882433717438,0.372979875475811,0.240613741387189,0.220197489776647,0.328005004837371,0.290357709573362,0.231164764463512,0.193515977441065,0.344973400719836,0.415406514429666,0.231453468903291,0.348122846214696,0.386042818521293,0.336036374410045,0.240190961994859,0.242802766044455,0.198863811462936,0.292286789954233,0.398889683306125,0.452111493743478,0.200108074038975,0.234691675496376,0.477231180549486,0.181443408247707,0.464377106177835,0.416944582262019,0.29176028136083,0.351865366748317,0.156402997436696,0.282114049526164,0.407334461059121,0.352539055122408,0.224874109969807,0.179376394742287,0.152801322506267,0.171468652352863,0.33748624448044,0.402411118027106,0.206673801476594,0.259641173587213,0.179685205951915,0.193721964784823,0.185070817420323,0.287567016292714,0.213492417665108,0.259572524470265,0.228034458989869,0.343189688796667,0.219942553026793,0.322533611792084,0.238508098994125,0.185850865175434,0.255697246284359,0.396402172022526,0.214436688017522,0.133258581484175,0.172251513521077,0.304957726420393,0.382484024462112,0.309858736622533,0.247122172488048,0.205635976119591,0.292222418512749,0.324317429663868,0.250824554134164,0.489455857402418,0.225190286015725,0.29186260028195,0.275793060532493,0.326429575299412,0.407931719171069,0.313663878118641,0.462534333098356,0.415474795938717,0.391061029146096,0.18254718706653,0.501510633810605,0.212026159297656,0.438914298195751,0.36519057926897,0.375024549493154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.222809081667716,0.151687860974286,0.213595945203677,0.159874345688152,0.251115397931623,0.226688374200931,0.298206210533612,0.184989664983754,0.247993996741327,0.165714575476496,0.194381378976982,0.20495146137061,0.185769778404862,0.187072071942768,0.299170605277789,0.277964371018382,0.237144319129234,0.167812655420211,0.272314370643837,0.133851229429325,0.182163697120789,0.179605626425701,0.222298289361249,0.188464637576695,0.22177425169294,0.198404683629773,0.175361505658427,0.159579030214604,0.206189711270806,0.214808401125723,0.249737959137715,0.338171204516368,0.241842336097191,0.217584364384789,0.201632189168962,0.281903617764742,0.173926951685984,0.165971930644884,0.256845604475525,0.168752445395371,0.216190902440535,0.25620059239666,0.357645309329486,0.153075562160794,0.195062929143066,0.237690502698942,0.181104247225003,0.220788130769368,0.175829493799022,0.235559021065829,0.219923229250659,0.21225891374077,0.180080756606527,0.238632928331501,0.185118402731753,0.322417037441034,0.332839521451232,0.20089772915676,0.19113194516179,0.170654595866173,0.176368048449575,0.199948870780664,0.144999625590446,0.261988801651184,0.153156119566073,0.153034529250132,0.241243335635754,0.228642248954484,0.273693694322482,0.178881264747072,0.30724757139964,0.223977075197888,0.259559376128794,0.208062549818927,0.267491557257222,0.229661993683256,0.251042969566438,0.23305122777888,0.24722879575244,0.273026841115283,0.187724209856323,0.254339087627168,0.187103924252905,0.27043984000882,0.193515472327509,0.229566783497886,0.185232571001104,0.153351535663186,0.345880706033048,0.168987904364486,0.159851680775114,0.253449996059145,0.203075499224303,0.230671254096962,0.186853996119356,0.290457816312611,0.223204513150743,0.184377508712748,0.206652998331258,0.170846684936052,0.251649206431842,0.22826519286871,0.289915572095357,0.266613118398953,0.162421615098127,0.260567367297893,0.204271299052816,0.204454334203477,0.23037310710669,0.172501239628251,0.156504966943019,0.244352350933422,0.170329283901439,0.160320374361131,0.233485369653991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.18120472031729,0.214585085247227,0.169472327337281,0.17762204972681,0.155395051978668,0.21501912327965,0.165994121768135,0.134680325106984,0.186625146983135,0.329841286539398,0.179406467371562,0.151274322518787,0.164396743805552,0.40233848379973,0.245256715542508,0.280322698221812,0.251302363623521,0.297446407715569,0.245760652844651,0.276276561430642,0.277528633905232,0.221896502796277,0.286271479692496,0.283054883315739,0.18578237646587,0.128278870181472,0.194691646416685,0.146251614898329,0.241725869612554,0.184328189963703,0.276932569858719,0.208148273532223,0.17218195088945,0.205480658379928,0.287071643323336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.187832733549151,0.24605926201612,0.217369833432131,0.161070625995005,0.157734653629486,0.19011046231782,0.321641368658397,0.323236747506717,0.258163543957976,0.225133666644569,0.203734368130008,0.20057697195216,0.184294094069096,0.279204027347886,0.135786978469431,0.143992216540203,0.213249519787783,0.170776434585317,0.341775767561571,0.19151438541006,0.260719968061872,0.171722165802632,0.272994900734905,0.337067058900538,0.271334696263122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.279056600393314,0.256592947706905,0.392138459623626,0.125549448667133,0.187470807537999,0.103580708838147,0.162867846569518,0.218278778374468,0.301756411734324,0.184012349788613,0.324121804522958,0.265583072559853,0.193771761699042,0.203035848291619,0.243218791674598,0.171205069256781,0.331105105222796,0.281929794104515,0.234920796591114,0.555567446621115,0.208168733453808,0.27633329138875,0.428032895507717,0.190519352545767,0.241095699839485,0.380788887116044,0.268668913086988,0.253974432663581,0.202914080647465,0.205000735857571,0.281875828270041,0.22961512475768,0.171252996692868,0.19824888468083,0.247118166043691,0.275829433197875,0.231141215940752,0.155939672121168,0.20450152046684,0.384298866727818,0.197915243575072,0.236016319759493,0.182880111402479,0.233613027942552,0.18100408021775,0.215521261899595,0.315082636192383,0.176050484049115,0.210372480389655,0.267353911183838,0.183916503993437,0.329132302301748,0.170802964674825,0.183501772346531,0.237767147645445,0.248839387593347,0.151561839788481,0.166627257149049,0.179551786374678,0.140481969400037,0.204749156328588,0.240010306602851,0.172107822759305,0.181932625186594,0.219898750346079,0.206837136716198,0.391373459830599,0.410161547608533,0.196840285895346,0.189121804524773,0.20299062819409,0.231546065821837,0.222609705405895,0.235642436540844,0.136985635303743,0.225044967171634,0.239768573060789,0.234924615577227,0.221589523260345,0.196813537097954,0.25497408433375,0.200876819728604,0.146666434479697,0.207935368421644,0.248378038028728,0.258481783229794,0.221422724221826,0.137285168747628,0.205745079820003,0.249277699022235,0.115762354486065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
