Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271,Probability_272,Probability_273,Probability_274,Probability_275,Probability_276,Probability_277,Probability_278,Probability_279,Probability_280,Probability_281,Probability_282,Probability_283,Probability_284,Probability_285,Probability_286,Probability_287,Probability_288,Probability_289,Probability_290,Probability_291,Probability_292,Probability_293,Probability_294
1,0.723552953095171,0.482729399633408,0.366182491378566,0.59634379052501,0.602307443845406,0.516595470057214,0.561089676581579,0.257418064247279,0.874375503290737,0.505990025351582,0.533357586934322,0.498495432218953,0.849478921893946,0.337268099279121,0.450263431667833,0.453341930359759,0.341699827548582,0.543088624054208,0.562019739605269,0.339016227809582,0.486532142030884,0.298727425973097,0.630013578882403,0.365829172900067,0.577885057487768,0.540472323088975,0.36611610304012,0.492051546445292,0.133593779240027,0.335626744672344,0.423016922224154,0.699364461349328,0.384113859572973,0.336694828379247,0.358770399454226,0.268393857530363,0.133593779240027,0.456013326879831,0.515594816117859,0.334112038332361,0.566736316997731,0.469589381463801,0.547648313451471,0.574344589675544,0.287555358102699,0.694172988379164,0.552868915537841,0.133593779240027,0.675226015274401,0.789908852310223,0.23583077646359,0.295697399379451,0.489914444272516,0.446886348782907,0.427065180234654,0.331766066351446,0.582823108341286,0.469430144523805,0.421137656291176,0.677171027897976,0.490256107772006,0.456513142877131,0.705204157076296,0.552897066184324,0.491246722150581,0.532941781577044,0.393976596072188,0.546149729402438,0.572127515394971,0.347015704253301,0.452790443305059,0.611510294945746,0.425523029984595,0.41195677008659,0.532113996243615,0.341027689562188,0.249854036429628,0.505344810080439,0.363008864188612,0.514616439767507,0.545640105658219,0.400397514112393,0.501077208447826,0.338142990958814,0.680626298169895,0.252770648156763,0.314345089984416,0.347268588363456,0.384765364320444,0.860213661492523,0.594764342391335,0.348228189724765,0.459947575261068,0.366052673715476,0.39615460428799,0.332998884945621,0.68697623636021,0.445041904438162,0.531613554840787,0.423694952838179,0.363667144300524,0.497276675112495,0.394527831938995,0.519966013950391,0.332905728600265,0.330983572057603,0.327203626464577,0.370495853850491,0.660459834548551,0.292435493361288,0.491857949570237,0.578319056569286,0.464899780592913,0.403815154990765,0.326528903310791,0.276969818538659,0.284169709980823,0.600861172182386,0.473561986856164,0.562560741329067,0.835925919440135,0.236191750427924,0.402831546236624,0.607821088449334,0.496293767955896,0.337514424202537,0.857231310183457,0.594662600974313,0.5789969759639,0.540532948568335,0.592075251831475,0.435769442248997,0.301851197907532,0.367223114320187,0.39207075085513,0.40199824400984,0.485953482251592,0.420726427929064,0.564823978165399,0.329543097385988,0.434541036291191,0.508472912810172,0.495020847997094,0.532337294100462,0.491976260389033,0.133593779240027,0.328155400325826,0.42854337501206,0.356589116605146,0.224181240552196,0.275514554711873,0.41631578499076,0.456532211402502,0.40468929849673,0.431719272822426,0.394724367799371,0.512416462282548,0.431038156589826,0.300208828273844,0.133593779240027,0.401966095814812,0.461895828118062,0.457994345193735,0.529052075319637,0.487923307013144,0.67928956787562,0.667712304779918,0.285625470101105,0.440708416924404,0.283394494210192,0.391511803938146,0.547635904451718,0.381556033475085,0.37007566323694,0.379374397800047,0.329383765126918,0.447984245609808,0.874219948110017,0.519475421349192,0.522501967895952,0.382934743016052,0.591244983941311,0.524218639546777,0.360662832855696,0.538380141808922,0.363622113733628,0.708678944981763,0.438512800334598,0.539248572685392,0.362624746583154,0.477466311355602,0.456417557767638,0.403639730338875,0.458858257340526,0.350759071794184,0.389041837582333,0.439171092024954,0.465124656543802,0.34928821911042,0.419528464511022,0.431197098354899,0.593707990369314,0.55374912954627,0.370275630972244,0.465741963687066,0.764154168210168,0.56388957616868,0.278922568644488,0.377080231370433,0.664719003774661,0.350788324761582,0.353745888346891,0.634929387843426,0.363706605604888,0.323973240772396,0.37639900666606,0.371629715994581,0.408977303299164,0.57251992437061,0.78443094839444,0.551552283393845,0.510157955686183,0.687855992897818,0.290521132450268,0.391993288332955,0.38523839801934,0.375145353386075,0.482054720931866,0.558261081093737,0.645112476307124,0.46800797523302,0.424793394941717,0.445491051754473,0.600873115157619,0.413709268351214,0.576230941373207,0.382194494922886,0.487335105667964,0.390061753840045,0.310343628015382,0.845316402576074,0.619507542434381,0.364237444599783,0.635799497185891,0.675879649509331,0.418458799717619,0.503645097409698,0.410816859829479,0.331349307072589,0.622456170797297,0.523303645821952,0.45962431098348,0.550237510187698,0.281227482151825,0.388452821713246,0.133593779240027,0.491061543995233,0.306850928092081,0.482322861567482,0.731843327402541,0.442283507752752,0.416001903931628,0.167405202858491,0.339266293090298,0.411057975713746,0.177270491867396,0.345482866060949,0.286567874733735,0.286123687448029,0.487420521497229,0.529215702199913,0.363069015755835,0.63686894447636,0.457363068117273,0.33010469973138,0.472541523651321,0.273462475665372,0.427149933805669,0.360541944544867,0.236937892875599,0.865510604419049,0.841087686686026,0.500238173779213,0.448204249392439,0.379231106827,0.261101677122796,0.526393816468975,0.548149716169989,0.363052486580093,0.259204551555202,0.502577017956404,0.498861402481944,0.490289401924096,0.392892656043142
2,0.287768098049223,0.409137442843716,0.44498553528867,0.460087964174747,0.237441734305675,0.556504995659501,0.649415819849197,0.496878835961029,0.220391551322294,0.325405888759201,0.291396060400395,0.597052545294098,0.185463944978543,0.595964273053443,0.272530845315475,0.322559056484446,0.381567631373906,0.564763617283686,0.29530849613312,0.221646615609196,0.271769369915399,0.26041201167142,0.20908092716204,0.269729474597479,0.372421738237067,0.214405630425127,0.310563736293216,0.260219902734103,0.249757430118966,0.535185423206321,0.315056895905597,0.440704603024568,0.328736320411557,0.41483773396877,0.331998947456227,0.261680253531563,0.294471847905127,0.241283094659405,0.244894160686822,0.289971790870137,0.782699337566449,0.173843721735616,0.349834022643862,0.340969775423117,0.619166831013967,0.46251703084676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.956457157546444,0.777313064159484,0.674281776511312,0.636649257498313,0.413474018456501,0.285878203717779,0.219424889860112,0.740581586838189,0.173197339224123,0.177608081102884,0.302016646717555,0.668473229541469,0.448600385602105,0.270284885795098,0.416465914546088,0.554561601471086,0.789895390410146,0.401028628990231,0.638750176527496,0.267982771678705,0.388723066243084,0.310483535616521,0.879590487511718,0.441424098917927,0.327284839254171,0.270115007294962,0.875298138937898,0.78357242483626,0.424213590719323,0.348770292198704,0.520890514856462,0.263758700615268,0.742654205563122,0.257855652030045,0.54980470945336,0.503883358375726,0.349866196271608,0.554155372507997,0.250908020021794,0.225052191535738,0.496901498494442,0.27959641325115,0.357659981714783,0.80284518500547,0.164592769230221,0.691640329859116,0.590211853562072,0.255931396030951,0.593420731321044,0.358912542180013,0.296662250908321,0.203013528082302,0.633169400709944,0.279966561157534,0.655045204919846,0.842809159700275,0.355533823976617,0.866887676363409,0.293062308185133,0.220617165380329,0.437272818868787,0.486849862173542,0.199746900394052,0.32422358124428,0.240987852284231,0.378178825145154,0.357800903583586,0.385561861290838,0.71930178595156,0.301908076344055,0.324418746628246,0.324890213386117,0.526768318579258,0.28481860642043,0.463312524157869,0.299727366035477,0.633183140455751,0.726209640487036,0.54121520168739,0.279138077364304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.459853840932889,0.219008136448157,0.407388392577191,0.259680622422867,0.335630824893897,0.447011843874819,0.347672145155658,0.408843599831232,0.191354446018615,0.519426944959016,0.314105887867369,0.936985116105873,0.360942638547131,0.287101943363618,0.368233887195912,0.517474503836821,0.233768377584971,0.57755094667723,0.508887155832985,0.399566215718994,0.564572874468186,0.266152223805397,0.494095853119717,0.482257621583158,0.354214835261844,0.508045022102905,0.246949539718078,0.235736783143999,0.525214957421791,0.303886843109341,0.688932913059542,0.459839637898345,0.505877219815379,0.432033804721952,0.368928257261419,0.47202457115543,0.312070220809829,0.419926128474523,0.397826210426362,0.56738716773636,0.387910003553669,0.394798290865888,0.514635788676916,0.302474176407012,0.169476389771061,0.367170727989511,0.348543695569132,0.245404915669745,0.274431527412006,0.472048639674488,0.410289972930856,0.273253154434259,0.540520908979118,0.489852834376585,0.323468488813635,0.188087019584019,0.306652200172506,0.569868785449251,0.322256963991388,0.300727406363443,0.287204732220273,0.483622387452842,0.260291733116504,0.519502837609581,0.635296708031102,0.201213829252967,0.513083175084109,0.363617301412863,0.373338443134228,0.311104723433558,0.417551316791349,0.352771322064422,0.2200868454251,0.237809507892192,0.387833092165309,0.703207194952632,0.386692019557941,0.549804009163648,0.16331236752239,0.605740681005644,0.622336081498172,0.810991435536383,0.276933529540624,0.339311332129221,0.309078778017588,0.311981186342231,0.370792660647553,0.3332012227928,0.448157597790351,0.37483036578598,0.257922537108135,0.294909828172824,0.574601264186879,0.394172720175281,0.332635051959776,0.240330204696787,0.249108087705526,0.289695467373749,0.298346751800552,0.33648726283983,0.317742932781636,0.413327965332976,0.295069327242032,0.272688749118899,0.39375183547301,0.399179278799536,0.420552840597854,0.441834354023761,0.21752451443093,0.609004367777023,0.707745356750547,0.271300178403563,0.304063737054298,0.284206922012141,0.484737893137989,0.396532493800514,0.339079685169164,0.300467242903927,0.517267514911663,0.521002163722183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.719648660515354,0.367839087572623,0.226515161266206,0.550462688636519,0.200301183477461,0.464267051654413,0.33988430749852,0.395529521333403,0.301066137141864,0.251561925833142,0.310232551022978,0.836310676334388,0.526071374273825,0.330319411488854,0.343815961420751,0.497576115571084,0.42259469931155,0.469969006103226,0.546532866195798,0.416689774235876,0.324260340349904,0.405262687736677,0.332063398149277,0.232712973087713,0.375980017289522,0.338173038626052,0.624710054240258,0.335388565207838,0.245065823012565,0.50011169434545,0.156624910336123,0.351331604871819,0.258024396498423,0.290585722218337,0.22730132294265,0.621596829243347,0.484158403441269,0.291352219708656,0.325050742282634,0.425128363431588,0.624413946892889,0.468165231308508,0.217221116132114,0.377271384801741,0.595218629575655,0.283298671450256,0.616181522834138,0.292076887199071,0.333382065628535,0.295797051202303,0.450832501730661,0.310369829524147,0.19033388539693,0.750671180763924,0.248315879942225,0.395623561605396,0.381190408784994,0.693293279656414,0.275391988331695,0.426031688480152,0.461055684281198,0.541407485604176,0.570039770397776,0.442673801847579,0.464832496865415,0.771795274562865,0.304908704376737,0.788586596101962,0.834900060455883,0.572881224077278,0.547138584287237,0.292649429902384,0.203071928070154,0.486718350103647,0.410804843001086,0.559752016582354,0.752673408504151,0.499210259338784,0.388266694705855,0.496581501057651,0.41946559504933,0.505700465595315,0.247884194167409,0.279415477553637,0.663770470416603,0.381011250583088,0.3203542553381,0.289635586600011,0.351309385055019,0.26772670800857,0.329466133572863,0.579051830456306,0.183431651856728,0.43620572611085,0.417271320976336,0.568545783266407,0.259044733054719,0.486278282944756,0.643296742554652,0.343052282440987,0.424454729490283,0.687076635752751,0.52183154149497,0.683115529147218,0.323517843518903,0.403043032830965,0.30675387227327,0.263370110166852,0.19097866338014,0.676905551218067,0.554994587365645,0.47337148868419,0.742690244036454,0.315958255225059,0.652335146909948,0.266369117303651,0.330032828073851,0.286324790796674,0.317300397097461,0.494857257181966,0.42815859927449,0.307073064108303,0.576845789057799,0.310383252748944,0.319620111249729,0.312752320885858,0.521791825399054,0.420289623459881,0.536753500415199,0.673777007476103,0.386783842496149,0.650225025854724,0.177571999972102,0.204318524993252,0.458179549580726,0.565070629889287,0.336575424539777,0.271592492340113,0.44675557805441,0.315757104829564,0.294419049339067,0.477483217389546,0.713635126641247,0.474089299330252,0.242995783909138,0.440077978860115,0.475486894820539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.763284991252707,0.172011184571864,0.432091915223609,0.602867473720572,0.451651345377638,0.301427671028824,0.251567053867492,0.295151829716228,0.615207252502752,0.564671387922062,0.31754330293707,0.248129125703998,0.297608473145636,0.374810209014684,0.291381632600443,0.40711124263181,0.298127176347443,0.274723549360281,0.90526750600938,0.225324034638007,0.288404440820551,0.701960575248209,0.216116272112263,0.290624060924495,0.262456938867981,0.139346122517176,0.32312591931398,0.337529036976394,0.381004556870958,0.246136936084906,0.210039620529188,0.261848642660962,0.257723426541698,0.517454512654581,0.240482021862606,0.236395728548229,0.389835741039794,0.240064897670199,0.248326340441752,0.612734097632429,0.478534977112603,0.283019631976611,0.181053280657858,0.6317044833802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.332776779819546,0.397071444076755,0.247002224959617,0.424042100149306,0.265769332359598,0.354648692860247,0.409028855687388,0.461834672756714,0.257456658756327,0.340153257990454,0.346567416658931,0.312976364741231,0.297157681315397,0.438190879132061,0.4191688625976,0.242996175112503,0.451269741017252,0.370123014284784,0.442854116381165,0.245817112503136,0.350309059191746,0.326211895311849,0.29465842299892,0.195343450264208,0.253634875528658,0.213947230064953,0.346235023999184,0.358190456295536,0.248758383465888,0.406719167136459,0.256801860958878,0.256354458342931,0.301989292699076,0.35063590405186,0.224639922179616,0.344008846744152,0.316937228085967,0.37294949619468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.263197613767666,0.340524575327952,0.47261814683044,0.227573271198371,0.244039221646053,0.335835636824386,0.226581363475718,0.211084848444763,0.197254521457222,0.281080235891508,0.285412369937772,0.32347537170502,0.477198178826735,0.2818671379612,0.300720413769894,0.292802556872447,0.298094373453577,0.198804836019162,0.246540908711219,0.340479754879665,0.238210699880585,0.334448325547319,0.308699320539997,0.30794255166169,0.28369258132501,0.155841449553506,0.284755395350462,0.359479338411944,0.380242720198986,0.310635678477739,0.290912370844401,0.304911965029232,0.354177598788044,0.364160545329576,0.322943506034795,0.329746483202619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.524440303868055,0.804511387694304,0.367457538720477,0.243973584608133,0.261150792129996,0.248780787760862,0.385454812899767,0.703071953045861,0.284851720575352,0.356630442879598,0.43166427450007,0.263105711761853,0.632650644690181,0.245225091691005,0.702417457675333,0.351834499484871,0.469254359701253,0.472990560397169,0.307824557109269,0.394782601510641,0.820724786567875,0.458402986196701,0.370743053210001,0.364423167471509,0.403821033889046,0.551154441677253,0.626565559715308,0.491750585775143,0.430861964025722,0.21802166963052,0.611311041657022,0.57415922630293,0.458501162037963,0.662027554825362,0.482647322224011,0.797878047463022,0.566735896744169,0.620726860852011,0.632305968647794,0.636313870010192,0.510257842026639,0.273906559859482,0.765935694061355,0.289861414939996,0.453843802319799,0.436526075383186,0.246156561907861,0.608185196278559,0.45183840638148,0.519831621604266,0.623361191907047,0.572388986765993,0.507977553167922,0.449673000120421,0.728383292884627,0.371839506020295,0.507711846279958,0.645379356257318,0.462287670961221,0.341526783216599,0.366938967904314,0.372837792029277,0.594459662493618,0.609313769854323,0.504934862178716,0.227188713162626,0.238530326461467,0.696804636285133,0.362005843796647,0.337710170050806,0.667208751554851,0.662618405712624,0.547824768061885,0.465846244901659,0.63432105887411,0.88630082088936,0.715325367286026,0.507906352419956,0.415773445905336,0.494123077121033,0.431223479985036,0.37813150349837,0.246807327241473,0.342998464552632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.402559680481243,0.401324433209671,0.254041836449555,0.217786503275877,0.216556811108396,0.61407044516833,0.311191525874806,0.478109477695028,0.321165506034256,0.419838703046487,0.375460303875293,0.381245488405878,0.297051066228126,0.48147477579725,0.539067515028606,0.313928008482932,0.529554797431938,0.651521363122099,0.369674532644139,0.539147755952594,0.313954225526804,0.442175305941297,0.392822103946351,0.337043139914488,0.300410251444046,0.490160393783209,0.256134141236596,0.293864792660927,0.239090913956176,0.252541639701598,0.303981109046133,0.566036813355776,0.277575953596188,0.321313620535362,0.646437693625648,0.23258426800501,0.340894076201175,0.245718752635148,0.275769104085944,0.752114203275727,0.366245592649351,0.200820378224991,0.441854903504864,0.540695369582116,0.356569878440772,0.438346429344045,0.22766046186946,0.307023134826432,0.298233902539517,0.192766330261302,0.174347292450188,0.388998972516428,0.391043393705963,0.375297924388677,0.200314377262444,0.318549956653718,0.288306790815515,0.717503447114938,0.376692473156712,0.548091033389497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
