Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227
1,0.494573871819146,0.221379195190686,0.319608499666589,0.28899945880216,0.39648408829746,0.266020708952252,0.277356734648838,0.525938924509566,0.299223690616889,0.253884454229917,0.456657838365874,0.360697990378716,0.3372441685588,0.325633660267699,0.514973113115919,0.477555505576432,0.367686002797918,0.308833610553029,0.353580517827704,0.430157448746651,0.311090024336081,0.219484418248377,0.278573813205186,0.449175156036535,0.215468367468536,0.240117451241611,0.269919731526837,0.310315234972335,0.274269514432691,0.40668603473058,0.509671518427586,0.304732240549812,0.259019179565151,0.336409853462531,0.301125004944454,0.380690949724111,0.266450669626131,0.340833169206758,0.257516436155844,0.320031001202048,0.463333012469245,0.388891197161108,0.223818298490401,0.469336978518866,0.229444522527466,0.309345965260739,0.328119079777937,0.401665386760607,0.188416690231918,0.333084881585237,0.313905448404233,0.265817963697381,0.395836539733006,0.329498720185362,0.289804368895953,0.369354589199603,0.335806100016548,0.305695621417122,0.322576031810046,0.294086610913923,0.418001832301195,0.489015722919318,0.321731379660024,0.325661872413475,0.388788086253579,0.312232584663761,0.232964038539778,0.388712262678251,0.340645765179587,0.282944665429068,0.275593317728669,0.450490860195395,0.454344687762702,0.205968986747477,0.22175012262392,0.330998734646679,0.330336365745465,0.616338401656756,0.376308470757312,0.260297569442011,0.366217341392798,0.46333503908114,0.33375771785963,0.33419760558137,0.346666948524443,0.457676477172969,0.226695465152831,0.39754782880411,0.309137680939731,0.43231684857497,0.259180406820808,0.368083920450505,0.41732644076604,0.327493594095331,0.350225693726643,0.294905064568298,0.361184446842142,0.254683141780692,0.331501640857086,0.264471531519423,0.214428222135675,0.386346905365672,0.291196966743707,0.309463370944624,0.333884897647202,0.262460412220036,0.324133019428706,0.297060318657236,0.199911035813761,0.300070274004061,0.319354443618611,0.464669741215461,0.430241964382091,0.265896942923773,0.277520656984539,0.433662633799901,0.403836916451094,0.363557663322227,0.372338792681322,0.340074780455162,0.253600436434681,0.382570569248559,0.297133541335292,0.394919266299027,0.439237824967672,0.379388977281485,0.37138599589221,0.366212997382178,0.490956705044275,0.341134724645328,0.335615439577949,0.341962450755515,0.287762738812739,0.385980487549413,0.385238451878058,0.411037091525314,0.396898146700074,0.350192214483041,0.338362749621524,0.220196861330454,0.405054290787851,0.285327641133558,0.194837271848404,0.358014629345649,0.375919559353732,0.242759561621305,0.368811537825694,0.293719581756542,0.294764962496314,0.227527196373509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.519161222601515,0.225836914674223,0.484995482462019,0.414957424855371,0.429081701589692,0.328662199398349,0.286077913543801,0.228029089691473,0.338112764129762,0.255642555373998,0.377952985404473,0.400491558391344,0.351511458672817,0.298252450241186,0.356907152230066,0.402390141857644,0.314451671154905,0.3799706198464,0.35182348134174,0.261380752984612,0.365847794171208,0.359223236109489,0.358765307325521,0.332230352682921,0.391920131119922,0.331527105163199,0.261882760655278,0.315868369619137,0.249816234043876,0.308119379670702,0.601385433678184,0.259744993373137,0.267064976254157,0.362896554287276,0.441782105606741,0.297812421170864,0.343121122650792,0.528672983531634,0.53766489005087,0.531536807540807,0.24267432311775,0.488511990987653,0.368408389409908,0.285077447462919,0.314221764950586,0.279262476487895,0.427092838230612,0.250027957024429,0.289834251922596,0.322208532097387,0.282342030254888,0.639601219493871,0.518328784008164,0.599948770672323,0.457848327219032,0.37363656650262,0.515894321438359,0.350131365429163,0.287336692700634,0.312216979942623,0.419491956197886,0.203424775491196,0.27613795107145,0.239928974474962,0.438967775260833,0.407858790001879,0.313577939487966,0.292553799338445,0.375698706406342,0.327246470568733,0.30325253330496,0.294382979082022,0.456932277508876,0.215595384987162,0.566906411273009,0.302495179855075,0.298401961749505,0.396454639181118,0.372122906306844,0.165091798187915,0.385997657589428,0.537781902325403,0.242701093029572,0.261091146846551,0.261485352639442,0.331868369790021,0.480300604181658,0.393073996557552,0.535455152935513,0.34248130518972,0.315392120346276,0.570173734895149,0.679415761325096,0.376017482405775,0.285625137929811,0.299446278590561,0.300078443689152,0.252933472321497,0.253653167112043,0.343073406102021,0.445762712843622,0.497423101047591,0.356303706901273,0.338123602680646,0.282118659706607,0.3026597879361,0.29651182463737,0.356707583880831,0.383354020844051,0.618063016163308,0.274055593532177,0.514978296139287,0.439713309967139,0.355182536136689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.234257867248287,0.264415875301904,0.303572060683966,0.425288366514541,0.315066751919961,0.390448339653177,0.318820711378589,0.399392063310192,0.231421365400968,0.207348628970269,0.325434071909014,0.313991877596531,0.501255592592635,0.289987932303091,0.295983463569324,0.39816570048417,0.407726512034691,0.269902638037047,0.470134149018397,0.265397093763787,0.322202349404204,0.230925262775685,0.310487579817642,0.277082270618307,0.305390489960683,0.428102506925065,0.235846629791166,0.282059770520771,0.282694034950303,0.191011228466735,0.271492379824123,0.455362613945741,0.38228251424566,0.24065870444341,0.315251775792052,0.275720364578995,0.322270302955159,0.245184857323435,0.294654694127812,0.480853255547132,0.240486433083281,0.240490313655782,0.249487561691619,0.466533760520504,0.526345879754217,0.28779606259461,0.240815521052092,0.267279252864939,0.466788161806813,0.373177691496692,0.363895803182254,0.324081714951723,0.237671915703243,0.47802760534005,0.308103030016588,0.244615086858472,0.346693251898581,0.30701158800149,0.255724677068256,0.318249882893626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.296048482142832,0.300690111700032,0.357434646973596,0.573712133566326,0.598009469922504,0.660287109529221,0.549158763980279,0.473936609644562,0.346000703315975,0.534955217039157,0.485513595681843,0.297950641421508,0.455867876064537,0.187922702894684,0.507634501696681,0.497197251186909,0.290834796917036,0.433906300525726,0.453671685077435,0.253701777507859,0.556266560417466,0.3758828386692,0.532047557480474,0.336806920799033,0.442360236190067,0.337494547276673,0.457756003949827,0.392308770921384,0.424164737112401,0.350675781356088,0.62797063109893,0.660140102987995,0.398198209399843,0.526329484097489,0.385492788039159,0.49040418431066,0.393971330387849,0.470093780797402,0.338467540468414,0.245408096589285,0.402867883895176,0.439534063501765,0.587445623615377,0.623594932809702,0.527209279426911,0.357694355115274,0.575640587153489,0.501514246759778,0.5412582076264,0.321120242145368,0.456910598359749,0.474609156073313,0.570230288808001,0.486334741496545,0.633765137183184,0.311960816682171,0.414117146621582,0.379190241640939,0.224284968856771,0.443111396500548,0.575052936264538,0.665781856919169,0.515752138830632,0.307871345405563,0.549061391788965,0.443276662261986,0.417505727621555,0.628534187686422,0.344969597626599,0.570091829363765,0.425427143574965,0.437424102599654,0.559229403584273,0.323064571878816,0.22929263211583,0.299726892854208,0.439813400726232,0.2953785649162,0.373465930678545,0.333614260434625,0.479649363927799,0.38410388346267,0.372195915899216,0.502876521479606,0.429894184395841,0.276662347843143,0.569346606893384,0.548844989332016,0.27603561638765,0.332714216978111,0.585563920190116,0.298668385291147,0.522927646101718,0.284570341088379,0.476503224850656,0.32822571732707,0.332464094430735,0.454289994314404,0.431956193805667,0.407882198656661,0.465840234323001,0.546977120756786,0.462369451019637,0.591967298992698,0.491670923358444,0.342063440797592,0.322198794396277,0.326810886093447,0.341422695068771,0.336003000699604,0.314517120819613,0.539316758169441,0.312781290058404,0.353620755196048,0.408605716744972,0.497833370059815,0.303510528655985,0.367973206168642,0.241055101122878,0.344138942254845,0.289253704821845,0.508038890985369,0.423110595821801,0.352608119608452,0.384259868051477,0.486614262563646,0.258951079804895,0.479032495272521,0.352041364110939,0.536980418632671,0.437466951706018,0.358180530775136,0.381614918773246,0.634065440795814,0.483291499894322,0.400275608742291,0.355650259674983,0.511170700570751,0.329482544263262,0.268223131481933,0.35303150111111,0.36667560850871,0.518868952421844,0.224016242822366,0.351809971050226,0.497050729048021,0.469634448276571,0.429330302213349,0.590644427030406,0.283965685182135,0.332237552881171,0.417172498899608,0.397262970439473,0.328845343498337,0.380865167819903,0.396993860752398,0.403563492903139,0.581598071285824,0.485519803428689,0.357057961863409,0.334460476108237,0.539003954941035,0.352619578540187,0.417587427673041,0.301970573005212,0.44920035264047,0.266497405973137,0.446446919643561,0.312056739720995,0.530964443954759,0.370184073478735,0.402718897606007,0.624291832310925,0.39126295605439,0.5735286475901,0.29389823007259,0.534092307467484,0.623607414176726,0.326192370512463,0.514379323903699,0.332653095439875,0.587639877968112,0.309035607115022,0.403927338689591,0.248122117158478,0.509476980102459,0.442006100261744,0.341160193103649,0.625438914679644,0.321906145184142,0.426312988861126,0.292147651789549,0.277293474763437,0.348496060386439,0.564639708921956,0.291605346272745,0.574815319155925,0.454772917236932,0.487560570458306,0.389301086226162,0.628086363458057,0.481806153673779,0.324189690528457,0.400196694636312,0.344667855135085,0.342938343545524,,,,,,,,,,,,,,,,,,,,,
5,0.444766526201858,0.376979968258882,0.665812567049186,0.429634053791703,0.538143786676513,0.256074002203421,0.725994548249703,0.495276463067311,0.47394392617204,0.718987838142628,0.570548823081662,0.4395076136651,0.493579519370553,0.285723143152581,0.307772126268793,0.221951417063807,0.314284094346227,0.360023751696963,0.368332693221019,0.583095194474294,0.511474352187104,0.49515457845849,0.257518006566021,0.648338427817713,0.387869420627726,0.67786259679912,0.421509828407847,0.425636591670939,0.587891347126121,0.671547648521825,0.607447865454146,0.736735166642198,0.72845839928027,0.556508733563119,0.297963977269058,0.434191855717244,0.209741144994888,0.633794014934151,0.369212417844091,0.794653126195342,0.572959791635762,0.305771611002438,0.507876544288744,0.548601860758298,0.30102428891049,0.575538327710769,0.543231150206759,0.546937772479187,0.74762291145452,0.294477404971404,0.277378695562411,0.595067991247446,0.385344601953977,0.627428642266935,0.601123670191819,0.525423848979414,0.276327274311184,0.556870815457553,0.651889560668819,0.647334992074574,0.616417823141775,0.802080584325979,0.731177345200955,0.213225877098798,0.696796094101483,0.697792683331867,0.295955784300852,0.224416850411418,0.295715014442484,0.477207922779783,0.782676348815803,0.332720242051494,0.404257570080226,0.456127089324686,0.527449647812511,0.404367783248672,0.536221875478911,0.344708386485732,0.772348890355133,0.549409901419441,0.278547602702392,0.274426663587781,0.69316676528481,0.393108920100621,0.366723847040931,0.544751965142456,0.585818493874349,0.406635288540932,0.306817034187216,0.243019891834312,0.45245478495446,0.687161265967308,0.291113408038854,0.588602709533893,0.552055449300097,0.677307255781737,0.423342718440076,0.607466662358307,0.721203631409695,0.210047645866879,0.582763813616068,0.592618808066897,0.536667092301781,0.442728196731771,0.320547911469071,0.454773394318581,0.460476202835303,0.4224455011473,0.681838734556347,0.545732235357704,0.319270259890654,0.474785841167315,0.541485927526684,0.242157193534384,0.527048082189395,0.688852771787736,0.403239372966663,0.46499326813687,0.763130032317151,0.411144367664278,0.531541508928917,0.713517955454233,0.511498750641446,0.550323457395644,0.6870102492657,0.254927476729206,0.601116207520071,0.2753222295439,0.272639323669742,0.379797127132958,0.367454804593082,0.29324415612018,0.276192532377849,0.186792155430717,0.686977265178061,0.459666740275892,0.320900469861425,0.395172569914951,0.494161043644559,0.617147893244625,0.36634479688271,0.396290421757747,0.57331110290717,0.557523911942953,0.245284864732845,0.476824935967842,0.401782689782251,0.436012631594634,0.298045596066616,0.359693619351084,0.416060096315261,0.663820331423255,0.694037034106821,0.531938567393839,0.403724629344884,0.397972628250044,0.54936163514146,0.184784709339823,0.318117345450167,0.327691403891689,0.482104334874397,0.619825766851364,0.646861758855175,0.288855045399782,0.287232360321835,0.588157486522535,0.574311671933146,0.462111504505637,0.289914375509376,0.18616233947841,0.264843872595379,0.326644489149848,0.308573382111581,0.60067329748067,0.596266125381883,0.310100540956676,0.529821219621406,0.413168630585759,0.506656250145979,0.276577827554581,0.499363982779354,0.326661001788733,0.319362892181359,0.47576260451775,0.387312095982788,0.428452309554085,0.436495535303809,0.482236403005861,0.27667529761515,0.712724393548009,0.439802809279891,0.438704311008184,0.362967305014892,0.342146300158194,0.591986060164738,0.63893798746521,0.522093097415792,0.48014377232771,0.554713606272961,0.565376597249919,0.346775180305506,0.44575313741355,0.719181138887527,0.388082067145779,0.61520053816637,0.614409833707225,0.541214543912266,0.736288239107738,0.306712155989483,0.317635728687329,0.529243160480536,0.798499538255386,0.377793103096699,0.753131496662557,0.638676679137456,0.456557925986719,0.283141077108464,0.449089818089662,0.594499772796494,0.253867206497111,0.42578114395506,0.782101043896625,0.236291957218241,0.512805032605851,0.649345391141818,0.687795954470442,0.657391690282484
6,0.477106314733,0.371461426603881,0.332798047823594,0.265971240763793,0.339383212172411,0.81321549182745,0.513873586815473,0.484348832865533,0.514401426996893,0.427959501164418,0.35992848828494,0.423222974089138,0.419634739405223,0.305240933057529,0.456678482947585,0.346961030752779,0.305355699593535,0.302123882236425,0.237191707406094,0.45792322720403,0.458175190640108,0.192121223210919,0.148390744708641,0.306197087491753,0.369078104773041,0.320349785662043,0.519993584397049,0.301612951603894,0.351564474991549,0.43040766840708,0.305012647539306,0.402408199540807,0.482628674327227,0.335556034794414,0.40579777652882,0.281863329087152,0.305446125227915,0.354192271962822,0.231001437442002,0.464877194021657,0.250442865003975,0.33496667214995,0.442100387688178,0.275422601955542,0.314334903028837,0.278441069223467,0.331061157216551,0.229985561185243,0.514648458140966,0.481548054751183,0.34415964418621,0.268731785095809,0.285883075272114,0.342317128491638,0.283642714852193,0.284199886024318,0.303207447110631,0.285936503704441,0.342587888821797,0.312701554497884,0.408690244892957,0.375525754433257,0.293258302507391,0.495115055201839,0.21259317139298,0.409740279160765,0.373631231152555,0.305797442839783,0.320284083419813,0.305447459905953,0.262243811330708,0.318523454120413,0.323625938963967,0.447717592126571,0.850751641148191,0.344233258255569,0.508299773003604,0.460425292179457,0.525932580627907,0.27076814070131,0.298477523086827,0.221643117361077,0.376271005394866,0.471614099324402,0.358376906935885,0.257256820328368,0.409824106944761,0.857916998368744,0.381404421243617,0.341357183694842,0.299978869145441,0.307916732336018,0.364507396284181,0.414262388316683,0.401105951061974,0.54917739862084,0.458452921986019,0.329744642467569,0.391231491389571,0.330186555627136,0.401555579497667,0.311629923109754,0.404190637832373,0.436670016548073,0.212252933654511,0.441284138014337,0.337400985603148,0.261300744402828,0.24299659064328,0.392007810585769,0.30780397828417,0.207158886221945,0.289325806496799,0.318526110964518,0.270482837105393,0.412580748650013,0.421908327324626,0.469346946748076,0.285244089732468,0.354178666109715,0.28142801460862,0.29461528955328,0.388487853431247,0.504179762163494,0.376964654423052,0.782927731992789,0.218836164148985,0.293680447358595,0.414629138902151,0.355016805659309,0.255853404248811,0.335100830497212,0.266753878673527,0.257682369719304,0.353569295265381,0.735827850565635,0.23702332787008,0.441168587507892,0.333987435745452,0.347960543952312,0.366559524740963,0.389612023012629,0.323854542305435,0.679284268057877,0.398010735047554,0.336342508920837,0.331972304279415,0.38002086940681,0.351145846786336,0.357381144830159,0.448640604606456,0.404365983743507,0.461766897190949,0.298171108038513,0.54008009017332,0.433446510123925,0.331156707471212,0.338027535826809,0.31790074876855,0.359372179596212,0.331075929680484,0.35234474160353,0.275721612695666,0.383581978001762,0.416217386346962,0.363707645489984,0.247582412664238,0.248140377083824,0.391154196199448,0.224256102611612,0.359798787419702,0.392491046172946,0.317614286344132,0.338422305946708,0.304316244546415,0.843379264821034,0.770841199302555,0.375348785776704,0.560886946879977,0.305890327885033,0.361098699476904,0.460415505660895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.546354507798406,0.721574653727568,0.775458246322649,0.837960221793118,0.552167838084317,0.703925773019571,0.627624091876512,0.263094344123656,0.610812460995807,0.734134608295479,0.759747537721816,0.686621971320872,0.771619327036626,0.284243888448506,0.769912696131533,0.772510892713508,0.638496841075001,0.617630317086055,0.790783371849212,0.753981533712405,0.223804598253439,0.466462517744042,0.626806720242191,0.52364819199419,0.309285319697326,0.45205360369819,0.812022394594808,0.585314954642545,0.760487415048306,0.607486664403582,0.235782053712242,0.255196322260252,0.44731622991008,0.760459821430341,0.572198196128114,0.240441519464078,0.600614211821473,0.434201973082501,0.290959140122914,0.626583158230285,0.651482502650493,0.407898724105834,0.281257158132692,0.365228133363135,0.297481829696577,0.405946892465512,0.705554802915762,0.810352331481214,0.735679212874026,0.473550336493972,0.664587679760194,0.527988344996251,0.287129841835931,0.502842900630172,0.780174482169822,0.333751679904982,0.24431987533493,0.304709253912489,0.722019750430017,0.272159975561211,0.703986401354311,0.721080587122007,0.618969395128011,0.344081692562853,0.39346376470841,0.251741670388065,0.636419485940344,0.467043196153139,0.241866833262681,0.369685756706342,0.334275391317674,0.289547008929264,0.466217405949796,0.233665421617537,0.781006041110077,0.316901599254891,0.585068780924729,0.315307848679316,0.407998234845761,0.288275380368312,0.523294767021998,0.566821584281367,0.641264402286996,0.603329342964399,0.746955679659136,0.528481933461651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.248279554273802,0.389604331449238,0.238589292806599,0.65309555829554,0.468359694100723,0.354686986308801,0.176116818424098,0.229056060120717,0.373759385171441,0.543768287107975,0.665730681027105,0.562185824631758,0.674921183231054,0.36470958955203,0.332497019588086,0.310780460346555,0.562581985350558,0.49728736366684,0.480654250511495,0.448980348699751,0.379548918088467,0.424289419164478,0.40005689847292,0.444716659220689,0.382422789206307,0.391178062452486,0.328515883281885,0.442423034018527,0.245219270727045,0.402878892324377,0.360880620144599,0.253532263189361,0.219625876801072,0.334727897274361,0.240331610174259,0.342089861503453,0.463306464690413,0.562473724691573,0.25943925826393,0.217938200090474,0.253747925634495,0.329689446987247,0.319831030206984,0.301554189562246,0.546763003191564,0.32549770115763,0.622690941516056,0.238236521434061,0.260830245372793,0.320468616047631,0.39454663840767,0.389611345828934,0.395040293035899,0.241009315786958,0.489436590217612,0.358013095725817,0.593417571868515,0.385291234320769,0.398386622770912,0.444206094535657,0.293620320908582,0.314803763249424,0.501066305583009,0.405901841234472,0.38512727037847,0.488675264529032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.745409170265812,0.455071424895622,0.352565415640117,0.426600898253492,0.27323058534543,0.574317303405006,0.872276799982137,0.437276623168168,0.250846403108929,0.447327904547417,0.495668736242828,0.760440846375199,0.525463658220604,0.338607497337099,0.438438768295052,0.376450346920606,0.482344098798652,0.639746090627155,0.384829229975661,0.355766653451298,0.465536731510842,0.351448061275768,0.422693648339266,0.245549909768528,0.49621508131755,0.448604356650501,0.449535599041076,0.521844425095214,0.709606303996005,0.289706431649361,0.451251212109631,0.633497123260327,0.552400731928159,0.278666814732532,0.393988533387205,0.644121687040189,0.598551240419341,0.353175778048453,0.377382216650663,0.606100472346402,0.424451598857866,0.57305674113235,0.202475917736987,0.442436949764986,0.630618190354252,0.206887297002854,0.306216900242481,0.824296579537821,0.463204021239441,0.160879616301982,0.232673064255099,0.464561427420208,0.534273875784752,0.391518853436051,0.32243946217643,0.43727570412146,0.257684508547845,0.594402491233169,0.366219991896792,0.428620490289041,0.718599387372056,0.307516627867335,0.325187219746045,0.793170050388191,0.582599760839647,0.428630008500156,0.552716397625367,0.565907102579005,0.527312617737689,0.625911199438594,0.608099638581087,0.473456872076691,0.468156676754808,0.418450855904548,0.545569526730073,0.206019589967371,0.377536093546686,0.421390681531181,0.424356781590315,0.766902966834973,0.649517859923018,0.400705491895205,0.476117056085405,0.307287124933213,0.399660422736783,0.477684858054095,0.265221831034045,0.318892733416071,0.474770615275275,0.348446780039504,0.325827505227806,0.476706209496675,0.436242640716404,0.428421747033069,0.758113719324616,0.741424761624427,0.791926876675145,0.437059848817588,0.369190129331992,0.532812249575208,0.502930806887678,0.567368218611832,0.783116590144097,0.467983302665619,0.520331648080301,0.227696921370132,0.331889028167663,0.348769026144509,0.333435111000317,0.436490686295073,0.843726666115976,0.620091366576788,0.70034436538815,0.688850098870886,0.652238158819718,0.504571731882883,0.311167232752943,0.690399832357213,0.531830429305412,0.64738275507905,0.445799932360004,0.465315980990857,0.405704040920284,0.32037902120624,0.459258643812665,0.385258777525525,0.688116876384431,0.543607480550823,0.750251957590227,0.3725909120617,0.590153534891109,0.718037337365498,0.442547802939561,0.261871635732942,0.238790985148535,0.338309074587234,0.793319630268822,0.552214609848619,0.51523171055535,0.389467750215582,0.551471240248712,0.423534288276969,0.225635167790407,0.305678420392743,0.840049318844636,0.707270858237362,0.581023320728745,0.531558115524793,0.681390110758761,0.701612553073493,0.500426663365981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.940167450903166,0.615082022973393,0.356623514557943,0.377996924594694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
