Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212
1,0.605677021449393,0.23605177621383,0.278178808598144,0.392624194420053,0.449416089841825,0.249436103456525,0.180884732776668,0.277250149530897,0.25130062688472,0.278717718909474,0.248461015858021,0.230707273513417,0.285388432089738,0.363840691689174,0.52564417801526,0.233714494151755,0.329852476810753,0.451560722991421,0.333012028418513,0.280801373375589,0.267110836124793,0.401639147048951,0.28755216521387,0.389162814435032,0.247680215392741,0.37052288118719,0.305406915926394,0.262995693107832,0.352234374116805,0.379992247409848,0.481761058862728,0.310352444318169,0.262602616492155,0.280565503078486,0.20316063798475,0.504383821019178,0.183679348753371,0.332897926944026,0.335570626923257,0.37955640182234,0.139180631609332,0.485043740505416,0.495119876849386,0.232852743318067,0.24509267150387,0.172647797228042,0.250167653739693,0.331561341982138,0.229522664531487,0.322493246378943,0.255051449774232,0.254891012355134,0.257703141428712,0.223383887813039,0.255211734931679,0.265144787342733,0.324751477194955,0.325185757913104,0.517151589228986,0.36981585648231,0.477544928717381,0.338131054994868,0.271848607593819,0.258575417084232,0.270148444430904,0.220689395614087,0.299092363324031,0.334773771982605,0.454846277753053,0.370634380868253,0.233381328135784,0.27587178886328,0.212531937635024,0.511808823208864,0.343155396559803,0.44633995109767,0.262373813366738,0.372035663822005,0.31854465037131,0.443541589742052,0.253273182785323,0.409753661255212,0.335345882599339,0.213426842917945,0.248483925299605,0.283480010175682,0.445895015446063,0.456844154081697,0.267674604561518,0.492608143615847,0.281394336117152,0.206450821436936,0.331555742030922,0.284629445086419,0.284640796397131,0.35377675625094,0.243729754929613,0.253423091220184,0.285132383357825,0.287182999972537,0.263936063699335,0.51180553708317,0.32670957541986,0.191835000988107,0.334949461924328,0.411789825833491,0.367882989177259,0.167056030406204,0.241983397821826,0.238981721724615,0.423178495942043,0.290386507715022,0.37298237611796,0.179785737730313,0.337858666146895,0.288835740656023,0.235117312401729,0.17802186921757,0.17587189638062,0.268203399717289,0.302450888131525,0.214161737905599,0.395114773130715,0.342448990412642,0.399629057634111,0.522660618494499,0.446541157862797,0.297046668950317,0.390378048083827,0.36990624739645,0.240815702284701,0.278432429770333,0.243329828910574,0.385067025110658,0.273207018384648,0.300093647833906,0.253336918769564,0.33160814558504,0.34343627201613,0.279844243063375,0.381631271859098,0.28467254051909,0.273091272630773,0.325338976384565,0.250051254709754,0.339250425067817,0.455178940983638,0.230682706751549,0.398459087958554,0.328013346561736,0.347377067036831,0.266248800217652,0.283010848778374,0.420274264219137,0.248489025299466,0.215197132019759,0.404668257773629,0.339385777830975,0.347363794696282,0.390946869538543,0.356086184273646,0.371577604807429,0.14733341781613,0.251929879630311,0.359168921677543,0.203702854102682,0.210587726899593,0.435756541237672,0.320698502234104,0.252758278322075,0.288447160250308,0.344244733126786,0.2755105040815,0.286734553277675,0.435817458188408,0.312765129903841,0.280027404227772,0.239198861855486,0.181434292179456,0.260583218779074,0.435214236737443,0.309279539670821,0.18768435217086,0.165811357087226,0.373305056515039,0.274603297944011,0.283473815148399,0.239317807063883,0.458342451035105,0.224077904510305,0.338156547607688,0.453408341129195,0.267919158382686,0.193334917806396,0.517571205226945,0.247787939497205,0.320947501144406,0.381654519846908,0.375253412783462,0.321771134791267,0.300221246861294,0.171343127079159,0.305990014813547,0.198555728596832,0.402811099842735,0.283038965071699,0.286549802287273,0.360789321758109,0.34848641498876,0.205439475030109,0.18679378883148,0.288709228031778
2,0.335408707121279,0.271832477877706,0.191932513947376,0.36091950584407,0.248281822681189,0.236219485901985,0.183907198636784,0.243238131479636,0.25619039518156,0.226941935015471,0.46744473881891,0.207031781854113,0.246805980367379,0.360610787588861,0.409241395066969,0.211130039751463,0.222694499433861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.260443254858491,0.390643825417211,0.374121310391892,0.327534743265749,0.283384825870401,0.291018609471512,0.337351872225402,0.358252674153487,0.333896753050818,0.237960166961352,0.332064322467271,0.453592510323344,0.1188123942189,0.31748490363293,0.255136145575746,0.366155655406898,0.188785635697346,0.393996281366241,0.207119080727505,0.299752352094073,0.278275345288764,0.474104095147578,0.350780815912003,0.32601597525873,0.299952236198914,0.303581063232488,0.254881216087061,0.291453309566002,0.181335483770452,0.293665155197455,0.279456005153093,0.305783757652745,0.398256558699491,0.284010757490139,0.40836737180488,0.257748891398693,0.328378823626797,0.369016550518406,0.227736125212906,0.25992789018494,0.193562694905894,0.28757985733117,0.342925957163256,0.357404451838877,0.263846214491349,0.23295325332456,0.39675236881535,0.298164604120684,0.34217473585988,0.21171792558107,0.190550527493725,0.299558206369542,0.199417722969608,0.37852477377939,0.2406100588361,0.26495105611316,0.259986400451679,0.461550473074855,0.239173888388355,0.254318087101978,0.228901512711435,0.513331023792016,0.214247834253989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.40316988107517,0.372925778598945,0.281030020237573,0.350721274720126,0.182928261552138,0.30780060032525,0.302537911496687,0.402237358425693,0.415094793707704,0.222284073390954,0.357132126971596,0.441671011726527,0.263535522216039,0.288840334141892,0.334032898099166,0.428877147119126,0.278683524687045,0.504396788253528,0.36675980869898,0.280114138713539,0.354218921534785,0.35140135284779,0.227103598657716,0.410249997846935,0.215420721256915,0.284601611976263,0.233480767325734,0.248360673760153,0.400910936592763,0.335117064941429,0.349765555072826,0.236061244560377,0.331999045446639,0.199837158386124,0.241426553878106,0.298510966759918,0.366746060558479,0.301092575378094,0.29276686301012,0.149467155941783,0.408148309681522,0.329802096274585,0.411895484130633,0.265383297105948,0.160492717445497,0.163295402109565,0.411460173367735,0.25881903575274,0.451646068344782,0.186692633946376,0.226380798987634,0.252671452948542,0.446524029289723,0.21385264609288,0.207964100803004,0.250444778288013,0.204049621017462,0.365564735160189,0.194314781164824,0.446308996540058,0.352254673814428,0.25369574334474,0.349008601247415,0.250711505096151,0.378786517189903,0.48312614988231,0.238173986765215,0.197460892623176,0.264898099143062,0.439711968157222,0.345798174364357,0.251086439990866,0.393348023506413,0.263042156418154,0.305046240327511,0.303005197197206,0.201809666552477,0.34660992957677,0.346128839523892,0.300201099017429,0.331812225393174,0.420654047946845,0.328149450732237,0.272773965810598,0.319759561726397,0.226790243529336,0.194753643909161,0.349147523497699,0.296340213407155,0.413106289340734,0.443413667609254,0.289782180432563,0.343465974071572,0.235332373650353,0.379990940051711,0.489317307212939,0.368788819081347,0.336760190946089,0.272300872604953,0.44305368719863,0.161327575970135,0.439167834048343,0.262868594832666,0.253647796819614,0.510148973669025,0.362822649310574,0.42646699999353,0.465274428236267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.30383877424484,0.226730611915647,0.337193851594487,0.169368383529127,0.508695259363883,0.280903656789401,0.283888486344117,0.272318569201801,0.307641794613208,0.260390629021272,0.348456321260779,0.431854380803405,0.301106913851654,0.256490769423881,0.238750037627987,0.206008524560101,0.237476550319928,0.254574182880489,0.242004922124776,0.214928608460223,0.255730465584937,0.391705129117276,0.261175792501683,0.491598106149047,0.35200260449085,0.253854925367808,0.397619373616584,0.37754846304028,0.296825718560485,0.341750024002789,0.451514377329642,0.466789698271889,0.486994200285791,0.319853526232651,0.421565814637577,0.232946840005022,0.327397681424203,0.218040647766702,0.576953405511405,0.504647701863361,0.508037167608589,0.298570035669136,0.327907737967146,0.273580716100598,0.31522717731936,0.21613107940805,0.202743805926437,0.391438204130697,0.341492386350479,0.402517151478392,0.201394094345,0.223398539953712,0.221750223102245,0.434257874753635,0.262973817158184,0.289023861646081,0.325253693294213,0.246603760022594,0.274561388119999,0.472301249974305,0.368395546543291,0.344960635835998,0.370105996108498,0.378206591724236,0.345258704734722,0.483224444233702,0.330300349766737,0.386873933708542,0.335850498345147,0.195416524524695,0.28245674191258,0.328284445711749,0.316523553115386,0.550898762057993,0.277451538823598,0.267469118220507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.328711597626274,0.396470840420986,0.280127486094601,0.182971495858958,0.320615348536792,0.246356367711947,0.253455603059949,0.256622562792877,0.327542547402142,0.269263815892441,0.273149813360425,0.421840730946796,0.449682380022289,0.204938059530698,0.262516495614939,0.216265753721676,0.273330132034286,0.212858336826677,0.410635237580257,0.235520081825125,0.38863866192486,0.277417460503932,0.357792680015931,0.343294776680681,0.319460787469359,0.180199701221241,0.198265340261762,0.26469684180288,0.398345729235952,0.335738605711795,0.392786784505776,0.306963419628804,0.263143045006002,0.213334828083276,0.286835887278084,0.1777815675941,0.156323441213367,0.608011029935602,0.368771882832215,0.253692085915694,0.307797669099681,0.230944506603449,0.266214546607243,0.335472140159324,0.33861280963772,0.344755648190679,0.293379015089943,0.256785667390047,0.298708200311108,0.336015583774576,0.316809858978208,0.498475077299205,0.312383571749097,0.232459587069973,0.233056323575282,0.233099565282424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.288857921850858,0.209213587409038,0.259489997439455,0.388512026680389,0.226855497833115,0.204250851314902,0.39598302008528,0.335216323954831,0.230457011375821,0.602700915794331,0.273020274163934,0.403816006371136,0.34357846406042,0.251634610091367,0.223859927352711,0.1801261904843,0.355457422617366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.241697106748192,0.502882130455349,0.29546333460606,0.546269118694063,0.418432586848401,0.577427837791333,0.364603722348416,0.294005366755519,0.413319865469157,0.226212671485939,0.464879996030562,0.339078381519678,0.29521985007199,0.482043003714313,0.352801310185083,0.394129072073162,0.403119297569582,0.588876017676072,0.49735118554222,0.569760684803299,0.558008495692851,0.440571652515059,0.268023027044516,0.316197002516843,0.525593107504147,0.376928778506114,0.559928310328654,0.32427453026034,0.426993900679114,0.427180297864873,0.342596915534588,0.445458047376577,0.568341657788857,0.186238595739839,0.214165562057537,0.466347850236402,0.276273848142766,0.50535296682028,0.488151778669639,0.497770258033446,0.439417759566155,0.482691575400082,0.341620918277601,0.561032332741713,0.530144072932867,0.247939012083472,0.603720660505195,0.205133975248043,0.680574616949362,0.187412024467584,0.274664976920606,0.353003036356526,0.353366574580165,0.645783739163276,0.406134583013156,0.498888480960708,0.309041893448732,0.271485093410942,0.443963995689676,0.40812440529584,0.286668300993857,0.237796622592817,0.522045386941542,0.510911239403211,0.47561888253897,0.625800298192861,0.36254586545474,0.458155888718583,0.514885592686033,0.369990074810354,0.341931174798539,0.292658110749067,0.339329240900766,0.277919672847603,0.522576811421267,0.369829458259718,0.195749917088341,0.19203692085812,0.297041575124153,0.286106333788399,0.595638175762655,0.316943224995472,0.325895108287451,0.665280086577767,0.271737230688358,0.630115352788348,0.423910571632948,0.576512236492199,0.403132568153488,0.248062292689545,0.22981617809616,0.227924334676119,0.327409010937686,0.206124632324608,0.200533412180469,0.588456195903133,0.2747658217734,0.312936108482,0.421584402338662,0.498252406267196,0.380428579047273,0.415481475508137,0.531089732846139,0.197048264415192,0.314044011149526,0.342660982033163,0.302225478344254,0.212181398426265,0.210981027310467,0.570945194036055,0.47652889307195,0.419081459824028,0.245873549007337,0.285415627421943,0.347150181580971,0.192606324017549,0.268828383229449,0.341033424781721,0.381698383518692,0.509375051499489,0.572427772734673,0.342258273384301,0.136407874476649,0.181633161037322,0.246259412228178,0.477590640583881,0.480823470144141,0.242019912726733,0.451014680771787,0.336773677502102,0.475982555974841,0.213619436410244,0.403891389956034,0.378763485199192,0.297784136390094,0.354844634461064,0.368332720718419,0.578211036521752,0.288486563074174,0.320324494142639,0.263837500215267,0.481914745288216,0.412280196272261,0.432978499612093,0.36420590430951,0.450197149001594,0.34182835942156,0.432101398692559,0.56079462797848,0.235155392898269,0.500231248363958,0.528974431009486,0.258645042034519,0.343072722107798,0.42503201785894,0.661331656632295,0.245135357263647,0.567113193683303,0.490306715044149,0.265247394641114,0.448312912363005,0.152192431493203,0.298958435235274,0.656321066893433,0.385470072760286,0.562317621900607,0.519868719230925,0.526889679752275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.24300692646557,0.580394051929783,0.572231047858644,0.401996193124629,0.450363226462176,0.231014226401595,0.243719363195195,0.548708192233902,0.269178923013651,0.272774711425529,0.260031492098331,0.45009215274131,0.521357655328986,0.193408750638394,0.342353123516496,0.56623889630089,0.56327918939701,0.497764238147772,0.31690486762832,0.273988967730274,0.319679760016135,0.237353153938713,0.278396031285134,0.464679591579609,0.550365675812442,0.294257469988344,0.447069235511818,0.347314785688724,0.713027227185167,0.340977977360196,0.324882650741531,0.297610713278745,0.222166583810014,0.344003378809441,0.267048154294386,0.29167198783685,0.48644877754608,0.294112462414218,0.44205549682957,0.724116899070383,0.439036349223607,0.452842531531621,0.325273191274284,0.222399094201922,0.287332757287459,0.207911336230829,0.284424291205442,0.242148659266898,0.351879481091134,0.290602426523967,0.406222835008269,0.245343700212391,0.280178180266844,0.272099168764839,0.514776620420743,0.414927613353449,0.340213715012576,0.298460163469598,0.306717550563425,0.334963108161164,0.340256653285952,0.348323770494638,0.521127175515024,0.278978665969813,0.297720531141165,0.463736816957745,0.274473638679077,0.417193661104521,0.22044810542332,0.345727453286252,0.232686172059273,0.376607548982659,0.303581440124761,0.23307051333518,0.26607159282507,0.301923870508435,0.248280071406834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.160384322787237,0.483082204057838,0.481291469329631,0.239512288379021,0.319582208711824,0.272718418064292,0.616332415135427,0.286679196989163,0.330585147610943,0.746462522800653,0.224780185241193,0.349426755551934,0.27862578416409,0.278138702494897,0.33932548195751,0.284656604481525,0.295499847092703,0.272274931031889,0.499958924946885,0.35450004751528,0.282624171658854,0.230101788852304,0.320298800464077,0.369977915849025,0.414730089032665,0.254120602167653,0.257053612174235,0.392117347304375,0.378811035405163,0.178850640267613,0.248429714586024,0.309968112518293,0.287552856947103,0.281751201468273,0.221879993455511,0.467437375212803,0.350435950197564,0.438735667424927,0.500953769929929,0.393054963901036,0.379281459547819,0.338675755165856,0.240055367264061,0.308064210223671,0.344996008657743,0.250773007591574,0.235310972950827,0.380412220012382,0.316867379662111,0.38236639598335,0.759664038878261,0.178862285872082,0.425686034144802,0.230680338729338,0.386151005897745,0.199815943777996,0.202181112916881,0.353816823527037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
