"Topic","1"," "," "
"0.48827","392","Gürsoy-2020-Using blockchain to log genome dat",""
"0.48299","894","Seo-2022-Reminisce_ Blockchain Private Key Gen",""
"0.47356","266","Dong-2018-A method of image privacy protection",""
"0.42004","1013","Vishwa-2019-A Blockchain based approach for mu",""
"0.40597","794","Paşca-2018-Challenges in cyber security_ Ranso",""
"0.39891","415","He-2018-Toward Privacy-Assured Health Insuranc",""
"0.39452","1005","Valli Kumari-2010-Secure group key distributio",""
"0.38076","151","Cambou-2020-Securing additive manufacturing wi",""
"0.37968","895","Sepehri-2017-Efficient implementation of a pro",""
"0.36458","855","Rizwan-2021-SAID_ ECC-Based Secure Authenticat",""
"-","-","-","-"
"Topic","2"," "," "
"0.59062","556","Kirabo-2017-Neuregulin-1β induces proliferatio",""
"0.46088","851","Read-2020-Libra Project_ Regulators Act on Glo",""
"0.44953","32","Alhojärvi-2020-Hacking finance_ experiments wi",""
"0.44666","247","Delfabbro-2021-The psychology of cryptocurrenc",""
"0.44453","363","Goyanes-2020-Value and Intelligence of Busines",""
"0.43992","253","Dhewanto-2022-Towards Policy Development of En",""
"0.43014","1011","Veuger-2018-Trust in a viable real estate econ",""
"0.41246","16","Agmon-2022-Distributed Ledger Technology (DLT)",""
"0.41223","116","Block-2021-The entrepreneurial finance markets",""
"0.39099","841","Ramamurthy-1992-High-Performance Liquid Chroma",""
"-","-","-","-"
"Topic","3"," "," "
"0.57985","921","Siomos-2019-Syriza's Populism_ Testing and Ext",""
"0.52877","356","Giraldo-2020-Electronic Voting Using Blockchai",""
"0.44259","541","Khanna-2022-Blockchain–Cloud Integration_ A Su",""
"0.42337","788","Pandi-Perumal-2021-The Blockchain Never Sleeps",""
"0.41614","481","Jain-2021-Framework for Securing IoT Ecosystem",""
"0.4102","878","Samanta-2023-Secure 6G Communication in Smart",""
"0.39865","538","Khaki-2021-Utilizing Blockchain Technologies w",""
"0.39082","736","Mkrttchian-2021-The Impact of Blockchain Techn",""
"0.38865","288","El-dosuky-2020-Using IoT and Blockchain for He",""
"0.38764","12","Afaq-2022-Mobile-based Patient-centric EMR Sha",""
"-","-","-","-"
"Topic","4"," "," "
"0.60344","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.4542","220","Cheng-2023-Incentive-Driven Information Sharin",""
"0.45323","1226","Zhou-2022-Blockchain-based Stackelberg Game Op",""
"0.44853","204","Chen-2022-DIM-DS_ Dynamic Incentive Model for",""
"0.44667","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.40473","507","Jin-2018-Evolutionary game analysis on permiss",""
"0.40249","1125","Yan-2020-Dynamic Game Model for Ranking Bitcoi",""
"0.39141","687","Lou-2018-Research on the Cooperative Behavior",""
"0.38764","923","Smirnov-2019-Robot Coalition Formation Based o",""
"0.36809","1204","Zhao-2022-Research on Information Propagation",""
"-","-","-","-"
"Topic","5"," "," "
"0.5156","489","Ji-2021-Security Analysis of Blockchain Smart",""
"0.4592","1233","Zhu-2022-Making Smart Contract Classification",""
"0.44043","610","Li-2020-Dynamic Gas Estimation of Loops Using",""
"0.39022","418","He-2020-Smart Contract Vulnerability Analysis",""
"0.37907","188","Chen-2020-A Survey on Ethereum Systems Securit",""
"0.36172","756","Neiheiser-2020-HRM smart contracts on the bloc",""
"0.36153","931","Spoto-2022-On the use of generic types for sma",""
"0.36043","754","Nam-2022-Formal Verification of Blockchain Sma",""
"0.35473","29","Alefs-2022-Secure Decentralized Online Gaming",""
"0.35274","98","Benini-2021-Power and Pitfalls of Generic Smar",""
"-","-","-","-"
"Topic","6"," "," "
"0.54615","398","Hao-2012-Mixed-strategy game based trust manag",""
"0.43505","126","Bordel-2022-Distributed Trust and Reputation S",""
"0.41725","555","Kim-2022-Multi-Layered Blockchain Governance G",""
"0.40935","904","Shao-2019-Blockchain-Based SDN Security Guaran",""
"0.40788","819","Qi-2022-Security Evaluation Model of Blockchai",""
"0.38527","1056","Wei-2021-A Modified Blockchain DPoS Consensus",""
"0.36693","906","Sharadqh-2023-Hybrid Chain_ Blockchain Enabled",""
"0.36414","112","Bi-2023-IoT_ A Decentralized Trust Management",""
"0.35909","960","TSP_CSSE_25461",""
"0.35696","847","Rani-2022-Improvement of energy conservation u",""
"-","-","-","-"
"Topic","7"," "," "
"0.68977","846","Ranchal-Pedrosa-2022-Trap_ The Bait of Rationa",""
"0.6328","845","Ranchal-Pedrosa-2021-Rational Agreement in the",""
"0.61027","41","Amoussou-Guenou-2021-Rational Behaviors in Com",""
"0.61003","721","McMenamin-2021-Achieving state machine replica",""
"0.58356","194","Chen-2021-An incentive-compatible rational sec",""
"0.51999","464","Hubáček-2013-Limits on the power of cryptograp",""
"0.48204","682","Lohr-2022-Formalizing Cost Fairness for Two-Pa",""
"0.46535","1169","Zappalà-2021-Game theoretical framework for an",""
"0.4645","580","Kumaresan-2015-How to use bitcoin to play dece",""
"0.41908","1127","Yan-2022-Collusion-free for Cloud Verification",""
"-","-","-","-"
"Topic","8"," "," "
"0.5303","236","Çulha-2022-Gamification of Open Inquiry-based",""
"0.49851","225","Choi-2022-Blockchain-Centered Educational Prog",""
"0.49224","390","Gupta-2022-Integration of blockchain with emer",""
"0.47729","226","Choi-2022-Development of Blockchain Learning G",""
"0.47235","103","Bezerra-2022-Teaching software processes from",""
"0.4462","1059","Weng-2019-Integrating the Combination of Block",""
"0.41171","27","Al Shehhi-2022-Using a Hybrid Approach of Game",""
"0.41088","145","Bucea-Manea-țon-2022-Artificial Intelligence P",""
"0.41065","144","Bucea-Manea-țon-2021-Blockchain technology enh",""
"0.40236","20","Ahmad-2022-MOOC 5.0_ A Roadmap to the Future o",""
"-","-","-","-"
"Topic","9"," "," "
"0.47716","969","Tao-2020-On sharding open blockchains with sma",""
"0.45467","201","Chen-2021-User distributions in shard-based bl",""
"0.42933","1141","Yang-2022-User-Centric Blockchain for Industry",""
"0.41737","957","Swathi-2021-An analysis on blockchain consensu",""
"0.38169","425","Hemati-2021-An incentive compatible reward sha",""
"0.38093","317","Fooladgar-2020-On Incentive Compatible Role-Ba",""
"0.37388","209","Chen-2022-TIPS_ Transaction Inclusion Protocol",""
"0.37134","830","Quan-2021-Intra-Shard and Inter-Shard Collabor",""
"0.37022","624","Li-2022-Analyzing Bitcoin transaction fees usi",""
"0.35952","662","Liu-2020-Economics of Blockchain Storage",""
"-","-","-","-"
"Topic","10"," "," "
"0.59946","569","Kozachinskiy-2020-Multiparty Karchmer - Wigder",""
"0.58082","212","Chen-2023-Gacha Game Analysis and Design",""
"0.57094","86","Bartoletti-2022-A THEORY OF AUTOMATED MARKET M",""
"0.52432","85","Bartoletti-2021-A Theory of Automated Market M",""
"0.51912","753","Naito-2016-New bounds for keyed sponges with e",""
"0.45755","592","Lee-2019-Strategies for quantum races",""
"0.38234","137","Broadbent-2021-Towards quantum one-time memori",""
"0.38215","1156","Yu-2019-Re-thinking untraceability in the cryp",""
"0.36624","136","Broadbent-2020-Towards quantum one-time memori",""
"0.36365","134","Braverman-2022-Optimal Short-Circuit Resilient",""
"-","-","-","-"
"Topic","11"," "," "
"0.40144","1194","Zhang-2023-Transaction transmission model for",""
"0.34295","540","Khan-2022-A Survey on Mobile Edge Computing fo",""
"0.34078","325","Fu-2020-Integrated Resource Management for Ter",""
"0.33669","1181","Zhang-2021-A Transaction Transmission Model fo",""
"0.33415","1101","Xiong-2022-Delay-Aware Cooperative Caching for",""
"0.29062","303","Fang-2021-Joint Distributed Cache and Power Co",""
"0.28161","410","Hassija-2020-A blockchain-based framework for",""
"0.28141","654","Liu-2018-Resource Allocation for Video Transco",""
"0.27272","219","Cheng-2022-SBA-GT_ A Secure Bandwidth Allocati",""
"0.26956","658","Liu-2019-Decentralized Resource Allocation for",""
"-","-","-","-"
"Topic","12"," "," "
"0.46296","987","Toyoda-2018-Multi-Class Bitcoin-Enabled Servic",""
"0.44325","752","Nadini-2021-Mapping the NFT revolution_ market",""
"0.43019","897","Serada-2021-Vintage CryptoKitties and the Ques",""
"0.41382","591","Lee-2019-Is a Blockchain-Based Game a Game for",""
"0.39632","643","Lin-2019-An Evaluation of Bitcoin Address Clas",""
"0.38863","1123","Yaklai-2020-An architecture for game to game d",""
"0.3791","1063","White-2022-Characterizing the OpenSea NFT Mark",""
"0.3783","1246","da Silva-2021-Real and Virtual Token Economy A",""
"0.36972","896","Serada-2020-Why Is CryptoKitties (Not) Gamblin",""
"0.3597","729","Min-2019-Blockchain games_ A survey",""
"-","-","-","-"
"Topic","13"," "," "
"0.80033","39","Amir Latif-2019-Blockchain Transforms the Reta",""
"0.78965","450","Huang-2019-Implementing an asset trading syste",""
"0.78901","585","Laih-1989-A new scheme for ID-based cryptosyst",""
"0.77921","1200","Zhao-2022-A Distributed Photovoltaic Power Tra",""
"0.73602","1205","Zhao-2022-Scheme of Peer-to-Peer Trade in Mult",""
"0.69476","932","Srinivasan-2020-Hierarchical design and execut",""
"0.69444","1024","Wang-2020-Game Strategy of Environmental Regul",""
"0.58358","1045","Wang-2022-TSHML_ Token Shuffling under Haircut",""
"0.4398","366","Grillo-2022-Fashion and Metaverse_ an exposito",""
"0.40799","51","Armani-2019-Seamless Grid_ An off-chain model",""
"-","-","-","-"
"Topic","14"," "," "
"0.73946","19","Agrawal-2020-Adaptive Simulation Security for",""
"0.7222","659","Liu-2019-Distributed K-Anonymity Location Priv",""
"0.67674","1009","Ventre-2008-Completely non-malleable encryptio",""
"0.67394","1100","Xiong-2021-Security and Privacy in Mobile Crow",""
"0.66615","18","Agrawal-2019-Attribute Based Encryption (and m",""
"0.66184","237","Dachman-Soled-2014-A black-box construction of",""
"0.65641","195","Chen-2021-Detecting Smart Contract Loopholes B",""
"0.64664","140","Brzuska-2014-Using indistinguishability obfusc",""
"0.63622","79","Balli-2020-Determining the Core Primitive for",""
"0.63013","319","Fouque-2004-Blockwise Adversarial Model for On",""
"-","-","-","-"
"Topic","15"," "," "
"0.63285","300","Fan-2021-Three-stage Stackelberg game based ed",""
"0.62445","298","Fan-2020-Stackelberg game based edge computing",""
"0.59695","299","Fan-2021-Cloud_Edge Computing Resource Allocat",""
"0.55062","1175","Zhang-2019-Mining task offloading in mobile ed",""
"0.5307","274","Du-2020-Optimal Computation Resource Allocatio",""
"0.507","950","Sun-2022-Joint Mining Offloading and Computing",""
"0.49992","890","Seid-2023-Blockchain-Empowered Resource Alloca",""
"0.49237","1113","Xu-2021-Edge Computing Resource Allocation for",""
"0.48749","1173","Zhang-2018-Energy-Aware Task Offloading for Ul",""
"0.47387","1072","Wu-2020-An Effective Resource Allocation Appro",""
"-","-","-","-"
"Topic","16"," "," "
"0.62923","683","Lopez‐barreiro-2022-Use of Blockchain Technolo",""
"0.33514","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.29883","1222","Zhou-2021-Enforcing trustworthy cloud SLA with",""
"0.26278","1044","Wang-2022-STSIIML_ Study on token shuffling un",""
"0.25","200","Chen-2021-Trusted audit with untrusted auditor",""
"0.23483","1217","Zhou-2018-Trustworthy cloud service level agre",""
"0.22546","702","Machine Learning Approach for Cloud Data Analy",""
"0.21716","1218","Zhou-2019-A Blockchain based Witness Model for",""
"0.19832","158","Cao-2022-Credible and economic multimedia serv",""
"0.19818","290","Elarabany-2022-Evaluating anti-obesity potenti",""
"-","-","-","-"
"Topic","17"," "," "
"0.64017","622","Li-2021-The Miner's Dilemma with Migration",""
"0.63312","611","Li-2020-Mining Pool Game Model and Nash Equili",""
"0.60643","628","Li-2022-The Miner&#x2019;s Dilemma With Migrat",""
"0.5558","1057","Wen-2022-Exploration of Mined Block Temporaril",""
"0.55392","329","Fujita-2020-Mining Pool Selection Problem in t",""
"0.54882","330","Fujita-2021-Mining pool selection under block",""
"0.53353","1144","Yao-2022-Equilibrium Analysis of Block Withhol",""
"0.52083","1189","Zhang-2022-Insightful Mining Equilibria",""
"0.52082","1239","Zolotavkin-2019-Incentives for stable mining i",""
"0.48878","1208","Zheng-2019-New Game-Theoretic Analysis of DDoS",""
"-","-","-","-"
"Topic","18"," "," "
"0.54868","448","Hua-2023-Blockchain Enabled Decentralized Loca",""
"0.52711","13","Afzal-2020-Blockchain enabled distributed dema",""
"0.47555","665","Liu-2020-Microgrid Trading Game Model Based on",""
"0.46775","1227","Zhou-2022-Energy Block Chain Trading Mechanism",""
"0.46082","615","Li-2021-Blockchain-based Dynamic Game of Elect",""
"0.45937","1070","Wu-2018-Game mechanism design of smart contrac",""
"0.45927","514","Kajaan-2021-Review of Market Clearing Method f",""
"0.45883","679","Liu-2023-Blockchain-Based Renewable Energy Tra",""
"0.45674","409","Hassija-2020-A blockchain-based framework for 2",""
"0.45345","1132","Yang-2021-Design of Double-chain Blockchain Ar",""
"-","-","-","-"
"Topic","19"," "," "
"0.77418","161","Cao-2022-Optimal Operation Policies in a Cross",""
"0.73495","1214","Zheng-2022-Supply chain quality level decision",""
"0.72365","503","Jiang-2022-Research on carbon emission reducti",""
"0.70869","1135","Yang-2022-Decisions for Blockchain Adoption an",""
"0.696","952","Sun-2023-Strategy Analysis of Fresh Agricultur",""
