Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271,Probability_272,Probability_273,Probability_274,Probability_275,Probability_276,Probability_277,Probability_278,Probability_279,Probability_280,Probability_281,Probability_282,Probability_283,Probability_284,Probability_285,Probability_286,Probability_287,Probability_288,Probability_289,Probability_290,Probability_291,Probability_292,Probability_293,Probability_294,Probability_295
1,0.295532546622104,0.114125918405801,0.330457843322001,0.307534704190911,0.240695277172689,0.146442170748003,0.0666666666666667,0.365286187647832,0.0666666666666667,0.177259742454348,0.273499073526731,0.262072922523188,0.137280849320701,0.246426602081365,0.200304411208692,0.277774138154207,0.265156582110903,0.168886968381631,0.253145280501339,0.149941947760195,0.216870932301618,0.233620740506489,0.153509969112783,0.128313510122501,0.208899819412941,0.185159625826631,0.889763713500975,0.208926781781186,0.148469062845088,0.196691938087773,0.167641823739027,0.156963984078574,0.140229516554792,0.135407058945737,0.0666666666666667,0.246716651391447,0.162036971224978,0.282090528489392,0.23369080944209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.230659117456789,0.210641057627243,0.249294061044802,0.226453421006942,0.249355109865096,0.184756449816614,0.246848794746217,0.181256420951683,0.198549685686572,0.183033679146873,0.221176303726174,0.15050724470963,0.244189615071143,0.225152742551047,0.13087556986103,0.160746426422672,0.217494444571275,0.228230015854022,0.24155493529101,0.221986754651953,0.186894641853172,0.210877451107706,0.173852860540341,0.226380492604101,0.152858247679009,0.201366485992595,0.188923395509909,0.189367158365673,0.231700777850581,0.23868628006744,0.208024980141491,0.202456416202606,0.209378368272083,0.159551001448957,0.176862706986538,0.189035220694797,0.183470160525589,0.238561982179763,0.160210888479173,0.227407588841533,0.204062254624895,0.147071010147934,0.157707528350499,0.172643805522077,0.243006466421755,0.26840399614456,0.148210145338316,0.176725701954603,0.196179068258555,0.132674690235384,0.168007329096399,0.139184306379981,0.168063397856332,0.24064455409777,0.276847288711752,0.142580861820989,0.207539782273855,0.147256765628202,0.259571590088144,0.240662306230425,0.243141830523121,0.18532650696557,0.161584969945958,0.288590002521999,0.134196438262474,0.267028924424042,0.183874279647547,0.159368338885734,0.195360553688613,0.159941711963443,0.166306880327324,0.151964683858505,0.145929500267036,0.269191512794527,0.177321628256632,0.226417926252855,0.153333672267605,0.31535830984403,0.178586295411784,0.148585123085442,0.243249914676722,0.128242263080138,0.19336132278897,0.161466863259444,0.210107892178734,0.255314681040521,0.192201017423287,0.174915281206623,0.154815934972015,0.174867305237568,0.27188700006512,0.231827545980845,0.274545068281413,0.259058565889806,0.230643971834018,0.125520741534194,0.23406167553782,0.188180416961205,0.34901985955027,0.126925372065044,0.160724921237001,0.200154890430621,0.252429475739868,0.131664327675745,0.190388140014959,0.147807488739054,0.168989253602137,0.159065689309412,0.174121405478787,0.144769298599178,0.181658689597061,0.173151025790163,0.171631582709686,0.14834942384807,0.227473067062125,0.234113973764132,0.207262664226866,0.201318453927964,0.170540412782253,0.135777619898808,0.215535117858502,0.190741043134183,0.170347586676088,0.25073298937786,0.299501105943629,0.255431963344705,0.234187350730731,0.212604841208774,0.21301165029218,0.2008310192295,0.141708092473769,0.210080404746076,0.16665257912939,0.153411759117013,0.20955844883812,0.173875466655317,0.214238737846809,0.164984287227401,0.284714288408728,0.197816295043212,0.261188182610975,0.240867578083746,0.268552182943379,0.210886155665068,0.259327762989688,0.230035662011322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.269174359985846,0.148325674738145,0.330404993188631,0.260421472830916,0.170625256354165,0.190008995815547,0.230139350634006,0.239597297767326,0.153796380991371,0.184058880589516,0.366881387326559,0.370158171712044,0.228712059967445,0.190138606810431,0.33015600507109,0.408740454633638,0.293523908771572,0.235876337865521,0.315333553361265,0.461612318797958,0.290205261510717,0.262091063444928,0.217037059527204,0.260675352825188,0.386325558700578,0.150169997148251,0.264974946282777,0.233018004774902,0.313254674863718,0.289705975958374,0.346893514520738,0.414692808977812,0.378244842562768,0.239315097727582,0.151745370303196,0.11891434573403,0.322155152161536,0.141798592197284,0.174767593898293,0.158772761945026,0.33161450763172,0.299117561695149,0.328711944193217,0.183052249830103,0.190321449514334,0.247308204472547,0.264333707974442,0.213281151141213,0.106457361073353,0.302453323532219,0.217343970420469,0.172611832788419,0.27022953110569,0.223464627442908,0.334919397975067,0.303406199722446,0.208855276181828,0.186839554903025,0.194324757656505,0.148396882142504,0.405902837853761,0.360144992971371,0.167806736364552,0.162395046101476,0.164829610976807,0.321681169912504,0.331277703125507,0.388153774302081,0.177598442523911,0.424162992438083,0.366932526063756,0.397190850187581,0.26064199696575,0.255472312138392,0.248373654779584,0.206947327698349,0.164361731382468,0.290618401577706,0.182798187801024,0.237185202314765,0.174732604695062,0.17141200673451,0.168579344527847,0.190843217626359,0.186607122130431,0.153110079616373,0.239723327268371,0.35821489936069,0.246369404718028,0.197291740677976,0.221075476236873,0.223282511730053,0.165095606342363,0.16399853998677,0.179160365422726,0.211519557376324,0.228475304921136,0.183706293727745,0.201478830256776,0.188971218269571,0.19040047715578,0.1514825318149,0.264856879229784,0.160005324887735,0.186011394209513,0.266690800292693,0.333071017612504,0.222717652041174,0.194182198184556,0.256853625444834,0.281220693629244,0.281454459780302,0.17081512450195,0.266958522836425,0.185565918439957,0.308804809035829,0.153506199439498,0.140571794045961,0.48146393452037,0.381609815884118,0.232233858473963,0.158053417878931,0.147087391598318,0.423565158656739,0.221060594465149,0.306924165695298,0.334204772589371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.278201337154483,0.239021019798138,0.285474293082198,0.333638917067931,0.809188011955736,0.172237943900107,0.174188517528287,0.533027745969165,0.285365107329492,0.212845390450531,0.25357703707517,0.254211202685273,0.178864165616465,0.253259771099673,0.252791812871631,0.185972693385953,0.339519828770371,0.203931053647687,0.174756085182181,0.272943182198911,0.248903123429878,0.388624540679471,0.324222175601738,0.232863679071009,0.153238679651875,0.272837812553414,0.359013902476149,0.27522959673287,0.412587998151436,0.30023185457802,0.137666564884523,0.208896807051789,0.177968899433102,0.210569009485453,0.465474777409905,0.201435636054843,0.164496499946129,0.275135854925665,0.295714317024753,0.32290943352472,0.129030584398702,0.250604220693006,0.313845950705001,0.280907067951399,0.156691601143,0.154060744333994,0.357445329951633,0.145805218844033,0.273995254374878,0.370199713469425,0.470403318399327,0.344755323519575,0.35639250266946,0.183240387900221,0.339135251439764,0.194014793347751,0.314548926350734,0.319974839925612,0.19845001884334,0.260807814000294,0.20828317193929,0.338339135443962,0.240792059931173,0.241321548410119,0.253748086847203,0.153539174409559,0.16696345751767,0.197790258836287,0.301976724238739,0.3270925533092,0.26720466125225,0.368180231855858,0.344492616673355,0.330357318931961,0.275780775736948,0.245546373687212,0.346071711466307,0.289773412584916,0.341502832086147,0.143441231115545,0.31983338463109,0.158973040479225,0.132085569091573,0.285101473573058,0.165471246067511,0.302215508491032,0.239467984358878,0.227454730716312,0.144113128529855,0.271795774825076,0.22306363153832,0.22329178532539,0.266704759507569,0.238730183322254,0.218988251745639,0.172978475869667,0.291207324566847,0.245981155827592,0.227013038571324,0.307506169949376,0.233361768109833,0.81027345345866,0.350596846210981,0.294787944900271,0.247732321882541,0.245615454546248,0.308540220424464,0.123190421804356,0.239435473042571,0.269278589446307,0.202108178498658,0.1335201296667,0.308135850934561,0.280617595989829,0.183509189407316,0.289845958877077,0.312238139483538,0.230838250766506,0.324698379871584,0.253986709168926,0.261944492493647,0.142732387343884,0.212428106946348,0.146629933042971,0.253369534866923,0.313054128225968,0.252281539152529,0.223948766286313,0.161049529043404,0.363440701322039,0.140541688929337,0.183556357393753,0.173911025903888,0.176037071160657,0.855319605046686,0.306030819395988,0.238644933558295,0.216387667548706,0.166800283632301,0.268234700111878,0.170479105914558,0.209805890465781,0.294374706476149,0.269847266573136,0.328564037277074,0.352226912541314,0.38189860617338,0.252890523576879,0.332046803964293,0.287379190035986,0.251781399371948,0.337777116873975,0.286151464339604,0.301614728535086,0.347932038977165,0.295635423538594,0.376601827778529,0.309952530684493,0.350665985969033,0.387255797948964,0.405535278269171,0.180527393440732,0.215509641015432,0.204066445654067,0.237097819353931,0.155011571549222,0.16825130881313,0.240170883601133,0.245873242025774,0.261692096502418,0.233705031814319,0.166534399944821,0.245317714199223,0.248029669170785,0.148924056617362,0.221717656684499,0.223295577685453,0.17622034092675,0.28995721523247,0.157435309050078,0.202748205589828,0.226314815817771,0.257053291088562,0.157407342814557,0.196400900727955,0.154830926669401,0.233985415198086,0.202809805080569,0.335493360002606,0.304119367576607,0.235990087084395,0.134250560458719,0.332635750863901,0.21684743932385,0.262080618082469,0.151207614826364,0.149157783831904,0.361691575880002,0.304641011901218,0.153785206770301,0.272680143930211,0.290574360497192,0.179001464868661,0.143895319948279,0.202471612994714,0.681712459831313,0.307798458595216,0.332826254450518,0.22943049288689,0.252603254654094,0.235700470080797,0.255697620146637,0.267071728950918,0.18492867080393,0.264109559938344,0.175499402870786,0.134349297452069,0.280978678946502,0.227542037297648,0.337002136820974,0.342960852988789,0.203840388942426,0.764259166269723,0.239309932340794,0.321184346286812,0.191949502462274,0.25318698623668,0.298710786939515,0.235561643232484,0.674928777379378,0.198868141795062,0.18723304100628,0.304796485145346,0.146054241073453,0.292193055013967,0.196469492714306,0.257117103228111,0.20567681610585,0.267917430518887,0.291078033137736,0.260180756140771,0.27481470676589,0.168710329662289,0.433508079914759,0.226823393347063,0.307435192703181,0.308690815018758,0.342571660869447,0.36883460967707,0.49041424399514,0.364917896334467,0.294120596643815,0.248135188899752,0.182526954052574,0.366584803698975,0.24763857278503,0.216358030844162,0.269879106452056,0.242612698211933,0.182097489744063,0.241415278154346,0.445215082977741,0.226686576015338,0.338816466484788,0.315524212995682,0.199448995198232,0.316571683175386,0.205105756113121,0.365867148911078,0.391062472886159,0.339027322116889,0.205622764164774,0.222658917812123,0.144388133108148,0.255861267835234,0.292592522642978,0.225648832211681,0.258153285298029,0.307415737118185,0.806021039490412,0.304133043372517,0.806020938228927,0.285200849883981,0.187361938497678,0.245154392681969,0.284942047413872,0.321175109759187,0.250359984757899,0.265965531024036,0.141918251430668,0.214493384835592,0.29683914177365,0.37581660479646,0.319908402659949,0.362481807417768
5,0.18763727604,0.229213364666089,0.27023120500716,0.4298925226179,0.422835597138887,0.225991342194501,0.260162632642191,0.306302551180649,0.335059846511287,0.205969223355605,0.565982994658095,0.151215021204372,0.41677412519623,0.171429923207197,0.204790483688256,0.193901528739425,0.451096101531573,0.255909984859421,0.244153682547312,0.220706057370341,0.217696384512671,0.184995705071674,0.39604908741589,0.353577717954971,0.385892126833904,0.251244851194234,0.422521777904828,0.34748584716417,0.648127130322659,0.397688978099189,0.287103458785138,0.278609522355822,0.472567657629213,0.163565580608809,0.165252011690872,0.274707341722864,0.296914147822888,0.262502990231386,0.214841423166862,0.196775082172501,0.172978306156213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.174202405572507,0.239440044072435,0.182279234304678,0.117184440847178,0.132292470792582,0.137671549093237,0.316319201420693,0.190960426341399,0.13340349816886,0.134393928177879,0.20301632724888,0.315151974371159,0.204716839600747,0.120334693153958,0.12790898736218,0.236842970442697,0.246390621086905,0.317299136076915,0.171255190452715,0.163814851671485,0.144415774629675,0.159280795488745,0.140531006736044,0.195838672152683,0.164594194761195,0.156376216214759,0.135677954443401,0.356847967500204,0.227318040058954,0.223834493582231,0.147323843328519,0.143276157224298,0.176593122300575,0.282931308386766,0.231808725001524,0.188722371091571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.350224542837896,0.145427742110024,0.225764274359371,0.121189034211339,0.185702834275766,0.236412512847567,0.136604161646053,0.121935559000551,0.208400490286752,0.203963132561926,0.301708957260754,0.15169230444041,0.176501313463979,0.24863563883392,0.222646176590112,0.201968776738568,0.22349335208745,0.122370065639719,0.146865409975175,0.190348186918475,0.163862465626367,0.197690525653419,0.160402751460693,0.207745368172881,0.137567588330177,0.178265368730383,0.245917226614094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.435128386681625,0.221160882147913,0.158563211748998,0.25005022010737,0.273049308827605,0.256469997397057,0.334967881938576,0.208371104031256,0.14612562677156,0.184800674099374,0.455698945975799,0.191201409588371,0.174371372651353,0.259769120923038,0.176195483716539,0.401939546696647,0.267518851103683,0.301676966113679,0.300613203708728,0.611518050072426,0.339234587765671,0.252099331051915,0.238858162567059,0.354240953504137,0.159564457116874,0.256627986857981,0.185123929817578,0.166036637330226,0.365429937553577,0.288342463202534,0.27621424735173,0.279891615785059,0.192331540001751,0.287977791440452,0.481025922277031,0.206045574099277,0.373712873527361,0.232369851356988,0.37381526830546,0.496795279887089,0.31956487697143,0.330283133890612,0.190557678051507,0.279074303525859,0.217656604927315,0.448434944038148,0.272054879938792,0.397209363327009,0.165655798922189,0.208720182717909,0.216256820729894,0.164172600935536,0.163614033109445,0.129383931739004,0.162994246862755,0.196218368191379,0.195123536672625,0.303625320500965,0.425157794841893,0.381699637356905,0.455615900527456,0.333468566154585,0.417896400744059,0.460198443361177,0.348626974490491,0.337113663276651,0.168651127707399,0.291509181771415,0.187483162692702,0.216736252527887,0.183957034448992,0.201832634417323,0.473039531085235,0.241205463717643,0.310398823741069,0.374021394920392,0.38855537881213,0.392158995836171,0.282658085620593,0.320345925070021,0.274966159832296,0.237984894562846,0.565005456369982,0.330978182452954,0.434706794408324,0.314586649796967,0.315315828968999,0.421003270503335,0.33419561613296,0.288628537287475,0.2502218884285,0.486213555574784,0.35065843060551,0.315693255379415,0.502387934220037,0.366856528294679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.189791281813898,0.231772539346906,0.19443502938114,0.148048513210756,0.270762609252454,0.142325200948119,0.197828346514796,0.215611415356625,0.222608407280763,0.173948381259053,0.290262226656009,0.162788089590618,0.23961037829556,0.251118764578929,0.223913509087128,0.229177063585809,0.173376171971989,0.126978994552506,0.223988159443144,0.284216135831836,0.175061641600982,0.150558914470391,0.234680050195877,0.173944043343299,0.188772034070628,0.146203089506543,0.155170402120659,0.226304303089889,0.162552190651653,0.143477153062297,0.19216011773342,0.255955962249545,0.191888140589067,0.206264975221387,0.335319970474502,0.182589700641099,0.221573553734955,0.260483360757381,0.170655775218002,0.191188751939384,0.213976966463751,0.269940363021436,0.178913608506839,0.147521918665162,0.200992439310511,0.206001163301569,0.174972057867052,0.174017332249878,0.229173015511706,0.218242041754541,0.252938269668985,0.20204366553909,0.175721514765339,0.22177529937989,0.196369308264814,0.270876765839953,0.144925032033791,0.155797581203727,0.142118168799764,0.241243791607957,0.220925362219732,0.147808410085439,0.211341785861112,0.196468219336911,0.201985435325434,0.219365562773807,0.194608507621445,0.147890539206359,0.265601483057525,0.14330121767058,0.171791826970275,0.19047659747079,0.216399094458175,0.196836091332441,0.221786336188855,0.282754129498366,0.122465599769983,0.161222525219035,0.206839139584712,0.201232134503552,0.893129704448976,0.258879774279897,0.127166437078318,0.161558552999374,0.103145038279566,0.203407752620875,0.236802787186663,0.159815451855543,0.130782670570819,0.268728348756471,0.353478090334913,0.368525699798179,0.265781592681395,0.172286093629515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.268620111404234,0.134572839165782,0.194857369555401,0.474905415068448,0.165013342999164,0.477093217603281,0.215152035214789,0.197722451564251,0.534186711414017,0.150234515419473,0.77786082550518,0.254440721629124,0.144314056424476,0.122690893041841,0.203718049563162,0.166743734721872,0.189786887990393,0.198500839949199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
