Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216
1,0.131096170611741,0.198196089756605,0.132126195534438,0.05,0.390621664614056,0.05,0.228360883370952,0.195525064202918,0.10081026520243,0.169372192286956,0.338446827039225,0.215924641735269,0.194510234290171,0.193437891920247,0.179523657867541,0.175247318918335,0.135597739579236,0.10048422071904,0.162277256001278,0.162568651048285,0.05,0.171715313280694,0.243504183043252,0.404842061036451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.207719386184496,0.197391573830609,0.130840353860383,0.164490107638937,0.196730315068965,0.155573285249699,0.207621075190362,0.114646100786347,0.141493521411504,0.162268744365424,0.138613326757619,0.290881966160149,0.23285843195706,0.302377055223582,0.172446284865515,0.147103152674688,0.220971107231875,0.184273220037425,0.24196946866673,0.170064107461736,0.163587975957614,0.140495422247764,0.18217449747318,0.132655724631671,0.178153845641934,0.142796353596946,0.169743108532186,0.13983859207499,0.233272865583956,0.147013013225775,0.225324207971207,0.140100798730566,0.129929664527694,0.127440524650843,0.170631420132061,0.143167786264616,0.143962963176931,0.148624427975394,0.139325666461352,0.120279905319855,0.150384240628586,0.115364426020509,0.178251096064166,0.147836783645293,0.140916054621549,0.19363323042928,0.229479738550215,0.196223793732588,0.156393538901292,0.151833778920684,0.117593732328954,0.257108211769765,0.199317072747996,0.211016250744351,0.120283996528055,0.183950949465819,0.149153049815826,0.173480679411876,0.170684106786832,0.162295761977737,0.203428602790291,0.115155156325934,0.148191864463684,0.221330824588308,0.100111970998015,0.142064630401521,0.154085437527515,0.151352637248236,0.142413724829898,0.13903318132552,0.139546446258064,0.113250808339315,0.134421375996006,0.157222514553146,0.166078394271797,0.202356233122254,0.135190637406556,0.175766145005304,0.116939512722721,0.104723118466878,0.150993451626564,0.134115138614296,0.204499192614329,0.145092732076152,0.163784486326348,0.212766731041733,0.140967005167763,0.116887605108729,0.136023785995007,0.213030969504675,0.121755859487123,0.139022789485236,0.12628927272716,0.123878758187626,0.278858069177146,0.131224637462969,0.172844168895387,0.11807533384776,0.17134276784014,0.184840551712449,0.15218425107008,0.160816261309276,0.185266137445822,0.10118263440833,0.13822746744964,0.143266222224922,0.111229103668439,0.140233255494374,0.179165086919384,0.235603636335284,0.111191672865786,0.148596991363931,0.2242615262496,0.152688107062992,0.150194798019659,0.158751390359712,0.192910292581981,0.162081324073557,0.14855873579042,0.157910782993788,0.142080573157273,0.106118854613884,0.105116152732889,0.122580293939743,0.21590673202257,0.212799163207202,0.181047704742447,0.108175806736708,0.247396227051495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.166014259804505,0.130492395853698,0.345099677108621,0.212755122483936,0.213111369013565,0.146893662355191,0.164321607308792,0.125066131865592,0.258142847322188,0.216778530691774,0.166368704657876,0.21140045009305,0.123686366256801,0.160324123567563,0.122173069622573,0.152824938807501,0.139422196314042,0.18447112410199,0.184775946184262,0.208423730498983,0.188440049921847,0.140705840935357,0.116385380035242,0.151374228976298,0.118405791242014,0.136424516523024,0.132653441189274,0.155034647239255,0.153392145746333,0.180269126810152,0.115916850861366,0.138310371124797,0.135042061693772,0.161712218735609,0.119996297681049,0.134946852015901,0.133256162621104,0.139415496580216,0.129104433741477,0.141058533966018,0.18869631307601,0.126566716241834,0.149743558133828,0.140821883578447,0.112613294241615,0.174804811539695,0.212111039420497,0.172898612086365,0.109356998889805,0.124892375223527,0.154637556878535,0.18409132621824,0.194288024843425,0.0998748080071508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.211361171639761,0.337369009085548,0.196184767445691,0.137004045928986,0.128560693400379,0.216992418088475,0.136951500629075,0.220108392353408,0.198465162368753,0.179033713999584,0.195574577382091,0.251459970624721,0.368774896701448,0.283788941662183,0.197708195464927,0.310694122072505,0.369131041757672,0.30101231266174,0.172344175679187,0.145468920589127,0.238150071683823,0.207631667069076,0.23348324353417,0.36632225353237,0.100453278267603,0.105380174119631,0.140599074444928,0.137640309856359,0.227516717944721,0.235278673222763,0.269755122692996,0.247088319883347,0.261989035554759,0.134522096571734,0.377347526559821,0.351268239931236,0.215264880292129,0.26344454520924,0.153729629894229,0.133627984477621,0.166469403309015,0.301928588769237,0.2939404537014,0.322997340073704,0.174101810025404,0.157641424440098,0.22367702967145,0.207998842686791,0.158368140855829,0.107250482835151,0.252409299000788,0.244150985259457,0.192714215765215,0.291112063251916,0.116317488984274,0.281295415092219,0.277641931089068,0.235543668032177,0.172274087702267,0.377919500180628,0.308767017981729,0.162971807750546,0.158152681127539,0.371312489481035,0.361652696580757,0.111191735563241,0.351869458428978,0.13552892041335,0.396970521659626,0.369068617373766,0.364460141425413,0.24618014562914,0.232055146117618,0.272391213670976,0.236632401420931,0.161178009975231,0.21405295934628,0.266031700395904,0.173647799366143,0.230356239230186,0.158112792800698,0.172454672320986,0.108448227780597,0.139637259078227,0.228515798834908,0.269529227785652,0.185463461626429,0.192115519611717,0.226952205041886,0.123535801923534,0.13306774261329,0.163595697391663,0.14381003892614,0.856060489991327,0.142877688549896,0.174634958975176,0.223834013776244,0.209546648138493,0.177029151894115,0.184003772698637,0.110123292451,0.195878979460804,0.179733814681238,0.133096403883685,0.288985127298305,0.149462604481599,0.154615710832135,0.113878837732895,0.179700809411439,0.218220522152823,0.286442605991536,0.246837374965123,0.199706570710797,0.163971755645226,0.262430745328706,0.142922878280087,0.29105931508052,0.290342757994343,0.186325375995723,0.233380359630637,0.222962297218498,0.184305570669209,0.309177950748147,0.259096517556281,0.131353224292167,0.447338444653075,0.333533117013482,0.235731671118488,0.0983095815546813,0.104052906312041,0.162294588463389,0.300063890688922,0.170881593073969,0.175008761365235,0.227588851388315,0.296548949192927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.186323712924807,0.170372935698645,0.253587644180113,0.202460906332594,0.208204312356414,0.202965303402995,0.167802925825339,0.221595568796552,0.136380676708275,0.175106551429712,0.266938152325663,0.125567495635191,0.106506139475757,0.152214320342987,0.161573310656873,0.418524806456611,0.169570724914639,0.143317031253163,0.203052661586563,0.184333420779814,0.148865478731454,0.257420459149104,0.191880882143998,0.280980804700332,0.222612856355081,0.10015212897059,0.286718891014335,0.345043698117307,0.245912934484159,0.241420000206147,0.198984471130852,0.226587005268893,0.361870157086198,0.17817276809857,0.267407160097986,0.194311854330791,0.117961430671684,0.189684109688649,0.210341041716726,0.119723761312827,0.141424974987435,0.19958240227519,0.216891962998052,0.143273691822773,0.194305588685833,0.120507073678934,0.0966135397331787,0.190955971601515,0.161644925985648,0.139904335828777,0.242473846749086,0.207564261283582,0.113748331766403,0.337761077569914,0.153962591093218,0.187045496180485,0.176322512520955,0.197479866789637,0.228728473784464,0.163393470179275,0.225025578889412,0.277700351319348,0.194984443843291,0.223651035997106,0.246154136328009,0.270289020645338,0.217305150090923,0.14971511545076,0.188880854227585,0.188770202101019,0.193022468420151,0.267437298698737,0.213542004935767,0.182135714667655,0.159204222261414,0.129363890265242,0.16273122934527,0.169238460931541,0.146167884116177,0.246209429917467,0.234464642937334,0.258129129277209,0.161659331206049,0.189280882209611,0.146367047055142,0.130895680066976,0.201492852082268,0.198974523987002,0.246473433586171,0.190378013688982,0.190947824322376,0.220330685768593,0.228503192132872,0.211580751208313,0.210749726898361,0.30003288134615,0.220552827431486,0.167905181438914,0.184377055067637,0.193650814624859,0.30884413947178,0.208787171812376,0.206875934848123,0.235532590099129,0.244816782957023,0.230603720453264,0.284806844212063,0.211806191643258,0.284656323318288,0.266844768244467,0.109331537660404,0.298397055510083,0.255150553562545,0.17719612272948,0.110952055735471,0.244985072314053,0.227839604059958,0.232241205826714,0.259177850886266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.175125811896356,0.200954198441046,0.11961301335492,0.238469264621954,0.125697228243715,0.836806296986176,0.159574423882292,0.16166534255705,0.502297593955662,0.223413670298185,0.225739789825824,0.183146361523325,0.169903990628404,0.0942927419992245,0.125341239042507,0.183187806941535,0.194489155388083,0.138538070672825,0.178548879251752,0.15030990413667,0.172519966330166,0.144870347980741,0.177246439581169,0.118493718140232,0.241924292857332,0.145550434556807,0.116261448033967,0.165792971134484,0.188958460260787,0.236146687996086,0.174820166681032,0.20537411501808,0.11608527806271,0.160709434680951,0.260165300734721,0.173707507280865,0.117243928004415,0.101231572489833,0.158172887948196,0.168246537511595,0.203012899888527,0.101741982352828,0.124784029055908,0.263314403938053,0.219990399788653,0.166950401423905,0.254557442418195,0.159177152618789,0.230293249830237,0.222929897235744,0.20601700933704,0.235361219586014,0.1404733751462,0.169831169263448,0.123477609526954,0.203409232101422,0.13182375749172,0.209372396357001,0.127812041425921,0.120062285241144,0.19022780532479,0.330797241337409,0.214761430577286,0.19640436954846,0.192547669636479,0.212252815410711,0.270220592849453,0.113700522806156,0.10355820875831,0.199459883959657,0.208195952592981,0.163858921757016,0.188296840180769,0.152945609781851,0.189372553537498,0.170555944650703,0.151391791459562,0.173640235670224,0.158998316950878,0.161268385055635,0.234313141297522,0.18352256677417,0.245129227392386,0.13730434629916,0.797039899457104,0.177328735631945,0.154949325063215,0.268851575317397,0.155657364616766,0.161411777693271,0.118286586496307,0.167638531280811,0.169939257503025,0.188009570768643,0.202477927894979,0.17975750766352,0.199510149316924,0.2310210863968,0.224804104755349,0.198501952555884,0.111637461349263,0.162544974584103,0.154092077447614,0.133018916348396,0.18349849186718,0.854166822590798,0.147415626203428,0.215251406286077,0.203268954912595,0.227553163665141,0.269342624481971,0.216789645627227,0.194683352798874,0.154730214312971,0.194534970087825,0.203043751494456,0.191678741557292,0.174490014691969,0.201924837718254,0.185770036833867,0.249374947772669,0.191512793507944,0.138235902940992,0.160231544970396,0.152462361236517,0.121142512790542,0.214205170101612,0.10292766031263,0.128049923465175,0.18324392848243,0.13816077307389,0.121879089062118,0.250509115145082,0.211125988558319,0.216017713756491,0.126611831389891,0.162319770358711,0.136601926438687,0.190904582272774,0.193199491994299,0.230085053194964,0.149949178830772,0.158352778650526,0.116594183335946,0.167477350583198,0.20507865492835,0.170731507624866,0.133073355887421,0.276729289470551,0.0929805698389513,0.178689798932442,0.143422357614425,0.309805207859498,0.212237396726246,0.128472434433862,0.178603050658039,0.164211817565247,0.167052148635913,0.382403094085852,0.125148903367035,0.164182423668442,0.230087043306621,0.647532880223471,0.109485235027181,0.14410585469158,0.163873705209858,0.186699945192847,0.194011209682029,0.185781839969855,0.219414641820201,0.230588920157833,0.281371148361535,0.18292932774895,0.176915881793858,0.767133616148224,0.206195298168263,0.147185590472364,0.154544861935513,0.148397837444222,0.189272767886844,0.194355572771364,0.18948431270441,0.654225247168067,0.198189935793693,0.180750982438732,0.103906414124328,0.296917555012185,0.139231698872794,0.219194792941669,0.192655553771565,0.168495415439948,0.192545515190639,0.427984082681882,0.24293771110265,0.219928394764675,0.165021944230855,0.253863533633532,0.299862898628645,0.321011589934547,0.13049211495814,0.126589794189447,0.206144493471285,0.179431339559136,0.283927124105416,0.213708690425768,0.169239978968455,0.209367410774869,0.18090274040758,0.195967315184701,0.792764256841135,0.217755168291843,0.795441281163788,0.236873454198583,0.194119103336388,0.270255908518531,0.138561184720987
7,0.157676355829556,0.163834694671881,0.200124234066449,0.42074333386581,0.417966158989218,0.221924330496681,0.228333888330526,0.262360904259409,0.297871982838435,0.492805457175166,0.189255325588593,0.398253420763465,0.188192163956759,0.107643277015758,0.167420446884431,0.158382181401838,0.188645253682849,0.202563847060179,0.396948877398115,0.247989956240398,0.296743198290908,0.39499834314117,0.249103011102595,0.403658627397757,0.313976336263889,0.44706381327418,0.422177377741245,0.286413552306095,0.143208853437442,0.27265973677187,0.133810740021507,0.178334185637604,0.4254158376913,0.216507044579166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.164634695220408,0.26411166108148,0.236999971400924,0.185384344826052,0.594324333531131,0.117725415545052,0.129895771449703,0.186966575942057,0.128624971463397,0.146919517014264,0.169513020693588,0.173878783446028,0.146119355225458,0.104726950993114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.169961496532352,0.221949622052932,0.127565804657181,0.304147995114919,0.134721321266212,0.208623759178757,0.175135471830978,0.242394225156015,0.145577334483158,0.340888823092098,0.113546301540801,0.117343437965995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.157525075141528,0.157610788162255,0.182412042724199,0.152087437996277,0.117401675577492,0.133971330105953,0.165792591993674,0.252258307182186,0.236395692212597,0.185489673679676,0.16830828275585,0.246021743563662,0.137841117823069,0.219769924748754,0.111020293284214,0.521637265935806,0.20492400306897,0.127946237757457,0.149840114769758,0.103719017130886,0.166780757967261,0.201049778354338,0.220670564644876,0.156352665414498,0.157826658649393,0.195714786629775,0.20474765529266,0.162935036744385,0.147532134911307,0.155390624609191,0.0968134871641148,0.135351978180268,0.150910813265942,0.180015129868313,0.19127490629174,0.180566932391233,0.164938299639321,0.20163592697305,0.14026708706718,0.212184797469676,0.159871753931518,0.206911204131208,0.141494473065474,0.132922902439425,0.146773938461292,0.138203926251598,0.258223364839429,0.195913205023278,0.173908835283347,0.188342386496031,0.185377081259255,0.155865999131122,0.239874909137245,0.15105996929661,0.126208919759187,0.173494685138688,0.314642416244227,0.161281378793938,0.159958990098199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
