Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218
1,0.185138057348817,0.0918343445714488,0.322144991728422,0.150016646898268,0.145731250891103,0.121618886977687,0.144192775554725,0.0858800094601857,0.0935745688904179,0.15567717050107,0.110236614028145,0.0944772678519853,0.104024013621381,0.136424656909547,0.139793123472968,0.167974839049397,0.158540254481528,0.148248009878293,0.113673133558721,0.148141911081728,0.0964390572100707,0.0507034830051872,0.092350133961024,0.124187412655926,0.0953530053646228,0.0876869298270682,0.157648628409792,0.18741976728656,0.0507034830051872,0.107704969130723,0.135093520620064,0.0913588924578745,0.195975987680683,0.141831618927238,0.115066126850959,0.164243378828753,0.173829878600567,0.187861343335185,0.138042137587568,0.120741433519047,0.150689828530728,0.142863945099619,0.147289039442067,0.115961912497296,0.0939861191124122,0.134462647748057,0.118218087023216,0.150903473442511,0.120190899558249,0.107836342025529,0.115518921680312,0.116282108182917,0.127094332649998,0.18513519543796,0.210863016692112,0.15640252667121,0.150667889853693,0.213333754076724,0.127314405985162,0.19469848886534,0.17621837460511,0.153133419922195,0.19925777913738,0.234906030827156,0.170378575243423,0.0991379166987281,0.111832905693396,0.144647850071689,0.108511012951599,0.150230102449263,0.0841506697957154,0.127041819685172,0.152027732740537,0.136319421363646,0.12587864520195,0.174830937613573,0.13052758199298,0.125399585428985,0.16887524948783,0.0830271959129941,0.121605392376851,0.0975378224447709,0.141147960193206,0.107383698335359,0.15290151033027,0.129651652960763,0.133932631163968,0.119442438095839,0.115954749402407,0.139507945330293,0.127618551185612,0.145950375143113,0.170116997137588,0.0935831164790882,0.162893114726324,0.09785795310899,0.0972411826275019,0.122412044564767,0.157161223448395,0.119243446930555,0.158238753333774,0.117640111979709,0.124440691886435,0.172140289001002,0.107910442601478,0.163255186971062,0.0952698364178779,0.11387075129375,0.0851508153325947,0.084145946055297,0.102137200140398,0.162058045053762,0.104295131127107,0.0895984517304948,0.184285543218089,0.149984204407135,0.113984750707919,0.111664501029774,0.262833906747749,0.135905256110125,0.0771760199247543,0.120499404989535,0.203741362745024,0.108925075806283,0.0922501810909947,0.0922811195224523,0.138698698276415,0.126068041826804,0.0873573170161126,0.114742323036222,0.103765205151268,0.0507034830051872,0.130558841567304,0.134320515761269,0.123651659979096,0.199415228852773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0941565313911247,0.158792119123866,0.154485009800603,0.144799161797456,0.126876442460419,0.102409694047067,0.159836862384053,0.17734086560661,0.0795291397981406,0.124417035915702,0.130474869771833,0.106115138424564,0.126281375509787,0.217578289993699,0.0920103727886715,0.0770553085865116,0.161436719516163,0.200888055083235,0.119013276333194,0.128404434590048,0.0879741894950628,0.157076117997647,0.124490254711779,0.100129434917642,0.129047103483616,0.114552450621107,0.116361155297868,0.165639342559227,0.102117334724668,0.104251395403136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.133782043106773,0.122756883513405,0.113184663763524,0.189182331000209,0.231035776198529,0.131874709461725,0.169971028054919,0.0762492539516388,0.0863813142967355,0.223384009628153,0.100903999670784,0.155759133370827,0.105404524859991,0.0886455972368181,0.0755651185405028,0.0787404881330126,0.250539203397536,0.310369904937498,0.138156943477789,0.143461227166918,0.0782127474990808,0.0926534952581147,0.142813844998703,0.0990761099753066,0.130747998004242,0.125749668411975,0.170054625048947,0.142210975941812,0.109072988883805,0.165425833621336,0.120069810861663,0.278812589703699,0.157898038740701,0.238686615104249,0.109677162361224,0.134972568459333,0.139672794751501,0.118835755448242,0.126302084701582,0.137500561101093,0.122927129267679,0.0970650678043517,0.0951496856128358,0.106122532062403,0.125733087240939,0.146401107264293,0.0774335906501602,0.103464864030137,0.138641491866986,0.0765038645439856,0.121981110250238,0.105753485133844,0.125211940733954,0.101597239651946,0.109579424580929,0.112720197283916,0.241564679114681,0.0901654684537083,0.0994152705947514,0.190903278692135,0.144109525566814,0.201686008438159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.170559525105287,0.558063351486703,0.163374140774897,0.472687058290453,0.18050003382208,0.247470853739966,0.138438382885597,0.127670312769808,0.134062796560092,0.084473838204836,0.18754757847124,0.095130328520535,0.0973323359207052,0.114124214861465,0.086182884183414,0.155570781674571,0.101348180783138,0.152928448471074,0.0762098099737082,0.0814359394838149,0.123529675635532,0.273028128311959,0.114335107037044,0.170133024612367,0.0971047748144748,0.118050011478926,0.108712862845273,0.0917066269758892,0.147306361955633,0.130625171748779,0.592349537952287,0.129125177755787,0.121129468203445,0.145607030101707,0.138935257963028,0.135925998666243,0.108820507004649,0.126265972632821,0.0975307634108822,0.201012285258705,0.102081097432021,0.142307227080483,0.093102004379144,0.524425035963708,0.145870515621194,0.0945242666638204,0.127880219997147,0.0852316091232415,0.197588646518686,0.293715651602702,0.126613207473551,0.0795773104221523,0.0958591860875084,0.0969110907462844,0.114532704381813,0.0874973311994644,0.0970457414455983,0.0837472708530577,0.131750724361967,0.108384940810628,0.0920899556978777,0.181307064935293,0.104047879416796,0.0835373258357591,0.132237334961686,0.110628628948664,0.144891611891801,0.108541010312858,0.0760454481611107,0.123110130631855,0.124241895779401,0.132299139505564,0.0884153627609649,0.169086841684999,0.101639577330727,0.109147720570576,0.145816531158596,0.122017098641033,0.140005294599744,0.105193052891805,0.135945025099498,0.161964399239034,0.145540510586815,0.199347016433545,0.107536628348996,0.111768861323067,0.133690959045164,0.13864281814804,0.49715526595703,0.466378771096574,0.151534030215926,0.133192099257566,0.345915004969716,0.162559779260209,0.109818854786621,0.538509972518164,0.546312803012019,0.0815070572094133,0.0932629530224683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.132124406682558,0.208994170675397,0.0976328500666938,0.09883124272059,0.19789658540229,0.229337880903314,0.125540613265982,0.109512964841439,0.158494586527698,0.10334893287119,0.157280871180443,0.0958772058214188,0.106668524533959,0.162311478419165,0.103585897244778,0.137680520260789,0.106921583206915,0.119596887322421,0.113713925926181,0.137755620610631,0.156346346292959,0.101092685805545,0.105463303428348,0.140709757569107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.168111554656625,0.157603070829725,0.09633484709834,0.181027356944225,0.11577875739089,0.0919582307581415,0.115871789157277,0.127114103682816,0.172733788036754,0.0830565331585539,0.110359710072114,0.0962025474362538,0.167514379134955,0.126586345124403,0.136376453373839,0.151454490624849,0.114295849226674,0.0923604724645114,0.080927845226754,0.225235241655354,0.124357599487468,0.112406542940157,0.162085383019937,0.109180910590153,0.132064693730193,0.111475217233943,0.111436525189613,0.0864745611843769,0.189999062554251,0.14296175914861,0.107777411306438,0.0888712294013557,0.105474904206994,0.129906800243099,0.111397955165725,0.15930579438421,0.109543464715282,0.098366438447952,0.121927455756127,0.300834730790383,0.121373022075992,0.43176912803409,0.133266895832213,0.117725216625162,0.171490045096363,0.121047762247933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.294216444153561,0.258852263419047,0.206643642464341,0.265568762103129,0.201803432557348,0.125716323549752,0.121980819280958,0.306445064638341,0.208579062163226,0.0981220081179746,0.128020123995002,0.145306160017746,0.301232684128524,0.0894865551860323,0.146871078410078,0.0993591457023544,0.28820554253952,0.123257931046338,0.11114188801243,0.139345702652777,0.119161301433882,0.114531745593162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.339006072620554,0.195036324558232,0.101535368613506,0.154573461936096,0.11607018931475,0.0937307736287946,0.176256544340633,0.106414800779505,0.146457057417347,0.10351061628936,0.181475820158685,0.210659541090037,0.173864854172323,0.144887771271389,0.153706643743294,0.11392832740825,0.130694417018832,0.0868695617463245,0.129579647511324,0.0639118555680678,0.192253293805556,0.112679517307725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.284754443029767,0.0896787498488526,0.133326430371949,0.126153698654074,0.271489280613833,0.158889481815261,0.0913471602051115,0.133501253539407,0.136000392209658,0.0913892458266404,0.145880978558081,0.0988827935793377,0.113586919647069,0.129894598176725,0.179097763156967,0.185760411110093,0.206778194756964,0.104831123723765,0.119661920361295,0.121967409536231,0.14800008078175,0.156801449328739,0.237674621865728,0.114280066653814,0.12367247624972,0.113617466578151,0.0900390180228779,0.131172112997615,0.157560493456987,0.0747825845257268,0.15593349690955,0.0926426506476216,0.134200119785686,0.166884055313516,0.163929751564133,0.106769213724629,0.123711779081758,0.173671185244872,0.12762301717597,0.11584245697576,0.171798140773107,0.227563697270841,0.123299354792667,0.127105684857213,0.145478304117917,0.145317255262912,0.119029211133729,0.129893236127382,0.093380036532927,0.130015489341854,0.119856159170782,0.13011853011727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0913700880446664,0.129461117786034,0.191414233998868,0.117063349517922,0.10177005096881,0.15214356392274,0.146673900211324,0.187088854503461,0.109498946161849,0.16129751949213,0.0815563386985179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
