Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197
1,0.220471668035997,0.14741361175702,0.273590016999828,0.456370016736382,0.256709875992885,0.336928809122503,0.318273765554791,0.322743651751499,0.114798917296195,0.32981086803222,0.236713781490919,0.193330428858139,0.188466503717003,0.144800319920218,0.141305498202529,0.275169234794652,0.231224320216074,0.26655249367511,0.196590554667057,0.191169418154541,0.159472445184976,0.178212007270934,0.163428829399762,0.381039470506334,0.205209151050333,0.16068051232965,0.273423346089957,0.141672877261612,0.1736844084228,0.171897303387361,0.190980878264548,0.337670587874927,0.234787949753232,0.321867642059468,0.349557387359592,0.192818471098177,0.298725579948715,0.0531888220436266,0.169824980704127,0.217267346491559,0.203957084345225,0.170969140214046,0.225997835575571,0.177753250115571,0.153679312152723,0.244609490318263,0.295662324430921,0.326297608582331,0.258109147083693,0.122329882347093,0.30845668965797,0.258741110860652,0.251570375571258,0.141757515419209,0.275800958819294,0.205436054657216,0.147109596913928,0.141945943634836,0.217161028755076,0.124878567844431,0.265856745938389,0.336893105720726,0.160139105095638,0.378628638970428,0.141869780884934,0.212509048637049,0.196895117643768,0.148923205461781,0.194657861901457,0.21939702214842,0.288743776573891,0.26143283127886,0.169636499385085,0.244231785603574,0.152837594964723,0.226372455095655,0.258149161368474,0.247195419077377,0.156949424202814,0.12912948056771,0.176959971511505,0.32825139129436,0.272654560427798,0.162286527513151,0.234555634058976,0.300373835737675,0.119473539771177,0.200288927911971,0.232953711011416,0.204622342870153,0.284427404802479,0.239729339548557,0.11820912367105,0.235909473215544,0.208974758351664,0.272298404043005,0.0891690699543742,0.224115618077661,0.177137909892557,0.261516441575829,0.190782375937371,0.215297512337368,0.282873439153048,0.291283804305551,0.336087786155174,0.115096746519639,0.146001764466407,0.347273967763683,0.147311478721405,0.112917982873552,0.28472933831495,0.15354730368094,0.324645944641692,0.199124434283605,0.179627637942005,0.212418170566077,0.235368747700792,0.132364049245717,0.236470812577846,0.161739054947237,0.251865507641837,0.169400355849411,0.188124838477045,0.190415889934526,0.121214723077107,0.289504730195244,0.202546641943629,0.26991680006962,0.188672242656947,0.142041160588376,0.29249696565808,0.26685344511408,0.182148521998715,0.184755007565858,0.153855348557094,0.150101083822746,0.30201284775115,0.147598485534346,0.170152518600007,0.204092869349126,0.266411472967389,0.200442447251813,0.184239749100438,0.271447405531718,0.33314551942284,0.285104360205387,0.120926278327661,0.234969356963108,0.150616940093398,0.263463822267196,0.216484079684716,0.257717992584918,0.171271980839833,0.17286829554763,0.245930686490523,0.31152785138235,0.204106078013983,0.219158845759782,0.124137293621076,0.123019212545092,0.2925866936115,0.165180744315247,0.192159198839611,0.145450025358927,0.282631581628262,0.194167350428569,0.259097456938851,0.214944177482583,0.235191032536083,0.306006647877618,0.222137167402482,0.182796523165408,0.21938519196785,0.397574652435452,0.179985488168263,0.177331059034216,0.174256307143033,0.171021845177927,0.15446833371868,0.291323692918333,0.192497741465642,0.222358850514409,0.146391922264474,0.14006285551669,0.159134318895393,0.147006978332672,0.208527594606066,0.261287784736914,0.269723196803267,0.182216502001629,0.199419259355775,0.117460653438371,0.243845299530804,0.234972776794374,0.233101234578491,0.168729986639694,0.189503083240103
2,0.121408614168228,0.170882401560951,0.216611644727614,0.130808543504734,0.208182768424908,0.153807981726051,0.137277967501496,0.266081905385082,0.290555018565755,0.135384710633154,0.109692504897812,0.175469859285111,0.194320170404832,0.145763883938692,0.195014642255096,0.0948872881003914,0.127112211534319,0.242829097959747,0.118852962224191,0.123177533391084,0.17630881553343,0.285115705272564,0.145685567545975,0.26399370202789,0.147907487041874,0.145348109948154,0.140471750722104,0.143989716610596,0.247373271564547,0.199505784265123,0.101421458362441,0.23169493691329,0.223285681768293,0.102754839223045,0.244157028736313,0.143487057430466,0.100803042175597,0.16441777744629,0.152809270300353,0.234382423539794,0.131688154723199,0.167314154214301,0.130295799070326,0.199199380640081,0.164791554316131,0.124695249867706,0.186308470108029,0.152531977614104,0.0774126419343481,0.133506054846775,0.14738715408147,0.189786289181548,0.175669834367678,0.116224502560991,0.125244941911857,0.170195524701455,0.209436640936087,0.234963153911253,0.150472911943009,0.135956202002937,0.108893747299961,0.184078898112184,0.151652896771841,0.17214905637158,0.150954611437218,0.157863748395457,0.116183304799108,0.161998706781637,0.144468976991907,0.0923710308983424,0.226023911954614,0.230861421612066,0.141129862401122,0.130611333725668,0.263430011693256,0.173118680545587,0.178886371242028,0.146555359721645,0.144813952563923,0.161534213270955,0.166909791639346,0.230564489801005,0.272359269893089,0.10302575507254,0.119634068716098,0.196705675572393,0.1387086764681,0.175929158357367,0.111576822122283,0.139367245402836,0.139664700366474,0.112743210227793,0.128845596727849,0.132768308907722,0.115583265620127,0.202633591674552,0.388839786296919,0.143126984885983,0.142772875843165,0.188104887665151,0.142199105272274,0.189128673859491,0.0954506845698342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.145367020279313,0.222785146671131,0.14372500972783,0.129718158515952,0.131499726940927,0.103584386661911,0.151207391425503,0.159170377409261,0.2150546368638,0.191059920770614,0.118319576695639,0.225607572929204,0.352683113019286,0.18613411485083,0.139860548090586,0.19970995253055,0.187977802400472,0.141651206397376,0.209066597900175,0.281052495729158,0.146802685683852,0.150593532445312,0.308023443493819,0.20838808482559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.169398159420958,0.24642009267609,0.251509622427867,0.183479171239534,0.147034798436755,0.0920611211281337,0.293340983396914,0.288839484246966,0.186065722365607,0.100093892419529,0.252748822342424,0.181524490935817,0.178574805673379,0.118241154661152,0.132818140312885,0.18343012633756,0.158189994695584,0.255534714480233,0.261218242864048,0.155050264912079,0.129993233747758,0.206833246789531,0.20440083252352,0.152292147894121,0.197888042105226,0.210519189775975,0.164407969402659,0.120997306909746,0.258982782027272,0.167915023508296,0.180970644555308,0.133098598591888,0.155081330913692,0.232951617914815,0.127125741224053,0.222978787137184,0.140212304454414,0.198183657279316,0.150962992941961,0.203310992772651,0.221226534204762,0.196409330512569,0.128515304557623,0.317381823866068,0.121659630481686,0.167740942791843,0.249078719517826,0.135944907704994,0.136556007988624,0.164894683892079,0.139436549219918,0.230767621382824,0.189704709101992,0.18999833901237,0.149951487829521,0.130816628276484,0.166433481060001,0.175680261873931,0.173734397618092,0.109166202723431,0.227161680629227,0.289203952708365,0.13983928190395,0.163636379357205,0.145393560265541,0.22114026797191,0.124139193658984,0.159437813242379,0.223204583860749,0.213000566711713,0.203350172876248,0.156064308572846,0.167749386653723,0.192365659280967,0.221762055711183,0.138449332311974,0.124308286006586,0.154490167364038,0.264023231029173,0.12311166282241,0.145811109896599,0.180607614975172,0.199750352046683,0.240703224599763,0.142933680917456,0.16617388020729,0.144238781839869,0.194511963455563,0.133668667529217,0.205614601376107,0.0790815313414642,0.14698184116966,0.123662278573779,0.244317890418323,0.2453504702831,0.225427570262719,0.154445420403847,0.13958111718596,0.319842898538236,0.134707613242184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.223019612630509,0.126163764675126,0.31911643715142,0.0973359273905605,0.186540665235518,0.130874643156132,0.204891746659994,0.205958692993739,0.130677314077582,0.175579551229735,0.190874296806133,0.193132742008625,0.166666644906481,0.152861602040769,0.106590080041794,0.28445641152351,0.0868457486558425,0.155811709232532,0.310395356597369,0.167421585961435,0.162305590248869,0.108356221321656,0.201241648125282,0.215473751689253,0.171610725580325,0.307029443048153,0.169556466766051,0.300720403992964,0.13222690896456,0.170729976334022,0.200748314313624,0.111022851313222,0.221308375662975,0.126127673782501,0.172392655153924,0.119888257647827,0.143175774393377,0.192600799673656,0.169948132528592,0.131005599733543,0.150787896101202,0.12595345272741,0.130713908116272,0.155646172502658,0.134812113200809,0.298751052884772,0.373927532027848,0.185079390658494,0.187322556669034,0.137351002555847,0.168896712315117,0.114088610770495,0.134014683233094,0.124713774481067,0.153717451634228,0.123043378448949,0.185021594282475,0.108046245793299,0.175065301352491,0.152114194106066,0.124431813233663,0.142085358158759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.137299316638318,0.239295478383451,0.174326133970055,0.150225467270195,0.0908404071612801,0.105744329509383,0.180723757028514,0.332684560961009,0.268770374272471,0.122135713815072,0.191183232440575,0.146449923083454,0.145429182222408,0.133156394653703,0.113884017659531,0.174737314862429,0.165116635172028,0.156167664339107,0.145972787255923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.137089111450273,0.125593564452751,0.175631328749501,0.117949978456508,0.137946972166328,0.148074121505514,0.139062837542024,0.154444837552737,0.16284940513299,0.225536948941884,0.182835590281744,0.17732792678428,0.116363771506261,0.159322898300435,0.138937977845308,0.099652499565299,0.130520484734445,0.155804101644643,0.133854914471652,0.154715987072477,0.180000426820571,0.142237901316051,0.142844557312752,0.130608985632871,0.140276961521371,0.110011348519343,0.157126304898594,0.132299877999227,0.15298141760189,0.109857706743228,0.0946188037414266,0.199395076668741,0.195016578442271,0.230122764582963,0.189226763716386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.156993638725103,0.129278199520429,0.160756015533093,0.132834472649149,0.143906552107392,0.139101753856896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.110443351075045,0.143292445601728,0.137624954663988,0.138030544669799,0.229214383684536,0.125194495701088,0.157644695488159,0.143873192728082,0.11170045820363,0.141003647779696,0.131919005908107,0.150063533031038,0.148632571523954,0.129275069021007,0.12654457569776,0.129211953177766,0.118517889578434,0.169019378469211,0.10264605380436,0.144050054894953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.191427564436774,0.157780426913725,0.117097012559432,0.291205371221207,0.226052862020164,0.276909824129137,0.111876056868294,0.104463614207427,0.19675730909954,0.164405823180937,0.0948886748809947,0.148592841215331,0.165540818726814,0.201121842225576,0.273551529766499,0.252455897653271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.125611937696975,0.156855867674574,0.227433127326912,0.277050550072629,0.146149721859153,0.229119927767367,0.195872200920837,0.295611513299765,0.234670909621534,0.150181831967666,0.269841668165276,0.136219010306114,0.200864556070359,0.171344860783198,0.202460185118962,0.0883345007059645,0.130820737753291,0.151816419554004,0.136416349344852,0.147876451283126,0.112385230798097,0.222686975747685,0.241889539624294,0.209662334843557,0.141247697702861,0.141720127649205,0.139712412577188,0.155475424110378,0.195558897002928,0.192913296992832,0.129687649993642,0.180532490763836,0.172654340713067,0.223412325538891,0.16975831150734,0.111822497213591,0.194269176969837,0.186012872308306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.75210733641257,0.483357374268528,0.156084250905809,0.176158406044361,0.747098863833006,0.745186086657987,0.131007018184308,0.129792742288402,0.0947480310705665,0.695417518100185,0.0825821784403845,0.607734745710453,0.364510829041787,0.736850781387572,0.737440333053908,0.13877361301537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.281878348545478,0.154669553761351,0.121206540988094,0.216562226738782,0.138975559012086,0.243127286066419,0.310892584846788,0.216557117894035,0.30462141296184,0.180908115470239,0.131842029408916,0.161828117828363,0.251708740678598,0.16819682096576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.275141790344964,0.174820373661482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.289252889825151,0.105338421369261,0.109857311513744,0.172656080101863,0.127073182807385,0.142002426883643,0.106169859589054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.167890950150566,0.382300756272092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
