Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155
1,0.206439106928762,0.172661220856144,0.214307193167481,0.176802504496936,0.248212620654675,0.175091525043571,0.178770492351498,0.106542240779217,0.104122757399706,0.16516550456059,0.249232506396355,0.199098958192706,0.220314041359902,0.128546797161866,0.125214384816259,0.220093513895272,0.0827242261767118,0.174701422432675,0.152885639537968,0.226575064478686,0.192797844600826,0.210142915286146,0.169043947033499,0.178545998253053,0.149649674754556,0.186051268335927,0.0435070509600145,0.136348235510932,0.163753080118133,0.179124605966375,0.172513456861701,0.131339134393301,0.0905474789024744,0.224038454650442,0.231032021682002,0.140326853943668,0.0939775609034456,0.215829051080194,0.126375224533158,0.156708518829344,0.157598440886054,0.0836054165826111,0.178613857113501,0.220656420516211,0.224643452885174,0.178016694578979,0.136829331780444,0.216233229946549,0.138609939937242,0.148684384258738,0.117742590286626,0.104345857089848,0.138238568207789,0.136591078339694,0.175233084951818,0.187868146072371,0.151917469720972,0.133370304377612,0.116929812118181,0.169951281706833,0.132693465393595,0.182305182969174,0.292410321301564,0.159406430705654,0.122239211858956,0.102781713984707,0.146797240990038,0.200941126285395,0.142433894210359,0.255413482162209,0.206356960479164,0.144653942646487,0.116481488185834,0.135251204299535,0.151065659366218,0.149568725780426,0.178728478260172,0.211151605684465,0.189371542826175,0.143048544228944,0.0910231083968644,0.140118720339577,0.189345351027675,0.177342449388543,0.211250136725281,0.204872841617469,0.218310852080388,0.200490747642092,0.242176598394735,0.150855523114947,0.193913272638698,0.158189804791495,0.141155311653186,0.259412209369746,0.160793087431079,0.165034190568154,0.146155857171996,0.160496861101532,0.139558353961315,0.13248330553807,0.148129693759174,0.154185317679509,0.218336631606105,0.171658139436672,0.177496461989264,0.105932916242826,0.134611981294629,0.151604306365269,0.184765637853893,0.142224646790091,0.150709646009965,0.159997429318732,0.118410642027538,0.243456340901135,0.100495650403712,0.181578071541212,0.119083102093071,0.129219526550905,0.107114676364565,0.267637281351831,0.238572334803159,0.207693655569244,0.163266514479857,0.15248365171374,0.218642108125402,0.163462871518888,0.174450026164043,0.129328019609648,0.118210124474383,0.117139028970326,0.174626754833311,0.14934164278735,0.150919870451068,0.135646310690778,0.129735603087313,0.146589531139887,0.145530005068498,0.12935245985847,0.155530101164412,0.140088766895911,0.188217116743984,0.189927691518158,0.132688680077608,0.132322270948208,0.214208730734115,0.118102537619951,0.0753350184870959,0.156045387523973,0.16092636541798,0.146652666356286,0.124547716588238,0.0976195588822356,0.155562100021994,0.132597774782091,0.092956132414494
2,0.174534495895968,0.278633451167115,0.268623928355142,0.178974168925463,0.226777270741206,0.125308821348032,0.103675050459073,0.23689756320262,0.244716629265866,0.183603493991508,0.220223406359198,0.169249226289997,0.180885954838245,0.130973563690189,0.20366840551689,0.144063938867333,0.115715418952429,0.227882690330239,0.107324744971686,0.184686816761359,0.124459928359054,0.24730675431038,0.199996974138065,0.195352469523863,0.207060223216479,0.159370727933038,0.100563561111081,0.167460913218571,0.12893708509602,0.134767529096488,0.15627021702338,0.284872141479225,0.162310345152295,0.149416257260666,0.151740136819049,0.242919058485873,0.254759339476639,0.210511922629924,0.176735743965077,0.168190810859517,0.143777384276082,0.180780457957827,0.274069748338255,0.135430862580191,0.0973209144931038,0.110146372730362,0.139848724254597,0.127737520784315,0.165635716284874,0.195686661968935,0.226295554999532,0.145348007153303,0.230689690444866,0.139168857592268,0.197451143695519,0.0903001519413214,0.106307484467326,0.276860082175142,0.165832595031098,0.133613715557661,0.187816102587452,0.215836897284666,0.126588217087253,0.182292322414991,0.114644278945496,0.194155662793646,0.156926066258559,0.184610960007249,0.130786349247454,0.186850579959796,0.135616880538915,0.104477739256839,0.124518434525786,0.0854296312209075,0.163290900995845,0.193992685302283,0.124332969925265,0.160872173854602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.176023810416349,0.252078468275386,0.161624121685272,0.16439830477307,0.189455059417762,0.144956576328993,0.159142933854767,0.188844385364721,0.158904533233015,0.149614438900545,0.148228707823233,0.129669800836886,0.161918361611011,0.236637526698592,0.272495213087947,0.157991329147727,0.140892869488042,0.110336983066515,0.280164848975517,0.101593197133066,0.0956831240866193,0.171128317418369,0.228549580740379,0.248786790180492,0.13996703537215,0.183548133475274,0.270801529310562,0.14521715271801,0.132254445047883,0.223247988053323,0.129510251872139,0.0902282873908045,0.192179479428622,0.08490971980712,0.111343581938139,0.0872734546030154,0.193875526866361,0.0755904039622631,0.178238796151103,0.114739904103877,0.19818472216666,0.123170648608847,0.0983391498385632,0.1132961706681,0.132178065817612,0.148865398373972,0.0824760753907302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.108444764839932,0.243012341068002,0.198278471436228,0.114349458451111,0.172789403554822,0.144680527546967,0.27031481511204,0.242204969979305,0.176360285566212,0.122264190212179,0.18128247757658,0.128362143376824,0.183001664247734,0.10273906146589,0.222523888140786,0.309080120627313,0.220913806062956,0.194689274008987,0.101339490779709,0.234063459660241,0.151031889505151,0.313201922162414,0.209227842534803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.175979124527556,0.181801309888725,0.165761614059866,0.250618978567172,0.120678672092035,0.131075031786339,0.132876969936709,0.151152407931424,0.137848475638714,0.131747140999505,0.121543727595024,0.0962607844972491,0.135069726557221,0.139820429175268,0.104272585815289,0.126472182022021,0.119976835819115,0.186637897865411,0.15470552431896,0.151753157114481,0.251675779446169,0.196876443983712,0.185702726815935,0.104805691890478,0.100093619437001,0.134710947636051,0.142944432915437,0.196796075762702,0.139135582809736,0.136541839362321,0.17038008902916,0.0968529256235265,0.222793718139045,0.160084461117879,0.113077307465436,0.0877360707385859,0.0733036315035625,0.119829588097539,0.133568091309591,0.118903910267999,0.135558640453501,0.161045356893845,0.0901943253814061,0.132504995392191,0.0909983938579806,0.12252910027214,0.11708116018461,0.224954914359512,0.219883031568777,0.213293298424337,0.145690413552094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.151078331769972,0.158497880648937,0.155911807554936,0.0759227883155076,0.11570971280893,0.22370715108801,0.146816698410047,0.140609778526593,0.251470246122752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.137499611426554,0.225684797330999,0.189001533932593,0.132232135617899,0.223889330450475,0.143441304834417,0.23984259943226,0.107423418873171,0.200729256679417,0.176235245349972,0.177668750120937,0.138977715347024,0.142013343680607,0.155193992946915,0.118629136109108,0.355504489060082,0.128936857401737,0.159860308836385,0.179302828530516,0.128296845815228,0.179476978789116,0.185272464350661,0.215545660570494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.223543514193711,0.149325717088081,0.104525018725628,0.113050419387133,0.120671886692314,0.161125478538992,0.150322598845245,0.080415404428204,0.0783133349526903,0.133495272978517,0.126790620735148,0.0970706557544662,0.0882651971623521,0.197358683665391,0.173329634882329,0.103825533825824,0.128943405650904,0.13580221900632,0.154453042562257,0.149188293622139,0.12463694782484,0.125191350212674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0946614390082584,0.177132812717095,0.174207696540979,0.212782441742929,0.103383623163762,0.18012312193702,0.14946708717553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.106529528444877,0.187985539938647,0.104023859036517,0.0989444667783527,0.268490184948602,0.0873366855071156,0.163658033555273,0.120766708499739,0.176987672085923,0.101150405072836,0.128329854730425,0.142901281191395,0.138226179392228,0.144013550128919,0.117416107238082,0.140845735746767,0.12147475165105,0.151772254591652,0.0904374411500563,0.167545378926159,0.104754054916194,0.102221486630272,0.347337227514586,0.139339467791595,0.208253409587662,0.150233300332146,0.138526757944047,0.24717185034152,0.161790250811665,0.234837485626779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
