Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271,Probability_272,Probability_273,Probability_274,Probability_275,Probability_276,Probability_277,Probability_278,Probability_279,Probability_280,Probability_281,Probability_282,Probability_283,Probability_284,Probability_285,Probability_286,Probability_287,Probability_288,Probability_289,Probability_290,Probability_291,Probability_292,Probability_293,Probability_294,Probability_295,Probability_296,Probability_297,Probability_298,Probability_299,Probability_300,Probability_301,Probability_302,Probability_303,Probability_304,Probability_305,Probability_306
1,0.464614722630164,0.295178979869276,0.411177817224472,0.575545206708766,0.420868240011194,0.482889133538816,0.554406982695429,0.434499130046354,0.338403379621429,0.474608865200698,0.418993008045192,0.256901456324589,0.346727996624306,0.219770461116639,0.273272569060209,0.398313064754278,0.302213309513719,0.200197553316685,0.48741010547087,0.2699035208877,0.370909289323572,0.348167988564659,0.369012126369133,0.425373499745546,0.307555778621282,0.215410883284823,0.349176870748871,0.33282867584483,0.49763507291783,0.281617819754357,0.212803697541472,0.419365897392733,0.382568977509241,0.252093085852834,0.323342295440707,0.442348189024412,0.323431584683809,0.364618902341691,0.330018972943259,0.419057508976037,0.22825783209009,0.3510668921491,0.512726780805975,0.543488312782891,0.431895054344672,0.299212877613336,0.475910116400379,0.428041338638745,0.335451024735529,0.473425146895637,0.252363741924281,0.443540305155953,0.401975950394859,0.323403790203483,0.289925364856271,0.249652844387792,0.390416181923415,0.443505332867277,0.519695367512366,0.497910268054715,0.327051690678161,0.441891630744189,0.453132795043145,0.3717246169197,0.316895986332772,0.428424644444058,0.378839267011695,0.462768559898226,0.415883389121327,0.449768224998964,0.3449300435884,0.244847727751092,0.196424056287888,0.40680529659013,0.292101216028263,0.265843826008767,0.405610646639482,0.289208947128946,0.312920984380625,0.299303999796487,0.21986720241397,0.204520904929812,0.534925681122799,0.213966166356675,0.524982120420442,0.267911109562947,0.348398892279915,0.48591294813917,0.373665579789074,0.359757471734002,0.400546302952004,0.210545203495123,0.438832105361495,0.354986505357377,0.463883842876513,0.323104310502985,0.367333139342869,0.373170952131909,0.378787854248956,0.291130280155764,0.283374184521869,0.350397968640986,0.306041676688402,0.400190799986891,0.489648530951765,0.321118048007093,0.225529108831291,0.333558747975311,0.467156829354338,0.485037744259422,0.390514174047318,0.396144263280123,0.33705824663076,0.380943224520807,0.418925246326816,0.388633157055974,0.255616790677033,0.207775414527966,0.321042042045711,0.481324380709586,0.403680269840467,0.309552063198614,0.376897113980428,0.270041185638253,0.375489279387762,0.306792074572437,0.555760181759769,0.266267685250138,0.259457257386846,0.212863480363944,0.50461300457668,0.407491084591895,0.26467409474135,0.298740607275981,0.540986422063758,0.365891272187031,0.33698560142345,0.223578581282204,0.259350551472878,0.419513716430649,0.188510573845413,0.358158791715857,0.390959684059408,0.339888263989311,0.410060587314097,0.276652547617222,0.422864958353066,0.417976747227265,0.456677797548751,0.481439241912211,0.322301465039563,0.305957225700351,0.346549267362488,0.296095756893012,0.261388857856723,0.232121375592897,0.20584382210511,0.33457617699138,0.283619198319126,0.477282358995293,0.351057589647486,0.262383814342734,0.387664581918338,0.271600119663768,0.249351784836123,0.272825980991108,0.387876228021255,0.258411784236213,0.397581578125195,0.28894625658737,0.353605288663179,0.285224114563074,0.218138752833881,0.269655180787649,0.378335075203331,0.319945259841558,0.223406825353489,0.308980810524975,0.291162347760862,0.335989864557437,0.272615855325202,0.327028525373035,0.275033022215303,0.35313701099948,0.359562422305393,0.457587305619553,0.377019485705086,0.319069949024426,0.354092101488386,0.407626936020359,0.436029116344711,0.318089864112436,0.231561718645824,0.408561493363578,0.374930574356262,0.315617897443666,0.371698909539361,0.467927212012427,0.450038489274139,0.314424674273616,0.414926597099854,0.254750062251337,0.414394754991214,0.494234361105422,0.259382094177097,0.334659778431574,0.304961326694654,0.445226597162866,0.183167411932062,0.264905711370127,0.426865030465306,0.287577264338723,0.364057035837862,0.382695899681659,0.351056100039186,0.243632407268635,0.487241664879236,0.237247852235544,0.39898410368336,0.159824405210927,0.585241178177442,0.422083177896987,0.421818334030558,0.236478286574865,0.565936142792215,0.288016550836687,0.325463844251801,0.333212178174529,0.208459296133597,0.478880441318478,0.333050912011734,0.330204060059683,0.275267311463116,0.429917780714598,0.248997099426616,0.512328284569696,0.490018451259708,0.303970813179989,0.326491930059112,0.232867765363956,0.388432446812733,0.40836754524923,0.466112818167042,0.33832754728556,0.289826383569068,0.40144491986656,0.323589930957019,0.279611243457645,0.42882812992195,0.266640053977602,0.477777135951558,0.274805502026238,0.271790368538708,0.336485053086166,0.388856030598942,0.427493050441932,0.524657505968108,0.37987523502995,0.457606374936693,0.224062283211935,0.52301665961785,0.323350687820855,0.27632915399591,0.480750751816352,0.594018413149798,0.39989446767103,0.359833709277589,0.474952045806527,0.340962354789579,0.368734173240694,0.553007151844314,0.342275033262937,0.283386588240982,0.297477333249233,0.260859074436773,0.307297276693327,0.250506681132256,0.343475704266117,0.463903949967213,0.382064621052242,0.426775625385439,0.250598353909599,0.261153226932077,0.263874730521288,0.342060661233449,0.539124397130606,0.226614919819269,0.532570270939049,0.358218485630965,0.449045545383515,0.202225378445878,0.175856403158222,0.38567696176862,0.489025652296041,0.529823996925206,0.302516523153097,0.255309897959871,0.349475667748872,0.351399500274928,0.330146561718469,0.224519948118326,0.238778263634061,0.222532606318805,0.283299071586952,0.279522482978026,0.382309569586894
2,0.718020619499333,0.336864940406455,0.402694949959645,0.245502916374513,0.309653448775627,0.360419607190624,0.176382482164064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.356285905907784,0.213500965924038,0.280851409586002,0.257701570035529,0.406468133825044,0.235296790942571,0.310111347842793,0.284116772774694,0.318493829041529,0.272889416203293,0.261631318080012,0.246775224323747,0.266711853999445,0.203673238547852,0.182362380883087,0.270899700351748,0.32852580645816,0.328946244766431,0.230916643554047,0.236672095656226,0.274922985718785,0.308470820574068,0.222800389689893,0.313492741128635,0.207249683918445,0.252956176116684,0.211921090626517,0.294171317196694,0.219405038846868,0.218103549127329,0.18901688238627,0.287422552717908,0.268355866860525,0.194048714075508,0.219803308641613,0.196794050237475,0.279394503547791,0.250276499411451,0.300632996093205,0.208255200337166,0.31947747470672,0.32558649383927,0.254451051536436,0.251860622029416,0.292079177889663,0.310101454916113,0.326768913745404,0.297986440127693,0.279949096211913,0.20681033852276,0.31772960126961,0.202581853763532,0.240625721182737,0.261419837210507,0.453789158316708,0.298957982787189,0.29428187976985,0.385940850816193,0.71294668633677,0.253031366252034,0.287789945099569,0.236249944701776,0.300183812469783,0.222123427564083,0.242679364259754,0.3119539273963,0.275276729945593,0.201184375486812,0.288042886345988,0.26932337923704,0.241513798103129,0.367953358333224,0.27167072170319,0.326827892970831,0.239495875899565,0.238047620559393,0.189713816006889,0.243419706864718,0.285707583897776,0.23745953977184,0.24740548004595,0.383033438947265,0.229000184586721,0.280329367961298,0.221880789841843,0.178339356011242,0.244051073552551,0.241984518783132,0.255365314043219,0.25506106113106,0.40476246299169,0.171148355651074,0.217845060439516,0.235853013276426,0.260528017475533,0.264034709632308,0.190374569998367,0.286603917478117,0.272420954265696,0.305455586241316,0.230992811790461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.188859066956299,0.383464024205663,0.423657898726399,0.301872436378608,0.264989449371679,0.288722262779479,0.312120248194917,0.379608347438324,0.243833141399623,0.394201915286326,0.195017761144604,0.308345083874613,0.238270728055969,0.290070539066609,0.419642608533465,0.223177656677915,0.189885278033146,0.364638241229388,0.219245958333325,0.449787310449399,0.249935049339482,0.269444270046831,0.350814747296651,0.318428853979418,0.280553434141519,0.251075564621869,0.319689598861401,0.216685760424502,0.39717745015256,0.277618423299648,0.278139344279971,0.239843480936708,0.221706718831088,0.246115314809931,0.455141820826861,0.32041705073127,0.224305645957442,0.204347419238223,0.285236331378708,0.208184489465887,0.25355574012507,0.19153329357867,0.197104301139478,0.260371050242394,0.412624870665578,0.36624291490162,0.254305998873343,0.347365981097014,0.37607748108129,0.318193606929069,0.350399030867632,0.292489825757285,0.265177232449894,0.347489618312011,0.365907629312314,0.396492815382696,0.32766645013642,0.349406895807875,0.302370221730935,0.281594636817216,0.378619209553406,0.261020565740293,0.300915646519877,0.230430111742003,0.21282460420988,0.245458809492687,0.348209417711888,0.310830177431382,0.222643464793805,0.222506209541946,0.252218153745534,0.355180298950314,0.249697099070676,0.337038023318011,0.340104087253706,0.210813337588791,0.252328243304275,0.349459173653125,0.316614746392822,0.275395121772552,0.269081814191311,0.380465391717383,0.288913733531772,0.249286305318277,0.215106657132264,0.211060613996692,0.245714247254254,0.295628615848844,0.372284592391857,0.441239938613901,0.258442086697923,0.251148338856269,0.275986626132229,0.344758181310911,0.380508019078493,0.22337562958407,0.232480369778055,0.172395213187827,0.249053261627427,0.234855423157331,0.206599523861581,0.241291573003456,0.269100597698309,0.32426004986527,0.230782435894781,0.316134470734335,0.353129904628399,0.295336326186978,0.215252674469109,0.264724295379025,0.271651813985971,0.265660874211846,0.288929983638911,0.300898712855382,0.223455553341194,0.339121346944992,0.368690088158059,0.297724945854419,0.343202665987061,0.309020105309996,0.231969929562276,0.27851958395826,0.260234590288741,0.251935206490054,0.268948058965219,0.326799860047627,0.259638772250357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.477370314394476,0.276602255582576,0.312072758350076,0.656912338213245,0.233892130029128,0.581729927383835,0.226211092527104,0.554638745057835,0.278382839299189,0.257687565399169,0.498563402364895,0.391350944857143,0.455755327874119,0.472888498852373,0.433465424753538,0.274456644104973,0.237898577589313,0.438423656599363,0.432785723379088,0.640386405673358,0.297303400694751,0.366403375818477,0.427678856728545,0.217162887745239,0.549359056928253,0.585168195685515,0.210461134208168,0.413822098039921,0.386914420635762,0.491511827835493,0.404811962847886,0.24035733272281,0.239416212418842,0.375088263243813,0.370803585553595,0.589427426441178,0.491967268978759,0.191104741511,0.32098786580737,0.431554200684233,0.206232908043319,0.500010287378333,0.244228542330063,0.259812461875002,0.497207665968175,0.532275757461607,0.606265834108461,0.444435940982069,0.47918642606362,0.509530607065191,0.586506999387551,0.406375695459908,0.261966304548749,0.261783789976561,0.239633262757229,0.485762453599647,0.294460624627504,0.505330088733022,0.418788382366623,0.446158558232152,0.446258336581355,0.313931447436141,0.562939762979132,0.253871525961213,0.437027754107911,0.31049598067583,0.385017282674856,0.62658187592639,0.425353226903229,0.578927469967467,0.269074317987851,0.603345396958476,0.431186636901752,0.246291389155624,0.372678104341122,0.298086770454181,0.550605266044673,0.435697335704863,0.551318513483515,0.394384490238193,0.552790136784019,0.511267003360205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.364212864066506,0.340955273614538,0.417195716409272,0.31576447029061,0.212006692060484,0.271565255483021,0.279191166147308,0.3677082164253,0.286025178918028,0.203029415911835,0.321856341567466,0.315454773797575,0.316533879345889,0.404633544356658,0.239674638166745,0.316295083720245,0.307148561464263,0.3620340869753,0.378108910961844,0.216550178112585,0.364198303132282,0.483641939928924,0.201614075281896,0.400017537501987,0.221231084409055,0.209733510201266,0.232818147988167,0.294449547146173,0.539753011198609,0.203857560003181,0.542355280231221,0.476599501856127,0.53310329727083,0.320161213203067,0.358925665589372,0.276240272658429,0.217038419438336,0.271580428062241,0.302867022246868,0.343619450200915,0.362065451616634,0.328025057782185,0.329786466162486,0.24745836738275,0.518001261637816,0.308526030968179,0.258976258048564,0.261527584972268,0.254508391922068,0.346976640511537,0.272536378205473,0.309818002277553,0.337064638266918,0.291014018465212,0.273801411621434,0.303724768954958,0.419971716714329,0.200993446770252,0.25752848094904,0.343481138914307,0.338075626533068,0.492867117667266,0.181856482927618,0.409003754733141,0.36946857939261,0.352342357595763,0.252409780662435,0.307640291055072,0.269585262647483,0.339987068431071,0.287223848306129,0.255413437786181,0.278624536385873,0.327178622396064,0.392833625509062,0.248962466501651,0.431558306960797,0.262675915659449,0.435015040985823,0.219796790773657,0.177395444087783,0.349965394690025,0.464909788195422,0.363154840933078,0.271579410229886,0.375279540378957,0.196407826697949,0.230591353429055,0.444524743320897,0.300262937510629,0.299030453497786,0.345208108522486,0.356748593190004,0.361327027746864,0.361960017996065,0.245077834209252,0.320262415147509,0.344260528020739,0.234497094398806,0.155867704831292,0.232308897087279,0.362951920658625,0.238077565599202,0.191350173013584,0.250001384924257,0.361505546983393,0.277200400562808,0.380243597811789,0.320903144152656,0.264680940636837,0.21980350959611,0.264063131183229,0.430793759997246,0.399543232516251,0.288750662008848,0.2607579540674,0.318043604950073,0.165881854999174,0.445741919776333,0.487191348104879,0.208275868731752,0.280821935806087,0.299033366548109,0.169466101917626,0.30267947434439,0.319505756182055,0.299157121420912,0.28757129746668,0.348440525353655,0.238204121921306,0.282383431750826,0.285373296564356,0.382959857764656,0.412025859733175,0.238241467096014,0.222605844245018,0.172435371732051,0.38905424303414,0.513296429649715,0.273021912440509,0.340380867241976,0.266776495144099,0.268857830554148,0.46331198105573,0.401248845134308,0.264182612246657,0.295184904307939,0.329285163298627,0.354953640468516,0.278856947947086,0.252363699275754,0.481822127430021,0.297177858338703,0.350726121878456,0.224971932971777,0.408111738826139,0.422383653692607,0.32958178659636,0.277898986595851,0.302273772935859,0.488312587880674,0.351157021446235,0.504399513833397,0.372841628671115,0.145544545989018,0.413864737802897,0.225594585572478,0.355442713386449,0.343374375011971,0.342802690298415,0.279360153587052,0.355870950690982,0.349081802217272,0.472832782119215,0.298309819151553,0.21966923836857,0.275020324693172,0.438636580748559,0.46527783618706,0.364788356621859,0.461529236298349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.302609225805958,0.209948016971467,0.385014606862635,0.401008508461945,0.341436139245382,0.421833010335003,0.544084456275907,0.409277867998863,0.227941778495511,0.245662830297417,0.341521263640831,0.555937207930426,0.254557494544065,0.278681846277874,0.459592864582718,0.298920119693573,0.503238036561171,0.42267411402766,0.250804548659636,0.381005683368267,0.406980865733481,0.431193379603338,0.425844024869596,0.519783518902027,0.479739107833028,0.397656206587337,0.328338609032838,0.492656184173242,0.366981897071219,0.278191419066564,0.301222552478763,0.49610177621339,0.300405772197198,0.57766677832563,0.234767369676284,0.348717045219655,0.447851632933672,0.398635545700592,0.298113001823752,0.255667469235641,0.24511992130632,0.17805881260678,0.491830448232688,0.307426840744941,0.348476448160285,0.230797091207588,0.424061801251121,0.195225102365817,0.240195886075151,0.364961698961298,0.259808656284545,0.519880987356383,0.295783547375252,0.450044998713331,0.30104206048913,0.239067805709434,0.342348900498306,0.470505043197151,0.380897415557762,0.247793590681869,0.352441278783257,0.4531469577801,0.374584033028866,0.3905353228886,0.330789442344139,0.41712189176094,0.171316911701319,0.207585447529795,0.229631032062091,0.429924735961619,0.398847230077316,0.234951079115464,0.252702134858402,0.192746400084581,0.262583617105184,0.528664859857924,0.254284311764355,0.242440114315381,0.43243272635969,0.453339938972548,0.310953803819103,0.504226979841406,0.194772874743934,0.225370144295787,0.24266901512277,0.30927241643748,0.233575985923648,0.397670893497958,0.370708903592073,0.258731779754173,0.220334471645847,0.37406457585463,0.280239436004174,0.541499434346322,0.251847258098743,0.198488043670202,0.232719770293507,0.22504570638313,0.430787060426746,0.45110117163634,0.218564274779413,0.34510135281157,0.435575181996343,0.373229865454969,0.227151364989266,0.42450541976522,0.275450397858311,0.390164211589666,0.353258114516302,0.512586914748411,0.223168016230214,0.453102813700318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.321546383570151,0.398035339725123,0.423109191636204,0.278468796987468,0.349593883385163,0.881402381698565,0.206804711398112,0.650660490101188,0.210105574055414,0.254783527168449,0.182585126580479,0.401837233936688,0.172847622715243,0.315920460483889,0.376316280811615,0.405571889617427,0.327927463196612,0.209237835217019,0.18456377868301,0.286168465951317,0.290246190416264,0.239801199869786,0.287281848289212,0.428894990836997,0.33132730354195,0.391546028439912,0.384288338991939,0.269445604530433,0.243272393416335,0.32082762389511,0.244274822138513,0.244545834963311,0.203063090621515,0.178716976550372,0.213305676858575,0.247417686106145,0.419204625880083,0.210677419895242,0.306489768417206,0.325512607579646,0.340644026863817,0.252305090163604,0.339284289775809,0.202661166622914,0.303936334492294,0.401917164095842,0.354268554414241,0.284014801063819,0.212561368595462,0.266634583444958,0.29061626241899,0.214121644949344,0.450844578472936,0.87814856504014,0.265478297801731,0.310321830238866,0.264539427574664,0.411578780087128,0.294678285146836,0.259111857913176,0.240742630544063,0.200269509045513,0.293129147704259,0.906377161713078,0.32081259195298,0.408395118518746,0.329444009924931,0.326276822797861,0.340271896484134,0.2484796244849,0.489630514944812,0.229283281353842,0.174755634002379,0.301088559112321,0.294664852248577,0.331636002646274,0.208555065523342,0.329376423789873,0.200752483631705,0.332791961087636,0.232456297860799,0.321432121991383,0.326473862610596,0.212971964398568,0.308589130118155,0.442102445958658,0.23034062572445,0.351492451807017,0.418074765300351,0.331885909978797,0.177720163370174,0.287323023850665,0.220705735043004,0.288219004148916,0.245135343551227,0.236731376596421,0.315392781518939,0.211929299888271,0.254613435542697,0.265033590031728,0.497659356629644,0.335102355496949,0.411783255132912,0.235766247011456,0.293235530693493,0.324087232995082,0.215156168800184,0.824113176330457,0.229397560094357,0.235730444936488,0.20451326652921,0.235351247151927,0.249400469237937,0.252364671112483,0.344841058855635,0.418667097072074,0.273670122067994,0.209210328540757,0.868254826491006,0.19282712084535,0.322201773071901,0.201006218832472,0.760218973037069,0.231102455180846,0.279443113418482,0.26181036181928,0.406829322460689,0.294781539489487,0.506818390247576,0.310693387321796,0.229370709347184,0.241589958961788,0.18828363140909,0.218419639956944,0.360082362046114,0.374013457969511,0.385777024614728,0.21593789129006,0.223521436682239,0.336798134817481,0.202520626508288,0.368554343185616,0.253690339723688,0.303918529722513,0.896084617108753,0.475173347984686,0.862485289678667,0.290219386626569,0.293171887638012,0.342573247713593,0.320151698739282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.315784291812585,0.216637530998198,0.264238872155272,0.240532801376644,0.233512135897799,0.207896818668194,0.225108156105329,0.184362992334655,0.237358116946764,0.257586350529473,0.29488862685673,0.343685519514658,0.339257980881475,0.256822614578835,0.394170296490327,0.273591066474989,0.252895636447839,0.274275023169972,0.372016232542849,0.299580476259676,0.208195779834421,0.283219644493036,0.203992386774369,0.283589836045394,0.156469354558777,0.281624926459151,0.195729138496477,0.248080896112144,0.257104829823064,0.379093904033402,0.248386980441351,0.274701010458144,0.221044311252027,0.243756206066961,0.273001791901889,0.233004272424437,0.270582936225039,0.170939831531972,0.320485668121419,0.27871638841275,0.430006101185467,0.289217781317523,0.298189991792001,0.353676346351494,0.279246647319661,0.209457187052028,0.189699011871292,0.238959254440183,0.250841014445443,0.267301730674491,0.218933452186093,0.271277996285221,0.214355968361482,0.235571301995357,0.356697745587181,0.216804658788595,0.261327663058654,0.249803576825259,0.27895125785227,0.280502885266825,0.334069406025649,0.311759790836222,0.278241314129285,0.284177492358309,0.280389687330753,0.331437913360314,0.310921297601523,0.246399479696991,0.244079465950116,0.236297580719181,0.380013578551164,0.204272741932525,0.219364991584318,0.281076591980133,0.292274542796547,0.243278444639012,0.344723221618425,0.371855349163576,0.293015641971028,0.336552182645199,0.347587361378304,0.316706042112603,0.25782690292746,0.168568649448011,0.247551703992175,0.24791393060126,0.291201821692436,0.279464896945177,0.257869765045435,0.246806310760569,0.216347848687828,0.308115896315261,0.370029178730535,0.23327939880954,0.206590736538484,0.167338809111197,0.294502007872931,0.289012282919355,0.288361543145491,0.346879164331796,0.221302451735772,0.233819128305299,0.242770054048281,0.180035888190362,0.216685894774685,0.322446089240775,0.219160781122756,0.237995107885222,0.221690358848835,0.381430525740119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.266304962394345,0.214363765468094,0.238484459834586,0.259215889489206,0.262320766940597,0.510061420731132,0.270135858876696,0.341523903613105,0.416236072568478,0.34442170332486,0.287854768652899,0.485221448853545,0.304571555585819,0.308226141540891,0.264121250526299,0.438326844644891,0.298419183491872,0.421651783265773,0.414654451520863,0.263280633406263,0.504341757795353,0.243493507681045,0.279592360534499,0.227633373551603,0.249435310584111,0.210342221134867,0.312295069859777,0.260063053262734,0.298640062232172,0.205162405191939,0.374311996814162,0.21210281334324,0.300952839339135,0.594600484101235,0.237972506596656,0.536787946724148,0.507458516999452,0.25849126926898,0.222703791800447,0.307768147802429,0.398221762830539,0.243581415170107,0.263429199534717,0.223328340327058,0.268849164396064,0.295018940828775,0.323610706154722,0.221694542875317,0.219456568921761,0.288703716631277,0.286025495497009,0.260289064574314,0.417514832694788,0.260057169829417,0.412762007473013,0.307435289809055,0.276857921544931,0.238402994921784,0.396065218706434,0.224036362986661,0.506642470314119,0.346702395879847,0.202906547348282,0.172617174045044,0.240992748770799,0.299341208826997,0.426854189299096,0.378461131252221,0.374631393607826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
