"Topic","1"," "," "
"0.41872","171","Chakravarty-2018-Blockchain-enhanced Identitie",""
"0.38842","564","Korkmaz-2019-Sustainable Member Motivation Sys",""
"0.37924","481","Jain-2021-Framework for Securing IoT Ecosystem",""
"0.36264","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.34832","280","Dutta-2020-Blockchain vs GDPR in Collaborative",""
"0.34129","1000","Uushona-2021-Network Forensics in a BYOD Envir",""
"0.32789","835","Ragnoni-2021-System and Methods for Blockchain",""
"0.32653","473","Iqbal-2023-Blockchain Technology and Decentral",""
"0.32334","535","Kera-2020-Anticipatory policy as a design chal",""
"0.32215","901","Shaheen-2021-A track donation system using blo",""
"0.32203","351","Ghajar-2022-Schloss_ Blockchain-Based System A",""
"0.31607","122","Bohara-2021-Adversarial artificial intelligenc",""
"0.31481","712","Manchanda-2020-Neoteric security and privacy s",""
"0.31406","842","Ramesh-2022-Under lock and key_ Incorporation",""
"0.31213","538","Khaki-2021-Utilizing Blockchain Technologies w",""
"0.30823","288","El-dosuky-2020-Using IoT and Blockchain for He",""
"0.30703","415","He-2018-Toward Privacy-Assured Health Insuranc",""
"0.30477","442","Hu-2021-Blockchain-based public ecosystem for",""
"0.30345","865","Sahitya-2021-D-Lotto_ The Lottery DApp with Ve",""
"0.29993","167","Centobelli-2022-Blockchain technology design i",""
"-","-","-","-"
"Topic","2"," "," "
"0.47406","1193","Zhang-2023-Multi-Party Evolutionary Game Analy",""
"0.4495","1235","Zhu-2023-Three-Party Stochastic Evolutionary G",""
"0.4464","1223","Zhou-2021-Game Analysis of _Blockchain+Supply",""
"0.42645","921","Siomos-2019-Syriza's Populism_ Testing and Ext",""
"0.42477","945","Sun-2021-Evolutionary game analysis of blockch",""
"0.39115","1091","Xie-2022-Study on Enterprise Financial Risk Pr",""
"0.33868","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.31426","941","Su-2022-Blockchain-Driven Optimal Strategies f",""
"0.30924","356","Giraldo-2020-Electronic Voting Using Blockchai",""
"0.30134","1203","Zhao-2022-Evolutionary game of banks and enter",""
"0.29834","217","Cheng-2021-Traceability Management Strategy of",""
"0.28478","694","Luo-2022-Comparative Research on the Game Beha",""
"0.27836","220","Cheng-2023-Incentive-Driven Information Sharin",""
"0.26495","507","Jin-2018-Evolutionary game analysis on permiss",""
"0.2625","378","Guo-2021-Optimized Combination of e-commerce P",""
"0.24406","824","Qin-2022-Generous or Selfish_ Weighing Transac",""
"0.24295","216","Cheng-2021-The evolutionary equilibrium of blo",""
"0.24091","668","Liu-2021-Analysis of Accounting Fraud in Enter",""
"0.23412","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.23145","823","Qin-2021-Malice-Aware Transaction Forwarding i",""
"-","-","-","-"
"Topic","3"," "," "
"0.44829","360","Gomez-2022-Watch Your Back_ Identifying Cyberc",""
"0.40657","802","Phillips-2020-Tracing Cryptocurrency Scams_ Cl",""
"0.38391","1233","Zhu-2022-Making Smart Contract Classification",""
"0.38257","841","Ramamurthy-1992-High-Performance Liquid Chroma",""
"0.37141","369","Guidi-2022-Sleepminting, the brand new frontie",""
"0.36212","489","Ji-2021-Security Analysis of Blockchain Smart",""
"0.35647","1063","White-2022-Characterizing the OpenSea NFT Mark",""
"0.35623","471","Ibba-2022-Analysis of the Relationship between",""
"0.35216","925","Smith-2022-The Spectacular Collapse of Cryptok",""
"0.34244","987","Toyoda-2018-Multi-Class Bitcoin-Enabled Servic",""
"0.34106","752","Nadini-2021-Mapping the NFT revolution_ market",""
"0.3403","29","Alefs-2022-Secure Decentralized Online Gaming",""
"0.33445","536","Kerr-2018-How can legislators protect sport fr",""
"0.33413","370","Guidi-2022-Social games and Blockchain_ explor",""
"0.33408","532","Karapapas-2021-Fully Decentralized Trading Gam",""
"0.33398","975","Thenjono-2022-The Business Prospect in Metaver",""
"0.33027","366","Grillo-2022-Fashion and Metaverse_ an exposito",""
"0.32286","754","Nam-2022-Formal Verification of Blockchain Sma",""
"0.32166","1002","Vairagade-2022-Proposal on NFT Minter for Bloc",""
"0.31847","643","Lin-2019-An Evaluation of Bitcoin Address Clas",""
"-","-","-","-"
"Topic","4"," "," "
"0.45907","274","Du-2020-Optimal Computation Resource Allocatio",""
