Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175
1,0.128107751044171,0.232476765866322,0.226438122726802,0.261532502198391,0.251478398659364,0.146615972481617,0.201745940367413,0.201763403301957,0.160444245222809,0.0779281036957702,0.182037692654742,0.172580618181862,0.120869342876549,0.124605885273892,0.133436593626491,0.185517406137772,0.172675885844224,0.270159902775034,0.193148292904415,0.197777412716093,0.22940240035308,0.178231095328281,0.165423151038072,0.25096748553709,0.154677047447243,0.249826212300751,0.229266507167561,0.170143546325058,0.142347477817339,0.157691083108372,0.0464996272725494,0.106445953997127,0.149896877449631,0.201653245474406,0.119019697465949,0.167689783452164,0.19661602508277,0.245598279632348,0.16111131044154,0.213965571273825,0.165275009789531,0.143843133766277,0.233570604113692,0.0964674986481872,0.185915163392776,0.13932279429848,0.171053794318743,0.104900704825552,0.172353212331645,0.128139845589362,0.177142212927081,0.200483509414706,0.128571094381778,0.177175840200372,0.165490233366871,0.200010562809202,0.138176219828806,0.14290017293352,0.151298371190497,0.12769499093026,0.129453445188625,0.123332684560302,0.149131907169075,0.171070246394994,0.113617732749179,0.10969453845225,0.154130304236595,0.271579057531318,0.188753466483266,0.167454929032601,0.155100369975713,0.13529137985628,0.142576967465899,0.100738943389711,0.214926346869852,0.146722749790059,0.125363606136911,0.214011841149834,0.163927951988725,0.156934236070575,0.247435490143576,0.207688828500872,0.184961027452517,0.118493803416203,0.229016910897772,0.20945342224889,0.171492698458566,0.204302637507837,0.143875198859986,0.110005538305597,0.170746620698699,0.170005579896737,0.245359372849056,0.0724282358207609,0.168921339421034,0.276762096580829,0.152373288771419,0.223244258809392,0.125344743533906,0.105012743760923,0.184257510154601,0.116701879155356,0.150298395560614,0.135268755522316,0.107468380750468,0.213060303756174,0.143908858653126,0.150079759963037,0.173560418963347,0.133133444043088,0.16270509604693,0.133374432308137,0.213748467411431,0.141757295906046,0.163974770536362,0.231543617593742,0.211392390246309,0.179497224588248,0.121799235793595,0.158682232268407,0.102004184339119,0.139180403851068,0.154334080903886,0.129624077807989,0.177464859894177,0.139403625615832,0.223461020440983,0.0823266265346459,0.11436729539012,0.146463425979464,0.128910279248748,0.250483858210572,0.205061013051612,0.159796491596111,0.126180608782475,0.17443072239668,0.20680274334193,0.184964112551535,0.162167363842975,0.147416653878237,0.11313927472104,0.225836309133617,0.133345723681557,0.121337747275264,0.133868443479103,0.169025274517486,0.125242063230742,0.227958712841871,0.207686253908142,0.242412905509971,0.205385705856397,0.186857178692856,0.114133758448644,0.140301076560237,0.181738545480875,0.284147137564599,0.135613264716972,0.157525068521813,0.165412546582712,0.151085424279904,0.170587050796941,0.124117713974426,0.247650493086522,0.0994678846066057,0.151819528478809,0.105242480671123,0.150916149175904,0.130049939214982,0.126795092483095,0.142280220292887,0.209082846491151,0.17499239973247,0.202504645153377,0.200898765937339,0.114879942178731
2,0.218084691967367,0.206847334298435,0.11870119710139,0.115414288603452,0.0999925531354563,0.198723236837381,0.13079445149538,0.151362738130708,0.183541283006647,0.201802674305799,0.151790166009746,0.128731258764049,0.190047175615755,0.158022611322098,0.110733940982571,0.172679182246492,0.103188954477057,0.111456844767897,0.0841385911841986,0.106998574127946,0.132890435016605,0.245492319868046,0.139745111636885,0.160894768578348,0.113016533340409,0.112988761658895,0.13800675673664,0.122237759892162,0.066806808079575,0.142247253809968,0.14196811587195,0.114213313565102,0.131784551277532,0.127466725333085,0.136868286075433,0.110742937885223,0.115867249745431,0.0976385540826733,0.181507397178988,0.130001797450827,0.123132033978268,0.136982110684662,0.147616492641951,0.112737639990432,0.190076641612377,0.0937660696861111,0.13030658503891,0.123097970335455,0.121842769013508,0.114904525193299,0.119420851284112,0.11699427183547,0.165524424763034,0.152110554712289,0.16133546692561,0.107568438067284,0.104988749681452,0.0813650292574159,0.149331157829994,0.132672716936649,0.0998705247857163,0.169572761461374,0.158654054023962,0.178326169188084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.103385485941312,0.0990326277427838,0.285930425757289,0.127807035819724,0.116258323199717,0.112357754753564,0.179299537384915,0.134626065918445,0.241579619555817,0.135412186112052,0.166347071124361,0.121053600151331,0.143572316106644,0.127456702218568,0.175574264428949,0.137313551690696,0.15735032177287,0.177947119378778,0.108196925149897,0.103411530744897,0.123097505507276,0.107621008864185,0.126767990778836,0.13514023412863,0.149833308254949,0.184796888017134,0.102150050794156,0.151468853470066,0.131103930936665,0.0925993830842533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.203595247354171,0.148981736165486,0.190267963426158,0.120562108886209,0.141903645739019,0.112019030902162,0.110982159477563,0.112230408343175,0.154772595856322,0.108029466125545,0.113049577518061,0.127161220322182,0.227622603277368,0.112932171434783,0.143212653710322,0.101699198595274,0.0887499767854098,0.268801816694839,0.185745809097686,0.247481085153743,0.125381657074372,0.115479262091939,0.0996580833732476,0.167415691274061,0.106267303068676,0.175242491171997,0.148254099186593,0.154612025363849,0.111748701414563,0.147787819817488,0.13645574360512,0.126265778683594,0.142607256528178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100467950534823,0.128517399187797,0.10389499962983,0.278330807104376,0.206657857727511,0.115405772481552,0.102198267890863,0.30933537053104,0.109451115896489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.160866762100593,0.358472432454133,0.0924249695159816,0.13607070101309,0.127590273783348,0.109583236788339,0.200892634380484,0.247657128382257,0.126712236341331,0.132384393761566,0.180474799527118,0.135992424546484,0.100389669858033,0.13377235964689,0.222075917887759,0.127024273632443,0.161150459999772,0.101178397834851,0.136341477102842,0.205641834937022,0.109961992910583,0.151238205218511,0.188405844154793,0.179796760808515,0.137446998638274,0.113338151154825,0.105903709812922,0.104697774685629,0.0708577711803621,0.138946764498607,0.175716899291583,0.239068203471036,0.162795680238393,0.195429963433615,0.160819574971139,0.340610853858419,0.12046152604799,0.0749793419025784,0.185638457791909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.202298114968265,0.150412071495735,0.119799963148748,0.0790396792243585,0.187088781876029,0.130985325662247,0.181204120922384,0.133085714488623,0.153612733014639,0.148031338221227,0.15368086099289,0.14746344102839,0.0975143741301581,0.146303630121013,0.121942446333585,0.163651837151599,0.167233549712076,0.107801941325662,0.0979708458295286,0.146416533756761,0.179324336672352,0.124520341656949,0.117832879905739,0.1384933285514,0.115272003067955,0.0934424842247161,0.211512894084625,0.174010495160926,0.123045418982139,0.141260085741429,0.169563550399945,0.126703134855603,0.142355481558165,0.137997065009791,0.226200373061928,0.180496350809428,0.159295440645649,0.128526896864743,0.221366264481026,0.139141939830516,0.104704844768605,0.180692646531024,0.179827141509503,0.153218675709546,0.22498047764103,0.188406964600573,0.138565294514665,0.166439027399261,0.145283580738852,0.119932868138068,0.117714709563686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.101284643754194,0.178496295011152,0.240157149591343,0.108465416899221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.202176315932152,0.161357832271819,0.163171470573422,0.215806210387544,0.263208799523355,0.129118837850718,0.102977546116266,0.11773412807057,0.124065288475161,0.26887059070379,0.119135931646812,0.134540177203824,0.207067057359141,0.140276342597714,0.151486698567554,0.120726955925677,0.164889099115303,0.181048008322259,0.150786749173525,0.0707083261860471,0.104157749759578,0.164390306639704,0.118256364941974,0.126405819901867,0.179794501869479,0.215362217994693,0.296519025270498,0.181155670456164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.18239461693619,0.178574866750921,0.229494292974383,0.17345272604823,0.161653199017589,0.178394054120964,0.121782983394582,0.18492567145786,0.164128847005568,0.134679698612934,0.150219403225066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
