"Topic","1"," "," "
"0.87484","39","Amir Latif-2019-Blockchain Transforms the Reta",""
"0.87474","785","Pan-2021-Dividend or No Dividend in Delegated",""
"0.86577","1194","Zhang-2023-Transaction transmission model for",""
"0.8604","447","Hu-2022-Research on Multimicrogrid Transaction",""
"0.85754","582","Kwantwi-2023-Blockchain-Based Computing Resour",""
"0.84982","51","Armani-2019-Seamless Grid_ An off-chain model",""
"0.8456","1019","Wang-2019-A secure private charging pile shari",""
"0.84135","1199","Zhao-2020-CloudArcade_ A blockchain empowered",""
"0.83647","554","Kim-2022-Advanced Drone Swarm Security by Usin",""
"0.7944","290","Elarabany-2022-Evaluating anti-obesity potenti",""
"-","-","-","-"
"Topic","2"," "," "
"0.78174","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.64276","89","Bauer-2020-Is there a market for trusted car d",""
"0.61904","1166","Zagar-2021-Distributed applications in gamific",""
"0.59359","221","Chepurnoy-2019-Multi-stage Contracts in the UT",""
"0.58572","164","Carnevale-2020-Ethics and Decisions in Distrib",""
"0.56524","280","Dutta-2020-Blockchain vs GDPR in Collaborative",""
"0.55689","86","Bartoletti-2022-A THEORY OF AUTOMATED MARKET M",""
"0.53176","772","Nugraha-2021-Improving multi-sport event ticke",""
"0.49799","103","Bezerra-2022-Teaching software processes from",""
"0.46244","1230","Zhu-2019-An Incentive Mechanism Using Shapley",""
"-","-","-","-"
"Topic","3"," "," "
"0.95659","17","Agrawal-2017-Stronger security for reusable ga",""
"0.87959","226","Choi-2022-Development of Blockchain Learning G",""
"0.87506","316","Finogeev-2018-Blockchain and smart contracts f",""
"0.86749","748","Muthe-2020-A Blockchain Based Decentralized Co",""
"0.84275","730","Miranda-2022-Quantum Brain Networks_ A Perspec",""
"0.80274","471","Ibba-2022-Analysis of the Relationship between",""
"0.78996","140","Brzuska-2014-Using indistinguishability obfusc",""
"0.78339","319","Fouque-2004-Blockwise Adversarial Model for On",""
"0.7775","18","Agrawal-2019-Attribute Based Encryption (and m",""
"0.7436","335","Gamal-2022-Challenges and Opportunities of Blo",""
"-","-","-","-"
"Topic","4"," "," "
"0.93707","113","Biais-2019-The Blockchain Folk Theorem",""
"0.81076","789","Papathanasiou-2023-R_ddle_ A Fully Decentraliz",""
"0.70625","1151","Yilmaz-2022-Examining the Use of Non-fungible",""
"0.70536","714","Manzoor-2020-Scavenger hunt_ Utilization of bl",""
"0.68944","250","Dettling-2020-Bloxxgame – A Simulation Game fo",""
"0.63419","594","Lee-2023-Facing to Latency of Hyperledger Fabr",""
"0.62237","769","Nikhil-2022-Instigating Decentralized Apps wit",""
"0.60354","1138","Yang-2022-Joint Optimization of Edge Computing",""
"0.60113","766","Nguyen-2023-FedChain_ Secure Proof-of-Stake-ba",""
"0.57277","359","Goharshady-2021-Irrationality, Extortion, or T",""
"-","-","-","-"
"Topic","5"," "," "
