Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262
1,0.312519419120051,0.243288879926995,0.439138955776649,0.211242000272002,0.347820125425124,0.350937646391304,0.441663356830406,0.394220123605132,0.527046711018654,0.725549410567989,0.116380276939865,0.247975956123112,0.116380276939865,0.701917000871267,0.396196650339633,0.263131002418721,0.190264451180532,0.116380276939865,0.300101565909568,0.351162463579358,0.267176588586625,0.609198537920126,0.406417608510201,0.273526366663288,0.25629020611968,0.272846798425772,0.274796384474678,0.184513796871569,0.268537282527865,0.295101142853659,0.268769833221018,0.25558366935543,0.298318151275657,0.296077689174576,0.209095007626056,0.276924930056384,0.232604723046348,0.254262986746852,0.332348740158256,0.116380276939865,0.116380276939865,0.355449231535716,0.280071156636558,0.33804463716815,0.233467065641627,0.395319981411351,0.244723161255415,0.212074888312034,0.364063962503819,0.218493409943024,0.268652615360498,0.236067833343779,0.187791764839722,0.304956947708198,0.322000930827294,0.491445709203283,0.254159194574355,0.321257908061685,0.313055119020976,0.399404671405709,0.412353382672048,0.278139251152259,0.367371196040572,0.282431071645604,0.252602097304109,0.250703471455838,0.351758002120731,0.190957380549087,0.191610723458484,0.37570869974542,0.488591966797688,0.203748128568961,0.532217973090349,0.20086390280795,0.202219283336551,0.116380276939865,0.206070421822569,0.339033115001073,0.273153362351064,0.49343042191829,0.185417475078545,0.208007457999014,0.23989540594479,0.285654134743158,0.228509376823266,0.627457473305056,0.314253627843573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.350704785771618,0.310397792249436,0.294345884595823,0.291441248894778,0.344263285139616,0.554825832614527,0.255911471807214,0.345093396906204,0.472601013849604,0.257585323521502,0.335195035183996,0.606341090702134,0.522850692230351,0.261844172217687,0.455746496268978,0.401465447369032,0.438304652437128,0.223423852694056,0.563561227289949,0.218833084548061,0.444524166366581,0.329952601956302,0.289043859704826,0.242105401179082,0.417264644698871,0.400532072774992,0.221460485446676,0.258997631922482,0.301523012071239,0.217529453869627,0.378256100861057,0.262164663627847,0.299677488999864,0.344842790599708,0.245900856782905,0.180272456324381,0.397559058598631,0.402471173049969,0.16685085242363,0.352790984334526,0.321041085693703,0.201226671635981,0.300651439526163,0.213515034384511,0.761559734777761,0.272877125523292,0.296470863467467,0.256319016859165,0.208849625580832,0.480881466134513,0.359221644641344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.372246811537534,0.319156941410093,0.238941346553473,0.20094697255633,0.279852270134867,0.302528053379626,0.220911931317879,0.211869989688006,0.245275906388535,0.260029117183758,0.29958225057616,0.387256923062211,0.246166565046233,0.242005427347579,0.440073405759552,0.315625464442856,0.351739679079659,0.616960865290884,0.687872425419668,0.269675066409618,0.530432749324913,0.266110604014791,0.246750582423465,0.350639708358002,0.29281817008279,0.331763167469508,0.247265777456436,0.361700228333522,0.215378321054032,0.236556841550122,0.371528939591269,0.481167657500267,0.206137722289424,0.284362764682105,0.295209602787928,0.698620139882237,0.281320740028279,0.785335157178041,0.274323210546055,0.283482883575895,0.287396769704146,0.36418860225865,0.258860129601273,0.45221560783509,0.307050094209771,0.252221381113089,0.495573102319093,0.227626609578062,0.441811257517471,0.375960465301124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.597848239662447,0.207752781053599,0.450364922207733,0.174265610392093,0.161805320626285,0.34804376520367,0.174464611451333,0.312571403872455,0.582191057662063,0.17865730217673,0.151153530160264,0.347812978387912,0.458750321439764,0.337709167844278,0.23026152666757,0.347343036653573,0.310184820539924,0.355488250715518,0.219011910204209,0.213849162825487,0.249877076294823,0.228269678415376,0.389516769227277,0.243024007158711,0.19235044473283,0.373691629465818,0.317954229829062,0.410000827953024,0.339875423999136,0.232532569550345,0.258471899927357,0.217685381376142,0.702760280063376,0.223816577245314,0.164061436028802,0.295461212574916,0.291106570890186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.624746858783645,0.166198314974696,0.366975787543472,0.187182230642721,0.502578196075946,0.215956188101076,0.201129361417163,0.293157463602314,0.187776208085965,0.271458882512955,0.339490127885375,0.244783695193192,0.255344217437334,0.372801334051959,0.327407695392094,0.192143114381947,0.205184212690899,0.806313713779092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.222501669597157,0.295449857477934,0.248231243244107,0.277128769859367,0.461823734231431,0.370614090171539,0.353639274331194,0.211937480467661,0.213749963905555,0.812681620141829,0.697230713298409,0.192241810390562,0.244005020174119,0.243501715101356,0.497187986178719,0.83792946798443,0.251989476928676,0.336388531124813,0.321243668732863,0.240618083392242,0.303426821710109,0.433895879037163,0.366756585857639,0.285540964193792,0.298134441064378,0.292149814684474,0.277785514866308,0.489934123619514,0.296108486433564,0.342637598231688,0.34183593681701,0.406229186255286,0.319251163049918,0.263124970324867,0.210559874571358,0.377337441578607,0.513724522191809,0.325075386997358,0.451926296873448,0.24944703119749,0.394450974889295,0.207929055213557,0.17530505269132,0.2043376258353,0.518396930133631,0.406732546983315,0.288893567515847,0.266488810984774,0.338486946956555,0.282404734489848,0.408074280227577,0.279305282312953,0.446173324831771,0.578402796274143,0.255197267901777,0.577072261771254,0.401426585741495,0.470380824484437,0.319117415698595,0.176723870414124,0.328783321288947,0.214897819996948,0.27971642816334,0.307180182925246,0.721428800830011,0.34271762344498,0.283292372282381,0.269445989091666,0.495796641576188,0.296100043951089,0.276506540376191,0.467030697446979,0.350446265216233,0.451487566263559,0.461912064404074,0.260295882277395,0.418030139935125,0.18096128193029,0.207749938819851,0.315096950090711,0.347225164851401,0.225715123285256,0.225352291762964,0.277341567416048,0.532366811946629,0.50801032302152,0.301854552851643,0.386173486666218,0.268957861384528,0.216390579762191,0.312794100853356,0.309135170992743,0.525793500116569,0.398668616867536,0.316537292949756,0.233668071185449,0.215579718902569,0.264044257350201,0.282985691675606,0.231409769225777,0.250389510044427,0.338373778875585,0.226941092505227,0.168719290481333,0.231741917223284,0.438913712725909,0.223623726844301,0.329915941038497,0.396179564306803,0.166763242996583,0.405731737740778,0.478049089425136,0.494266615042009,0.608103553826811,0.415335031956231,0.292345102826552,0.309523751012699,0.433156536405706,0.371047425175116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.251325928732744,0.278900309317777,0.296203558570928,0.252626257285713,0.222645601710542,0.316283416116255,0.204795408036688,0.249346091280989,0.264299047313506,0.164894998925367,0.277527635366836,0.231688006916603,0.324347788164037,0.289804982507704,0.380706698503668,0.197007929432753,0.281291164063533,0.435348423803844,0.263847945296253,0.29271288904307,0.485847762776356,0.277073744322044,0.34798493485368,0.338272286180802,0.188015450877937,0.319920590340259,0.374855853802651,0.251577494262674,0.350570109080243,0.366495032049418,0.426109819295881,0.329578876882547,0.388767736887475,0.324806863029386,0.412834464184293,0.301575847421045,0.215887007112401,0.298300297269919,0.227531245163086,0.168375495344256,0.307294244889242,0.273995365359164,0.297313796595595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.639642128556858,0.201257451587811,0.409423534388295,0.209952296843952,0.200183333685831,0.264285635539436,0.409464357682858,0.423598187702483,0.334042099729501,0.247688516696735,0.254123683789691,0.438010550954584,0.180735831719299,0.295643495747879,0.529524566388775,0.367091301017231,0.268521226260507,0.213001804772852,0.262573522185875,0.282160121207989,0.204759381790656,0.26181769206082,0.678326861203888,0.217351440338512,0.248402776624871,0.272610947002299,0.338371157173644,0.308515193439985,0.317159209483735,0.265987220378843,0.198140412810824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.357868695300636,0.274413631945823,0.631032050942767,0.31424287675834,0.416068705468884,0.274986526101344,0.239669125095881,0.598102615209162,0.316204336971037,0.27943247047966,0.627850286732092,0.257385016898518,0.28120354826548,0.361379531366763,0.264498542343141,0.424019281123399,0.359830509134602,0.495312398940834,0.323378160444352,0.754157066314913,0.472811107843557,0.67950623249788,0.470298299953983,0.465742308917871,0.693218136819968,0.494489775685218,0.523557288216981,0.437343456466746,0.521443171067091,0.579088677040407,0.540456184921214,0.719257817134876,0.43365204635963,0.268094117587743,0.624088291753606,0.465425205367031,0.379446165128277,0.445079103037989,0.576903510565214,0.411716985507424,0.466370074950139,0.651550388685915,0.411873285835903,0.532553909569045,0.41922208414641,0.295337583324849,0.607377024525109,0.254697142843734,0.323330276154378,0.578163200364355,0.401984921433268,0.181301712563493,0.668228224428522,0.457675100701557,0.540998285212663,0.410691598489102,0.582758525226301,0.591793120184435,0.488738507784822,0.610821964247853,0.798414412163808,0.399056930867493,0.480042810482579,0.505508334103632,0.295660306535344,0.452649489995939,0.370127911256418,0.319738828589693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.560923258648762,0.401815282513276,0.337752444573904,0.579402205573003,0.448905243164693,0.377355637491676,0.533363713370294,0.242022882781195,0.81713451564624,0.532400137950023,0.283130289309557,0.797282391319158,0.303291492205511,0.406146384269824,0.39788941607596,0.272693126312678,0.436534574585262,0.474792382453654,0.378346248934126,0.274709922042814,0.522020159377978,0.344374186979563,0.477948707931942,0.521341134207373,0.320806662464238,0.403204534682844,0.271501991926735,0.384906683177449,0.527765197111108,0.263571238234744,0.286707312541362,0.25032829142102,0.285434392242515,0.534693519742063,0.437926397971289,0.542523777804348,0.60186026846574,0.213579493080425,0.605675082724458,0.230015446615844,0.557195725684582,0.61044138790919,0.23274267318229,0.402248994925407,0.321474533920916,0.270166529425077,0.560301298526049,0.380598430254281,0.303970606633764,0.563614364752251,0.399799308407898,0.425164258457141,0.639718691892645,0.39410987928869,0.448911716270705,0.529514157256638,0.261298798096915,0.369560050868112,0.479241102101809,0.309472151462679,0.252815927529254,0.554898528038888,0.40439584752625,0.318224469458884,0.401255705407561,0.271994650956585,0.374529826122092,0.328647575536267,0.296920140037058,0.448900448807913,0.269406158553935,0.427312444930283,0.292697671624517,0.570415441212757,0.21893652402645,0.25381804106189,0.272841028418855,0.830792116943959,0.489193656914628,0.206425379773966,0.397736510162234,0.242049499473385,0.325791063078677,0.296146956490309,0.65353705804334,0.342611618170746,0.434750279978821,0.324794226726025,0.28364197748529,0.466102636070652,0.337101845861024,0.387274017507948,0.238646495587091,0.222221392854051,0.252407826067678,0.33636276027733,0.588820098572952,0.237929521757221,0.419537229053236,0.477550065885031,0.441972144334159,0.314187613858947,0.275619733743948,0.192109189896913,0.508058602054738,0.437146294838413,0.48591314496381,0.783449092822062,0.358481258076313,0.563361394352023,0.405314578525239,0.280031422886809,0.843446917432187,0.538391476269685,0.46088155567797,0.408048191677673,0.510791828660086,0.335702691333863,0.290324295110947,0.217922390066775,0.320773256564083,0.301869606185066,0.386097927481617,0.292382850359869,0.308828332744754,0.406599134117807,0.462822809313058,0.44078128146407,0.435728820962576,0.338172624851355,0.26300128410368,0.284467474563088,0.223263025967847,0.304564733748466,0.365635421100688,0.337063514653233,0.388254966410293,0.286608064816998,0.442193074806059,0.413307643530327,0.275692269273849,0.34456433089694,0.345609691432139,0.424334039253369,0.455144203786665,0.594796267247136,0.568787920224929,0.30713792628595,0.516052564389986,0.246787532111883,0.228233371625473,0.238686204343912,0.233140418305424,0.357830273008112,0.283499823531451,0.878698482887585,0.480283771885588,0.442632065736778,0.307612814623571,0.573452137910499,0.438297620777685,0.407022346103933,0.421765763493035,0.666147297655819,0.430501774595735,0.362943375593448,0.316929901698001,0.4563056162634,0.401671347540111,0.354194631723918,0.457900787170999,0.281536090626065,0.352453753703461,0.334310720466455,0.410042463136144,0.308556928546381,0.384203677415913,0.441468809870474,0.45061528079423,0.299324108942475,0.400212983519289,0.744891135128153,0.493485359863111,0.223080812988006,0.326954046360538,0.587753817989254,0.269015174648225,0.670858898010759,0.318047949755451,0.274561914798158,0.344755312051556,0.53360948386864,0.743048437882324,0.338538182894282,0.302706369643332,0.606601295895166,0.240827338319454,0.239846064534211,0.287206418471859,0.435000915702742,0.500575023502828,0.358101418002879,0.498906474832924,0.431058606105746,0.408905171853954,0.523098565556845,0.31967594799792,0.516166774381968,0.322626090789875,0.280963265233356,0.237828424148103,0.81552606792083,0.367461175344586,0.240777056439343,0.627885694661073,0.263575706858819,0.185103330735307,0.666576890229567,0.389938965068179,0.471858408208968,0.291921339988923,0.245921383977542,0.40931721829044,0.425582877148216,0.57148056856802,0.395068666176254,0.249086629166423,0.254869285524685,0.404882778332742,0.27100414070039,0.417105368171111,0.691397127818641,0.238082506206079,0.396130902654464,0.239976755444119,0.438121997942724,0.284637404802268,0.287517630413558,0.254310883025246,0.293131315149403,0.467816176789086,0.331323554693325,0.266759898180474,0.577312649845694,0.420807466912568,0.25866881438821,0.26266700375419,0.388832561071448,0.853850095747523,0.829938606326404,0.474948588680457,0.190677368664079,0.209948728129959,0.440451636682853,0.252388206875352,0.492018150966098,0.318300723815518,0.210244298895154,0.401552090557006,0.415296264395842,0.428485355057717,0.262796486906005
