"Topic","1"," "," "
"0.71062","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.46962","572","Krasnoselskii-2023-KRAMER_ Interpretable Rarit",""
"0.41958","311","Ferrag-2021-The Performance Evaluation of Bloc",""
"0.37095","25","Akhtar-2020-Blockchain based auditable access",""
"0.36535","607","Li-2019-Decentralized On-Demand Energy Supply",""
"0.3442","122","Bohara-2021-Adversarial artificial intelligenc",""
"0.33494","101","Besancon-2022-A Blockchain Ontology for DApps",""
"0.32022","741","Morstyn-2019-Designing decentralized markets f",""
"0.28583","285","El Gamal-2019-A Single Coin Monetary Mechanism",""
"0.25552","571","Kraner-2022-Agent-based Modelling of Bitcoin C",""
"-","-","-","-"
"Topic","2"," "," "
"0.67139","369","Guidi-2022-Sleepminting, the brand new frontie",""
"0.46384","649","Ling-2022-Hash Access in Blockchain Radio Acce",""
"0.40471","1201","Zhao-2022-A Secure Intra-Regional-Inter-Region",""
"0.3815","405","Hassija-2020-A Blockchain based Framework for",""
"0.31857","184","Chen-2019-Lottery dapp from multi-randomness e",""
"0.2966","1196","Zhao-2019-Consortium blockchain-based microgri",""
"0.29264","931","Spoto-2022-On the use of generic types for sma",""
"0.2596","112","Bi-2023-IoT_ A Decentralized Trust Management",""
"0.25367","1157","Yu-2020-Game Theoretic Analysis of Reputation",""
"0.2458","812","Proskuryakov-2021-Predictive-Free Methods for",""
"-","-","-","-"
"Topic","3"," "," "
"0.51108","146","Budiman-2020-A Crypto Compression System Using",""
"0.49792","116","Block-2021-The entrepreneurial finance markets",""
"0.4229","648","Lin-2022-Metaverse in Education_ Vision, Oppor",""
"0.35544","699","Lv-2020-Blockchain based spectrum sensing_ A g",""
"0.35096","385","Guo-2023-Applications of Blockchain Technology",""
"0.3469","994","Tsabary-2021-MAD-HTLC_ Because HTLC is crazy-c",""
"0.33652","898","Serada-2022-Fairness by Design_ The Fair Game",""
"0.3322","638","Liao-2021-Information-centric massive iot-base",""
"0.331","877","Samanta-2021-ToSSecC_ Two-Stage Solution for S",""
"0.33033","968","Tang-2022-Incentivizing Proof-of-Stake Blockch",""
"-","-","-","-"
"Topic","4"," "," "
"0.56824","1028","Wang-2021-Game-Theoretical Analysis of Mining",""
"0.48543","913","Shi-2022-Threat Intelligence Sharing Model and",""
"0.48322","416","He-2019-A Smart Contract Grammar to Protect Io",""
"0.40791","30","Alghabashi-2018-A finite multi-dimensional gen",""
"0.37661","901","Shaheen-2021-A track donation system using blo",""
"0.35193","448","Hua-2023-Blockchain Enabled Decentralized Loca",""
"0.33881","544","Kiayias-2020-A puff of steem_ Security analysi",""
"0.33383","954","Suo-2023-Proof of Travel for Trust-Based Data",""
"0.32952","187","Chen-2020-A Secure Content Sharing Scheme Base",""
"0.30723","69","Bacis-2021-I Told You Tomorrow_ Practical Time",""
"-","-","-","-"
"Topic","5"," "," "
"0.60698","387","Gupta-2021-Block-D2D_ Blockchain-enabled Coope",""
"0.49698","35","Alwen-2021-Modular Design of Secure Group Mess",""
"0.39586","132","Brache-2021-Relational Capital and Blockchain_",""
"0.39401","889","Seid-2022-Blockchain-Enabled Task Offloading W",""
"0.39038","751","Naderi-2022-Leveraging Blockchain Technology a",""
"0.37802","1082","Xi-2019-Perishable digital goods trading mecha",""
"0.35975","289","El-dosuky-2021-Handling Industrial Consumer Ri",""
"0.35004","486","Jebari-2022-Analysis of Blockchain Selfish Min",""
"0.34673","413","Hayrutdinov-2020-Coordination of Supply Chain",""
"0.319","827","Qiu-2022-Fine-grained Access Control Method fo",""
"-","-","-","-"
"Topic","6"," "," "
"0.46129","381","Guo-2022-Incentive Mechanism for Edge Computin",""
"0.42342","1220","Zhou-2020-Secure and Efficient Vehicle-to-Grid",""
"0.3382","41","Amoussou-Guenou-2021-Rational Behaviors in Com",""
"0.32949","330","Fujita-2021-Mining pool selection under block",""
