Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107
1,0.110199530811919,0.114154052741521,0.145882684750277,0.214367219566351,0.19485733844113,0.154937146950556,0.169800607268796,0.150188949251126,0.226407808312666,0.148000507107425,0.226386625473238,0.137172919244043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.332638954946409,0.133554462812926,0.233822253391969,0.188951587169611,0.263857544011919,0.17163152659355,0.185221674713342,0.183389602293247,0.232875744845393,0.232440852846478,0.237387531831468,0.115642409928746,0.193219909045365,0.177784388871209,0.135441854832399,0.271251477557523,0.278481768046061,0.202887282182737,0.0774291596754847,0.211094640109598,0.377078797291006,0.168549232217879,0.16651705345667,0.223473035376212,0.124049486610483,0.176252469739497,0.207305210594267,0.290199753394679,0.356377037790177,0.217577403664609,0.146663892664534,0.15676122307047,0.181904288126341,0.270639713610205,0.174448661707011,0.183788207931364,0.189119683288825,0.164872944253927,0.272068629638978,0.151662762525437,0.239276362625964,0.150978961389125,0.142602308162007,0.332769578964202,0.238551706834952,0.297731978666284,0.20287151072065,0.253008705397437,0.257624705907729,0.200299585444454,0.307877848002937,0.180443647075859,0.235937399058073,0.194700818059954,0.268018406389184,0.194264418614847,0.228506295434022,0.327533903421951,0.230480996539808,0.165546945125911,0.2083851963808,0.179730785098067,0.175456394697688,0.284508179998428,0.242720617567539,0.252311642269989,0.172051773890112,0.157201282444789,0.182789689717903,0.167067075717649,0.202798651139854,0.16035774660125,0.24041974360937,0.208213427421596,0.227855353332916,0.176133280392031,0.307286352116139,0.273714707555146,0.182960025035753,0.148451041811449,0.139876624089777,0.12477368010147,0.24829840637097,0.182648528026665,0.116351345509763,0.246483380859453,0.249962207024725,0.353846675446361,0.214551146183467,0.201340869531187,0.198593636081379,0.129979975312471,0.243446962238746,0.122613221190041,0.252214410498877,0.317552596887162,0.219944769214106,0.342412829264558,0.165490260842219,0.128129967974043,0.127102460540828,0.178862669146029,0.169515034353604,0.260025271947177,0.175464389427717,0.173375435764181,0.148377511424874
3,0.362976139217932,0.163979514678788,0.26364180117642,0.13735137609208,0.365210384993598,0.247951304397636,0.161646165651123,0.198466403577747,0.209450048103014,0.169798211409822,0.21330539449107,0.291194374829353,0.184105028455014,0.178282104228433,0.14267623125399,0.120693197618847,0.439993422495834,0.194666755442798,0.322462425731513,0.472218596852592,0.569606908857162,0.337594732022524,0.53442131036772,0.179444053578661,0.210530174353317,0.428710363194963,0.33647022901565,0.436591408739961,0.18112064243592,0.193719309919712,0.361681437705564,0.135676053937743,0.311646651647326,0.307654662226583,0.190753773565792,0.181441974702093,0.317645069736689,0.105902207132037,0.21501395084473,0.198323204267939,0.185327439451636,0.120442863459988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.26258390980255,0.215603738964953,0.199698288740851,0.271255507823101,0.22410032353417,0.160412213493462,0.261097233855432,0.227991043190314,0.172909992611666,0.163148711158721,0.213422416034245,0.135758596008897,0.296705206269123,0.230067314439108,0.250565748288283,0.296902615090823,0.189777728851355,0.226224421324736,0.37286073575168,0.188324195104332,0.264521727296051,0.197998168127565,0.305866434531636,0.207131840224422,0.204865835844917,0.240943736545499,0.149516067483978,0.129006208603745,0.154398452696844,0.487349697246641,0.138078743565806,0.281530377426464,0.208269132551795,0.140521577919657,0.217943233236246,0.209086503600231,0.196012748392347,0.203929944719428,0.113871388106132,0.168616452780515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.210596898423957,0.373816235491631,0.289606071746888,0.17844448777033,0.233650010824905,0.236418011503033,0.106968839594341,0.22161108591309,0.293131914918017,0.138283274975821,0.179180037079381,0.389547257567241,0.22085878650666,0.311332348492687,0.31518675774824,0.178760513222472,0.145402187403582,0.294190898278464,0.133867375086542,0.248678001177949,0.407330953373821,0.16294336263884,0.360244151713792,0.200371994572698,0.434419696922608,0.110389379544649,0.344970440867412,0.652313084364084,0.202610861276628,0.338867532916487,0.29239712505546,0.396689113995837,0.314411003830834,0.320288285014477,0.197991646443225,0.319420657786397,0.39753586617681,0.290427929154383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.18872645469787,0.161492141120981,0.210217478145143,0.185691275356698,0.131133412633072,0.175460772318959,0.177427182408343,0.120034642649806,0.237926110243768,0.182083536962288,0.305722134507304,0.189100783978996,0.203733417316519,0.211074443238237,0.174054351417511,0.20814580375101,0.14442067667557,0.194251283883822,0.204395554332543,0.202295522061505,0.147856149584884,0.154718215739891,0.167181959971878,0.242774072901057,0.172539647650722,0.200326652830056,0.241777879100034,0.157608709231475,0.176885063881523,0.171328886044976,0.154672250115479,0.241399100072551,0.225230442668356,0.234043016084651,0.259464834966498,0.341733777335383,0.258485303946076,0.281691155859557,0.227882155611742,0.263156322375621,0.210460056223053,0.137737322450831,0.196564258428495,0.157275628541589,0.137402358962695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.161143027207407,0.203683393544486,0.195525846492245,0.128799272849891,0.18794541360557,0.223949644354245,0.131333834391794,0.121757593366664,0.198080868275069,0.198575405806866,0.162875028168177,0.199146718094525,0.179070036145365,0.186203104689224,0.117442481076165,0.171639349488029,0.172328160689038,0.202705349944315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.171304065092915,0.300515098192849,0.302231878408691,0.158655304767027,0.238883411921178,0.216335066630884,0.13914908785736,0.196555646816409,0.26583417417913,0.126245176363129,0.130568575080037,0.247776196671563,0.23612095564091,0.32039491369651,0.167378165489353,0.212911861593579,0.170572380128644,0.293029259710677,0.224507294902706,0.257944884229194,0.267596425263185,0.271244693588229,0.545058266728744,0.171563997590752,0.174229369829971,0.292487498088123,0.247910860717201,0.259279487687331,0.228627285676071,0.320736955552466,0.286890803276425,0.187092940703317,0.262335767216128,0.188991458092967,0.266481271112288,0.136678175939262,0.237483160820351,0.30545094302517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.340574901837913,0.161415948230365,0.161901890826724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.18873001690763,0.221647884915808,0.206621399712056,0.131981847028473,0.445472859990686,0.171909616658594,0.213132401626334,0.380057541487047,0.222095973589551,0.212665031622553,0.165712517524295,0.344453720606838,0.413360294817245,0.465142767842472,0.342920448822614,0.197331553274092,0.152657502056572,0.177440820846922,0.463911764751855,0.324300662433116,0.407632268919659,0.344058997986666,0.488106924947761,0.465344484754592,0.198299479556542,0.230634120768062,0.385353927162616,0.279930849184329,0.287244466068853,0.197129489323519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.230969034954071,0.396238458915095,0.439892160406546,0.359513303750193,0.331953993473323,0.383625076157991,0.271744308385462,0.181908776045942,0.208998860801542,0.227981676754386,0.564966748417592,0.153023547919743,0.197361001403539,0.420780182042568,0.439757998893833,0.324890349269352,0.493583070800856,0.51887839460329,0.510159544394845,0.285113272597031,0.264604700233003,0.363388401983261,0.206027621597705,0.334898472859773,0.291391906581123,0.273851822592255,0.251482283224124,0.274694879101887,0.433128495149233,0.329517583635652,0.162131051431199,0.202259181672969,0.201171559609521,0.294628138732002,0.281473912617591,0.274662072667874,0.381044343714861,0.176175288822272,0.137436030992605,0.338424957228006,0.238011473367116,0.197124927507221,0.173625431809833,0.173021022981998,0.12804951528716,0.240862906445607,0.311138796771227,0.219800668043139,0.13503059199961,0.296618885938162,0.211626001180057,0.28726290586801,0.318213740418235,0.251167341661848,0.343499481280466,0.338573795716848,0.168414217714861,0.244451454619104,0.187726237589872,0.245739615854994,0.224588232664415,0.179930552273928,0.351158362451231,0.105321037314644,0.397471744063568,0.217012443056117,0.333247468550796,0.219161630721678,0.235271254988503,0.258846357972046,0.203819255538438,0.262397569276901,0.332712064464528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.209830927052215,0.256323078528374,0.18784525738962,0.442186019759701,0.209629849767153,0.267116056690457,0.172131545046706,0.141706254579599,0.405038924434141,0.225461703033634,0.236544266187085,0.158793486734444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.218146329044896,0.279800474568544,0.0971347792122476,0.239321032133868,0.303547589518388,0.291088598712914,0.419024770619864,0.14251809559755,0.183073370124262,0.228672979515472,0.177482049066522,0.251324036825092,0.136066763894458,0.207703992057813,0.157921238461157,0.209743056315324,0.16984526567989,0.266193584426898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
