"Topic","1"," "," "
"0.28463","802","Phillips-2020-Tracing Cryptocurrency Scams_ Cl",""
"0.28115","575","Kuehn-2021-A Practical Tool-Chain for the Deve",""
"0.24282","292","Ellul-2022-SoliNomic_ A Self-modifying Smart C",""
"0.21933","341","Gammon-2018-Experimenting with blockchain_ Can",""
"0.21649","570","Kraft-2022-Horizontal Scalability of Blockchai",""
"0.20279","32","Alhojärvi-2020-Hacking finance_ experiments wi",""
"0.20252","886","Scholten-2020-Inside the decentralised casino_",""
"0.20166","996","Tuomas Harviain-2022-Cryptogames as Drivers fo",""
"0.20131","933","Stengele-2018-Atomic Information Disclosure of",""
"0.19965","93","Bellavista-2020-An Edge-based Distributed Ledg",""
"-","-","-","-"
"Topic","2"," "," "
"0.28525","178","Chatterjee-2018-Quantitative analysis of smart",""
"0.27591","717","Mazorra-2022-Price of MEV_ Towards a Game Theo",""
"0.25702","993","Tsabary-2018-The gap game",""
"0.2529","314","Ferreira-2021-Proof-of-Stake Mining Games with",""
"0.24559","177","Chatterjee-2018-Ergodic mean-payo games for th",""
"0.23292","252","Dhamal-2023-A game theoretic framework for dis",""
"0.21717","754","Nam-2022-Formal Verification of Blockchain Sma",""
"0.21402","463","Huang-2023-Profit Sharing for Data Producer an",""
"0.21202","241","Danos-2021-Revisiting the liquidity_risk trade",""
"0.20635","451","Huang-2020-Fair and Protected Profit Sharing f",""
"-","-","-","-"
"Topic","3"," "," "
"0.40335","392","Gürsoy-2020-Using blockchain to log genome dat",""
"0.39493","894","Seo-2022-Reminisce_ Blockchain Private Key Gen",""
"0.36808","151","Cambou-2020-Securing additive manufacturing wi",""
"0.34412","1005","Valli Kumari-2010-Secure group key distributio",""
"0.34268","266","Dong-2018-A method of image privacy protection",""
"0.33136","794","Paşca-2018-Challenges in cyber security_ Ranso",""
"0.31163","391","Gürsoy-2020-Using Ethereum blockchain to store",""
"0.26901","1083","Xia-2017-Enhanced TLS handshake authentication",""
"0.26867","1013","Vishwa-2019-A Blockchain based approach for mu",""
"0.26253","1085","Xiao-2021-Secure and Efficient Multi-Signature",""
"-","-","-","-"
"Topic","4"," "," "
"0.37631","141","Bu-2020-Toward Blockchain-Assisted Gamified Cr",""
"0.31894","142","Bu-2021-Validating Knowledge Contents with Blo",""
"0.29727","1148","Ye-2021-A Recommendation Scheme with Reputatio",""
"0.25549","604","Li-2019-BanFEL_ A Blockchain Based Smart Contr",""
"0.25228","865","Sahitya-2021-D-Lotto_ The Lottery DApp with Ve",""
"0.24544","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.22362","869","Sako-2022-Distributed Random Number Generation",""
"0.21909","631","Liang-2022-GAIMMO_ A Grade-driven Auction-base",""
"0.21509","492","Jia-2019-DeLottery_ A novel decentralized lott",""
"0.21164","204","Chen-2022-DIM-DS_ Dynamic Incentive Model for",""
"-","-","-","-"
"Topic","5"," "," "
"0.43521","337","Gambo-2021-Effect of the Fourth Industrial Rev",""
"0.42136","480","Jain-2020-Blockchain in logistics industry_ in",""
"0.39478","1167","Zandee-2022-Aiming for bullseye_ a novel gamep",""
"0.36953","21","Ahmed-2022-The Digital and Cyberspace Moderniz",""
"0.36791","715","Manzoor-2022-Blockchain technology in supply c",""
"0.3596","899","Serna Gómez-2021-Advances, Opportunities, and",""
"0.35781","522","Kanchanaratanak-2022-Opportunities and Barrier",""
"0.35155","581","Kurkin-2021-Corporate Database Management on t",""
"0.33985","152","Campbell-2018-Digitalization of tax_ Epistemic",""
"0.3388","346","Gao-2021-An empirical study on the adoption of",""
"-","-","-","-"
"Topic","6"," "," "
"0.44941","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.36633","687","Lou-2018-Research on the Cooperative Behavior",""
"0.34194","1093","Xin-2020-Stability and Hopf Bifurcation of a S",""
"0.33643","902","Shan-2021-Research on Collaborative Governance",""
"0.33536","1158","Yu-2023-Evolutionary Game of Digital-Driven Ph",""
"0.33501","1204","Zhao-2022-Research on Information Propagation",""
"0.33494","507","Jin-2018-Evolutionary game analysis on permiss",""
"0.33373","1178","Zhang-2020-High-quality extraction method of e",""
"0.32447","819","Qi-2022-Security Evaluation Model of Blockchai",""
"0.32108","159","Cao-2022-Evolutionary Game of Supply Chain All",""
"-","-","-","-"
"Topic","7"," "," "
"0.79204","1100","Xiong-2021-Security and Privacy in Mobile Crow",""
"0.23303","195","Chen-2021-Detecting Smart Contract Loopholes B",""
"0.20561","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.197","737","Mondal-2020-BIND_ Blockchain-based flow-table",""
"0.19077","659","Liu-2019-Distributed K-Anonymity Location Priv",""
"0.16899","363","Goyanes-2020-Value and Intelligence of Busines",""
"0.16595","806","Polas-2022-Blockchain Technology as a Game Cha",""
"0.158","910","Shashikiran-2021-Minimal Block Knight’s Tour a",""
"0.15141","32","Alhojärvi-2020-Hacking finance_ experiments wi",""
"0.14597","832","Quiles Pérez-2021-Breaching Subjects' Thoughts",""
"-","-","-","-"
"Topic","8"," "," "
"0.25567","116","Block-2021-The entrepreneurial finance markets",""
"0.22678","668","Liu-2021-Analysis of Accounting Fraud in Enter",""
"0.22208","1011","Veuger-2018-Trust in a viable real estate econ",""
"0.21947","815","Puglisi-2022-Evolving Regulatory Frameworks_ B",""
"0.21918","851","Read-2020-Libra Project_ Regulators Act on Glo",""
"0.21789","488","Jha-2023-COVID-19 Triggers a Paradigm Shift in",""
"0.19856","692","Lu-2023-Safety Warning! Decentralised and Auto",""
"0.19706","16","Agmon-2022-Distributed Ledger Technology (DLT)",""
"0.19386","770","Niu-2021-Impacts of Managerial Overconfidence",""
"0.18001","233","Corrales Compag-2020-Legal Aspects of Decentra",""
"-","-","-","-"
"Topic","9"," "," "
"0.37215","342","Gamundani-2018-An Overview of Potential Authen",""
"0.36979","82","Barka-2021-Sthm_ A secured and trusted healthc",""
"0.34941","287","El-dosuky-2019-SPAINChain_ Security, Privacy",""
"0.3211","711","Maksymyuk-2019-Blockchain-based intelligent ne",""
"0.32074","481","Jain-2021-Framework for Securing IoT Ecosystem",""
"0.31323","723","Mecheva-2020-Cybersecurity in intelligent tran",""
"0.30198","538","Khaki-2021-Utilizing Blockchain Technologies w",""
"0.2915","904","Shao-2019-Blockchain-Based SDN Security Guaran",""
"0.29046","706","Mahapatra-2022-Demonstration of Integration of",""
"0.28989","637","Liao-2020-Proof-of-balance_ Game-theoretic con",""
"-","-","-","-"
"Topic","10"," "," "
"0.64628","659","Liu-2019-Distributed K-Anonymity Location Priv",""
"0.40005","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.38254","195","Chen-2021-Detecting Smart Contract Loopholes B",""
"0.31491","540","Khan-2022-A Survey on Mobile Edge Computing fo",""
"0.23196","308","Feng-2022-An analysis of the current status of",""
"0.22631","153","Canbay-2022-Privacy Concerns and Measures in M",""
"0.22223","648","Lin-2022-Metaverse in Education_ Vision, Oppor",""
"0.20256","108","Bhattacharya-2023-Towards Future Internet_ The",""
"0.19648","1136","Yang-2022-Fusing Blockchain and AI With Metave",""
"0.19603","327","Fu-2023-A Survey of Blockchain and Intelligent",""
"-","-","-","-"
"Topic","11"," "," "
"0.35016","425","Hemati-2021-An incentive compatible reward sha",""
"0.33519","1231","Zhu-2020-An Improved Proof-of-Trust Consensus",""
"0.31601","36","Alzahrani-2018-Towards true decentralization_",""
"0.3002","1056","Wei-2021-A Modified Blockchain DPoS Consensus",""
"0.28743","37","Alzahrani-2020-A new product anti-counterfeiti",""
"0.2813","127","Boreiri-2022-A Novel Consensus Protocol in Blo",""
"0.27235","500","Jiang-2022-GaS-PBFT_ A Game-based Node Selecti",""
"0.27014","989","Tötzer-2019-Blockchain as a game changer in en",""
"0.26997","130","Borse-2022-A Review of Blockchain Consensus Al",""
"0.26785","1038","Wang-2022-Blockchain-based multi-malicious dou",""
"-","-","-","-"
"Topic","12"," "," "
"0.43657","846","Ranchal-Pedrosa-2022-Trap_ The Bait of Rationa",""
"0.42226","845","Ranchal-Pedrosa-2021-Rational Agreement in the",""
"0.39616","464","Hubáček-2013-Limits on the power of cryptograp",""
"0.35047","194","Chen-2021-An incentive-compatible rational sec",""
"0.33359","1127","Yan-2022-Collusion-free for Cloud Verification",""
"0.32013","1169","Zappalà-2021-Game theoretical framework for an",""
"0.31356","866","Sai-2019-Disincentivizing double spend attacks",""
"0.30831","207","Chen-2022-Maximal Information Propagation via ",""
"0.29609","41","Amoussou-Guenou-2021-Rational Behaviors in Com",""
"0.28884","750","Nabi-2020-Game-Theoretic Analysis of an Incent",""
"-","-","-","-"
"Topic","13"," "," "
"0.43913","30","Alghabashi-2018-A finite multi-dimensional gen",""
"0.26921","1098","Xiong-2019-Cloud_fog computing resource manage",""
"0.24833","1099","Xiong-2020-Cloud_Edge Computing Service Manage",""
"0.23667","524","Kang-2019-Incentivizing consensus propagation",""
"0.23246","174","Chang-2020-Incentive Mechanism for Edge-Comput",""
"0.23011","616","Li-2021-Cyber Insurance Design for Validator R",""
"0.22825","1138","Yang-2022-Joint Optimization of Edge Computing",""
"0.2253","905","Shao-2021-On Strategic Interactions in Blockch",""
"0.22232","446","Hu-2022-Leveraging Blockchain for Multi-Operat",""
"0.21777","371","Guo-2020-Blockchain Meets Edge Computing_ Stac",""
"-","-","-","-"
"Topic","14"," "," "
"0.64474","921","Siomos-2019-Syriza's Populism_ Testing and Ext",""
"0.57234","650","Lischke-2016-Analyzing the bitcoin network_ Th",""
"0.45717","356","Giraldo-2020-Electronic Voting Using Blockchai",""
"0.44817","908","Sharma-2021-Game of names_ Blockchain premium",""
"0.40976","970","Tasca-2018-The evolution of the bitcoin econom",""
"0.40094","366","Grillo-2022-Fashion and Metaverse_ an exposito",""
"0.39606","987","Toyoda-2018-Multi-Class Bitcoin-Enabled Servic",""
"0.33804","360","Gomez-2022-Watch Your Back_ Identifying Cyberc",""
"0.32364","1180","Zhang-2020-Transaction community identificatio",""
"0.31915","643","Lin-2019-An Evaluation of Bitcoin Address Clas",""
"-","-","-","-"
"Topic","15"," "," "
"0.32482","818","Qi-2022-High-Quality Model Aggregation for Blo",""
"0.2668","1221","Zhou-2021-Data Trading for Blockchain-Based Da",""
"0.26364","352","Ghanem-2022-FLoBC_ A Decentralized Blockchain-",""
"0.25893","170","Chai-2021-A Hierarchical Blockchain-Enabled Fe",""
"0.25632","1241","Zou-2021-Reputation-based regional federated l",""
"0.22552","829","Qu-2022-Future Research Directions",""
"0.2251","1060","Weng-2021-FedServing_ A federated prediction s",""
"0.2232","828","Qu-2021-Proof of Federated Learning_ A Novel E",""
"0.21886","1212","Zheng-2022-Multimodal Learning for Improved NF",""
"0.21753","799","Peng-2022-Blockchain-assisted D2D Data Sharing",""
"-","-","-","-"
"Topic","16"," "," "
"0.31048","1185","Zhang-2022-Computing Resources Sharing Network",""
"0.26241","485","Jayaprakash-2021-A systematic review of energy",""
"0.2447","1055","Wei-2020-Block Mining or Service Providing_ A",""
"0.24251","663","Liu-2020-Efficient QoS Support for Robust Reso",""
"0.22449","939","Su-2021-A Cooperative Game Theory and Blockcha",""
"0.22231","299","Fan-2021-Cloud_Edge Computing Resource Allocat",""
"0.21976","1065","Wilczynski-2021-Security aspects in blockchain",""
"0.21509","206","Chen-2022-Joint pricing and task allocation fo",""
"0.20928","468","Hui-2022-BCC_ Blockchain-Based Collaborative C",""
"0.20604","1020","Wang-2019-Blockchain-based resource allocation",""
"-","-","-","-"
"Topic","17"," "," "
"0.79308","450","Huang-2019-Implementing an asset trading syste",""
"0.76196","1200","Zhao-2022-A Distributed Photovoltaic Power Tra",""
