Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260
1,0.201776793619061,0.523379168347051,0.43482817117856,0.279309506369658,0.218516900647381,0.448183340964872,0.272777913269056,0.415821407242405,0.306303022485408,0.505657119990828,0.523968781679944,0.394381213632289,0.583593592486523,0.29876534237666,0.767915664574865,0.167997815038917,0.556604713058031,0.245880093301846,0.167997815038917,0.329636114226406,0.58677364938654,0.301029847616278,0.346590866224428,0.509703680926087,0.29336826177603,0.435080531980417,0.244522996380203,0.167997815038917,0.376455294834312,0.27648067941567,0.390154002341831,0.200212988277661,0.332547522083688,0.326900124603642,0.274523528330308,0.425764439890773,0.389464426483901,0.265786835162083,0.277961684953806,0.517196227073101,0.273791166145901,0.342979890442849,0.502686917802251,0.282938713080607,0.484123679462263,0.336393484817993,0.430992694100077,0.378315120554038,0.320515277043445,0.290409499846377,0.304804140981031,0.332415528250651,0.394938272487813,0.382071544133201,0.430136430119329,0.381935618606197,0.490101748511488,0.249377140977742,0.344696659095133,0.527454901500457,0.369851270240164,0.330198470495325,0.561284807729073,0.421226389262856,0.24974668370493,0.394797831625359,0.356060418589458,0.278253878907565,0.758220663301171,0.167997815038917,0.344441425970239,0.352409313868621,0.336716396460876,0.167997815038917,0.25609130794744,0.368547280953138,0.446182263427709,0.673819112999071,0.290266594246905,0.498549440050007,0.367515498301814,0.291683536006208,0.263360770884146,0.378731715983393,0.268747703113934,0.551196769731997,0.371866205397824,0.316352538448758,0.304399258156884,0.545885234342741,0.593890485878585,0.421221210098258,0.283941698514629,0.425978372446436,0.26895396223184,0.329859854712236,0.345745624697078,0.350385034049153,0.366173502026179,0.329457643302207,0.365468741827302,0.557325176369734,0.534173449516999,0.232466229365807,0.355802974061233,0.334594290802445,0.322553041693135,0.504808353343272,0.421894427729168,0.167997815038917,0.366742009398792,0.611391711642371,0.419457335920994,0.487839682210698,0.429645266532103,0.310870684399296,0.254356196509886,0.468787794215628,0.382648258055166,0.23164940606759,0.690640134589737,0.509393920317164,0.522382636612295,0.484860234701181,0.467198833886443,0.21718487844749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.273950671123145,0.982539961574795,0.916908959822034,0.972790055466627,0.382876557828508,0.688246941882851,0.504204995770267,0.523844032816558,0.408406624533908,0.315436617990963,0.521375231736079,0.472712687931789,0.408915691962838,0.446366149974179,0.268488429794273,0.294349560737844,0.892877992154655,0.282624713868172,0.705372823114623,0.56763681204229,0.439046135207941,0.377423399112158,0.493364131803882,0.482959021658859,0.773680827020382,0.472031525701681,0.457527803712707,0.726727261905545,0.568662882372207,0.387107011563764,0.685550595516186,0.371586389586637,0.456505579082281,0.292857964739609,0.372953475938146,0.544803949810418,0.819643309136706,0.947847665330014,0.701170728164639,0.967356013929898,0.276151021374457,0.482333846306066,0.297736522412938,0.48725783704346,0.473341486613374,0.595367282195016,0.361098437455835,0.422767332117453,0.581708118252438,0.59036777297636,0.794946327438186,0.309824669908135,0.551053178693242,0.307712609400526,0.682603688271093,0.454232586286263,0.489612362304483,0.583267776182754,0.600462855582568,0.574903183852958,0.406948436927485,0.388614504975685,0.365686964046084,0.443637635828399,0.729735145050542,0.704127718928467,0.355702882977185,0.930796752635907,0.669816263347363,0.365606813915672,0.600602492735817,0.441075597610985,0.443973900386342,0.310872873023257,0.585674168984937,0.516220832007746,0.277690426367819,0.334177985846405,0.634836081618836,0.465802548205006,0.394473248689976,0.373208783922262,0.270220383841683,0.33547642429928,0.480949821860396,0.795892746662688,0.887287724118857,0.379005696741714,0.423345507945714,0.347847531202525,0.866234727606615,0.269751810579966,0.443007248884815,0.403739104993562,0.453839379659496,0.389015977274469,0.447755460990065,0.368516510457658,0.542098714840057,0.483543865040693,0.302008936486578,0.508089164213244,0.331431267436329,0.218122264592183,0.306565269527279,0.502230913925779,0.364018770462706,0.278776228800422,0.356855749445625,0.398663849426306,0.47485443406008,0.547912699003569,0.496648737390787,0.324661526335553,0.268034005351492,0.443742024315209,0.458905388107383,0.502397046493832,0.318510163157799,0.290495302876987,0.329070178235321,0.328404538594383,0.465288779476097,0.367062182737613,0.416573355419637,0.526412076670892,0.31317441926296,0.394870209523529,0.362784380023776,0.823381526958245,0.273532011172453,0.414541111808488,0.442370407834037,0.692673912806351,0.88042805917249,0.286965626709088,0.454330244264441,0.538913400534948,0.311589522739591,0.488858451009737,0.424847726780426,0.425324481941017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.654545356334499,0.169341823536586,0.369585144418373,0.288516485562028,0.536565745434217,0.528608209713404,0.423458375243599,0.494192904973757,0.784523876256969,0.912824122328995,0.34244584696897,0.37229940692018,0.449989093229175,0.232078440885947,0.350505956900558,0.365865337410136,0.790608579282867,0.50620151273353,0.312209957828353,0.419483489483511,0.530882726744648,0.328809161648215,0.342853347743457,0.453726573414513,0.37627425599854,0.539204926340336,0.438871070522436,0.432274614594361,0.341757798770305,0.240849473087076,0.461814806550062,0.369838311465813,0.569864375396775,0.358433954997769,0.465524112392853,0.436212114271232,0.338604901804455,0.511457350033457,0.284728307214244,0.326338692934066,0.33755334936538,0.501309802725787,0.491923481974728,0.273111575016527,0.332899665491616,0.457676096587498,0.426100084610669,0.239069504070763,0.30012967678164,0.311373097444647,0.437429832905383,0.443472256021529,0.335400139529243,0.63384422987134,0.331728545471381,0.354727366331328,0.536644767369662,0.302901039687858,0.365299514681336,0.404092932531,0.424793164142236,0.250444034149517,0.351038618713925,0.307575592770509,0.505532886069644,0.448911527023703,0.481799529542656,0.620243314519888,0.240219172592615,0.287905296970424,0.551871685574346,0.221374534687115,0.401414950985955,0.285941163284629,0.346052902121052,0.297654577058128,0.444435564803057,0.319703754805728,0.313790723961114,0.412877583868742,0.41388119376424,0.304396200039167,0.377572124219329,0.42089067675377,0.488873704483592,0.42012842250351,0.350104186589319,0.337059052314653,0.449247848431955,0.408765594192413,0.417560079532445,0.580996181909304,0.705493796105871,0.45367820974308,0.304988348647043,0.390125262548798,0.305675643308245,0.395914935660136,0.515088095693692,0.336639485336992,0.496408389116342,0.545425488305495,0.457596330367441,0.326730578348422,0.271124859033645,0.340504921535498,0.56735540909209,0.330335230533707,0.389492233101893,0.405786346782494,0.387827433576166,0.333376612413354,0.296979420791038,0.545718495718207,0.42179863198197,0.351552383637283,0.242273545993489,0.346914248284421,0.324038557290886,0.496988851969472,0.431194770153087,0.240300891060157,0.49295361138593,0.623841858226187,0.267814759129253,0.340847933351326,0.368924543595218,0.478389202231394,0.378611262575527,0.314969626313755,0.433440431476925,0.573212172104425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.621614560270897,0.317343072251303,0.693348551114349,0.318221484964619,0.426858306058237,0.381350159234564,0.856851680394394,0.439783464758717,0.325553842380175,0.490614820667167,0.370195850710317,0.357136578762561,0.374956962687915,0.34265004308464,0.281387832866421,0.318877976126292,0.554286791002614,0.437932922800338,0.458954052373937,0.384545711199255,0.319596477209237,0.66376022453544,0.413616712401741,0.644516968620763,0.472106180775132,0.309742459801178,0.42255298176904,0.397188896659095,0.286456450505374,0.412732427214902,0.481828958434784,0.546377548175448,0.397745124953518,0.591667961173233,0.383668654614206,0.58955181518477,0.609163675508161,0.431734082145908,0.623306728287429,0.678287121263267,0.403601410059614,0.55608428479651,0.54623386742187,0.675052036665911,0.574288499354758,0.714264395663168,0.304453184924029,0.639267337348755,0.941264420985452,0.483176884350294,0.541502269297052,0.439395727381435,0.38574219414957,0.597388165987279,0.658504904697942,0.521940532145855,0.294953182154627,0.388556425870847,0.281200732791804,0.545887100259428,0.383445772377348,0.414368243498976,0.636628755385303,0.475332857440081,0.269670303318234,0.355400879279502,0.584377420105879,0.382199728588078,0.440335665756666,0.623790698597203,0.286823342572751,0.483471530814779,0.443848491398093,0.575427240290508,0.307070321626094,0.617707551232434,0.523809261585881,0.396649860252332,0.343990082121038,0.704576524672632,0.442448706941159,0.662651513865179,0.277263018513198,0.400647308627887,0.41323660718585,0.42256808942359,0.392358233048747,0.230390810343301,0.329841532912796,0.519947774794671,0.564824362033276,0.354079796179706,0.566445467297725,0.333440456548691,0.445585826885968,0.542703274359721,0.490873664108822,0.371601488838895,0.614515079632321,0.611697731681619,0.760578648688068,0.265555162601978,0.588570543485804,0.307541470304021,0.417330763374083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.564488137631937,0.501323313215736,0.353746663559239,0.556411535513862,0.515798824046325,0.366767767654517,0.516346061240504,0.260386639683708,0.929275938988943,0.602497070225502,0.535653213986555,0.455523783594789,0.843329752874445,0.310127499346231,0.376025281675366,0.414561483800686,0.346469067470157,0.505814392193175,0.539404574714479,0.374504454136913,0.525621020309044,0.314785979130002,0.286549467939397,0.484323816177529,0.524786447282303,0.306233689409858,0.402010234053857,0.280139816510783,0.396854849843007,0.635389171322591,0.361927703196467,0.333446224632306,0.200585373992358,0.344963723310914,0.513913448414651,0.381623575603028,0.423159432509948,0.598682736614921,0.511966104850563,0.644829351130779,0.499032481651443,0.633639730813772,0.407062379416943,0.329541859034008,0.369484384971488,0.559772580474563,0.476663504000604,0.350058777027503,0.594059854891404,0.40913302568229,0.398251475697964,0.654037480649893,0.486856948741856,0.463849429496262,0.518160726570289,0.265581616643254,0.344817348746489,0.435698125053326,0.508366254994045,0.339860196865239,0.329990825769072,0.614324540139798,0.370502245471918,0.360715324092409,0.41858065591631,0.25501518493203,0.438418566569452,0.342465027892054,0.464747310492544,0.319069421059692,0.417067010284464,0.294833685583921,0.666511225096349,0.32126371751628,0.327127191566055,0.345485415770815,0.929818057973554,0.574836652958644,0.322250091137797,0.395214472690792,0.295928127331411,0.277949934225604,0.365384345986138,0.352015866730784,0.727798350127909,0.349961178936075,0.445175274984982,0.447338765788764,0.314593968595811,0.454215656784003,0.33543106673904,0.388440707497505,0.320045495380542,0.311847230219419,0.604507051690183,0.360776812362811,0.281345417140151,0.430423147991738,0.525154330946503,0.446632687829109,0.32236973373721,0.272956585022987,0.549344441825644,0.226817005618815,0.546007396462026,0.325680595114055,0.478399564650084,0.667298823853102,0.762279050093552,0.359190947894406,0.578250825762224,0.449446310605571,0.326362511570742,0.78635671653504,0.936886931419007,0.540783658202781,0.50854263222131,0.475063082463251,0.531306146128988,0.366828984987019,0.297551443650561,0.379682043749667,0.391498185401083,0.439319333280591,0.300767990642168,0.385943879950075,0.417369934459753,0.464070587051078,0.443746018039257,0.452415053114878,0.441250381710614,0.390092434421771,0.293178855398679,0.313491279057477,0.288143793574217,0.321079928516089,0.416934112831296,0.895186214454379,0.394088696140574,0.401033329929595,0.359430178278257,0.442822826131566,0.439896866026772,0.362135084592528,0.380208346755553,0.356148968869901,0.413240431879547,0.47864552434709,0.631987930828815,0.614100103480503,0.321064588148082,0.215266350117886,0.319294864730601,0.499200660360399,0.31129963014426,0.297467641611472,0.318172072203213,0.27673672563211,0.367019097162487,0.887913586751286,0.408269257788062,0.469040500743511,0.56684868648669,0.478037979215864,0.567907025225187,0.252349674096771,0.719090623167636,0.392078534802827,0.3962622916935,0.321643716502574,0.46231254269874,0.409746332986178,0.338646553672273,0.454606059516593,0.358499863783446,0.376848573836806,0.415122300987421,0.449193335868678,0.331952614122995,0.380020486344291,0.850244196597955,0.41599524920973,0.530114546225288,0.508120653117564,0.312154582483828,0.437520414787743,0.747178438424786,0.51773658959425,0.306563822987032,0.366954146337043,0.602450286702439,0.379381230594281,0.681741517819481,0.414822233034506,0.29608561279349,0.283439367700201,0.27056908537423,0.53006369906848,0.791553106931898,0.357664323021894,0.353287233403195,0.575517905721465,0.425009122191441,0.261452952938141,0.466000393182025,0.508591092927423,0.291421770687873,0.706831820060923,0.482345906266465,0.431029423834716,0.584507737701012,0.38532179253631,0.516953514635911,0.509995647311113,0.313602319998911,0.905149926687491,0.421543014890555,0.651931159632924,0.734949931962738,0.382201223089792,0.500784633108427,0.36236987421003,0.330295835497117,0.504751816234278,0.447019547782954,0.491202576061156,0.453800778455996,0.423654749613878,0.284139941874468,0.576175310536974,0.763792240252733,0.299720332741119,0.395196583569696,0.32479517031251,0.297411968009616,0.320530427121031,0.356070571276347,0.466916020130735,0.273185886358417,0.589821077582205,0.462402304871508,0.464400876836412,0.423027514247768,0.392166835151286,0.344326030659532,0.485148960275582,0.917699234750452,0.934324175883857,0.516128037468168,0.328850815972693,0.301025160872738,0.433100448454659,0.262294156488013,0.542471159701692,0.346538106233325,0.271113448405063,0.445337474298868,0.433705431983096,0.419144558892691,0.318448799752351
6,0.625676389266619,0.396757373492073,0.45717894653058,0.491391379651558,0.565110223027646,0.521938795766237,0.597808406007362,0.281561576083223,0.354094039178661,0.451676418900053,0.331583075663363,0.540959757315836,0.264750773310525,0.60397650893244,0.730999119948613,0.554811697802428,0.408462566964898,0.332853471447419,0.607401248075001,0.472127104810602,0.339939778924639,0.37514022800285,0.599545603134084,0.405190384316467,0.646174433469128,0.316800298211783,0.629496656602419,0.392526653763209,0.300673358834254,0.302525321052639,0.518880855831692,0.347985487989307,0.414045555479194,0.337452048875338,0.411372776931403,0.399289954856438,0.56723234365325,0.602856534562265,0.529410350774956,0.791131450164378,0.429051179579746,0.299210767065959,0.294726292559768,0.400030196885571,0.492637875893334,0.37700936748886,0.478960984776036,0.359264318108994,0.437361112286168,0.63771738642982,0.379142496226018,0.386302478577565,0.277109041862728,0.245259505612697,0.29663007885207,0.336302040279755,0.450241924911726,0.371137149379279,0.312379100344382,0.382427972543251,0.44141557378893,0.487489941285004,0.570244850185051,0.277884658416501,0.623689981082487,0.22826353689582,0.454922934603025,0.353581993140276,0.355073229850889,0.49703382818192,0.292888631925933,0.496119669646293,0.263040806546534,0.793427758557075,0.47502754380157,0.364377462436493,0.309261028199541,0.638106034309259,0.312300622008565,0.614764996036063,0.284567903042095,0.245622284177906,0.346927271382063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.356016869272057,0.349965837036697,0.639402754428122,0.409409242585429,0.342810862650964,0.371722437858721,0.353541751434569,0.316134362689902,0.278754528035958,0.336273882469014,0.381396533083903,0.478342126038181,0.365030024330213,0.344117079426631,0.434429032610567,0.380375017699251,0.433301698545582,0.446505769694552,0.31830738353203,0.315989102472109,0.627441911811428,0.508642921603596,0.503918734595899,0.431352245169902,0.5401964073313,0.522836196449344,0.28128835862771,0.254388486236402,0.367129716698602,0.347647660118887,0.263171602567208,0.234424034968733,0.559712186362705,0.351718190727017,0.772377404965007,0.358584766825374,0.419897665369523,0.324507472154531,0.496489079845524,0.363757653917602,0.492159106621988,0.287557981280937,0.299621338269948,0.404251305739569,0.364041065614245,0.327115486742044,0.423855770793031,0.245688702906342,0.36855975416014,0.406200647914192,0.340991639340657,0.322122507446249,0.327767336340624,0.355409194264687,0.448535123983562,0.418585927969922,0.48986678522396,0.479206595765477,0.371027408701706,0.383175263729445,0.325615863114981,0.361548775440373,0.329663720427909,0.392245688959767,0.71420785105121,0.365537994522506,0.362944636609037,0.717802890718946,0.393284124907978,0.381389835437896,0.339967660688093,0.339629695250088,0.363395563930288,0.430332948127209,0.377362512848374,0.296410385179557,0.664583669231876,0.778549685872665,0.337466831073334,0.362445028774892,0.419606785748505,0.370100661781589,0.408943260997256,0.784268351696514,0.29276807187098,0.286248350773972,0.277904925339607,0.280581565536525,0.304451681805765,0.375722304554134,0.40699406742242,0.377230253351147,0.331426771177215,0.353266148003129,0.301667799760527,0.352684279127964,0.380419530660447,0.386638105639088,0.254086511848299,0.45552010102956,0.39887372250102,0.346086471441451,0.352109645364485,0.290361895075287,0.316038368011301,0.381255523901101,0.347625058113055,0.374145334716301,0.358296604685256,0.450109467176315,0.310947412040586,0.342924479902073,0.542142779303613,0.415297371303302,0.423889921035011,0.52213754536077,0.310351619230056,0.366205217467002,0.339715400354221,0.272981945157278,0.320278556171403,0.394985092521396,0.321198235866136,0.378834378184965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.593796432896771,0.545637640271938,0.549666260599574,0.41089412966755,0.354868515601852,0.299136585739345,0.355978356667777,0.364515392716782,0.381175040309587,0.299634026139986,0.467906614386599,0.553783263646742,0.477773211227267,0.372590777746931,0.391675053082736,0.395284138906077,0.395604814179389,0.381071970549316,0.745956208247729,0.409768522749309,0.439547768297558,0.338568101180754,0.44296890175875,0.654288650634956,0.478598014769355,0.327818559252643,0.465681380796993,0.439376471724137,0.325216528977129,0.59392027075125,0.474150278561189,0.431927902867634,0.40798638894262,0.412688776994159,0.657458182587168,0.435280900126662,0.393920416397263,0.352330518392182,0.365830816578284,0.5147001157387,0.405239820071705,0.52025113465216,0.405911163723821,0.681396989522116,0.330598665027377,0.41183844529932,0.343785886960193,0.416811980420126,0.362837768096261,0.436415811828272,0.342800584734388,0.346493930178539,0.3803102037426,0.362881073676195,0.465823330379086,0.38439419176637,0.382197956191116,0.372058126000645,0.295501264882509,0.417043720800062,0.438936737009678,0.614195162116845,0.447567255645875,0.537998672177177,0.398173795980411,0.98897548280427,0.397753855206531,0.399344772606143,0.452357800496277,0.362934221130455,0.53668299096999,0.413573473153745,0.318252210694496,0.346040971379348,0.344646478874433,0.348770521401535,0.4499286938758,0.489214312068177,0.336589128860105,0.419667068253378,0.438223996392868,0.36718481933228,0.359437519976589,0.521066320203621,0.379342419574906,0.433920186335742,0.399207427184062,0.272454431188231,0.378351745724641,0.507351535229646,0.327316425694128,0.448549241928569,0.425425385987285,0.324653707949651,0.368464459017161,0.408572520477683,0.506702263976731,0.62211429868723,0.411903061289584,0.420284911293475,0.380632637647023,0.351510411475572,0.411128082322333,0.628911486521897,0.439069512670843,0.329784109046076,0.38873091880924,0.416224480783613,0.456393457105823,0.379499853903963,0.586361224632887,0.417218998593306,0.503736408783493,0.39422718257717,0.400824315493161,0.462093063165068,0.39158303314187,0.584548616531661,0.573554476925542,0.383232105809304,0.323705928477638,0.225162318372696,0.346282812075549,0.369273298622503,0.44049712732555,0.332641034211945,0.354576917303988,0.478520590637468,0.419080344106014,0.39803382313504,0.326587757821361,0.439747199837793,0.388934814780367,0.353742780714276,0.415463440155421,0.255920448418697,0.561049415400211,0.392216338581425,0.394746906988515,0.330849683506103,0.412319643231632,0.403901058866363,0.529049126834196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.881044727319385,0.547104170573372,0.63548590844364,0.658697142571364,0.414582858014883,0.856557902644672,0.942297501186056,0.33606536184152,0.636642601631359,0.40411725845563,0.715408188532805,0.746396799366646,0.368723182289818,0.444685470958247,0.586443496699807,0.433149036831532,0.963581814003938,0.623222436269553,0.340217154730723,0.326451754128836,0.677991762738602,0.306659640801005,0.501622112361942,0.536689057140043,0.898089189585206,0.475556035253927,0.599786399229607,0.804693605343558,0.628236041290179,0.250688739829955,0.464809905688024,0.587658914819382,0.925624888618557,0.719403643774761,0.708978689579093,0.713046561249536,0.573634216787774,0.441532742165608,0.496187553353022,0.695401738205249,0.916864722493517,0.463342874034863,0.91420587422637,0.857397073386362,0.72025141240576,0.470491951552257,0.327379403385481,0.806050821445407,0.966473651840831,0.825189005695691,0.936080222223333,0.677734873038624,0.499140990819446,0.945160078463584,0.466007606276525,0.338848408219042,0.411629778675943,0.622950880999418,0.484207645237422,0.682197828905074,0.502120364502258,0.644358142322574,0.491472130067676,0.437207174404764,0.555175614884193,0.458207480060064,0.500699094922188,0.325457676633916,0.529425717118297,0.607264402547277,0.827946071368692,0.402071459742856,0.71755169160073,0.562900171179828,0.377956703478781,0.542741287953624,0.474055482036203,0.572662146161719,0.665969131488832,0.440937461432352,0.55529605490265,0.564309412746492,0.363685550399209,0.508726041386223,0.531262776957851,0.656177012424801,0.894112488775849,0.558458239437665,0.514919486815372,0.518000403224228,0.807602322074318,0.376583684474837,0.613542199556773,0.460160647231503,0.348133610648225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.492772706334695,0.591731603112754,0.559808589825137,0.952949452639201,0.378404771205219,0.44312622148105,0.724875466347228,0.464425600233685,0.523206813534259,0.384916305508485,0.362219850060312,0.522384834042568,0.569491146075135,0.502596400253704,0.265457398855305,0.306072023375583,0.350318812613479,0.397460505969556,0.387043934631769,0.51002253797037,0.587687132717586,0.460911703029216,0.340174696687211,0.404445659671174,0.315453099886992,0.552201960570926,0.445123313277383,0.492118170397018,0.352190112973711,0.453543541881735,0.472959607005235,0.391239481523895,0.382969950977408,0.436574074661301,0.379043835828649,0.45922185246474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
