Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271
1,0.275123145086781,0.306873379217165,0.483418776217061,0.532543829731649,0.269705212978617,0.186866343140138,0.273289138360754,0.425294107034058,0.553881295460025,0.324268273717995,0.210097887002449,0.407096622313608,0.428365174349592,0.099383013117646,0.207541223798404,0.212715236357904,0.21347465384194,0.26997681219331,0.236318909098172,0.271378505384116,0.262814447363764,0.357461939114376,0.099383013117646,0.183134611692364,0.327325110566795,0.393692538579455,0.345666301922132,0.266819817568055,0.233517204093265,0.229340998051487,0.357079505636766,0.325707742306999,0.099383013117646,0.55611172524939,0.336723048752676,0.159700214146101,0.361067577198736,0.342803583471295,0.451149508326982,0.406254238991705,0.212052878375312,0.284670611572786,0.155964166950318,0.231263697658827,0.346396703284034,0.21682988709023,0.183084675791481,0.226248629073377,0.247411076105949,0.225549562548815,0.288824749149589,0.211345383227964,0.366031086222539,0.562303646346509,0.232421854436647,0.600506514342592,0.255258465419958,0.34366291636696,0.56366555212639,0.099383013117646,0.214596247088091,0.414964398899297,0.099383013117646,0.23751085426036,0.304355448110905,0.242753868249365,0.300574225074898,0.290184813000478,0.376073386446159,0.228181624254809,0.26898289275414,0.267891828841941,0.22428583566237,0.264272854904274,0.178848962278087,0.24594933206525,0.199611863459947,0.290411427638951,0.378174649267325,0.348728464865117,0.25342728123567,0.365673401973947,0.212491136916171,0.370356074340322,0.371447871132469,0.227127757977322,0.215127621495062,0.243898092864957,0.288268751232091,0.295245414855945,0.248899497801929,0.160776806162921,0.404983591069466,0.278091188192703,0.289931282406748,0.157067686826936,0.23271303473672,0.23620259051411,0.1306195652584,0.257352228889118,0.099383013117646,0.744937768234493,0.381418723681966,0.340926084742443,0.258305321330278,0.22367302256316,0.254549491516278,0.268330571590986,0.223526665858734,0.315651833416717,0.419854592405797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.550711819975434,0.244396666985315,0.275777236860021,0.243470698348656,0.169441890507586,0.264875277697256,0.195468747695621,0.580026720378288,0.241662418911889,0.293677049270454,0.273349270577002,0.242604620088734,0.418930706821442,0.183102423143782,0.384674868684072,0.279954082979185,0.341373527187967,0.255099164600925,0.266325926322412,0.282741152728728,0.218487478616133,0.320705812395027,0.198183019881413,0.176928320380866,0.183098363558676,0.260004547114169,0.299018141178989,0.370823714659434,0.180660429518849,0.270717149972365,0.150609015530896,0.340126051452744,0.45470982891429,0.269938567310966,0.276673796025454,0.246627557930773,0.256730856818971,0.23092239084529,0.189928128833445,0.334637452971855,0.300738176887457,0.294483561804603,0.322966469280956,0.202547947965924,0.324122907199078,0.230384304750553,0.211700632848178,0.195768779093458,0.373178880336701,0.313060263481268,0.197241662928026,0.250430176740407,0.293320572097215,0.18874551330923,0.309651179703444,0.149378498599101,0.211079934430378,0.32129603680224,0.193892062936448,0.290072526541033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.193247937457158,0.225253257876602,0.171728295699618,0.201461098049091,0.389576712204231,0.191812849487207,0.202276744084978,0.423895036219779,0.294530568321796,0.1932488955086,0.347769441662829,0.291947610202991,0.209930294239678,0.389605106479447,0.365738870195477,0.289400179506858,0.716993413695678,0.42229219796854,0.40405946620262,0.179452866347524,0.196699594087265,0.162994711344665,0.26511631298537,0.268489114252983,0.40573263446158,0.290494477996438,0.18413629992138,0.262370487842635,0.233499963159124,0.201992944929654,0.228638648090573,0.170342243958528,0.727935530262815,0.509470274279823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.251813381202887,0.260613669711793,0.223874800326551,0.2358896931021,0.295103524044933,0.49304387699157,0.336759043403205,0.563551236386911,0.450843108040286,0.244002437460763,0.461504585467699,0.219849012506785,0.413400454082259,0.176852479804583,0.32079972958247,0.227535064709007,0.53499038304395,0.374294877789512,0.284708512990891,0.199052928574845,0.25303797178524,0.232678008082494,0.41440918501026,0.236053113628683,0.39411217503845,0.413420729160524,0.609452496787198,0.322238867823733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.238188302929632,0.257923825443242,0.177029694329439,0.174862878258748,0.12942134074833,0.309224195023328,0.186652480267508,0.362135809848117,0.289214344480068,0.332611760576865,0.198971613344455,0.228018413132127,0.153798634542883,0.238136005673628,0.332681965206707,0.300285679494597,0.219395791480289,0.184316984053044,0.291399221713931,0.199926555108572,0.261496562793303,0.276282472962621,0.231750617260123,0.684369951290446,0.175601983372903,0.288267683136195,0.177557194139745,0.184375701528507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.282116434253922,0.256817570956734,0.616107917899976,0.52799912987833,0.711188618053985,0.363578040608816,0.422218823024695,0.337062783111491,0.740488355147206,0.372340932354461,0.17126613202814,0.428888057300753,0.162165918586633,0.158727618957924,0.24212813525325,0.326437129578386,0.346145858560699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.500501505173158,0.619919648795492,0.475724910001888,0.246633144909498,0.23641087510194,0.25930220677427,0.371240370767726,0.380157750904886,0.656456885573467,0.161974105397529,0.379813630008806,0.295640357318172,0.248794307610701,0.349849869884794,0.206839194257691,0.548500127348832,0.265299916567263,0.495699289499301,0.148588518418571,0.366447255148311,0.374358379091625,0.416944995400953,0.183877672105456,0.440788751979204,0.19272287875568,0.148512259237945,0.320662651704891,0.232857585238228,0.297092642655886,0.438663917867324,0.331514876104078,0.240878777803916,0.257510128356286,0.364451181903656,0.256796413353032,0.247397402492042,0.193221765747809,0.270729921673323,0.337343236151696,0.13102577547992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.717986235014365,0.338065746846533,0.65554448782619,0.344492077707086,0.274351112647271,0.133034257642528,0.144262446846304,0.420710524135105,0.359289113566595,0.322548683374479,0.513378968120077,0.329738942951899,0.390204265743113,0.334447297489007,0.502745794435011,0.303579133556847,0.219860197273265,0.375855013023617,0.666745425986534,0.226227306638938,0.276714717555409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.731216003020349,0.226550949807291,0.323063132444384,0.204280219793309,0.406503859263539,0.526302115616285,0.255396505549138,0.154672889047794,0.539319937313965,0.37495939375268,0.235164399847277,0.190920596249838,0.239793766955954,0.215215950114065,0.201113771853313,0.1836101350617,0.494040828117142,0.4108630699866,0.3967682459967,0.337702964627099,0.721948096587723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.556321108798054,0.410894755445414,0.31077961751948,0.516078922850579,0.465001648596117,0.365069277375756,0.522782511941548,0.216264834046638,0.765944523990268,0.485401298226405,0.330468069326244,0.304653988119004,0.714665955537967,0.294317144690983,0.387181134687538,0.416759267407086,0.26836815149805,0.422811598925552,0.478348412310009,0.38885288605969,0.462564811793408,0.31266942664537,0.276300537782986,0.490168415530503,0.526868142240228,0.335473408690992,0.453349451190513,0.256413311394499,0.371388851000557,0.494223726220757,0.275332119850279,0.263250031163238,0.271225907323112,0.249183590807633,0.144691658017515,0.269603116169837,0.496309230405604,0.413372352742363,0.508315032241826,0.487083090628963,0.206005708818159,0.602110426507848,0.169497629092902,0.487694687933221,0.603448264133261,0.238773764604997,0.454375172271491,0.307786569475132,0.330339153754821,0.559928616410925,0.379220254844358,0.304876896617021,0.670662539428691,0.399712209221918,0.422508428163095,0.632839590425778,0.396051586179145,0.42889025836336,0.489082671306925,0.256046415168606,0.361686305313212,0.498171438817665,0.227822136744443,0.234311139388899,0.565680556638175,0.400023362260483,0.320451950540016,0.4029609972834,0.226476643769975,0.369178420102956,0.404134476266317,0.31604892578938,0.309308337440944,0.307511406232631,0.443919856067022,0.27963954897894,0.416690801174386,0.284780021760961,0.579824140163369,0.251535344657806,0.256040402178561,0.268891782060336,0.763526135529189,0.525225340314786,0.212519740468522,0.310820921628217,0.222393897695834,0.298738423493191,0.272440106448625,0.62405550771741,0.34647769278998,0.427852520358855,0.359106446685538,0.252926884086338,0.444068278016541,0.312422257376581,0.378600745794397,0.232200106674482,0.240137022859882,0.328909382192254,0.567172685947946,0.208219799073243,0.39897772631765,0.46107108261115,0.416867702223459,0.299256597396084,0.308966252049767,0.196188713671892,0.489190742945048,0.429064373391312,0.477400395028651,0.787351312858223,0.351805885368205,0.574748627868944,0.393227547816878,0.803576803615202,0.768107408179506,0.530680654692826,0.442550456434457,0.384968013372247,0.468595195374678,0.305988087635961,0.284294925982583,0.292169680372077,0.367395992549894,0.355363118536318,0.264410710339665,0.283410373388382,0.435597880605817,0.451650007456665,0.420965931770966,0.415530266428286,0.309858433164497,0.256156270770606,0.288877131171273,0.160101881751871,0.49916132068523,0.294978192299883,0.388534410871774,0.33206975766855,0.415562439107745,0.281196821362693,0.405324142685876,0.406870812553678,0.274246955196826,0.332843145067398,0.335773857103957,0.412692495688111,0.407916552776975,0.623497564978239,0.575206497559371,0.224971740572059,0.307030605028967,0.296884154153961,0.488500062483761,0.234235555338491,0.222418932235641,0.244250355984894,0.240935390806541,0.338986757416084,0.844743107235146,0.382978857648563,0.399770795878972,0.285517566506537,0.568769646815147,0.456608434622453,0.282551502498247,0.440149818745913,0.208861544129644,0.658611328653201,0.362888825543915,0.356420198314599,0.308747203088537,0.45580045327915,0.394906532031649,0.330275667575595,0.427298697373141,0.252594807417719,0.310732187967446,0.33866868752522,0.271358969392166,0.413838082523821,0.299988990865744,0.325594724704566,0.372116282204733,0.45856539804088,0.407851265269773,0.330578756711293,0.372353898328711,0.718406486122077,0.497846186154532,0.318613458905183,0.597684655329488,0.308612450074915,0.330984364502891,0.620291469213427,0.31812710817679,0.183659096780176,0.283705765898782,0.355060737363572,0.521010968011721,0.72660610159327,0.32169404813352,0.345962886316671,0.56775641256307,0.263751593771126,0.263606468637659,0.424501703294366,0.521078855736857,0.285694473421108,0.586430268433375,0.433513619029178,0.272454515218814,0.360167222529677,0.547238386754465,0.311867733302703,0.502944114156974,0.431982036158631,0.276732804768719,0.229526002158216,0.742894846410054,0.352022181214132,0.213548776249448,0.601224492467635,0.224798544249409,0.596129743839562,0.382548886436832,0.440860698393746,0.324408648535439,0.262738270946695,0.418889218811388,0.401784728615932,0.278759666496777,0.419520607453034,0.319292575248888,0.228423802516527,0.204734952141409,0.431542968059613,0.24834219715894,0.407141975389299,0.720462861183482,0.242600102824952,0.416215257620389,0.387365475500044,0.261848866363073,0.249123813296113,0.234062266282909,0.277931377865071,0.521912127677765,0.323267700395089,0.254629147146541,0.598813576279928,0.415738798654435,0.258599140235784,0.186373014331603,0.253455892448807,0.375033907958203,0.20003029472501,0.790285540606049,0.754409256385326,0.510387388920961,0.272765251999173,0.206255621456474,0.428772153319238,0.213356589039114,0.500950189562562,0.242087206964076,0.423578750880895,0.409983666323244,0.383056846518039,0.245010170409786
