"Topic","1"," "," "
"0.74411","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.60119","607","Li-2019-Decentralized On-Demand Energy Supply",""
"0.56627","647","Lin-2022-Blockchain-Based Incentive Energy-Kno",""
"0.56461","567","Kovacs-2021-A collaborative game theory approa",""
"0.55751","280","Dutta-2020-Blockchain vs GDPR in Collaborative",""
"0.54941","116","Block-2021-The entrepreneurial finance markets",""
"0.5248","27","Al Shehhi-2022-Using a Hybrid Approach of Game",""
"0.49261","20","Ahmad-2022-MOOC 5.0_ A Roadmap to the Future o",""
"0.45111","290","Elarabany-2022-Evaluating anti-obesity potenti",""
"0.42664","101","Besancon-2022-A Blockchain Ontology for DApps",""
"-","-","-","-"
"Topic","2"," "," "
"0.57972","152","Campbell-2018-Digitalization of tax_ Epistemic",""
"0.55035","5","21_Bauk",""
"0.45597","630","Lian-2022-Blockchain-Based Secure and Trusted",""
"0.42271","240","Damisa-2022-Blockchain-Based Gas Auctioning Co",""
"0.37951","263","Distefano-2020-MOATcoin_ Exploring challenges",""
"0.37113","930","Spiegelman-2021-Game of coins",""
"0.3659","511","Kaci-2020-PoolCoin_ Toward a distributed trust",""
"0.34118","279","Duh-2019-Publish-and-flourish_ Using blockchai",""
"0.34104","618","Li-2021-Electric Vehicle Peer-to-Peer Energy T",""
"0.33814","824","Qin-2022-Generous or Selfish_ Weighing Transac",""
"-","-","-","-"
"Topic","3"," "," "
"0.72782","1172","Zhang-2014-A new multivariate based threshold",""
"0.71685","533","Karapapas-2022-Decentralized NFT-based Evolvab",""
"0.51028","1179","Zhang-2020-On modeling blockchain-enabled econ",""
"0.42379","247","Delfabbro-2021-The psychology of cryptocurrenc",""
"0.42286","570","Kraft-2022-Horizontal Scalability of Blockchai",""
"0.40463","576","Kumar-2020-Lightweight proof of game (LPoG)_ A",""
"0.39539","845","Ranchal-Pedrosa-2021-Rational Agreement in the",""
"0.38836","513","Kaddoura-2022-SH-P2P_ Self-Healing Peer-to-Pee",""
"0.3871","106","Bhattacharya-2022-EVBlocks_ A Blockchain-Based",""
"0.36505","515","Kakkar-2022-Block-CPS_ Blockchain and Non-Coop",""
"-","-","-","-"
"Topic","4"," "," "
"0.6097","1187","Zhang-2022-Demand-Response Games for Peer-to-P",""
"0.57025","226","Choi-2022-Development of Blockchain Learning G",""
"0.53542","589","Latifi-2019-Blockchain-based real estate marke",""
"0.49347","164","Carnevale-2020-Ethics and Decisions in Distrib",""
"0.46141","316","Finogeev-2018-Blockchain and smart contracts f",""
"0.44954","243","David-2018-21 - Bringing down the complexity_",""
"0.42093","919","Singh-2018-Blockchain_ A game changer for secu",""
"0.41413","538","Khaki-2021-Utilizing Blockchain Technologies w",""
"0.40958","880","Samuel-2020-Leveraging blockchain technology f",""
"0.39698","918","Simmons-1985-The subliminal channel and digita",""
"-","-","-","-"
"Topic","5"," "," "
"0.68193","1020","Wang-2019-Blockchain-based resource allocation",""
"0.36055","297","Faical-2023-A Cyber-Physical System&#x0027;s R",""
"0.33653","454","Huang-2021-Blockchain-Enabled Task Offloading",""
"0.33276","494","Jiang-2019-Bitcoin mining with transaction fee",""
"0.31063","295","Espina-Romero-2022-What Are the Topics That Bu",""
"0.30693","545","Kiayias-2021-Coalition-safe equilibria with vi",""
"0.29356","1067","Winzer-2019-Temporary censorship attacks in th",""
"0.28659","371","Guo-2020-Blockchain Meets Edge Computing_ Stac",""
"0.28488","1113","Xu-2021-Edge Computing Resource Allocation for",""
"0.27939","819","Qi-2022-Security Evaluation Model of Blockchai",""
"-","-","-","-"
"Topic","6"," "," "
"0.74012","789","Papathanasiou-2023-R_ddle_ A Fully Decentraliz",""
"0.71079","369","Guidi-2022-Sleepminting, the brand new frontie",""
"0.61593","220","Cheng-2023-Incentive-Driven Information Sharin",""
"0.52755","250","Dettling-2020-Bloxxgame – A Simulation Game fo",""
"0.43234","1065","Wilczynski-2021-Security aspects in blockchain",""
"0.42296","407","Hassija-2020-A Distributed Framework for Energ",""
"0.37227","801","Pfeiffer-2020-Blockchain Technologies and Game",""
"0.36096","405","Hassija-2020-A Blockchain based Framework for",""
"0.33796","765","Nguyen-2023-Cooperative Task Offloading and Bl",""
"0.32879","1203","Zhao-2022-Evolutionary game of banks and enter",""
"-","-","-","-"
"Topic","7"," "," "
"0.65596","187","Chen-2020-A Secure Content Sharing Scheme Base",""
"0.61318","60","Avarikioti-2019-Payment Networks as Creation G",""
"0.54965","571","Kraner-2022-Agent-based Modelling of Bitcoin C",""
"0.4996","41","Amoussou-Guenou-2021-Rational Behaviors in Com",""
"0.49959","594","Lee-2023-Facing to Latency of Hyperledger Fabr",""
"0.47514","61","Avarikioti-2020-Ride the Lightning_ The Game T",""
"0.43994","772","Nugraha-2021-Improving multi-sport event ticke",""
"0.4399","677","Liu-2022-Ready Raider One_ Exploring the Misus",""
"0.41825","621","Li-2021-Security Transaction Mechanism of Ener",""
"0.38603","205","Chen-2022-Internet of Vehicles Resource Schedu",""
"-","-","-","-"
"Topic","8"," "," "
"0.72213","2","10.3934%2Fjimo.2022087",""
"0.66661","1166","Zagar-2021-Distributed applications in gamific",""
"0.65571","215","Cheng-2021-A hashing power allocation game wit",""
"0.5122","936","Stephant-2021-Increasing photovoltaic self-con",""
"0.50094","1085","Xiao-2021-Secure and Efficient Multi-Signature",""
"0.39959","667","Liu-2020-Towards automated verification of sma",""
"0.38779","947","Sun-2022-A Novel Layered GSP Incentive Mechani",""
"0.38314","1126","Yan-2021-Blockchain for Transacting Energy and",""
"0.36056","690","Lu-2022-Say No to Price Discrimination_ Decent",""
"0.34548","218","Cheng-2022-A Blockchain-Based Trust Model for",""
"-","-","-","-"
"Topic","9"," "," "
"0.72805","14","Agbo-2021-Scientific production and thematic b",""
"0.72159","1222","Zhou-2021-Enforcing trustworthy cloud SLA with",""
"0.53918","531","Karandikar-2020-RenewLedger _ Renewable energy",""
"0.52609","387","Gupta-2021-Block-D2D_ Blockchain-enabled Coope",""
"0.49867","1082","Xi-2019-Perishable digital goods trading mecha",""
"0.40984","380","Guo-2022-Blockchain-based Reputation Evaluatio",""
"0.40959","1111","Xu-2021-An Optimal Stability Matching Algorith",""
"0.39603","1208","Zheng-2019-New Game-Theoretic Analysis of DDoS",""
"0.37315","555","Kim-2022-Multi-Layered Blockchain Governance G",""
"0.3411","35","Alwen-2021-Modular Design of Secure Group Mess",""
"-","-","-","-"
"Topic","10"," "," "
"0.84421","785","Pan-2021-Dividend or No Dividend in Delegated",""
"0.80364","581","Kurkin-2021-Corporate Database Management on t",""
"0.7934","554","Kim-2022-Advanced Drone Swarm Security by Usin",""
"0.78998","1194","Zhang-2023-Transaction transmission model for",""
"0.76775","582","Kwantwi-2023-Blockchain-Based Computing Resour",""
"0.76563","39","Amir Latif-2019-Blockchain Transforms the Reta",""
"0.76351","447","Hu-2022-Research on Multimicrogrid Transaction",""
"0.75412","1199","Zhao-2020-CloudArcade_ A blockchain empowered",""
"0.74256","1019","Wang-2019-A secure private charging pile shari",""
"0.72633","920","Singh-2020-A game theoretic analysis of resour",""
"-","-","-","-"
"Topic","11"," "," "
"0.64906","134","Braverman-2022-Optimal Short-Circuit Resilient",""
"0.47049","1209","Zheng-2020-Blockchain-Based Vehicular Collabor",""
"0.4609","1121","Xue-2022-Research on cooperation strategy betw",""
"0.42989","1011","Veuger-2018-Trust in a viable real estate econ",""
"0.42509","541","Khanna-2022-Blockchain–Cloud Integration_ A Su",""
"0.41916","623","Li-2022-A Novel GSP Auction Mechanism for Dyna",""
"0.40249","935","Stephant-2020-Increasing Photovoltaic Self-con",""
"0.40236","959","TSP_CMC_32549",""
"0.40211","315","Filippova-2019-Empirical evidence and economic",""
"0.35031","1207","Zheng-2019-FinBrain_ when finance meets AI 2.0",""
"-","-","-","-"
"Topic","12"," "," "
"0.78016","853","Revolutionizing Tropical Medicine - 2019 - Atk",""
"0.54613","1037","Wang-2022-Blockchain-Based Secure and Cooperat",""
"0.46207","537","Khaikaew-2020-Development of the Voting System",""
"0.44418","954","Suo-2023-Proof of Travel for Trust-Based Data",""
"0.42571","323","Fu-2019-Bead Strand Model_ a high-efficiency s",""
"0.34491","216","Cheng-2021-The evolutionary equilibrium of blo",""
"0.28852","272","Du-2019-A blockchain-based random number gener",""
"0.25018","382","Guo-2022-Labrador_ towards fair and auditable",""
"0.21808","622","Li-2021-The Miner's Dilemma with Migration",""
"0.21754","105","Bhattacharya-2021-Coalition of 6G and Blockcha",""
"-","-","-","-"
"Topic","13"," "," "
"0.83994","4","1912.06412",""
"0.71305","714","Manzoor-2020-Scavenger hunt_ Utilization of bl",""
"0.59046","965","Tang-2020-Cooperative Mining in Blockchain Net",""
"0.55379","431","Hong-2022-A Study on Corporate Information Ass",""
"0.53227","359","Goharshady-2021-Irrationality, Extortion, or T",""
"0.49755","1151","Yilmaz-2022-Examining the Use of Non-fungible",""
"0.46237","1138","Yang-2022-Joint Optimization of Edge Computing",""
"0.46112","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.44293","1100","Xiong-2021-Security and Privacy in Mobile Crow",""
"0.44245","1183","Zhang-2021-Resource sharing of mobile edge com",""
"-","-","-","-"
"Topic","14"," "," "
"0.64835","54","Aruna-2020-Highly secured blockchain based ele",""
"0.64079","557","Kirillov-2022-Rental NFT Protocol With Advance",""
"0.58074","113","Biais-2019-The Blockchain Folk Theorem",""
"0.35145","387","Gupta-2021-Block-D2D_ Blockchain-enabled Coope",""
"0.33327","1239","Zolotavkin-2019-Incentives for stable mining i",""
