Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265
1,0.215712519368075,0.201687239337949,0.202620217836748,0.238676474132444,0.178599745496057,0.162770780072265,0.0855251599597061,0.0855251599597061,0.286753441525528,0.148904019084886,0.0855251599597061,0.303582970588859,0.538777511508764,0.216922214921926,0.295011154804649,0.169576012700673,0.187215065988183,0.22948230676183,0.497743883661888,0.243398988517411,0.244166256278061,0.347588570101594,0.238794771805624,0.237923117878756,0.0855251599597061,0.225302545595138,0.287449473606239,0.232342119650021,0.0855251599597061,0.329818545883808,0.210682067088636,0.204824247415913,0.501352027505971,0.206845691144757,0.200054165639439,0.17318609700907,0.184668105707787,0.330881336419559,0.211747966727012,0.179527093253573,0.287278435184344,0.205282669110395,0.256082731405539,0.147031562462783,0.0855251599597061,0.133609693226448,0.386346663198167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.508682153834737,0.362869092339961,0.261333111632616,0.394431713158167,0.15308999431011,0.261448827964829,0.35163526447599,0.512770982993788,0.285996282398404,0.269520339481785,0.141835695027243,0.195032418729871,0.373209056891226,0.295330536092127,0.248446137881166,0.348428409005261,0.208451084670539,0.282708584339042,0.366512362111919,0.273305418816143,0.236234848353269,0.153142317005653,0.49627559553742,0.347986090606165,0.261395292734422,0.913846801531172,0.209809043645638,0.238825912810194,0.193814213047306,0.20395642371821,0.20421519825915,0.285471943505542,0.396402417877159,0.332331375957224,0.297965543306411,0.317586366653009,0.17629933432936,0.309567743700798,0.35541986179782,0.257162490932656,0.308508201314798,0.297710470922506,0.205835730695988,0.374240902124606,0.564197955196327,0.179943426850379,0.161745996021831,0.234283940322226,0.226578887530673,0.218266482996097,0.297328049713655,0.290132167910778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.151353457014703,0.250708852764191,0.220659169819632,0.226348321277495,0.230993540385756,0.334965704507014,0.153949156390213,0.150625862230149,0.234817729942245,0.322689017962957,0.213340728924884,0.324197603374879,0.323516486054704,0.214618311332024,0.280402310156366,0.210638792434795,0.308856722412288,0.4240929521734,0.299617848721865,0.475084585678516,0.149416521656454,0.270193225392925,0.253608779798139,0.30943135403396,0.221315976050049,0.221576190968153,0.174725874033349,0.185721628984505,0.176646540835647,0.186044185046512,0.4602354151265,0.197387088950725,0.197864525233429,0.208324696033891,0.233635073759136,0.29422357052571,0.181746247300915,0.213940305324598,0.253099535770047,0.633989351677829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.166005322551634,0.176870642873198,0.288954374652102,0.176446306834563,0.289293872372517,0.151776664413617,0.367568417002032,0.369369942004169,0.215558146871412,0.403665423715862,0.325580338329741,0.162069121084451,0.351633352710735,0.259331077089492,0.213552708925995,0.202542909973912,0.278030825199543,0.220923070028162,0.176872169849052,0.274232605324131,0.202666411251346,0.253274355647582,0.202254619256574,0.201371252622016,0.21590753383024,0.368355701346426,0.163174053338424,0.393501788179747,0.36523573234251,0.387194209800958,0.445316281019767,0.265974576221005,0.223149285977125,0.339174865132807,0.271269791636141,0.262244330529273,0.453179440846169,0.161752310218865,0.263626123314823,0.177736764610506,0.239712355826714,0.204789084970099,0.172315443188799,0.224267484734526,0.30161245895311,0.515451908191538,0.404089730672996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.265533873136007,0.218330405416349,0.564542477023322,0.375260944451548,0.16487994774605,0.387392554761292,0.236284847341626,0.41921087215405,0.282579184738542,0.145094856770662,0.224002086120387,0.462020920360253,0.160518065046634,0.148522726051981,0.334161013561747,0.203558917097425,0.163042178172353,0.138333340442786,0.442997325916772,0.255594260801085,0.286499768353451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.230409246659987,0.319142512328425,0.291210352752021,0.304506876501107,0.533692707291039,0.315215616493578,0.275011668933214,0.193938460863745,0.235211251674714,0.203081380434481,0.213967613148471,0.153520858261664,0.205768176594036,0.190865360679182,0.192199707438715,0.164314982828347,0.268950490650183,0.459196143029158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.440986093153702,0.529257521972189,0.344508065920135,0.178643781440215,0.338294522659157,0.290082542892229,0.403034018274818,0.185392955136633,0.425861832213137,0.288504643427523,0.239430094307571,0.181599089010273,0.270296612676244,0.184003557821204,0.175811302485471,0.262833217089842,0.263017493533539,0.271311769784898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.275253975837049,0.166286147595676,0.399690540399127,0.228264259663242,0.118968142131082,0.279368783729611,0.302137269808734,0.245419290734959,0.38116714095982,0.313402636091414,0.230173475223001,0.339671987044446,0.257999009944228,0.239871922332997,0.164061418272125,0.299291872123277,0.216493453809567,0.477162411196086,0.227091167012715,0.250879331522267,0.212892254012554,0.232002905920145,0.184374890636573,0.22548985598246,0.393854434940456,0.354909414995784,0.235341710867418,0.270212859800517,0.222041520260976,0.369599478914019,0.424033955322281,0.214971949842424,0.466082369143114,0.187472304304567,0.190653256952339,0.174191812947946,0.211987537252565,0.203370398045511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.77996073648279,0.194832723342555,0.400376484706441,0.254546430703019,0.224552005482215,0.326165070718142,0.308930883702604,0.164626638719986,0.42662780771255,0.45337743029303,0.289065607815076,0.559485969857099,0.287507083147314,0.18073683269725,0.21734723353038,0.237881012192476,0.314862482472556,0.200542870537481,0.262754004439792,0.404856406493983,0.364169220421415,0.28822839398535,0.271019357337309,0.40411121034833,0.300597672852375,0.351192978996243,0.356318940242494,0.413157517878308,0.179482488899176,0.277355649370132,0.315900862728988,0.278414471611051,0.362644475416257,0.342991829500269,0.298152850272897,0.452150967263255,0.253905789378608,0.395238098259182,0.252443581862726,0.57150589766963,0.221367995462735,0.386062164072398,0.198992041328808,0.488174444275216,0.355668641347551,0.152556706125348,0.187125350680012,0.187338854294529,0.383312277588623,0.294250753692388,0.166626463005042,0.276562234602153,0.218243385635236,0.325414861884705,0.169952879093966,0.155326823899795,0.559408239726803,0.166134209570905,0.158599787299007,0.191523797091479,0.193873573247825,0.174996952977356,0.394489280111636,0.226776476861192,0.412272480756986,0.439813000194077,0.198748512738594,0.658118674066846,0.242510374829384,0.426175899388651,0.594311897697999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.190018683965031,0.449341775497147,0.391459921284817,0.26056978211779,0.436287413804706,0.223000086306725,0.254008506474649,0.35502972205423,0.148181564856026,0.229816052444404,0.204026696051081,0.158966206415281,0.226040050562883,0.200470103958272,0.220893775185025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
