Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271,Probability_272,Probability_273,Probability_274,Probability_275
1,0.370669814133705,0.224356518160996,0.252507131545785,0.334730386194473,0.346981765751891,0.193226360237668,0.0789384820793102,0.141459499221515,0.0789384820793102,0.214165546887356,0.0789384820793102,0.275269475380311,0.188341167778882,0.418957099988376,0.227475665064003,0.240158311435701,0.150830433474271,0.250716402485227,0.469596061812455,0.365380684995085,0.0789384820793102,0.0789384820793102,0.319555894601918,0.248895212649632,0.205681011428417,0.212982967865925,0.164923045267991,0.192087895632329,0.240367791725652,0.210358468485268,0.141051075175691,0.179628462147353,0.0789384820793102,0.711115493687495,0.232626109457347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.213756145048344,0.194618132544829,0.17480703643723,0.2586653041443,0.159184653308032,0.19306612340198,0.318371264376478,0.235499056196426,0.671083104946053,0.381242314048689,0.154823756343258,0.193082662565367,0.457375412388719,0.214913110829305,0.173965035867187,0.291767905283488,0.194342240009937,0.251848709739373,0.401126517545302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.273898135731489,0.139598528765197,0.294406824277699,0.496713600402481,0.47737599987294,0.190750684648851,0.18656788165642,0.313069438805916,0.28373117019526,0.166188008271591,0.266739751570488,0.14806362445954,0.247027760384123,0.35205021380648,0.233473864835351,0.209653546977669,0.185102549534981,0.153920752006721,0.250014010909781,0.290197625106367,0.331461633993439,0.360014488263425,0.294069794171369,0.179097751016043,0.329329836333323,0.186386617195808,0.284930869531869,0.327375430909525,0.263027917846312,0.200920914934067,0.335738736872701,0.24265671996515,0.216130319438397,0.182255048355323,0.33836945786899,0.199897178461324,0.333689685967219,0.155532039001885,0.179636042026703,0.198171860209106,0.294630438038553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.407927585876332,0.305462486324879,0.227790502252731,0.248188353275491,0.328618688398412,0.176810357823174,0.482453090113124,0.351336871384706,0.280125283799167,0.337410475670843,0.219376947364352,0.247872436665742,0.2006836945029,0.375380489199027,0.479252444533024,0.236865246524074,0.257854885877496,0.566689064062604,0.151641106286684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.496008960493731,0.282194978460748,0.393577330832073,0.302268987572618,0.359608637721023,0.187440664877902,0.2229614719582,0.207121770722841,0.605510572038697,0.297696348355382,0.254133775204079,0.347767411431647,0.235786613131622,0.241733989971521,0.146908806160818,0.243341587116487,0.301518360559344,0.30692713363079,0.22703771419888,0.165264431045795,0.280294353014232,0.277031852973499,0.238750778428396,0.142271457318343,0.38835517053416,0.214383528203039,0.246634835284634,0.186372454430272,0.27774867095932,0.315436720306425,0.227881742054963,0.397751836797895,0.14865222064755,0.178182565935869,0.196318449779368,0.226487777506746,0.377136753787231,0.252895728326405,0.287192896864114,0.316583589007771,0.155539405345998,0.223531136161444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.281591243495939,0.338120214358262,0.1417690761444,0.177168535153263,0.329563095685932,0.469949588620337,0.199440436037266,0.218579553262934,0.156267434544037,0.15650256616139,0.212374820220216,0.177322814260897,0.423463505356412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.23580389895204,0.343480600384219,0.232338449036579,0.275840805840777,0.225992399800471,0.179746260864564,0.154291585547579,0.20360112467408,0.14183220462371,0.339534458568304,0.178536454553651,0.247585081978117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.342852712931203,0.349017266212968,0.327716168886987,0.349112029478204,0.239489680967408,0.216441017669481,0.314239766552883,0.489008303161662,0.265225886007268,0.20072657416662,0.231709414109043,0.636225617268684,0.26527023090649,0.36260767707951,0.331744561136244,0.275975410657539,0.157096148453507,0.287437234148782,0.140932303057133,0.19459801417468,0.116996312766538,0.208952455293954,0.204766606596942,0.444670057429139,0.22168351506753,0.376319454954132,0.208447878229524,0.221297001634157,0.28615699618089,0.165444276507585,0.332513698461822,0.166199036504624,0.240542728265842,0.331334117244179,0.41383339606551,0.247864372505086,0.207011851295225,0.260135327175503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.176802876047908,0.234692136801495,0.216024054173458,0.276450187373434,0.355770255744092,0.345440840343119,0.563115108195576,0.263175744160284,0.285218656702352,0.227508450979857,0.229857401072621,0.152464929961445,0.20944163740702,0.272328726457571,0.251506488589401,0.273385852079416,0.192814006709021,0.328370785408571,0.270304899100739,0.364448548025169,0.203753385039059,0.257110952085031,0.211230445465128,0.232941039983988,0.360027913380167,0.283869185430915,0.355861531680868,0.14908880100205,0.20965451910043,0.323918931650932,0.398378820338974,0.192634969464113,0.200646712397957,0.215181591226242,0.489610184871843,0.179881623258277,0.265164652787686,0.433695099099545,0.252842526856194,0.280689381085953,0.301484020680173,0.14816891834127,0.343613291824199,0.233271412275519,0.358727882999197,0.115586059135397,0.185051515651029,0.30096615429293,0.200249936465129,0.316765224621815,0.335945540638218,0.198841690300881,0.198059734109811,0.369727146562712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.187062680233783,0.320753032159774,0.195167157072563,0.282844952257081,0.187883146017014,0.184563462940526,0.33483040322249,0.167835966537058,0.272763406627299,0.26723929834334,0.15769984080598,0.1989801342213,0.206234783133544,0.254368770161066,0.237764988769835,0.12246981765993,0.441952777234789,0.158851650386599,0.748265371092208,0.312606011838781,0.257144960529711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
