Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176,Probability_177,Probability_178,Probability_179,Probability_180,Probability_181,Probability_182,Probability_183,Probability_184,Probability_185,Probability_186,Probability_187,Probability_188,Probability_189,Probability_190,Probability_191,Probability_192,Probability_193,Probability_194,Probability_195,Probability_196,Probability_197,Probability_198,Probability_199,Probability_200,Probability_201,Probability_202,Probability_203,Probability_204,Probability_205,Probability_206,Probability_207,Probability_208,Probability_209,Probability_210,Probability_211,Probability_212,Probability_213,Probability_214,Probability_215,Probability_216,Probability_217,Probability_218,Probability_219,Probability_220,Probability_221,Probability_222,Probability_223,Probability_224,Probability_225,Probability_226,Probability_227,Probability_228,Probability_229,Probability_230,Probability_231,Probability_232,Probability_233,Probability_234,Probability_235,Probability_236,Probability_237,Probability_238,Probability_239,Probability_240,Probability_241,Probability_242,Probability_243,Probability_244,Probability_245,Probability_246,Probability_247,Probability_248,Probability_249,Probability_250,Probability_251,Probability_252,Probability_253,Probability_254,Probability_255,Probability_256,Probability_257,Probability_258,Probability_259,Probability_260,Probability_261,Probability_262,Probability_263,Probability_264,Probability_265,Probability_266,Probability_267,Probability_268,Probability_269,Probability_270,Probability_271,Probability_272,Probability_273,Probability_274,Probability_275,Probability_276,Probability_277,Probability_278,Probability_279,Probability_280,Probability_281,Probability_282,Probability_283,Probability_284,Probability_285,Probability_286,Probability_287,Probability_288,Probability_289,Probability_290,Probability_291,Probability_292,Probability_293,Probability_294,Probability_295,Probability_296,Probability_297,Probability_298,Probability_299
1,0.173476894395359,0.142005419737673,0.318703099550775,0.301693637415979,0.209218898418855,0.123761676022034,0.207683705439277,0.274028682375307,0.0678337396625679,0.0678337396625679,0.187342833857734,0.297641811362666,0.0678337396625679,0.194156067105576,0.156615867089108,0.30155294300045,0.18032704934132,0.183919363743834,0.315902946575798,0.32149473952687,0.242035560975409,0.154178199568644,0.213289484378388,0.332626905105349,0.208377430428511,0.238226381787633,0.0678337396625679,0.454260179206803,0.431506246298352,0.302146113133503,0.171548712174099,0.0678337396625679,0.177187134730092,0.263883403747642,0.244186236307526,0.197165140036622,0.200119731920167,0.292411658300562,0.334452457698829,0.224936833997396,0.161275125653554,0.143078313022506,0.269102001293682,0.326569951123249,0.177424986469225,0.111682108066098,0.205125776415904,0.119681091147663,0.213947195022675,0.0678337396625679,0.264834581619381,0.352994632240546,0.40411955708004,0.139156382832377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.529266979786814,0.194646389075119,0.155707325385608,0.206347484156811,0.212803213426738,0.172889167239519,0.128877941867208,0.197101298261832,0.253543955841654,0.204078344239423,0.148183345529376,0.198504540034388,0.317958895786712,0.379940485176322,0.150897776849338,0.225763856844939,0.19744614323678,0.215971852468398,0.163121479436558,0.201056267375525,0.228586297936772,0.214825001890134,0.171747130328755,0.155065873032638,0.210930837147769,0.283678604898868,0.201073256579348,0.169395570374986,0.164324181522806,0.163829397974969,0.187248804582747,0.187795919198167,0.128081357766443,0.129520078238143,0.176007032745058,0.139237928290963,0.257923814492849,0.398052341993198,0.256797933825078,0.216598695138988,0.389606240676691,0.742755752697635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.552435500034864,0.255172848883429,0.251552526602475,0.208909974843435,0.258898213372271,0.328940354760459,0.362218818773033,0.182105595994425,0.296569516318894,0.337898329035958,0.138124054544443,0.393451410147476,0.110309024247396,0.141394832127234,0.281720834271541,0.290512660839998,0.317931521094095,0.187598851873719,0.237301912391699,0.227667486251752,0.316174203052704,0.305071397688752,0.185281440837367,0.292150330536738,0.203287126234006,0.219999836585568,0.240199659993398,0.15799724743694,0.246375304939768,0.389202572752479,0.180854643395489,0.169266924702456,0.322130713459053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.346925716546924,0.413533778856363,0.249240080963834,0.456451693441831,0.449645269069359,0.1267618079896,0.24117831684316,0.194344533522047,0.108012041539405,0.160256232547876,0.216905000062168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.26126314607931,0.587876496317081,0.288651191690809,0.41816145812611,0.231076491474139,0.496909477092053,0.250425830441987,0.213188465537863,0.319642549558287,0.294235386535963,0.175162976429869,0.167529518686328,0.333001615981427,0.281412219369415,0.230006023400998,0.313121885960842,0.238821127366642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.216916740860638,0.148636189160296,0.22894629182002,0.298930427008948,0.14618087605495,0.315313992781736,0.222180645567869,0.142418807197086,0.168658186718073,0.168796068012883,0.153924613578576,0.272738366414334,0.121465265716243,0.232440252407983,0.146722007318506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.719652750175685,0.22550584862823,0.374054250030761,0.288617374320063,0.409901107854062,0.177165659262286,0.141900604486153,0.303848432200737,0.186152608630467,0.183280168735793,0.327443698221267,0.324336388196983,0.539042737032593,0.207145082453378,0.454024443839072,0.303415705889927,0.265069957064526,0.360961366950224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.242816713439861,0.464696144157225,0.554798296511722,0.322005165348717,0.19853402465015,0.234740089429867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.286248332901205,0.15272412595535,0.37878423565368,0.154000376108703,0.138295078240553,0.433482286166847,0.444881383105796,0.207270810770294,0.22371640052416,0.381555305254819,0.233102851292171,0.248645448534716,0.363473273685253,0.144263974673206,0.346515386789439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.163549044648975,0.148550753366244,0.287430454325913,0.325812726300194,0.529300311894755,0.269903556015259,0.193446190481516,0.256710942839,0.194554405147966,0.275738390962541,0.182607478493571,0.317364707890171,0.203377270807261,0.182773045407193,0.303816846133744,0.498456375372995,0.340989369548897,0.226436691419193,0.21601192784122,0.185833914267486,0.195219861472942,0.203237135577171,0.25275574198304,0.177334892437401,0.182677920012087,0.333866375317196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
