Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155
1,0.155087438531734,0.172394382577562,0.273609165530928,0.176411166296069,0.381272379368413,0.239428912814129,0.326290415736528,0.255458127810751,0.29871040289524,0.341712271952818,0.182985381027771,0.493425379450115,0.219951843210736,0.20119890951919,0.327665909801229,0.150107782818158,0.313819313560595,0.232877753784354,0.189594926334657,0.330082538831638,0.28499470241718,0.491657741637695,0.258348259998017,0.400915849500344,0.304575308254111,0.321173098543289,0.289202858155911,0.254026398734607,0.307843614949673,0.259451592689355,0.209741008103006,0.242720202671626,0.248164504951991,0.215617115264376,0.21707473997735,0.216177851346463,0.252037980938583,0.246482956710512,0.29973442759067,0.167170080231227,0.258012558735576,0.224844653463716,0.197997932059098,0.22683718105589,0.327719619822136,0.242720251200633,0.269794245490729,0.240372383432284,0.243596383646892,0.231128545481853,0.233534008252386,0.396358148870437,0.317315991053538,0.322932493626326,0.151224771376716,0.366421345373813,0.194865713619913,0.27250221093124,0.487514863579776,0.377416764324402,0.321607446792556,0.265560469190764,0.192894715270807,0.359300865603616,0.418084000285497,0.43103837631813,0.205658080076436,0.362783974031242,0.219258670061202,0.308958694506409,0.22783582426715,0.282053816625103,0.250438594148282,0.256557914440065,0.34260574839614,0.301105090668075,0.18992991027591,0.213702548314935,0.258955655037529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.418905757945079,0.246598968956421,0.44873515394056,0.257816918955332,0.173403382752994,0.315986384303455,0.205177065143549,0.416026625924478,0.257867389409805,0.268641355978512,0.202434812881863,0.342612600268845,0.197038825632811,0.279960138576491,0.202144480453141,0.444428330891603,0.340420497603974,0.386669238680623,0.440660042902983,0.229996838687585,0.256966693872377,0.188875957844022,0.244014313331037,0.280346557777979,0.215508363823969,0.203148496182214,0.436167481319824,0.247048131847313,0.325155902510135,0.23289815577573,0.361493649515853,0.275062695072143,0.313645323631138,0.37342923795022,0.589625113119454,0.288831746417311,0.244837260164498,0.253933486413037,0.378500866106753,0.221694702881597,0.243208218219023,0.324649981823067,0.220301466284207,0.258153443125694,0.300838457674951,0.200527299437554,0.349585908919996,0.366108242855495,0.379730060143674,0.282411048659346,0.284639184837934,0.33630009310132,0.186970311050869,0.22768698864626,0.168329112509856,0.398239469217319,0.209239590234784,0.460807732569454,0.285697500032856,0.231807840495647,0.32392499463696,0.263344278764955,0.423814150256653,0.392105106520952,0.290818291348242,0.174873610298353,0.211080614907498,0.249553428115551,0.297517463574288,0.267484096405488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.201795989658142,0.253600359907536,0.388952663659895,0.377383016404127,0.240921009561106,0.224636943878695,0.243374742570386,0.225897938387364,0.284615053584411,0.255976081390081,0.321703937450043,0.365990077905866,0.236662077922266,0.28275346696019,0.369184009340054,0.187889585417355,0.278810734042725,0.307843506973104,0.238188855532353,0.355262923853187,0.277777743974211,0.290970815153659,0.350137732350216,0.31582009555302,0.221178853575382,0.265105475265284,0.300052705267961,0.254627312788623,0.267258776109412,0.373971373760196,0.15706815491543,0.219433958405224,0.34116360540689,0.238727542944111,0.284413925643783,0.23223101266655,0.290094790781798,0.263783205045218,0.345085330282415,0.268067349835357,0.218622150275471,0.264055155957442,0.527189180023078,0.279643335812333,0.252138514005251,0.349352503897554,0.259090136444973,0.320359170469293,0.2920977393168,0.207299128327851,0.217939000188617,0.415999050792816,0.346216792387969,0.160117279650641,0.253914742261023,0.396184124100892,0.439474309913433,0.245885882234886,0.304065802935598,0.332709192868985,0.291229237899986,0.20532968061299,0.354631097367476,0.260163829785255,0.24717976281851,0.248650268612397,0.250721291642738,0.307186844944917,0.227107208051192,0.24509524743613,0.165512477173919,0.385552364359061,0.211554566154127,0.317810831104541,0.225931632082208,0.262999974184946,0.207143728319479,0.218631736811501,0.422397758790701,0.210360280438421,0.183149389935427,0.320696016410625,0.208011594655312,0.223754359235717,0.36918085426637,0.286123330196284,0.138974312931774,0.216371622952529,0.185016014030905,0.420809637580013,0.259742759336218,0.361099731754079,0.277780238167943,0.321012648419541,0.220874517990711,0.256228137694302,0.243262161827288,0.327253911385098,0.17010960998693,0.253993554568429,0.579397554583312,0.157836468323428,0.171277078957565,0.293309383777206,0.233895163369085,0.244764673370466,0.258443137047412,0.308052535043589,0.204223031726209,0.269919688192734,0.29386101905084,0.253108812188127,0.210475625815193,0.183703532110993,0.231236914060438,0.283642154428714,0.258160043352437,0.260942886339357,0.235769408327516,0.277492768876458,0.199042361532521,0.139422746229748,0.20849997828983,0.167667122289872,0.152423346517842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.255829163512501,0.195936938051648,0.347957530403186,0.275897347413018,0.155826371832476,0.443504912373089,0.457997489399566,0.283324862071949,0.18259976780925,0.228598482045224,0.272261281824701,0.286039386615879,0.291679366975025,0.228195826684952,0.372469665549238,0.195835763672471,0.213418904051305,0.384535367369387,0.213564229501599,0.212363786539667,0.293012783114198,0.282412957774859,0.283654475429784,0.275843290547437,0.218549699238377,0.253563043108112,0.311908656177874,0.382290209144965,0.188845485687137,0.190174458450327,0.295099487438042,0.312433688763917,0.333430754586967,0.184288067405208,0.381197530540431,0.291809506517936,0.158420982401819,0.277459404203574,0.241264715991864,0.226349502050744,0.252834980130408,0.303273755798201,0.321928888054095,0.614595103850063,0.386015933737199,0.277730637534999,0.247605752627659,0.32703292429166,0.283924533868593,0.214623878593526,0.266518030529528,0.311039194004199,0.240178263398492,0.446064616266685,0.370593844548552,0.261247748950417,0.327627932544314,0.447318693868823,0.236698771285781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.362988996365224,0.17466771344805,0.259067579354295,0.274902899431065,0.35071208765478,0.26441409943725,0.286642846619578,0.294004092768479,0.268787404997555,0.378148389244658,0.246652539583267,0.22352076595783,0.197285527569943,0.307775587695263,0.157889184534116,0.279698717727242,0.272182371185112,0.183171790707743,0.193397666529427,0.156224665148186,0.234068976312937,0.380201159566109,0.240162111160468,0.213410448515209,0.266398294063245,0.311943366655266,0.515803321860553,0.327067858258223,0.183320368718593,0.19424771022105,0.204447046692927,0.26025535592928,0.445240463623301,0.348700753899424,0.300813945543092,0.226218335006672,0.332012145586875,0.306941686781375,0.308051604939364,0.226226319596046,0.239494171459577,0.250393339002379,0.323813270247579,0.319560939824386,0.363510769308098,0.376029877274382,0.277153585783127,0.210162720974081,0.202284703351238,0.182035361441946,0.288287102564943,0.179240280025415,0.262173873687899,0.197552380478038,0.357089656462593,0.353567250222653,0.223391289492959,0.281935588773431,0.343897989138854,0.152203644167043,0.236172220293285,0.172560522795013,0.257830829114095,0.246245415874398,0.447947477164301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.202395651906561,0.180552009336107,0.308377670856176,0.251239375548628,0.295283545648449,0.16327073876144,0.225133320873907,0.36242616856605,0.441454301949135,0.141778332527746,0.273509827824158,0.308814362159272,0.25141617131485,0.147455144168915,0.235547301461653,0.15989395060233,0.213529428596702,0.252528209181013,0.194594888532892,0.206572430099778,0.324232300502729,0.540827183791917,0.236120444750396,0.2676338286011,0.168876169478663,0.196643701902734,0.357548588085557,0.328032564220086,0.269524665893552,0.163115468294005,0.167495262698798,0.320765883015363,0.416020600628185,0.300495511673533,0.273346496524633,0.275555864941264,0.259508422890097,0.246353765571826,0.249077556659597,0.407102197030453,0.208697791214355,0.346831786931294,0.187812145644063,0.411013641508695,0.361568367384145,0.206452925781076,0.219283846318717,0.268164482111577,0.151363910758412,0.235489043545415,0.235845133347844,0.358376387972263,0.240170151059654,0.301923896590049,0.300485241111198,0.203418345005757,0.290101465496485,0.387094240545412,0.346295818223077,0.258874011740887,0.364860175130808,0.243311936862088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.394262434727596,0.358789917523145,0.288118263313043,0.611365963056305,0.24350338574354,0.2409902003851,0.332534675695561,0.27869558483477,0.117445824109984,0.271356486686479,0.349025753588909,0.231821546718703,0.165335085401117,0.260333878013894,0.214003197455775,0.297451886465956,0.209721944140669,0.236267895298603,0.5836630619284,0.342648353492854,0.18784994972343,0.387048262189351,0.344438520857557,0.231050090337653,0.2731327395078,0.386514617684194,0.268011543085951,0.352148394123483,0.232758085634754,0.186490846154204,0.167911087867593,0.525223219042324,0.246006309928852,0.308023305065352,0.399405732316085,0.217627918728198,0.301802799736906,0.464919032289874,0.236241462872002,0.143198576803739,0.309960151135949,0.47293217458808,0.237465257383977,0.352577998047641,0.238320056967679,0.264060475421843,0.255917997709036,0.601921932072804,0.289051643857104,0.232060746216679,0.349970760988963,0.207738696273374,0.2358633211687,0.315072606579841,0.212028692798906,0.63436403244113,0.684588215432115,0.372031187157093,0.24120007015209,0.285464183893311,0.348725290081935,0.165043884949083,0.21309647283501,0.282715076854152,0.293524209431745,0.425664447121565,0.353937561365324,0.461181940487777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.401841141779288,0.404528030692922,0.343775403273844,0.393421249203197,0.208481357767738,0.341351076637445,0.470310510007282,0.194233423992785,0.300864158607945,0.19150422385573,0.404406378983864,0.410622009748862,0.186334433918382,0.256125346956016,0.498224545777947,0.475380119015047,0.52520863034853,0.294763087613446,0.288489969982122,0.316636330582953,0.259068842220861,0.160897441695918,0.278397113362981,0.49652103702866,0.307285344665234,0.300372470820107,0.242541699519346,0.382942558460316,0.212668584149473,0.357375910164972,0.201711890213313,0.200987440513859,0.20412534864248,0.291794132279084,0.154572215312538,0.314755284525722,0.262710990704024,0.226097205618633,0.242074693342552,0.354921256600149,0.457465916816226,0.190981360221362,0.249736582453518,0.236025389616938,0.310271770221631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.236560221350272,0.331505258811807,0.237297278536398,0.23190808179782,0.338913178380723,0.195915758402815,0.171641420994988,0.302639131095282,0.251410765563988,0.273449816130921,0.289217230307,0.339607300836721,0.141710760549316,0.448946499803344,0.370505293884423,0.242208752593538,0.139215324592071,0.164515865198536,0.216868832067345,0.139610503298215,0.386105681047805,0.279948099221229,0.224408140653338,0.377112428849403,0.297701522086489,0.211363444067393,0.271871882604639,0.283161015169539,0.218810695515481,0.312800627148136,0.271102333813458,0.327669460634157,0.315208390771576,0.261832565169936,0.342860498584762,0.257274758106353,0.180411762981786,0.201234555694286,0.25281615361981,0.304170803012268,0.30454640952146,0.142594146227311,0.363352179580864,0.349039934769896,0.216681853263181,0.314372416256201,0.248130403744441,0.358693293535937,0.284875820491421,0.213890019957913,0.323239303812138,0.272340244862633,0.310784739025028,0.296262298930278,0.2014995491211,0.22111672253781,0.261096068399677,0.357513266726175,0.272077599083401,0.165631980149418,0.259188067975051,0.271477339762897,0.410840110222856,0.475772741894423,0.177067837227488,0.221388397731031,0.293370205060551,0.319042944783102,0.245613600881109,0.272284081558012,0.355254448138249,0.203518723347641,0.220158327535961,0.431236258780164,0.273928568351877,0.282879825347837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.210737227834797,0.353888656849329,0.522164316682976,0.567901501489309,0.303343241395101,0.37934545039848,0.240074289413905,0.58286873885642,0.255565815174209,0.347373950015356,0.333254711099428,0.338636277427357,0.605042624775423,0.451122258521974,0.168641484491709,0.516223411552764,0.30702965446615,0.268863075052427,0.15831440444325,0.37554357206415,0.142753635860218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.209349062336053,0.209077886489698,0.219193907396559,0.290046495217852,0.170243219646599,0.33260241382101,0.263794548899823,0.167187384383831,0.286501733932954,0.247887972710645,0.200120485676802,0.199421092401273,0.271665820942322,0.343473697815416,0.194780921086277,0.220364286106201,0.24522749635697,0.26282495165169,0.143586425944811,0.199336746798843,0.329821641785766,0.341510849204209,0.402661915955925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.117190019787213,0.2072273790924,0.194781262289064,0.295110235859495,0.222854840457646,0.160504872193813,0.168504077178499,0.215607759939022,0.3064116115368,0.208160461663303,0.326142262189178,0.338653015916884,0.225789711785924,0.209731617472097,0.204108686991357,0.194677499804863,0.278461629579389,0.236461688497065,0.24439448665555,0.253378551588301,0.418393891707208,0.402321344091828,0.326579201805717,0.299963585878522,0.354074595135218,0.229765810860305,0.444099772469461,0.20021409979003,0.25452220435385,0.269209998202252,0.266741149509619,0.247283376924497,0.256106920836253,0.218920787425571,0.317215472037441,0.354900219687974,0.420487824278846,0.28044098833449,0.296281464297172,0.360188325590645,0.149210554116054,0.298464155044404,0.28476097644024,0.458959606387361,0.220530898320361,0.295737941030644,0.301802100714892,0.380179609738853,0.227813527548155,0.381545620123006,0.230103716819456,0.234959965552021,0.247497886077216,0.334825722263918,0.208604520263348,0.196229246307295,0.251431555923394,0.220989169296486,0.373968538787267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.799700023760258,0.409254404326176,0.107966602050258,0.439925036254456,0.788013040533166,0.147459008751316,0.797972285330582,0.206636219883842,0.696832469119193,0.155344547532725,0.691995433688299,0.591795923905787,0.244779891775377,0.15913737077259,0.778257603497574,0.734563392934745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.325516644164934,0.620514726903333,0.668494258902219,0.746286642026559,0.483160275125708,0.499126907329985,0.220094066986082,0.631050368720649,0.495115911956852,0.504603127163401,0.557686167433987,0.426811673190617,0.385222715274993,0.360234540941983,0.601017924063073,0.638582640226644,0.38587073722478,0.390492429988052,0.397414678342863,0.270834626764739,0.656579059950005,0.410243449902065,0.612086023316776,0.332459600273056,0.660659486327855,0.208713317440931,0.628175009048579,0.500853950659776,0.498642974652845,0.16638044876078,0.361332916575518,0.444922385124096,0.280263901690571,0.16757896746039,0.219126642134412,0.284219336215964,0.548348227275157,0.4542244123866,0.307914237621928,0.148286646215677,0.450995101611925,0.440562063623553,0.722342906353902,0.403607761971978,0.521566656928194,0.507155553407019,0.317205605805025,0.123235475360328,0.109755236514574,0.160998420028457,0.171034338722382,0.17785306604867,0.592895747812358,0.215779195841516,0.320789161735274,0.179298125694475,0.216700743767418,0.683988175929062,0.470111466302123,0.248544027388193,0.389128111949233,0.278660567404785,0.674040393311371,0.486865540720181,0.464632602680434,0.496073588108258,0.622663686279304,0.473052114690192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.278855701744931,0.19316159286021,0.380500633147518,0.266678428960009,0.265338288440622,0.388826658177906,0.246620206154619,0.219122203900508,0.299173233511045,0.281932072608282,0.287005319962573,0.269305169212789,0.291651194349689,0.200365448117431,0.213350687548784,0.278817252454449,0.244770703014075,0.319131562498232,0.225383922460593,0.228285711724742,0.413977089481498,0.271613958467061,0.203559747830396,0.420844190487306,0.53422457041864,0.625046756979787,0.590263233166007,0.631057501539146,0.393603436215259,0.212522459949249,0.22145890968631,0.193451581105564,0.179198378975112,0.270338105048018,0.360191235910988,0.349931746168755,0.311725760501548,0.295875872111023,0.297260847998382,0.377825318306521,0.364411583097773,0.304848906338402,0.253444808003379,0.342032780648374,0.279846093478407,0.16915651380544,0.233537068328093,0.287656209384779,0.338274748069931,0.455406736897288,0.169379631993931,0.440535587463374,0.375959102712705,0.298608866824772,0.262854790064452,0.171706863331905,0.229470254357628,0.393100478234671,0.264361576499517,0.367745526040114,0.283713820592556,0.274466374916368,0.402656952154233,0.36928619912118,0.338942573173453,0.259731778319028,0.337507689752405,0.231679125621723,0.235632188974494,0.417623386638722,0.228052710759447,0.164388370194119,0.265119599098367,0.29186222400623,0.284170376528251,0.27392991288591,0.266976083658418,0.221897267715862,0.145370316242085,0.323568370771548,0.186268297933084,0.19002168645117,0.19506636533554,0.348747826810441,0.211898363311789,0.175306317270916,0.342301396010692,0.219473147441197,0.17428342834781,0.250468829762016,0.379416460380288,0.389395835391189,0.498706395087571,0.212825768421105,0.348036841899507,0.286950764540252,0.415260720449749,0.497147034396261,0.262452452615279,0.236156336993719,0.236269319452674,0.209729661174398,0.215148078321832,0.403286220691536,0.233375937194938,0.161126351005508,0.264684857308945,0.178466446475234,0.260906727146948,0.326407997079739,0.446458509845128,0.241579169872573,0.271181651438992,0.329794123745788,0.155116634589727,0.208654639227233,0.186014317309587,0.406070528223673,0.484730161717129,0.244525308233642,0.231724363112869,0.361942668463112,0.371091749038804,0.17365197511819,0.294141117791634,0.33594736558055,0.340340394888505,0.251399488925873,0.190000704316954,0.278551024310197,0.492411020185344,0.293141093517933,0.215061745412068,0.200657936318464,0.273166356107769,0.336286265360932,0.238533116579091,0.284875026461115,0.482584407969651,0.387863511141325,0.554049457338234,0.408933971749733,0.429219365063226,0.40148469050656,0.301023765252713,0.307579680661693,0.204812274861854,0.293871679826442,0.235698556750673,0.191754979731599,0.209844174606378,0.319021660175071,0.374113080653137,0.267090089470913,0.383408590721072
16,0.258491409493654,0.166846527996947,0.632322003814758,0.225066747772361,0.188924379765939,0.335263427940104,0.264320859405323,0.300250733956854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.320570681486029,0.333440170475046,0.291640398494935,0.310239270356126,0.412041962853261,0.459764284914667,0.466986564671407,0.273115903334625,0.32524995320451,0.460012207452727,0.349364461256154,0.298491507557603,0.315375014943851,0.274934007475236,0.459936211091576,0.299976580913171,0.314567570171877,0.344784376450138,0.337749888449098,0.429926918921832,0.55460655453955,0.546602910696835,0.381215161018776,0.423079088313155,0.406642077848896,0.358279268246543,0.38453945366827,0.24357999676501,0.236949090755987,0.399357555182718,0.459691770045028,0.326831881782818,0.165125709108648,0.275831396571808,0.381517143875213,0.244142916434073,0.387676274476652,0.31309694461882,0.447766492291846,0.207986731989398,0.197048386322759,0.633995700427445,0.644133944572201,0.607338439268229,0.284999606936237,0.298395733455637,0.385650050517668,0.480297338603716,0.306468023358457,0.200007127749495,0.365772009167019,0.422339355735598,0.247492067248068,0.380427017895722,0.300957406240954,0.255332389335656,0.264113004441223,0.286478365438395,0.302064281761362,0.278740177952082,0.381980005088218,0.183419438428031,0.373961212720745,0.379065695579181,0.281519112948167,0.373288833410558,0.34004141089252,0.549808486337099,0.261776402260883,0.484300000845664,0.316119314677298,0.546605958662538,0.446667801671308,0.442711359466942,0.518497130068967,0.486096239033017,0.510608833161817,0.485663392397642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.214772994188739,0.524710829529797,0.345636176791864,0.435416146085473,0.326708687055959,0.183151827753415,0.21157066207693,0.205172198567658,0.17109680260791,0.341384090525657,0.329222167231951,0.328520389950299,0.355986898899712,0.462482523599538,0.224222594807432,0.422155992916629,0.277495414925462,0.400338072797298,0.270781626428125,0.363499467910329,0.326589877727334,0.429239364394278,0.406699478592971,0.276454835103739,0.245470568841391,0.219324460076752,0.18060918382647,0.298512403170238,0.192467304111508,0.452100504462066,0.399811002378581,0.317018200038612,0.547727840699693,0.431322952936615,0.263143222925814,0.467940963178118,0.179003858705544,0.226450803921881,0.150957335856518,0.36560280546289,0.203764386616799,0.421180544950013,0.205403095053386,0.460721117564741,0.284925053953994,0.266989485826058,0.256080853476826,0.380931798599246,0.196898876259563,0.481535049781122,0.326167702980396,0.421465530024435,0.453417121329125,0.367167989030739,0.413872851464189,0.450557680119875,0.359500038271407,0.368466557518708,0.378440657960584,0.437269764107159,0.310441134149211,0.316416716930582,0.127194416371567,0.416624348640076,0.399983767930653,0.427481023964475,0.397356200084766,0.295484842432025,0.189060843492344,0.181102609535886,0.344597735149723,0.211419069394613,0.320160211669956,0.46193358014015,0.284147909712416,0.407648753799825,0.338320340906079,0.381030856731492,0.266161873641109,0.451918804044619,0.246533912282051,0.319342136599604,0.396851837990771,0.344579443883732,0.219369971082872,0.333102701889278,0.425168484349593,0.409502048560378,0.358005519846544,0.370349780362066,0.467794094422857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.64575133775665,0.300725764147553,0.304833081241427,0.770852242263554,0.311284613792628,0.403020810661604,0.616052966479009,0.321742465721723,0.228478020738404,0.251625836239932,0.626507046107475,0.41745152152412,0.415850626535035,0.576614657628231,0.555415811319134,0.297954185033052,0.315633501760983,0.522454715846615,0.463493464272226,0.173239780645539,0.29570892912165,0.724617313779402,0.383836781904934,0.49344919747349,0.367076353385798,0.23969985407077,0.654128971911833,0.636264686367179,0.370035822553119,0.525516954113297,0.57773722784124,0.566518678610208,0.312085078029306,0.331599107711706,0.384268135956374,0.397817232833029,0.632985002575247,0.661968431563178,0.335698789783954,0.244130800827086,0.203626648162574,0.397502558595789,0.210900246878871,0.239150322772355,0.371601109425606,0.438675663585382,0.635664398422318,0.691990754163086,0.404710626997834,0.391803132172297,0.573780684583339,0.693133004724828,0.360742588132692,0.299669935007441,0.210428736899953,0.515258313841404,0.623508775803463,0.343659690522324,0.40321130496778,0.416627047319516,0.583110449042757,0.280637759038275,0.35236675759113,0.708892786508054,0.511871183335965,0.632550773291608,0.692027313868888,0.355475893296695,0.353856404926196,0.288546426543028,0.25761667446624,0.732484533724004,0.493384843309533,0.464968588984682,0.60713198910937,0.411265366748258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.858260320543239,0.639474356536029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
