Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152
1,0.17151895555713,0.220874067349641,0.208170239328631,0.144271840939534,0.279223442587489,0.300851624042535,0.263197729562986,0.138312133011328,0.241668065577287,0.26715448198579,0.275606309983177,0.260925594046661,0.340237774042851,0.119980926877686,0.266642922152736,0.220884887876493,0.230162578746942,0.209210492536584,0.240449626167624,0.297361832651852,0.255102368702954,0.196677511061685,0.208159681615755,0.251047284977901,0.0802385376507033,0.148134338221715,0.229298063698528,0.244960155575645,0.255780617062545,0.205039954999569,0.330266546730075,0.231363153302129,0.165274830228045,0.175181629164075,0.196240927511058,0.210448944715581,0.157003721626794,0.202660459490535,0.203364552228648,0.323458627284106,0.304283853042078,0.222048554856269,0.170705184412125,0.211099260839318,0.136716500135527,0.175104424045676,0.180792164704292,0.248812223068702,0.174956650142733,0.18687647728674,0.22672259557876,0.261704120021571,0.243608957567773,0.163293775877207,0.212731832365457,0.217574645090624,0.194428357630365,0.182566641498111,0.160799264435546,0.165527853197,0.239443223959795,0.20881366630041,0.218177538754587,0.214088373497686,0.166988517901555,0.155875291374131,0.311785698711871,0.2060788906475,0.246680007571038,0.26835632162814,0.438612802816914,0.202198755504683,0.294463412016683,0.225094132622067,0.195802393618958,0.417606742546816,0.352356454579118,0.335447956484986,0.284550331336889,0.276662978581435,0.172095866985566,0.2001719110444,0.14279403924581,0.18838714346358,0.122023031965846,0.303810616194969,0.293692176656933,0.265670531590776,0.308479517030953,0.185180535465873,0.325266294921142,0.269347150808372,0.20180136703486,0.262924826312185,0.173008440042539,0.369646218655395,0.24023162437814,0.215178129537033,0.224864742400105,0.221313650144934,0.200783587437799,0.243941593099398,0.23405982521883,0.201290173563709,0.231468270876737,0.253504906536021,0.282548152208413,0.148758942043768,0.267064350772617,0.234259090164105,0.179735278784329,0.300400940598013,0.214158913378865,0.290973783624275,0.193519379555603,0.228236862585304,0.258695891145996,0.185336283502067,0.388920912488616,0.247691592204026,0.317283306896948,0.199965729083817,0.274101582054799,0.308094335547455,0.269059084332855,0.233126834646946,0.276961538143545,0.272650921618468,0.260937877389619,0.278706701318383,0.169441382659957,0.232760951628867,0.337109058304589,0.296220457056251,0.176724619703028,0.187533518838866,0.223052173816837,0.195435450580788,0.234602041879834,0.218797799878045,0.211788445514347,0.196967849454712,0.178288133739097,0.212966941954812,0.243553853800323,0.207516129587432,0.28701316789705,0.224060246651748,0.128219817576709,0.266339200436768,0.212908975240424,0.168609519057288
2,0.265933509708054,0.198131823650139,0.154631078091432,0.22062491308313,0.295900126904022,0.273600375579552,0.177793961143199,0.212956638308741,0.196097892352762,0.589438802108167,0.172976517900642,0.107271555156681,0.289299462449287,0.153823323800436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.198146042816426,0.13416133123404,0.194244386025505,0.175167555796441,0.351885801409387,0.25718702955163,0.253654868090421,0.199278094796054,0.196707559082565,0.257938669606128,0.18079928614463,0.167780349065793,0.30551371271262,0.240073108588372,0.410375457226618,0.571393921958779,0.356054945848429,0.47530937609163,0.345745396350503,0.277874712855534,0.357581271010504,0.165589772508477,0.183512170870544,0.184180757712644,0.218904902457492,0.142688188550813,0.299767622228531,0.204506277325309,0.181480434264662,0.297227848119512,0.271894556650169,0.192924478607825,0.192633787959276,0.269252179829766,0.332996085299832,0.110871561421795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.225375551073855,0.19640275393794,0.251121492760853,0.235775959717095,0.307367814085807,0.386510845814587,0.191544780504814,0.187620637154548,0.162374938537148,0.198422418021917,0.128088533440268,0.156744718118748,0.138306082860099,0.358406146258529,0.180626895333782,0.217407363767239,0.422138883621635,0.134294165034277,0.408556429280816,0.107476243339952,0.205407962812675,0.282971424196816,0.169320967352617,0.150858684730307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.211503454100529,0.217690976048896,0.225489406267883,0.305616804022804,0.191959225285534,0.29435133736958,0.233133629075348,0.243240160850738,0.194927409049599,0.220716273576957,0.287847566203434,0.292313517113112,0.130720160785725,0.196481429359448,0.182659080298402,0.149829965056734,0.271638010355254,0.258293498450557,0.263996892279089,0.472719144721666,0.230655634195763,0.223729090124304,0.148937196279315,0.196048359312192,0.234413848155046,0.28615025334105,0.307152193754683,0.246866865356999,0.251943341093987,0.174828943523026,0.227963928283126,0.37271199997437,0.177696949268565,0.208429492154378,0.219810319922904,0.203929133377624,0.207971111842486,0.214950575814059,0.247086177397604,0.245955419315804,0.274953168718732,0.148829169013338,0.136570037181223,0.193145519709861,0.304340900296002,0.183410481797375,0.219492256514147,0.23840137691125,0.176743709273923,0.261688388146475,0.194916840509023,0.287344251372251,0.28280285309015,0.222273956514053,0.171563071998094,0.202755797032596,0.216127668048414,0.564900337414802,0.298607766747123,0.206783441826137,0.245746058814205,0.133905107248833,0.230612319431969,0.210408978954676,0.361003837037181,0.202988844686739,0.133239177531339,0.340627524318698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.243756089296942,0.160159059405289,0.16509003322073,0.26425792505729,0.248142405503964,0.448762497092291,0.238535576325431,0.264822424391148,0.273947141539128,0.256073345128223,0.408585811950809,0.212842793192217,0.433271408865993,0.604624311621149,0.312259521927213,0.171730675573627,0.153329196377249,0.504052635406913,0.198195994725863,0.153817400689851,0.374311624727951,0.426403602863307,0.170571940436772,0.347403085189201,0.486250708565836,0.203603448413009,0.467014170394897,0.225268148475248,0.392156991664083,0.269154348300428,0.444989499419337,0.362416182743054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.269504393798733,0.15303336380679,0.173901089757188,0.217326652045353,0.191605841191419,0.152375975698629,0.207756898988116,0.202278094237869,0.340391924976198,0.2670411335502,0.363338581976967,0.169316521919869,0.238580580931293,0.24965148949433,0.237872274652738,0.199722343199665,0.155793816876757,0.208136037116375,0.122120691864235,0.161124475426161,0.196499238849072,0.209839375702077,0.172896354980755,0.255339329760419,0.198734406488555,0.257359423990441,0.275534251068545,0.134050886586637,0.202092365733915,0.395043220081033,0.204825944268675,0.467242016828177,0.165594616778636,0.195623563238854,0.288182363921226,0.214314539395096,0.204007172926334,0.309873115931265,0.347217366973219,0.265515284016956,0.172320797668169,0.198595170112808,0.254664991204498,0.241089033867368,0.221980900988161,0.168767938352642,0.132977299680346,0.324494434154155,0.161803486772599,0.288690640622006,0.115185507505294,0.311719004121148,0.191738558658797,0.132981411573313,0.180376324573312,0.22541534556186,0.196558754391758,0.131927649613959,0.25182786286853,0.26376162406293,0.193475657619604,0.286803890356523,0.394246415978186,0.411125339115447,0.31869696730037,0.195235908655738,0.340437420573515,0.182860068767221,0.222622541102522,0.30374911898592,0.39556687533077,0.216897809629801,0.325608407723675,0.173075447528898,0.298688341657,0.35217838603401,0.207219593661286,0.230281019429498,0.183071975056794,0.139012429077724,0.294166400619406,0.135339000843914,0.193819677138563,0.249687921562444,0.359794637753048,0.180696466294031,0.258721906096857,0.305344810910258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.204742169842439,0.215671359639431,0.203221776709404,0.245518327443375,0.13606965581996,0.204388276507055,0.159240689782906,0.176643119980861,0.24136363509515,0.257416383608564,0.142703031838973,0.174827268784733,0.19148251090009,0.261060526218284,0.141353883916528,0.26573743158252,0.158746296125664,0.277941555497323,0.173853999065331,0.196413686926003,0.272833618507211,0.221469124918815,0.167438262531816,0.221291668621643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.401664113743197,0.316818673890133,0.291398738240433,0.256304230690443,0.269008305006684,0.158804801281352,0.258240470988999,0.139075950528747,0.176431607575361,0.305277954737035,0.220671199918195,0.159288948371537,0.159776046984936,0.330609761288182,0.26940910557321,0.164460647226725,0.294888872927123,0.301856497346206,0.265449480188329,0.165287859670922,0.181579577626207,0.159778764575189,0.190951709359031,0.518936385643954,0.264245561359043,0.280048383346335,0.23295844060306,0.275083210312769,0.472997399273386,0.376306811008792,0.204021497988571,0.503924274748174,0.366673536066466,0.300230645636331,0.276839930784754,0.23933583257448,0.415601438731749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.157395020199859,0.182482460486473,0.416698354402228,0.210536333776501,0.337539284023373,0.244601231387604,0.283665389441024,0.269057846531269,0.229504008652991,0.241308813605247,0.295096298047336,0.224319374740461,0.202718186859485,0.289474765524852,0.197228268440271,0.242768314257299,0.218549016178984,0.332031614548037,0.193813141183515,0.385011300499358,0.710629774191659,0.316069063519877,0.264173026249502,0.134424023639546,0.321295425488708,0.244278441433917,0.313320946600838,0.225872940070885,0.380363758837849,0.408213903593432,0.152916991260973,0.167816830829637,0.206712366149899,0.150149962046885,0.332935615304168,0.369609203335811,0.206680206676479,0.280419323707316,0.244586722532855,0.238239029300506,0.261149177918774,0.137082125857967,0.195735412385379,0.168040814540271,0.251010653101953,0.30912241657361,0.313355169865925,0.28739018952703,0.275021379967618,0.256540726774372,0.185765787576892,0.211067346939325,0.371242604830473,0.155851543718337,0.27029550553355,0.238388502242552,0.229544333369911,0.295338211900859,0.358825525956395,0.233687205545105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
