"Topic","1"," "," "
"0.4379","481","Jain-2021-Framework for Securing IoT Ecosystem",""
"0.42254","538","Khaki-2021-Utilizing Blockchain Technologies w",""
"0.39588","878","Samanta-2023-Secure 6G Communication in Smart",""
"0.37841","736","Mkrttchian-2021-The Impact of Blockchain Techn",""
"0.34814","541","Khanna-2022-Blockchain–Cloud Integration_ A Su",""
"0.3419","942","Suchaad-2018-Blockchain use in home automation",""
"0.33374","96","Benaich-2022-Securing Big Data-Based Smart App",""
"0.33325","171","Chakravarty-2018-Blockchain-enhanced Identitie",""
"0.33189","550","Kim-2019-New blockchain adoptation for automot",""
"0.3269","712","Manchanda-2020-Neoteric security and privacy s",""
"-","-","-","-"
"Topic","2"," "," "
"0.58938","659","Liu-2019-Distributed K-Anonymity Location Priv",""
"0.29979","85","Bartoletti-2021-A Theory of Automated Market M",""
"0.29772","1110","Xu-2021-A game-theoretic analysis of cross-cha",""
"0.28649","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.27888","86","Bartoletti-2022-A THEORY OF AUTOMATED MARKET M",""
"0.26699","1","10.3934%2Fjimo.2020049",""
"0.24685","252","Dhamal-2023-A game theoretic framework for dis",""
"0.24258","576","Kumar-2020-Lightweight proof of game (LPoG)_ A",""
"0.21987","59","Asheralieva-2021-Learning-Based Mobile Edge Co",""
"0.21323","257","Dimitri-2022-Quadratic Voting in Blockchain Go",""
"-","-","-","-"
"Topic","3"," "," "
"0.5626","605","Li-2019-Bitcoin Fee Decisions in Transaction C",""
"0.47528","624","Li-2022-Analyzing Bitcoin transaction fees usi",""
"0.40123","602","Li-2018-Transaction Queuing Game in Bitcoin Bl",""
"0.35992","675","Liu-2022-An Incentive Mechanism for Sustainabl",""
"0.35431","623","Li-2022-A Novel GSP Auction Mechanism for Dyna",""
"0.35394","201","Chen-2021-User distributions in shard-based bl",""
"0.33896","1125","Yan-2020-Dynamic Game Model for Ranking Bitcoi",""
"0.33524","662","Liu-2020-Economics of Blockchain Storage",""
"0.31077","574","Kruminis-2022-Game-Theoretic Analysis of an Ex",""
"0.30224","816","Qi-2020-Nash Equilibrium and Social Optimizati",""
"-","-","-","-"
"Topic","4"," "," "
"0.42257","841","Ramamurthy-1992-High-Performance Liquid Chroma",""
"0.40342","908","Sharma-2021-Game of names_ Blockchain premium",""
"0.39091","366","Grillo-2022-Fashion and Metaverse_ an exposito",""
"0.35314","770","Niu-2021-Impacts of Managerial Overconfidence",""
"0.29039","282","Egozcue-2002-Diploid sperm and the origin of t",""
"0.28337","1011","Veuger-2018-Trust in a viable real estate econ",""
"0.25112","247","Delfabbro-2021-The psychology of cryptocurrenc",""
"0.24449","249","Delic-2022-Profiling the Potential Risks and B",""
"0.22305","32","Alhojärvi-2020-Hacking finance_ experiments wi",""
"0.22054","227","Choi-2022-On-Demand Ride-Hailing Service Platf",""
"-","-","-","-"
"Topic","5"," "," "
"0.56538","921","Siomos-2019-Syriza's Populism_ Testing and Ext",""
"0.47349","356","Giraldo-2020-Electronic Voting Using Blockchai",""
"0.37797","489","Ji-2021-Security Analysis of Blockchain Smart",""
"0.36839","1083","Xia-2017-Enhanced TLS handshake authentication",""
"0.33962","1233","Zhu-2022-Making Smart Contract Classification",""
"0.31474","419","He-2021-Fair Peer-to-Peer Content Delivery via",""
"0.30396","70","Badash-2021-Blockchain-based bug bounty framew",""
"0.30203","98","Benini-2021-Power and Pitfalls of Generic Smar",""
"0.30009","720","McCorry-2020-You Sank My Battleship! A Case St",""
"0.29866","221","Chepurnoy-2019-Multi-stage Contracts in the UT",""
"-","-","-","-"
"Topic","6"," "," "
"0.60744","650","Lischke-2016-Analyzing the bitcoin network_ Th",""
"0.50688","802","Phillips-2020-Tracing Cryptocurrency Scams_ Cl",""
"0.48254","970","Tasca-2018-The evolution of the bitcoin econom",""
"0.46839","987","Toyoda-2018-Multi-Class Bitcoin-Enabled Servic",""
"0.45379","360","Gomez-2022-Watch Your Back_ Identifying Cyberc",""
"0.44136","643","Lin-2019-An Evaluation of Bitcoin Address Clas",""
"0.4399","1237","Zola-2019-Bitcoin and cybersecurity_ Temporal",""
"0.4247","886","Scholten-2020-Inside the decentralised casino_",""
"0.4074","536","Kerr-2018-How can legislators protect sport fr",""
"0.39752","1180","Zhang-2020-Transaction community identificatio",""
"-","-","-","-"
"Topic","7"," "," "
"0.47572","398","Hao-2012-Mixed-strategy game based trust manag",""
"0.40689","904","Shao-2019-Blockchain-Based SDN Security Guaran",""
"0.39636","388","Gupta-2022-Game Theory‐Based Authentication Fr",""
"0.39091","894","Seo-2022-Reminisce_ Blockchain Private Key Gen",""
"0.38643","960","TSP_CSSE_25461",""
"0.3691","151","Cambou-2020-Securing additive manufacturing wi",""
"0.36621","1171","Zhai-2022-Research on the Storage and Sharing",""
"0.35878","1005","Valli Kumari-2010-Secure group key distributio",""
"0.3445","112","Bi-2023-IoT_ A Decentralized Trust Management",""
"0.33064","794","Paşca-2018-Challenges in cyber security_ Ranso",""
"-","-","-","-"
"Topic","8"," "," "
"0.2908","540","Khan-2022-A Survey on Mobile Edge Computing fo",""
"0.28272","852","Ren-2022-AI-Bazaar_ A Cloud-Edge Computing Pow",""
"0.27448","1049","Wang-2023-Distributed and Secure Federated Lea",""
"0.25949","485","Jayaprakash-2021-A systematic review of energy",""
"0.25949","818","Qi-2022-High-Quality Model Aggregation for Blo",""
"0.24915","829","Qu-2022-Future Research Directions",""
"0.24241","376","Guo-2021-Enabling Massive IoT Toward 6G_ A Com",""
"0.24112","170","Chai-2021-A Hierarchical Blockchain-Enabled Fe",""
"0.2263","1050","Wang-2023-Incentive Mechanism Design for Joint",""
"0.21838","162","Cao-2023-Blockchain Systems, Technologies, and",""
"-","-","-","-"
"Topic","9"," "," "
"0.51177","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.50825","1191","Zhang-2023-Dynamic Evolutionary Game-based Mod",""
"0.48498","1177","Zhang-2020-Game-theoretic Modeling and Stabili",""
"0.41902","1226","Zhou-2022-Blockchain-based Stackelberg Game Op",""
"0.41001","159","Cao-2022-Evolutionary Game of Supply Chain All",""
"0.39089","1181","Zhang-2021-A Transaction Transmission Model fo",""
"0.3728","1194","Zhang-2023-Transaction transmission model for",""
"0.33186","507","Jin-2018-Evolutionary game analysis on permiss",""
"0.31838","687","Lou-2018-Research on the Cooperative Behavior",""
"0.31833","204","Chen-2022-DIM-DS_ Dynamic Incentive Model for",""
"-","-","-","-"
"Topic","10"," "," "
"0.71162","212","Chen-2023-Gacha Game Analysis and Design",""
