"Topic","1"," "," "
"0.22626","686","Lotfi-2022-Viable supply chain with vendor-man",""
"0.22509","865","Sahitya-2021-D-Lotto_ The Lottery DApp with Ve",""
"0.21657","252","Dhamal-2023-A game theoretic framework for dis",""
"0.20748","116","Block-2021-The entrepreneurial finance markets",""
"0.19821","70","Badash-2021-Blockchain-based bug bounty framew",""
"0.19038","579","Kumar-2022-Evolving Role of Sustainable Procur",""
"0.18752","257","Dimitri-2022-Quadratic Voting in Blockchain Go",""
"0.18451","16","Agmon-2022-Distributed Ledger Technology (DLT)",""
"0.18391","926","Sodamin-2022-Fair Label versus Blockchain Tech",""
"0.18152","897","Serada-2021-Vintage CryptoKitties and the Ques",""
"-","-","-","-"
"Topic","2"," "," "
"0.38272","171","Chakravarty-2018-Blockchain-enhanced Identitie",""
"0.35248","288","El-dosuky-2020-Using IoT and Blockchain for He",""
"0.34933","907","Sharma-2021-Divergent applications of Blockcha",""
"0.34268","957","Swathi-2021-An analysis on blockchain consensu",""
"0.33705","415","He-2018-Toward Privacy-Assured Health Insuranc",""
"0.3358","12","Afaq-2022-Mobile-based Patient-centric EMR Sha",""
"0.32729","563","Kordestani-2020-HapiChain_ A Blockchain-based",""
"0.3211","943","Sudeep-2022-Blockchain_ A New Era of Technolog",""
"0.31241","484","Jaramillo-Alvar-2022-A Blockchain Solution for",""
"0.3116","473","Iqbal-2023-Blockchain Technology and Decentral",""
"-","-","-","-"
"Topic","3"," "," "
"0.56982","605","Li-2019-Bitcoin Fee Decisions in Transaction C",""
"0.52719","624","Li-2022-Analyzing Bitcoin transaction fees usi",""
"0.46016","602","Li-2018-Transaction Queuing Game in Bitcoin Bl",""
"0.44547","574","Kruminis-2022-Game-Theoretic Analysis of an Ex",""
"0.4447","675","Liu-2022-An Incentive Mechanism for Sustainabl",""
"0.44184","662","Liu-2020-Economics of Blockchain Storage",""
"0.36386","1","10.3934%2Fjimo.2020049",""
"0.36207","816","Qi-2020-Nash Equilibrium and Social Optimizati",""
"0.36132","201","Chen-2021-User distributions in shard-based bl",""
"0.34115","674","Liu-2022-A Storage Sustainability Mechanism Wi",""
"-","-","-","-"
"Topic","4"," "," "
"0.48715","858","Ruan-2021-Catfish Effect Between Selfish Miner",""
"0.37857","541","Khanna-2022-Blockchain–Cloud Integration_ A Su",""
"0.29893","712","Manchanda-2020-Neoteric security and privacy s",""
"0.29854","308","Feng-2022-An analysis of the current status of",""
"0.29766","342","Gamundani-2018-An Overview of Potential Authen",""
"0.27855","878","Samanta-2023-Secure 6G Communication in Smart",""
"0.26522","108","Bhattacharya-2023-Towards Future Internet_ The",""
"0.26149","648","Lin-2022-Metaverse in Education_ Vision, Oppor",""
"0.26104","153","Canbay-2022-Privacy Concerns and Measures in M",""
"0.25323","336","Gambhire-2018-Business Potential and Impact of",""
"-","-","-","-"
"Topic","5"," "," "
"0.66183","1094","Xin-2022-Incentive and Game of Information Sha",""
"0.44626","1090","Xie-2022-Research on Evolutionary Game of Supp",""
"0.40952","902","Shan-2021-Research on Collaborative Governance",""
"0.40514","1158","Yu-2023-Evolutionary Game of Digital-Driven Ph",""
"0.40133","1202","Zhao-2022-Evolutionary Game and Simulation Res",""
"0.39108","507","Jin-2018-Evolutionary game analysis on permiss",""
"0.38115","159","Cao-2022-Evolutionary Game of Supply Chain All",""
"0.35923","1016","Wan-2022-Evolutionary game study on the govern",""
"0.34536","1093","Xin-2020-Stability and Hopf Bifurcation of a S",""
"0.34175","1117","Xu-2022-Differential Game Model of Information",""
"-","-","-","-"
"Topic","6"," "," "
"0.34224","921","Siomos-2019-Syriza's Populism_ Testing and Ext",""
"0.30229","392","Gürsoy-2020-Using blockchain to log genome dat",""
"0.29444","1013","Vishwa-2019-A Blockchain based approach for mu",""
