Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104
1,0.174399093282667,0.157817927535905,0.201191343595073,0.117547465884548,0.185622649388161,0.206554451002573,0.200145216537297,0.183481630867123,0.147630916899796,0.0850254206499452,0.185263492719907,0.132516404489286,0.15515652533325,0.165249093452366,0.113561901834323,0.220836830346144,0.144512476831143,0.162456021924989,0.228603664627237,0.14595313202498,0.189590668572299,0.163008903396354,0.199101738567459,0.176052728850074,0.18363237166756,0.15683181030054,0.130339973322904,0.205725966122053,0.144252532822899,0.280701091939945,0.156713870512243,0.157710705379929,0.153564656781991,0.164296253505259,0.167190078183752,0.170661623481901,0.181421417895191,0.166786292659814,0.139965062092759,0.152163599255704,0.180103559128691,0.279335745895396,0.199197460453313,0.120135194976701,0.157740600923583,0.165306191779293,0.170297510044871,0.204567259487934,0.165657518404471,0.191754239911781,0.125306970484033,0.189052886351363,0.158498807471168,0.129289072492267,0.175737043855226,0.1802705135319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.248683474504595,0.281062954534439,0.215189377598443,0.228929028584783,0.20253297794846,0.21559404091872,0.27191679957672,0.2596063463566,0.169702459016944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.2112898940009,0.227213169646936,0.179115278241938,0.369813049419086,0.245773377072941,0.162713939533063,0.333608333949393,0.127083665078512,0.133561348614207,0.175479833328302,0.124454503379646,0.158705051967238,0.173518004741503,0.13366172823957,0.164302097520553,0.166586559295301,0.298841208580437,0.392119429943222,0.192555630328759,0.173221547646927,0.231060189449168,0.221238272136795,0.184496442920166,0.133071203147649,0.108769149268853,0.221558456625597,0.2039869495094,0.215799362505666,0.186451457898919,0.126775419064554,0.239907724784245,0.208140635336011,0.141836168214831,0.151276433652634,0.187542918120328,0.226219065103568,0.192564784377723,0.180961613498996,0.176864339029899,0.326749394916411,0.115280026537345,0.212438101302154,0.141527422636887,0.194852419850096,0.394656677476796,0.251486508623595,0.161975926208291,0.159542361244693,0.339586154204716,0.273333256112275,0.148855155667473,0.260065305798276,0.260211261674083,0.229361856259712,0.234880205591584,0.21367959287277,0.188774262642128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.368383558450945,0.324708282877356,0.204270801435685,0.106649215987668,0.146046989355823,0.205874256754762,0.129646477190032,0.262052532614616,0.217472621928912,0.104898210748542,0.10320392112694,0.102601755819924,0.248862587143051,0.221129074485387,0.165573468344472,0.167970713160392,0.195309795115155,0.298767077633389,0.184253050293851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.206767095250154,0.370162172536762,0.208277607086383,0.137987682483426,0.175273651381778,0.256215821204683,0.304208904360163,0.268654087190574,0.191741360229726,0.313006720413046,0.212111068988458,0.236686858241594,0.212291861657412,0.33714496804632,0.254056605571088,0.297671179045328,0.212215122806293,0.248513438319886,0.150936466906869,0.211897210081266,0.208059136296991,0.163084748846627,0.265100415467407,0.224491220055729,0.166041031676086,0.206162887163193,0.331137655653963,0.300963176872267,0.189332623321544,0.323259536973181,0.265330609544249,0.198713206902151,0.437320789444788,0.340104960959243,0.224309850031828,0.221029327904364,0.222222889650805,0.178791619126874,0.14050249711565,0.153677061964884,0.175066425651914,0.186833393613508,0.16107565765126,0.413199324635972,0.27999241242687,0.355543636749561,0.25682305442859,0.226552044916522,0.243857346168525,0.250746773080156,0.34728293103814,0.231111887315416,0.147869085805501,0.197390289308824,0.214996727819115,0.365370716817469,0.239424162646346,0.260901545128486,0.227470659112529,0.126041672599106,0.21813560155523,0.168399730678121,0.162397406130346,0.216379015366794,0.313382728611056,0.109888273501835,0.193481540854805,0.264770220740695,0.135527710024585,0.183831983982129,0.203918992127672,0.151475973126925,0.2431524542404,0.111733690807044,0.334139302541741,0.198943180928207,0.111075898466074,0.269774297895979,0.221670162977078,0.148907307900968,0.351544770710227,0.28064177718888,0.24974735450659,0.283886288592662,0.195943501938461,0.121992509717898,0.196789801282226,0.136550541475701,0.212200065235796,0.156777862528815,0.31911984905221,0.195974364143586,0.253662735290501,0.1395651329571,0.242839713933242,0.189753071527714,0.278458797568693,0.240582828927961,0.176432094768738,0.153380760772876,0.24814280616345,0.389798258959744,0.118262177100236,0.104319909943929
6,0.158720817943038,0.318762335809338,0.226382380704934,0.295763869962132,0.324295630039832,0.19543510644298,0.28645370566731,0.170723873406007,0.333187582645349,0.140389311445992,0.370958961112024,0.122585604636779,0.170404411730707,0.154104746652424,0.314828060022643,0.204948255464967,0.182681636759112,0.33509123382907,0.30867088515143,0.262490778499205,0.246795347100866,0.290847608052153,0.249549356404301,0.149739396889568,0.177204533831557,0.114503919568444,0.171695313887817,0.345175897542619,0.450375395625645,0.25998679751035,0.344462623013368,0.214695957714525,0.329200270508999,0.156165742513917,0.204691291030917,0.320894422202382,0.336952249122951,0.278160276712341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.130309942625662,0.152403890120586,0.14639467830039,0.160239935768936,0.118086618494008,0.792146527650307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.252056960194884,0.13914794566991,0.1231571345114,0.235017232728831,0.102658515980797,0.198756716225386,0.132073704258736,0.192687213531966,0.215153930016216,0.141813892486481,0.17047557003629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.169743264394463,0.208742690067843,0.185862469956679,0.198199863433831,0.358303879248433,0.20424488040251,0.149242988066419,0.202266114266793,0.274707290949625,0.260389545066228,0.153682253279196,0.240688959126485,0.18733064105926,0.156290200283705,0.352503002966667,0.191982005445286,0.185858211724838,0.210393782382212,0.155609410629599,0.185596616105666,0.254946712167663,0.370189846557547,0.274305164799266,0.158983306987107,0.129303844939431,0.255657938328118,0.19976219933826,0.210255294158742,0.235526782510399,0.241641597594945,0.245021957624408,0.141610907106605,0.215516838209918,0.18574561101648,0.214642466182436,0.329285168280416,0.20792633144222,0.173288359654845,0.161686648797701,0.151523122938898,0.228274601689975,0.291425487223924,0.174920431567099,0.145324313379168,0.228180461064507,0.255218178369754,0.298499663228791,0.220477807657134,0.202263761326112,0.265285901102158,0.291068647584515,0.308551829123831,0.283186553735597,0.30017947055776,0.14853118000958,0.231070622159761,0.253554791439265,0.12073979906951,0.178107079727939,0.180705484940057,0.215478272972785,0.115620031500972,0.311611648744793,0.289578497033226,0.236221145223732,0.184322848755754,0.253105555196744,0.238193728398331,0.235274537056571,0.198593652905791,0.18933332306672,0.278142698208077,0.2779334610961,0.217472837274804,0.199353311181086,0.145429703135664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.19738411944532,0.222767380809257,0.382800821128425,0.157341553563002,0.230095173290725,0.199991123098887,0.142894359478505,0.313133931863835,0.156949398764481,0.217827063529039,0.174431031126839,0.64643102702132,0.173970649608966,0.400190636532597,0.185981252812969,0.15038057689533,0.156178028502721,0.196101764760639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
