Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101
1,0.180214879998694,0.198624026247796,0.161981390517032,0.12027304534573,0.155766394596351,0.194856082163725,0.180013229802658,0.161659190113026,0.282182587409518,0.0624164550706883,0.265315395307121,0.157112507243976,0.1594677319241,0.129387933424275,0.119554089721163,0.177583627967781,0.185072269827909,0.158959905711667,0.188486939620222,0.16437628667206,0.193721790283782,0.194821014856501,0.164789074272823,0.0912749518026613,0.23023088467819,0.154261096400582,0.190167686241338,0.193022428628638,0.147492012705338,0.201922874201143,0.219983577628268,0.185048519750576,0.145851904670251,0.202199924951691,0.229059787097959,0.165982233277945,0.211474288757083,0.0942633436216862,0.175662158908737,0.279525955211134,0.218666796542066,0.106929525216619,0.185539175349137,0.157963859499476,0.154300058285574,0.173945548969641,0.146715582007508,0.251952559921437,0.137466181370514,0.196288076111037,0.168425448454602,0.280207685933374,0.11580923372157,0.156123183164103,0.352180259018054,0.175441938565263,0.144692427197522,0.147293551853203,0.220624589178904,0.11654721724163,0.204475587598176,0.15577827191365,0.118277556940774,0.125425169123259,0.191255456961258,0.1741471718473,0.235431850744867,0.157954879715022,0.129362541257926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.275377757184931,0.140734811924122,0.121955408489836,0.128568935798132,0.194455035365228,0.140433695506842,0.123128746914528,0.132081325278383,0.134223761295131,0.206560713715604,0.145338404887286,0.128961602554324,0.129114472986273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.145479491861795,0.327100150719953,0.311732652482902,0.291648095017406,0.249659086349213,0.182754150271661,0.229478697671797,0.194149164070516,0.120213825521338,0.250668644221676,0.218360609889821,0.237681780203901,0.147007224035911,0.171214769291474,0.332451118057854,0.260406029256042,0.177668718624034,0.156343594723058,0.117080642234143,0.410527995089783,0.207499051232619,0.171156893022396,0.165788881218557,0.188967450399551,0.201804884003649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.32068585508454,0.172619105131553,0.184165958348046,0.148557343092221,0.123923112059431,0.231590227154448,0.114124273476044,0.448539490562696,0.191132930698257,0.566027161273119,0.267706445177249,0.251058470317181,0.127354239923402,0.250557093313966,0.124701204299199,0.183617455939089,0.178717212519779,0.299465042980495,0.156608191606421,0.206087337775994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.186171818583222,0.176738883787403,0.211516377507771,0.17818713426361,0.216945242756342,0.138177288061832,0.177243576444357,0.0913240188316946,0.127074057972293,0.28382107899057,0.239546094877863,0.167935819816509,0.162184172642755,0.179472765255531,0.235440951834729,0.190588208461909,0.275852468266011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.169157316006802,0.122501954421609,0.20336400937789,0.341111359844153,0.19250309388816,0.105764352037927,0.18391659651712,0.174928384259366,0.254570161725239,0.23179721945233,0.163132387680555,0.230385043317344,0.169423035823643,0.114443369728577,0.171431623330213,0.335275360141583,0.15184206265285,0.134790435547368,0.148776511987876,0.191589735919341,0.133292264898132,0.149517638501683,0.180282117506187,0.414175977774083,0.269681653368942,0.151135130781081,0.175485162692491,0.233226913311893,0.212062994599683,0.183173007549077,0.142501007771784,0.129218792203868,0.12985887252935,0.205011187573852,0.280113596207243,0.175123873534938,0.254383063247745,0.178448098293242,0.137066351507304,0.155278191547786,0.234427207741665,0.146465586087701,0.187751649174089,0.162639246182664,0.25428787950293,0.264302672711884,0.332267505531641,0.300093818034603,0.145377862522785,0.224545215327751,0.183109963590134,0.137802351152023,0.14061432496818,0.194703335600358,0.312839609435514,0.159631018443654,0.219704617180691,0.205616735972428,0.196265450373155,0.15707007827158,0.213695426586355,0.158369102807509,0.111986877549709,0.242016043327895,0.17940667541866,0.17634983440493,0.256926183557167,0.140683563963723,0.32588233645347,0.242425448752235,0.205791442571414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.181035251040909,0.165041532303289,0.208699834129382,0.164022516172823,0.238065952606884,0.11202297480731,0.205800674543464,0.138359746645409,0.123361112321109,0.139858023083881,0.593993620372249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.221799307859744,0.112737419592961,0.158638422754264,0.230671805208399,0.163506598213078,0.184837307897429,0.134131708460015,0.126266461321633,0.197634515295172,0.207281876645331,0.135046356208493,0.149139840560079,0.177579426690486,0.242329295942759,0.196346519699886,0.256510313384477,0.225949110097911,0.234181613347429,0.324660697646039,0.169558338335234,0.168310975592411,0.181096649466442,0.154935893664771,0.137821009813068,0.196394440155973,0.242234801964315,0.167451373584405,0.21076313529338,0.208926736205363,0.189505313739258,0.303611262922205,0.170697746595052,0.217321918475927,0.281839513391436,0.197238306683799,0.183890861291784,0.185478717206594,0.228051885141224,0.202012473844713,0.200141228730492,0.188434217114973,0.218218821344136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.437678667504659,0.272174350527046,0.200300267552942,0.318132952788679,0.176553990668276,0.238020415040748,0.28110805096284,0.203201377988542,0.411285553915801,0.428423617786311,0.208722206869269,0.187482329128978,0.152259137909976,0.454575577094689,0.443184177631615,0.20290169915029,0.392555132976206,0.251312732346099,0.148036526001902,0.258429074789761,0.288621031606474,0.141617142764373,0.250299119804053,0.227760915003406,0.185393909607322,0.23925004891553,0.269524076692948,0.188600394406157,0.184782911824629,0.175397721833594,0.20909013268229,0.178255906283214,0.185056927328585,0.286699459589447,0.155704165407073,0.205020945694055,0.224445660384676,0.281983044450951,0.144919818503347,0.163177001509101,0.150632353888144,0.236678121156677,0.154861643940046,0.20500949263698,0.219535024847598,0.239903190677409,0.225850251678293,0.12688326022023,0.179475675642533,0.12655903941254,0.291662914554138,0.218763693933426,0.327817873281226,0.205681042818434,0.25409051640734,0.238783507864951,0.149851120538904,0.399045729001055,0.379731168948512,0.139371292793345,0.299177441998757,0.230760366854891,0.220973063046696,0.232253242775829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.187901012113959,0.14719960796499,0.204181187009139,0.183154690885908,0.0944890303479866,0.144342765538826,0.206625770792275,0.220725362560596,0.322296140890374,0.199786110548734,0.200215794896696,0.212826614792544,0.188404046792755,0.203904929185383,0.150661419338385,0.134185755209719,0.131549206956342,0.217667201638557,0.119832924347721,0.142129847566107,0.118360684081848,0.196713627931684,0.147709703579223,0.253611084418012,0.139639049317383,0.0978052658517918,0.239253090929777,0.111836838402654,0.0985952744719411,0.118879846454031,0.304628600844353,0.225820363002914,0.206975792291194,0.14239920694647,0.193249206099982,0.165247831336325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
